Date,Open,High,Low,Close,Returns%
2000-01-31,258.9,271.45,178.45,178.45,-31.073773657782926
2000-02-29,180.0,221.9,158.15,160.05,-11.083333333333327
2000-03-31,167.0,167.0,126.05,141.35,-15.359281437125752
2000-04-30,143.0,174.9,134.05,139.85,-2.202797202797207
2000-05-31,136.5,142.0,95.6,113.95,-16.52014652014652
2000-06-30,113.0,127.0,103.05,118.55,4.911504424778759
2000-07-31,119.5,140.9,103.05,107.0,-10.460251046025105
2000-08-31,106.55,127.8,103.55,124.35,16.70577193805725
2000-09-30,125.4,128.2,90.95,92.55,-26.196172248803833
2000-10-31,92.1,99.5,82.1,93.1,1.0857763300760044
2000-11-30,94.85,145.8,93.5,144.15,51.97680548234055
2000-12-31,142.7,169.25,140.8,158.95,11.3875262789068
2001-01-31,159.0,182.3,149.3,179.6,12.955974842767294
2001-02-28,178.05,195.45,173.05,177.9,-0.08424599831508323
2001-03-31,178.0,203.9,126.0,129.95,-26.994382022471914
2001-04-30,129.5,162.2,111.1,148.8,14.903474903474912
2001-05-31,154.0,156.9,122.7,139.5,-9.415584415584416
2001-06-30,140.2,143.7,125.85,136.55,-2.6034236804564745
2001-07-31,139.5,151.0,132.05,139.35,-0.10752688172043419
2001-08-31,137.0,148.25,127.85,128.15,-6.459854014598536
2001-09-30,128.5,132.35,90.4,124.2,-3.346303501945523
2001-10-31,122.0,143.65,114.05,133.05,9.057377049180337
2001-11-30,133.3,172.5,133.3,169.75,27.344336084020995
2001-12-31,171.7,180.65,135.85,151.4,-11.822947000582401
2002-01-31,153.9,177.95,146.55,159.95,3.9311241065626916
2002-02-28,162.45,176.45,155.5,162.8,0.2154509079716976
2002-03-31,162.0,179.1,149.5,153.4,-5.308641975308639
2002-04-30,154.0,161.3,146.2,150.85,-2.045454545454549
2002-05-31,151.6,169.9,147.3,151.25,-0.23087071240105167
2002-06-30,151.95,165.0,134.95,158.85,4.540967423494575
2002-07-31,160.0,166.0,129.3,132.75,-17.03125
2002-08-31,133.2,142.4,129.2,138.1,3.678678678678683
2002-09-30,139.2,147.45,135.1,137.75,-1.0416666666666585
2002-10-31,136.55,154.1,129.45,132.9,-2.6730135481508643
2002-11-30,130.0,166.0,130.0,163.8,26.000000000000007
2002-12-31,164.15,167.65,154.5,165.1,0.5787389582698682
2003-01-31,166.0,167.0,139.05,142.75,-14.006024096385541
2003-02-28,143.45,159.5,141.65,154.15,7.459044963401896
2003-03-31,155.0,155.45,132.1,138.5,-10.64516129032258
2003-04-30,138.5,149.35,126.7,130.8,-5.559566787003602
2003-05-31,131.8,149.0,128.8,145.55,10.432473444613048
2003-06-30,146.0,171.65,145.35,167.2,14.520547945205474
2003-07-31,166.1,200.4,162.5,194.25,16.947621914509334
2003-08-31,196.2,222.2,185.15,212.45,8.28236493374108
2003-09-30,214.9,225.35,178.55,203.4,-5.351326198231735
2003-10-31,203.5,220.5,192.4,213.15,4.742014742014745
2003-11-30,216.0,245.2,215.8,226.45,4.8379629629629575
2003-12-31,229.15,258.4,216.8,244.9,6.873227143792276
2004-01-31,255.0,298.0,222.5,255.35,0.13725490196078208
2004-02-29,257.9,278.0,238.75,259.1,0.46529662659947485
2004-03-31,261.2,280.2,230.0,254.65,-2.507656967840729
2004-04-30,244.6,291.4,244.6,280.1,14.513491414554386
2004-05-31,278.6,308.4,220.9,237.05,-14.913854989231876
2004-06-30,239.9,281.0,223.0,242.1,0.9170487703209623
2004-07-31,242.0,254.85,227.4,239.65,-0.9710743801652869
2004-08-31,240.8,271.9,225.0,269.4,11.877076411960116
2004-09-30,269.95,279.0,263.05,267.25,-1.0001852194850858
2004-10-31,267.8,280.0,246.6,256.35,-4.275578790141893
2004-11-30,258.0,293.0,253.2,286.95,11.220930232558135
2004-12-31,287.0,340.9,282.85,338.65,17.996515679442503
2005-01-31,341.5,370.5,329.75,357.3,4.626647144948759
2005-02-28,358.6,386.85,300.0,367.5,2.481873954266586
2005-03-31,368.0,377.0,354.0,360.55,-2.0244565217391273
2005-04-30,360.6,411.0,351.05,360.6,0.0
2005-05-31,363.0,400.0,359.0,376.7,3.7741046831955893
2005-06-30,377.9,393.9,353.55,379.6,0.4498544588515601
2005-07-31,380.0,452.25,376.8,430.4,13.263157894736837
2005-08-31,432.4,481.5,425.55,478.4,10.638297872340425
2005-09-30,480.55,496.6,455.05,487.15,1.3734262823847603
2005-10-31,492.0,501.5,431.15,445.3,-9.491869918699186
2005-11-30,449.9,529.0,447.5,510.8,13.536341409202054
2005-12-31,510.0,568.5,507.25,534.1,4.725490196078436
2006-01-31,537.0,581.55,452.5,574.2,6.927374301675986
2006-02-28,574.15,633.25,570.1,626.3,9.082992249412172
2006-03-31,625.0,798.75,624.05,782.2,25.152000000000005
2006-04-30,786.0,1023.0,786.0,1013.75,28.97582697201018
