Date,Open,High,Low,Close,Returns%
2000-01-31,979.0,1037.0,850.0,946.4,-3.329928498467827
2000-02-29,875.0,970.0,719.75,814.9,-6.868571428571431
2000-03-31,822.0,850.0,680.0,765.0,-6.934306569343065
2000-04-30,800.0,826.15,603.0,681.9,-14.762500000000003
2000-05-31,681.0,681.0,591.5,644.2,-5.403817914831124
2000-06-30,661.0,943.8,635.0,911.05,37.829046898638424
2000-07-31,910.0,1049.0,796.05,866.5,-4.78021978021978
2000-08-31,865.0,865.0,506.5,592.45,-31.50867052023121
2000-09-30,580.0,633.95,558.0,595.25,2.6293103448275863
2000-10-31,596.0,706.95,589.0,656.35,10.1258389261745
2000-11-30,665.0,690.0,619.0,630.0,-5.2631578947368425
2000-12-31,630.0,660.0,580.0,605.0,-3.9682539682539684
2001-01-31,601.0,824.75,591.15,810.35,34.83361064891847
2001-02-28,815.0,869.9,698.95,793.65,-2.6196319018404934
2001-03-31,810.0,815.0,205.0,216.55,-73.26543209876544
2001-04-30,207.35,294.85,171.25,268.35,29.418857005063916
2001-05-31,270.5,470.0,260.0,442.1,63.4380776340111
2001-06-30,450.0,459.0,253.55,280.85,-37.58888888888888
2001-07-31,296.0,320.0,195.0,199.7,-32.53378378378379
2001-08-31,199.7,203.95,151.0,156.55,-21.607411116675003
2001-09-30,157.2,158.0,97.0,108.45,-31.01145038167938
2001-10-31,108.45,127.95,91.25,117.15,8.02213001383126
2001-11-30,119.85,184.0,117.2,159.85,33.37505214851898
2001-12-31,162.1,215.0,130.5,167.7,3.4546576187538522
2002-01-31,174.0,178.9,155.0,167.6,-3.678160919540233
2002-02-28,169.9,195.0,140.0,160.3,-5.650382577987048
2002-03-31,158.0,169.0,158.0,162.1,2.594936708860756
2002-04-30,166.0,224.9,166.0,216.6,30.48192771084337
2002-05-31,223.0,223.0,178.3,181.25,-18.721973094170405
2002-06-30,184.75,202.0,177.0,183.2,-0.8389715832205745
2002-07-31,178.0,189.75,156.0,159.0,-10.674157303370787
2002-08-31,160.0,168.0,153.05,155.15,-3.0312499999999964
2002-09-30,155.75,157.9,132.0,141.1,-9.406099518459072
2002-10-31,128.4,151.0,128.4,137.0,6.69781931464174
2002-11-30,137.1,159.0,134.1,154.8,12.910284463894982
2002-12-31,153.0,159.0,132.0,144.05,-5.849673202614372
2003-01-31,143.05,146.9,130.1,132.7,-7.23523243621113
2003-02-28,131.1,135.5,125.0,129.95,-0.8771929824561447
2003-03-31,130.75,133.0,121.05,122.8,-6.080305927342258
2003-04-30,122.05,125.25,112.0,121.5,-0.45063498566161175
2003-05-31,122.0,187.45,121.0,167.5,37.295081967213115
2003-06-30,168.25,204.9,165.15,195.5,16.196136701337295
2003-07-31,196.25,208.9,180.15,183.55,-6.4713375796178285
2003-08-31,180.0,205.45,180.0,193.75,7.638888888888889
2003-09-30,194.0,231.0,191.5,195.35,0.6958762886597909
2003-10-31,196.0,238.0,190.0,193.85,-1.096938775510207
2003-11-30,195.0,227.0,194.0,214.45,9.97435897435897
2003-12-31,218.0,478.7,212.1,383.85,76.07798165137616
2004-01-31,390.0,435.0,301.4,359.35,-7.858974358974353
2004-02-29,362.4,383.0,328.05,377.55,4.18046357615895
2004-03-31,384.9,410.5,372.3,403.5,4.832424006235392
2004-04-30,405.0,455.0,401.0,426.3,5.259259259259261
2004-05-31,429.95,509.0,350.0,476.6,10.850098848703347
2004-06-30,481.2,515.0,460.0,494.95,2.8574397339983375
2004-07-31,499.0,755.0,68.05,69.8,-86.0120240480962
2004-08-31,71.0,71.5,60.55,63.75,-10.211267605633802
2004-09-30,64.9,67.0,59.25,61.1,-5.855161787365184
2004-10-31,62.0,62.4,55.15,60.7,-2.0967741935483826
2004-11-30,62.0,67.95,58.1,60.75,-2.0161290322580645
2004-12-31,61.4,85.45,60.1,76.95,25.32573289902281
2005-01-31,77.8,79.0,70.0,75.3,-3.2133676092544987
2005-02-28,75.3,81.95,70.1,76.5,1.593625498007972
2005-03-31,77.75,79.3,58.5,59.8,-23.08681672025724
2005-04-30,61.0,66.0,54.0,59.4,-2.6229508196721336
2005-05-31,59.2,68.0,59.0,63.95,8.02364864864865
2005-06-30,65.4,67.5,62.0,62.5,-4.434250764526002
2005-07-31,63.8,67.9,61.8,64.4,0.9404388714733677
2005-08-31,64.2,74.7,62.05,71.75,11.760124610591896
2005-09-30,72.25,74.5,61.65,63.0,-12.802768166089965
2005-10-31,64.45,68.4,56.0,58.3,-9.542280837858813
2005-11-30,58.55,66.35,58.35,63.4,8.28351836037575
2005-12-31,62.15,65.5,58.4,58.95,-5.148833467417531
2006-01-31,59.6,61.95,58.0,60.0,0.671140939597313
2006-02-28,60.0,64.0,57.0,57.6,-3.999999999999998
2006-03-31,57.1,62.0,48.6,59.85,4.816112084063048
2006-04-30,60.0,66.0,58.55,60.7,1.1666666666666714
