Date,Open,High,Low,Close,Returns%
2000-01-31,242.0,258.0,192.55,192.95,-20.268595041322317
2000-02-29,191.05,200.95,132.1,134.2,-29.756608217744052
2000-03-31,138.5,147.0,104.65,134.45,-2.924187725631777
2000-04-30,139.0,142.9,104.6,117.45,-15.503597122302155
2000-05-31,118.0,126.5,94.1,112.35,-4.7881355932203435
2000-06-30,118.0,118.0,95.05,96.15,-18.51694915254237
2000-07-31,98.8,103.7,86.0,86.35,-12.601214574898789
2000-08-31,86.0,86.5,67.1,75.2,-12.558139534883718
2000-09-30,76.0,88.0,70.0,70.15,-7.697368421052624
2000-10-31,70.45,73.5,63.2,68.05,-3.4066713981547276
2000-11-30,71.95,85.95,68.1,82.75,15.01042390548992
2000-12-31,81.6,97.2,76.0,86.05,5.453431372549024
2001-01-31,86.5,96.5,80.0,82.4,-4.739884393063577
2001-02-28,82.0,91.85,70.5,74.75,-8.841463414634147
2001-03-31,75.5,77.4,55.0,62.2,-17.615894039735096
2001-04-30,60.25,65.0,56.0,57.55,-4.48132780082988
2001-05-31,59.25,74.0,52.15,69.65,17.55274261603376
2001-06-30,70.5,73.0,62.0,64.5,-8.51063829787234
2001-07-31,65.0,67.0,49.0,49.6,-23.69230769230769
2001-08-31,51.5,64.0,49.55,60.85,18.155339805825246
2001-09-30,61.2,62.9,50.05,57.65,-5.800653594771249
2001-10-31,56.1,67.0,51.0,66.3,18.181818181818173
2001-11-30,67.0,72.5,62.35,67.25,0.373134328358209
2001-12-31,66.35,80.9,60.8,66.9,0.8289374529012983
2002-01-31,65.35,78.9,64.1,70.0,7.115531752104064
2002-02-28,72.75,76.0,68.1,68.4,-5.979381443298961
2002-03-31,69.0,74.0,67.1,71.0,2.898550724637681
2002-04-30,71.2,87.0,70.7,78.55,10.32303370786516
2002-05-31,67.0,89.0,67.0,83.85,25.149253731343276
2002-06-30,84.2,97.7,84.05,92.9,10.332541567695964
2002-07-31,94.0,111.75,76.3,81.7,-13.08510638297872
2002-08-31,83.85,96.65,82.3,90.05,7.394156231365537
2002-09-30,90.0,104.5,85.5,100.7,11.888888888888891
2002-10-31,100.25,106.9,98.5,100.6,0.34912718204488213
2002-11-30,101.8,119.9,99.15,116.2,14.145383104125742
2002-12-31,116.95,121.0,110.25,118.35,1.197092774690031
2003-01-31,118.5,129.4,115.65,119.55,0.8860759493670862
2003-02-28,119.1,120.8,99.25,112.2,-5.793450881612083
2003-03-31,113.85,113.85,100.0,107.55,-5.533596837944662
2003-04-30,107.55,124.0,105.6,123.3,14.644351464435147
2003-05-31,121.2,152.0,121.2,143.15,18.110561056105613
2003-06-30,138.1,145.95,130.05,144.1,4.344677769732078
2003-07-31,147.0,169.0,115.1,133.3,-9.319727891156456
2003-08-31,135.0,146.0,128.0,143.3,6.148148148148157
2003-09-30,143.2,184.9,143.0,173.0,20.810055865921797
2003-10-31,171.1,184.75,145.5,160.0,-6.487434248977204
2003-11-30,167.9,169.85,156.15,165.95,-1.1614055985705878
2003-12-31,166.0,206.6,161.35,193.5,16.566265060240966
2004-01-31,195.0,200.0,171.0,185.3,-4.974358974358968
2004-02-29,183.05,194.75,170.0,184.75,0.9287080032777867
2004-03-31,187.9,187.9,154.95,183.15,-2.5279403938265035
2004-04-30,178.0,188.5,178.0,180.1,1.1797752808988733
2004-05-31,180.0,195.0,140.0,177.85,-1.1944444444444475
2004-06-30,180.0,182.7,168.65,177.1,-1.6111111111111143
2004-07-31,178.0,189.9,148.55,163.55,-8.117977528089881
2004-08-31,165.5,183.8,164.2,171.6,3.6858006042296036
2004-09-30,170.15,204.0,168.0,195.65,14.986776373787833
2004-10-31,195.0,204.95,188.1,199.75,2.4358974358974357
2004-11-30,200.2,234.5,197.4,208.05,3.9210789210789327
2004-12-31,211.0,241.35,207.2,226.2,7.203791469194307
2005-01-31,226.95,275.0,210.25,233.2,2.7539105529852392
2005-02-28,229.0,244.0,224.05,238.4,4.104803493449785
2005-03-31,220.05,252.0,209.0,227.8,3.5219268348102704
2005-04-30,225.5,234.0,214.05,225.45,-0.022172949002222338
2005-05-31,226.0,270.0,222.1,257.85,14.092920353982311
2005-06-30,264.95,275.0,231.0,264.3,-0.24532930741648512
2005-07-31,267.9,323.0,256.0,312.65,16.703994027622247
2005-08-31,315.0,354.0,288.3,332.75,5.634920634920635
2005-09-30,330.0,364.7,305.25,331.45,0.43939393939393595
2005-10-31,339.4,352.0,290.2,321.05,-5.406599882144952
2005-11-30,310.0,324.9,293.1,315.0,1.6129032258064515
2005-12-31,315.0,348.0,304.0,332.1,5.428571428571436
2006-01-31,332.95,389.0,332.1,370.75,11.353056014416582
2006-02-28,344.2,419.55,344.2,407.85,18.49215572341663
2006-03-31,408.0,424.7,336.8,384.35,-5.7965686274509745
2006-04-30,390.0,402.0,350.0,381.4,-2.205128205128211
2006-05-31,380.0,390.0,300.1,349.4,-8.052631578947375
2006-06-30,368.0,397.95,229.7,287.15,-21.97010869565218
2006-07-31,298.5,329.0,266.05,299.3,0.268006700167508
2006-08-31,297.0,320.0,286.2,316.05,6.414141414141418
2006-09-30,314.95,361.0,310.1,348.85,10.763613271947941
2006-10-31,350.0,359.0,332.0,350.5,0.14285714285714285
2006-11-30,351.0,405.0,328.0,400.05,13.974358974358976
2006-12-31,404.0,448.0,383.1,437.6,8.316831683168322
2007-01-31,431.0,490.0,422.5,452.25,4.930394431554524
2007-02-28,454.0,469.0,412.2,433.75,-4.460352422907489
2007-03-31,431.0,489.9,411.5,463.95,7.645011600928072
2007-04-30,462.0,476.15,423.5,433.15,-6.244588744588749
2007-05-31,432.0,564.0,425.1,527.25,22.04861111111111
