Date,Open,High,Low,Close,Returns%
2000-01-31,670.0,707.7,488.6,498.75,-25.559701492537314
2000-02-29,496.0,550.0,365.25,366.9,-26.028225806451616
2000-03-31,393.95,393.95,272.0,296.5,-24.736641705800224
2000-04-30,305.0,319.0,229.0,237.9,-21.999999999999996
2000-05-31,230.0,249.9,178.15,214.4,-6.782608695652172
2000-06-30,210.0,223.75,168.5,178.85,-14.833333333333336
2000-07-31,179.9,189.9,135.0,142.05,-21.039466370205666
2000-08-31,141.0,184.45,117.05,184.45,30.815602836879425
2000-09-30,198.8,270.0,157.0,159.45,-19.793762575452728
2000-10-31,160.85,176.9,145.0,157.9,-1.834006838669561
2000-11-30,166.0,175.0,142.05,154.45,-6.957831325301211
2000-12-31,153.0,182.85,144.25,182.75,19.444444444444443
2001-01-31,183.0,187.6,141.05,155.4,-15.081967213114751
2001-02-28,156.0,178.75,143.0,167.0,7.051282051282051
2001-03-31,170.0,180.4,125.75,136.1,-19.94117647058824
2001-04-30,126.5,146.5,119.1,129.2,2.1343873517786474
2001-05-31,135.0,135.0,115.0,131.1,-2.8888888888888933
2001-06-30,133.0,133.85,99.0,109.2,-17.89473684210526
2001-07-31,114.0,114.0,87.5,91.75,-19.517543859649123
2001-08-31,95.0,95.0,70.8,70.8,-25.473684210526322
2001-09-30,73.5,79.5,58.0,62.6,-14.829931972789112
2001-10-31,62.65,69.45,62.0,67.5,7.741420590582604
2001-11-30,67.0,84.85,66.75,80.5,20.149253731343283
2001-12-31,77.1,109.05,69.95,77.75,0.8430609597924847
2002-01-31,81.7,86.0,66.0,80.95,-0.9179926560587515
2002-02-28,83.5,111.7,77.0,94.05,12.634730538922152
2002-03-31,85.0,105.0,85.0,98.75,16.176470588235293
2002-04-30,98.25,146.25,96.0,131.35,33.68956743002544
2002-05-31,131.05,146.0,106.55,110.3,-15.833651278138124
2002-06-30,112.5,137.75,110.0,126.75,12.666666666666666
2002-07-31,127.0,151.0,120.4,123.25,-2.952755905511811
2002-08-31,126.95,142.0,121.4,123.4,-2.7963765261914117
2002-09-30,125.0,129.95,110.0,112.3,-10.160000000000002
2002-10-31,112.0,126.0,111.75,124.6,11.249999999999996
2002-11-30,125.75,135.6,121.05,131.9,4.8906560636182945
2002-12-31,130.0,192.9,130.0,188.4,44.92307692307693
2003-01-31,186.0,190.5,161.1,163.9,-11.881720430107524
2003-02-28,165.95,168.45,144.0,144.55,-12.895450436878566
2003-03-31,140.25,148.0,136.25,140.8,0.39215686274510614
2003-04-30,138.1,169.0,138.0,162.15,17.41491672700942
2003-05-31,168.0,235.0,166.05,215.9,28.511904761904766
2003-06-30,210.0,289.0,203.25,270.95,29.02380952380952
2003-07-31,275.0,329.95,258.0,282.35,2.672727272727281
2003-08-31,285.0,318.0,257.2,313.6,10.035087719298254
2003-09-30,330.0,467.0,285.65,400.35,21.318181818181824
2003-10-31,399.0,422.0,306.25,339.15,-15.000000000000005
2003-11-30,356.5,356.5,306.0,321.75,-9.747545582047685
2003-12-31,327.3,429.8,325.0,376.3,14.970974641002138
2004-01-31,379.0,386.0,315.1,335.45,-11.490765171503961
2004-02-29,332.0,585.0,281.1,491.2,47.951807228915655
2004-03-31,502.0,661.0,137.1,178.4,-64.46215139442232
