Date,Open,High,Low,Close,Returns%
2000-01-31,208.0,429.85,208.0,415.2,99.61538461538461
2000-02-29,420.0,520.0,364.6,365.35,-13.011904761904757
2000-03-31,337.0,424.0,280.6,312.8,-7.181008902077148
2000-04-30,302.5,346.0,255.5,255.5,-15.537190082644628
2000-05-31,241.0,292.25,183.1,199.45,-17.24066390041494
2000-06-30,204.2,273.5,186.05,241.75,18.38883447600392
2000-07-31,245.0,246.0,206.0,219.7,-10.326530612244902
2000-08-31,214.2,320.9,204.0,271.4,26.704014939309054
2000-09-30,283.0,289.0,215.1,221.15,-21.855123674911656
2000-10-31,217.0,237.9,195.0,206.55,-4.8156682027649715
2000-11-30,209.9,254.9,201.0,208.45,-0.6908051453072973
2000-12-31,208.35,215.0,177.0,184.15,-11.615070794336448
2001-01-31,180.45,195.0,172.0,183.2,1.5239678581324467
2001-02-28,183.25,195.95,145.0,161.2,-12.032742155525243
2001-03-31,160.0,160.0,69.8,117.55,-26.53125
2001-04-30,115.0,119.0,85.15,101.95,-11.34782608695652
2001-05-31,109.0,123.95,92.65,96.45,-11.513761467889907
2001-06-30,97.0,103.0,79.4,81.3,-16.18556701030928
2001-07-31,84.0,96.0,69.5,71.8,-14.523809523809527
2001-08-31,71.5,72.0,54.0,58.2,-18.6013986013986
2001-09-30,59.7,83.95,57.45,69.7,16.75041876046901
2001-10-31,70.0,88.0,68.0,74.75,6.785714285714286
2001-11-30,73.95,113.5,72.5,99.8,34.956051386071664
2001-12-31,100.0,127.45,96.0,108.7,8.700000000000003
2002-01-31,111.5,122.0,97.0,103.6,-7.0852017937219784
2002-02-28,103.45,149.0,100.0,112.95,9.183180280328662
2002-03-31,111.1,153.0,111.0,126.05,13.456345634563458
2002-04-30,130.0,180.0,129.25,153.0,17.692307692307693
2002-05-31,154.7,175.0,128.05,146.45,-5.332902391725922
2002-06-30,146.5,153.0,124.05,128.95,-11.979522184300349
2002-07-31,127.1,139.0,101.5,102.0,-19.748229740361918
2002-08-31,104.95,105.9,91.2,96.65,-7.90852787041448
2002-09-30,96.45,107.35,93.1,99.7,3.3696215655780195
2002-10-31,99.0,103.9,96.15,98.85,-0.15151515151515726
2002-11-30,99.8,107.45,98.1,104.2,4.408817635270547
2002-12-31,105.5,115.0,104.0,105.35,-0.14218009478673524
2003-01-31,106.1,115.7,100.0,100.65,-5.136663524976427
2003-02-28,100.95,115.5,97.75,113.1,12.035661218424954
2003-03-31,117.0,117.0,92.25,92.55,-20.8974358974359
2003-04-30,92.5,101.35,92.0,96.45,4.270270270270274
2003-05-31,97.0,119.8,96.6,118.75,22.422680412371133
2003-06-30,120.0,125.3,112.1,122.75,2.2916666666666665
2003-07-31,123.05,163.5,123.05,144.65,17.553839902478675
