Date,Open,High,Low,Close,Returns%
2000-01-31,169.9,226.0,163.05,201.35,18.51088875809299
2000-02-29,197.0,215.9,130.0,131.75,-33.121827411167516
2000-03-31,133.0,140.0,101.0,116.9,-12.105263157894733
2000-04-30,119.5,145.0,95.0,95.6,-20.000000000000004
2000-05-31,98.9,116.4,69.25,106.3,7.482305358948423
2000-06-30,104.0,114.9,94.0,94.65,-8.99038461538461
2000-07-31,94.95,106.0,91.25,93.35,-1.685097419694585
2000-08-31,95.0,95.0,79.0,79.75,-16.05263157894737
2000-09-30,80.5,94.0,70.0,74.9,-6.9565217391304275
2000-10-31,75.2,89.5,72.05,77.8,3.4574468085106305
2000-11-30,77.9,92.85,73.05,85.2,9.37098844672657
2000-12-31,84.0,102.3,78.5,88.7,5.5952380952380985
2001-01-31,90.0,96.0,75.5,80.65,-10.388888888888882
2001-02-28,80.45,93.5,72.6,74.55,-7.333747669359858
2001-03-31,75.25,77.7,46.25,50.15,-33.35548172757475
2001-04-30,49.8,55.0,46.0,49.05,-1.5060240963855422
2001-05-31,49.5,68.5,45.15,67.65,36.66666666666668
2001-06-30,67.05,70.6,50.2,59.4,-11.40939597315436
2001-07-31,58.0,61.25,49.1,51.5,-11.206896551724139
2001-08-31,51.5,59.0,45.6,45.85,-10.970873786407765
2001-09-30,46.25,47.5,38.0,40.2,-13.081081081081075
2001-10-31,40.3,52.2,38.45,47.7,18.362282878411925
2001-11-30,48.0,67.5,47.5,62.1,29.375000000000004
2001-12-31,65.8,90.0,59.05,79.4,20.668693009118556
2002-01-31,80.0,82.0,71.0,74.6,-6.750000000000007
2002-02-28,73.7,84.9,69.0,74.45,1.01763907734057
2002-03-31,67.0,89.8,67.0,76.65,14.402985074626875
2002-04-30,79.8,81.0,69.5,74.4,-6.766917293233072
2002-05-31,76.0,85.3,67.6,71.35,-6.118421052631587
2002-06-30,73.25,128.35,71.75,112.2,53.17406143344711
2002-07-31,114.0,132.25,90.35,95.2,-16.49122807017544
2002-08-31,95.4,127.8,92.0,109.9,15.199161425576518
2002-09-30,110.3,125.35,107.0,114.3,3.626473254759746
2002-10-31,114.7,141.4,110.85,131.1,14.298169136878807
2002-11-30,133.25,141.9,125.1,138.05,3.6022514071294642
2002-12-31,131.0,149.1,131.0,134.4,2.5954198473282486
2003-01-31,135.85,139.0,122.8,125.3,-7.765918292234081
2003-02-28,127.3,140.0,114.5,121.2,-4.791830322073837
2003-03-31,123.0,132.0,111.15,124.1,0.8943089430894263
2003-04-30,122.25,139.0,117.1,118.15,-3.35378323108384
2003-05-31,118.0,160.9,114.0,158.75,34.53389830508475
2003-06-30,161.0,195.5,148.1,187.05,16.18012422360249
2003-07-31,188.5,192.0,150.45,157.2,-16.604774535809025
2003-08-31,158.0,193.0,152.65,189.55,19.96835443037975
2003-09-30,190.0,196.25,158.0,175.15,-7.815789473684208
2003-10-31,173.9,218.25,167.0,201.9,16.10120759056929
2003-11-30,201.0,288.0,201.0,238.65,18.731343283582092
2003-12-31,241.0,273.0,217.35,258.5,7.261410788381743
2004-01-31,263.75,296.7,242.2,244.85,-7.165876777251187
