Date,Open,High,Low,Close,Returns%
2000-01-31,121.5,150.0,114.0,120.9,-0.49382716049382247
2000-02-29,123.0,126.0,73.0,82.75,-32.72357723577236
2000-03-31,84.1,85.95,56.0,69.05,-17.89536266349584
2000-04-30,69.9,77.0,63.5,71.3,2.002861230329029
2000-05-31,72.0,72.9,58.5,68.95,-4.236111111111107
2000-06-30,69.0,78.35,60.0,60.05,-12.971014492753627
2000-07-31,60.45,66.8,46.4,46.9,-22.415219189412745
2000-08-31,44.6,48.75,43.1,46.0,3.139013452914795
2000-09-30,46.0,46.8,36.5,37.7,-18.04347826086956
2000-10-31,36.55,49.5,34.0,45.3,23.93980848153215
2000-11-30,46.0,51.65,42.8,48.4,5.217391304347823
2000-12-31,48.15,52.6,41.8,43.85,-8.930425752855653
2001-01-31,44.25,50.7,43.05,46.3,4.632768361581914
2001-02-28,46.05,76.0,45.15,68.4,48.53420195439742
2001-03-31,69.0,71.0,43.5,47.4,-31.304347826086957
2001-04-30,47.0,64.5,40.75,56.2,19.57446808510639
2001-05-31,58.15,72.4,57.0,68.25,17.368873602751506
2001-06-30,68.0,68.95,53.2,56.3,-17.20588235294118
2001-07-31,57.25,64.5,50.2,59.7,4.279475982532756
2001-08-31,59.4,67.5,57.6,64.2,8.080808080808088
2001-09-30,64.0,66.5,52.0,58.55,-8.515625000000004
2001-10-31,56.75,64.0,52.1,63.1,11.189427312775333
2001-11-30,63.45,95.0,63.05,86.45,36.249014972419225
2001-12-31,85.5,88.45,65.5,70.6,-17.426900584795327
2002-01-31,70.9,79.2,64.1,69.15,-2.468265162200282
2002-02-28,70.05,95.5,67.0,88.95,26.98072805139187
2002-03-31,90.0,93.95,77.0,80.35,-10.722222222222229
2002-04-30,80.0,114.0,77.5,97.5,21.875
2002-05-31,98.85,117.0,89.25,97.9,-0.9610520991400998
2002-06-30,99.0,123.0,96.55,120.65,21.868686868686872
2002-07-31,122.5,123.0,86.0,89.5,-26.93877551020408
2002-08-31,90.95,105.0,90.95,100.05,10.005497526113242
2002-09-30,101.0,102.4,85.0,86.85,-14.009900990099014
2002-10-31,87.75,97.0,84.3,93.35,6.381766381766376
2002-11-30,94.35,95.95,80.25,90.6,-3.9745627980922102
2002-12-31,92.0,100.65,89.1,98.6,7.1739130434782545
2003-01-31,99.0,107.45,91.5,94.9,-4.141414141414136
2003-02-28,94.0,109.5,92.3,96.9,3.0851063829787293
2003-03-31,98.0,103.3,92.75,96.55,-1.4795918367346967
2003-04-30,99.4,105.0,96.1,99.15,-0.2515090543259557
2003-05-31,100.4,117.0,97.3,114.7,14.243027888446212
2003-06-30,116.8,135.0,114.2,128.3,9.845890410958916
2003-07-31,127.35,142.5,112.5,134.15,5.339615233608176
2003-08-31,134.0,171.25,131.0,162.2,21.04477611940298
2003-09-30,163.5,190.0,155.5,189.35,15.810397553516816
2003-10-31,189.9,238.0,189.55,227.35,19.72090573986308
2003-11-30,228.9,246.65,211.25,241.15,5.351681957186544
2003-12-31,242.4,297.45,240.0,294.3,21.410891089108915
2004-01-31,295.8,311.8,226.05,229.8,-22.31237322515213
2004-02-29,225.0,277.9,211.0,262.6,16.711111111111123
2004-03-31,263.9,267.4,202.0,253.1,-4.092459264873051
2004-04-30,255.5,297.25,250.3,266.65,4.363992172211342
2004-05-31,269.0,269.0,178.0,213.3,-20.706319702602226
2004-06-30,217.0,227.9,22.1,22.75,-89.51612903225806
2004-07-31,23.4,24.1,19.3,20.85,-10.897435897435885
2004-08-31,21.15,22.45,17.0,18.75,-11.347517730496447
2004-09-30,19.0,19.75,17.9,18.75,-1.3157894736842106
2004-10-31,18.95,21.0,18.05,18.65,-1.5831134564643838
2004-11-30,18.9,21.25,17.9,20.5,8.465608465608474
2004-12-31,20.45,25.4,19.75,24.65,20.537897310513447
2005-01-31,25.0,25.25,20.15,24.15,-3.4000000000000057
2005-02-28,24.7,25.95,23.05,23.75,-3.8461538461538436
2005-03-31,24.0,25.15,18.65,21.05,-12.291666666666664
2005-04-30,21.25,24.0,20.4,23.1,8.705882352941183
2005-05-31,23.3,24.8,22.45,24.1,3.433476394849788
2005-06-30,24.25,27.25,23.4,23.55,-2.8865979381443267
2005-07-31,24.0,29.95,23.55,29.45,22.70833333333333
2005-08-31,29.85,31.7,25.7,28.75,-3.685092127303187
2005-09-30,29.4,30.85,26.5,28.4,-3.4013605442176873
2005-10-31,28.7,29.75,25.2,27.5,-4.181184668989545
2005-11-30,28.0,35.0,27.25,31.25,11.607142857142858
2005-12-31,31.45,33.8,29.9,31.85,1.271860095389514
2006-01-31,31.95,33.05,29.5,30.65,-4.068857589984352
2006-02-28,30.6,40.0,30.6,38.45,25.65359477124183
2006-03-31,38.2,42.75,37.8,40.3,5.497382198952864
2006-04-30,40.0,52.55,40.0,52.15,30.374999999999993
2006-05-31,52.9,53.0,29.1,39.05,-26.181474480151234
2006-06-30,39.25,40.4,30.5,37.4,-4.713375796178347
2006-07-31,37.9,38.9,30.1,35.0,-7.651715039577834
2006-08-31,34.95,40.6,34.5,39.6,13.304721030042915
2006-09-30,39.4,45.9,39.4,45.05,14.340101522842637
2006-10-31,45.0,51.1,43.4,44.0,-2.2222222222222223
2006-11-30,44.5,47.25,35.0,42.45,-4.606741573033702
2006-12-31,42.95,46.4,35.75,45.55,6.053550640279381
2007-01-31,45.55,48.75,43.1,48.4,6.256860592755217
2007-02-28,48.8,50.7,38.6,39.8,-18.442622950819672
