Date,Open,High,Low,Close,Returns%
2000-01-31,370.0,530.0,370.0,460.5,24.45945945945946
2000-02-29,462.0,481.0,369.0,376.4,-18.52813852813853
2000-03-31,397.0,449.0,364.0,423.2,6.599496221662466
2000-04-30,440.0,447.0,387.0,407.0,-7.5
2000-05-31,405.0,445.95,350.0,426.15,5.222222222222217
2000-06-30,427.9,432.8,390.0,404.3,-5.5153073147931675
2000-07-31,406.0,460.0,395.0,448.85,10.554187192118231
2000-08-31,450.0,474.8,242.6,259.65,-42.30000000000001
2000-09-30,265.0,265.0,220.0,221.75,-16.32075471698113
2000-10-31,221.0,250.0,204.0,248.5,12.44343891402715
2000-11-30,247.95,262.0,210.0,253.35,2.1778584392014544
2000-12-31,251.0,286.7,240.0,276.65,10.219123505976087
2001-01-31,274.05,294.9,245.0,265.1,-3.265827403758434
2001-02-28,254.0,285.3,250.1,266.0,4.724409448818897
2001-03-31,248.45,277.0,231.15,245.45,-1.2074864157778225
2001-04-30,241.0,271.0,233.25,261.2,8.381742738589207
2001-05-31,256.05,280.0,244.1,253.45,-1.01542667447765
2001-06-30,257.45,268.95,240.0,250.05,-2.8743445329190047
2001-07-31,245.1,270.0,235.0,255.15,4.100367197062428
2001-08-31,250.0,265.0,246.0,264.5,5.8
2001-09-30,265.1,278.0,240.0,271.5,2.4141833270463886
2001-10-31,267.05,279.4,253.0,269.35,0.8612619359670516
2001-11-30,266.3,292.0,266.3,273.4,2.6661659782200395
2001-12-31,277.85,299.0,251.2,273.95,-1.403635054885742
2002-01-31,264.55,280.9,255.05,262.05,-0.945000945000945
2002-02-28,267.9,315.0,262.0,300.6,12.206047032474823
2002-03-31,296.0,329.85,285.0,327.3,10.574324324324328
2002-04-30,325.0,342.9,300.1,324.15,-0.26153846153846855
2002-05-31,316.05,345.0,280.1,294.65,-6.77108052523336
2002-06-30,296.9,329.0,281.0,326.6,10.003368137420022
2002-07-31,320.5,375.0,302.0,328.75,2.574102964118565
2002-08-31,335.75,379.0,310.0,340.25,1.340282948622487
2002-09-30,341.0,374.0,331.0,341.75,0.21994134897360704
2002-10-31,340.05,349.9,323.0,328.45,-3.4112630495515432
2002-11-30,330.0,340.9,318.1,325.95,-1.2272727272727306
2002-12-31,329.0,380.0,315.55,325.25,-1.1398176291793314
2003-01-31,325.0,370.0,310.0,325.95,0.2923076923076888
2003-02-28,321.0,332.4,315.05,317.65,-1.0436137071651161
2003-03-31,323.25,359.0,310.0,330.0,2.0881670533642693
2003-04-30,323.0,337.0,320.5,331.2,2.5386996904024732
2003-05-31,330.0,399.9,330.0,377.65,14.439393939393934
