Date,Open,High,Low,Close,Returns%
2000-01-31,257.0,287.25,247.5,250.5,-2.529182879377432
2000-02-29,250.0,260.0,225.0,240.5,-3.8
2000-03-31,225.5,240.0,163.0,224.0,-0.6651884700665188
2000-04-30,229.0,230.0,194.1,215.0,-6.11353711790393
2000-05-31,207.05,229.0,195.15,212.1,2.439024390243894
2000-06-30,210.0,294.0,200.0,276.0,31.428571428571427
2000-07-31,271.0,317.05,265.05,277.1,2.250922509225101
2000-08-31,275.0,317.5,215.0,277.1,0.7636363636363719
2000-09-30,275.0,334.9,267.0,274.0,-0.36363636363636365
2000-10-31,273.0,310.0,255.0,272.1,-0.32967032967032134
2000-11-30,270.25,289.45,250.0,266.0,-1.572617946345976
2000-12-31,270.0,484.35,265.0,387.5,43.51851851851852
2001-01-31,393.95,475.0,330.05,469.8,19.253712400050773
2001-02-28,465.0,485.0,395.55,478.8,2.967741935483873
2001-03-31,486.0,486.0,381.25,400.0,-17.695473251028808
2001-04-30,398.0,406.0,360.0,372.0,-6.532663316582915
2001-05-31,366.0,433.0,351.0,408.0,11.475409836065573
2001-06-30,402.75,417.9,345.15,347.55,-13.705772811918061
2001-07-31,359.0,359.0,266.0,270.0,-24.79108635097493
2001-08-31,260.0,298.0,252.3,265.0,1.9230769230769231
2001-09-30,270.0,280.0,217.0,227.1,-15.888888888888893
2001-10-31,236.0,270.0,227.0,234.0,-0.847457627118644
2001-11-30,233.25,291.85,225.0,258.0,10.610932475884244
2001-12-31,270.0,271.0,230.0,238.0,-11.851851851851851
2002-01-31,248.5,289.0,237.05,280.25,12.776659959758552
2002-02-28,274.0,310.0,268.0,282.15,2.9744525547445173
2002-03-31,285.0,374.85,285.0,363.7,27.614035087719294
2002-04-30,363.5,378.9,360.0,360.5,-0.8253094910591472
2002-05-31,360.0,375.0,347.1,372.3,3.4166666666666696
2002-06-30,375.0,378.9,350.0,354.0,-5.6
2002-07-31,354.05,360.0,341.1,350.0,-1.1439062279339107
2002-08-31,346.0,368.0,345.1,354.95,2.5867052023121353
2002-09-30,359.0,374.0,341.35,366.6,2.1169916434540452
2002-10-31,366.55,372.0,363.55,365.5,-0.28645478106670613
2002-11-30,374.0,377.9,370.0,370.45,-0.9491978609625699
2002-12-31,365.0,371.0,350.0,356.85,-2.232876712328761
2003-01-31,358.1,374.5,353.75,360.05,0.5445406311086257
2003-02-28,362.2,365.0,354.6,362.0,-0.055218111540582177
2003-03-31,375.0,375.0,339.2,350.0,-6.666666666666667
2003-04-30,343.0,365.0,341.1,344.95,0.5685131195335243
2003-05-31,345.0,373.0,338.1,342.25,-0.7971014492753623
2003-06-30,354.95,378.5,346.2,367.2,3.451190308494154
2003-07-31,377.95,393.85,355.0,372.45,-1.4552189443048023
2003-08-31,372.05,477.5,354.6,477.5,28.342964655288263
2003-09-30,501.4,776.0,501.4,675.75,34.77263661747109
2003-10-31,700.0,700.0,566.0,589.75,-15.75
2003-11-30,600.0,865.0,586.0,781.2,30.200000000000006
2003-12-31,799.9,1287.0,799.9,983.35,22.93411676459558
2004-01-31,1000.0,1266.4,930.0,973.55,-2.6450000000000045
2004-02-29,1005.0,1287.0,932.0,1001.85,-0.31343283582089326
2004-03-31,1000.0,1022.0,750.0,762.8,-23.720000000000002
2004-04-30,765.0,930.0,765.0,880.4,15.084967320261436
2004-05-31,880.0,1030.0,743.0,870.35,-1.0965909090909065
2004-06-30,870.0,899.0,791.0,850.0,-2.2988505747126435
2004-07-31,850.05,1050.0,850.0,924.0,8.699488265396159
2004-08-31,925.0,1225.0,901.55,1164.15,25.85405405405406
2004-09-30,1188.9,1440.0,1152.25,1298.8,9.243838842627627
2004-10-31,1316.0,1316.0,1100.0,1230.1,-6.527355623100311
2004-11-30,1234.0,1500.0,1130.0,1437.3,16.474878444084275
2004-12-31,1438.0,1714.0,1265.0,1714.0,19.193324061196105
2005-01-31,1820.0,2071.9,1375.0,1604.85,-11.821428571428575
2005-02-28,1609.0,1719.0,1525.0,1584.1,-1.5475450590428894
2005-03-31,1590.0,1634.7,1400.0,1475.05,-7.2295597484276755
2005-04-30,1525.0,1868.7,1492.0,1740.7,14.144262295081969
2005-05-31,1777.0,2079.95,1691.0,1895.0,6.640405177265054
2005-06-30,1905.0,2090.0,1731.35,1785.1,-6.293963254593181
2005-07-31,1768.35,2025.0,1768.35,1833.65,3.6927078915373195
2005-08-31,1802.0,2149.9,1730.0,1956.0,8.546059933407324
2005-09-30,1961.0,2000.0,1675.0,1770.0,-9.739928607853136
2005-10-31,1815.0,1885.0,1600.0,1746.6,-3.7685950413223193
2005-11-30,1819.9,2100.0,1700.0,1996.55,9.70657728446617
2005-12-31,1955.0,2550.0,1955.0,2542.2,30.035805626598457
2006-01-31,2600.0,3049.0,2500.0,2863.9,10.150000000000002
2006-02-28,2900.0,3499.0,2740.0,3152.35,8.701724137931032
2006-03-31,3229.0,3250.0,2975.0,3090.45,-4.29080210591515
2006-04-30,3123.0,4177.35,3102.0,4177.35,33.760806916426525
2006-05-31,4250.0,4835.0,3790.0,3955.3,-6.9341176470588195
2006-06-30,3999.95,3999.95,590.0,604.95,-84.87606095076188
2006-07-31,606.0,680.0,590.0,630.0,3.9603960396039604
2006-08-31,630.0,939.6,622.0,796.05,26.35714285714285
2006-09-30,799.05,888.5,742.0,761.9,-4.649271009323569
2006-10-31,760.0,782.0,720.2,738.9,-2.776315789473687
2006-11-30,735.5,755.0,600.0,634.35,-13.752549286199862
2006-12-31,634.0,669.0,567.2,597.7,-5.725552050473179
2007-01-31,614.9,740.0,601.2,655.9,6.667750853797366
2007-02-28,650.05,662.0,571.0,607.85,-6.491808322436725
2007-03-31,595.1,645.0,553.0,596.2,0.18484288354898717
2007-04-30,606.9,710.0,580.2,676.05,11.393969352446858
2007-05-31,684.0,697.55,610.0,620.0,-9.35672514619883
2007-06-30,615.0,683.6,575.0,661.6,7.577235772357726
2007-07-31,665.0,680.0,582.0,620.0,-6.7669172932330826
2007-08-31,610.0,625.0,547.2,559.95,-8.204918032786878
2007-09-30,560.0,625.0,550.0,587.5,4.910714285714286
2007-10-31,571.35,597.0,534.0,580.1,1.5314605758291764
2007-11-30,588.9,588.9,500.05,540.0,-8.303616912888433
2007-12-31,531.5,665.0,525.5,655.85,23.396048918156165
2008-01-31,655.0,880.0,415.05,505.45,-22.83206106870229
2008-02-29,508.8,615.0,450.0,608.75,19.644261006289305
2008-03-31,600.0,605.0,455.0,519.7,-13.383333333333326
2008-04-30,528.9,565.0,492.0,534.7,1.0966156173189767
2008-05-31,517.0,585.0,501.1,529.0,2.3210831721470018
2008-06-30,520.0,530.0,464.0,486.0,-6.538461538461538
2008-07-31,485.0,582.0,458.0,577.9,19.154639175257728
2008-08-31,557.0,639.0,557.0,605.6,8.725314183123881
2008-09-30,597.2,610.0,515.0,531.2,-11.051574012056262
2008-10-31,569.65,578.0,400.0,460.0,-19.248661458790483
2008-11-30,455.0,494.0,442.0,465.2,2.241758241758239
2008-12-31,453.0,499.0,433.0,492.2,8.653421633554082
2009-01-31,490.2,518.0,375.65,466.9,-4.753161974704204
2009-02-28,403.0,550.0,378.9,490.05,21.60049627791564
2009-03-31,499.95,588.8,472.1,558.3,11.671167116711665
2009-04-30,563.9,580.0,465.0,538.15,-4.566412484483065
2009-05-31,525.2,651.95,510.0,646.25,23.04836252856054
2009-06-30,637.0,771.4,606.0,650.0,2.0408163265306123
2009-07-31,631.6,700.0,562.0,699.5,10.750474984167191
2009-08-31,698.9,965.0,687.0,831.7,19.001287737873813
2009-09-30,849.9,912.9,752.2,893.05,5.077067890340038
2009-10-31,904.0,1098.0,830.0,996.3,10.210176991150439
2009-11-30,991.0,1078.85,904.3,923.25,-6.836528758829465
2009-12-31,930.0,1052.95,862.0,941.7,1.2580645161290371
2010-01-31,921.05,955.0,840.05,876.25,-4.864013897182558
2010-02-28,870.0,939.0,810.5,859.8,-1.1724137931034535
2010-03-31,847.0,959.0,843.1,863.8,1.98347107438016
2010-04-30,880.0,958.0,865.2,884.85,0.5511363636363662
2010-05-31,886.0,920.0,781.0,817.0,-7.787810383747178
2010-06-30,828.0,1439.65,813.0,1355.5,63.707729468599034
2010-07-31,1350.0,1390.0,1178.6,1242.35,-7.974074074074081
2010-08-31,1250.0,1274.0,1180.0,1226.55,-1.8760000000000037
2010-09-30,1229.9,1275.0,1035.0,1044.7,-15.058134807707946
2010-10-31,1052.1,1188.0,1010.0,1156.05,9.880239520958089
2010-11-30,1156.05,1400.0,1137.0,1195.0,3.369231434626534
2010-12-31,1167.0,1325.0,1167.0,1316.05,12.772065124250211
2011-01-31,1326.0,1326.0,1190.0,1233.0,-7.013574660633484
2011-02-28,1230.0,1234.0,1101.0,1133.15,-7.873983739837391
2011-03-31,1135.0,1240.0,1061.1,1239.9,9.242290748898686
2011-04-30,1211.0,1385.0,1209.0,1303.0,7.597027250206441
2011-05-31,1334.0,1473.0,1223.0,1264.95,-5.176161919040476
2011-06-30,1260.0,1399.0,1216.0,1279.85,1.5753968253968182
2011-07-31,1290.0,1475.0,1274.0,1411.35,9.40697674418604
2011-08-31,1415.0,1425.0,1244.0,1283.6,-9.28621908127209
2011-09-30,1320.0,1355.0,1206.6,1234.25,-6.496212121212121
2011-10-31,1286.95,1290.0,1100.0,1239.4,-3.6947822370721437
2011-11-30,1259.0,1355.25,1183.0,1234.5,-1.9459888800635425
2011-12-31,1240.1,1283.0,1205.0,1222.0,-1.4595597129263698
2012-01-31,1220.0,1649.0,1220.0,1648.8,35.147540983606554
2012-02-29,1653.35,1935.0,1561.1,1893.05,14.497837723410049
2012-03-31,1929.9,2488.7,1850.05,2077.9,7.668791129074045
2012-04-30,2099.9,2649.45,2018.0,2082.3,-0.8381351492928191
2012-05-31,2113.85,2114.0,1525.0,1841.6,-12.879343378196182
2012-06-30,1850.05,1929.9,1625.85,1837.1,-0.6999810815923919
2012-07-31,1857.95,1983.7,1545.6,1594.8,-14.163459727118601
2012-08-31,1600.0,1945.0,1561.1,1864.65,16.540625000000006
2012-09-30,1889.8,1898.75,1650.0,1663.5,-11.9748121494338
2012-10-31,1660.0,1723.0,1513.0,1519.95,-8.436746987951805
2012-11-30,1525.0,1597.5,1345.0,1522.6,-0.15737704918033382
2012-12-31,1514.45,1549.0,1257.7,1314.05,-13.232526659843511
2013-01-31,1321.6,1499.3,1311.1,1345.7,1.8235472154963785
2013-02-28,1368.0,1368.0,929.45,941.8,-31.154970760233923
2013-03-31,950.15,964.0,592.35,650.1,-31.57922433300005
2013-04-30,655.1,752.75,640.1,732.25,11.77682796519615
2013-05-31,733.0,900.0,646.0,835.8,14.024556616643924
2013-06-30,819.0,830.6,645.0,655.45,-19.969474969474966
2013-07-31,659.65,714.95,638.55,685.2,3.8732661259759067
2013-08-31,692.0,923.35,634.0,811.6,17.283236994219656
2013-09-30,809.3,889.0,796.0,879.45,8.667984678116904
2013-10-31,875.2,921.5,821.0,857.1,-2.068098720292507
2013-11-30,854.0,905.0,803.7,834.2,-2.318501170960182
2013-12-31,836.35,902.0,806.0,836.1,-0.029891791713995336
2014-01-31,834.7,847.0,725.2,747.25,-10.476818018449746
2014-02-28,747.0,955.45,726.0,927.45,24.1566265060241
2014-03-31,1112.9,1286.0,1055.6,1104.85,-0.7233354299577843
2014-04-30,1105.0,1167.0,1001.15,1098.25,-0.6108597285067874
2014-05-31,1109.9,1182.0,1049.45,1130.9,1.8920623479592755
2014-06-30,1154.0,1243.8,1091.0,1135.5,-1.6031195840554593
