Date,Open,High,Low,Close,Returns%
2000-01-31,26.7,31.6,22.5,31.6,18.35205992509364
2000-02-29,32.95,46.5,32.95,36.25,10.015174506828519
2000-03-31,37.0,42.2,26.05,39.7,7.297297297297305
2000-04-30,42.9,42.9,30.2,34.5,-19.58041958041958
2000-05-31,36.0,38.9,32.5,36.1,0.27777777777778173
2000-06-30,35.3,36.45,32.0,33.0,-6.515580736543902
2000-07-31,33.45,43.65,32.6,39.5,18.086696562032877
2000-08-31,39.65,39.7,36.1,38.1,-3.909205548549804
2000-09-30,38.0,41.0,34.6,36.2,-4.73684210526315
2000-10-31,36.0,39.0,30.8,38.15,5.972222222222218
2000-11-30,38.45,51.4,37.5,44.55,15.864759427828332
2000-12-31,44.65,52.9,43.05,45.2,1.2318029115341642
2001-01-31,45.5,54.05,43.15,43.75,-3.8461538461538463
2001-02-28,43.0,44.9,35.1,37.0,-13.953488372093023
2001-03-31,37.7,39.95,24.0,24.95,-33.81962864721486
2001-04-30,24.5,34.25,22.95,29.8,21.632653061224495
2001-05-31,30.95,38.8,30.35,36.5,17.93214862681745
2001-06-30,36.95,38.4,29.95,31.45,-14.884979702300415
2001-07-31,34.65,34.65,26.2,27.35,-21.06782106782106
2001-08-31,27.2,31.8,26.5,28.7,5.514705882352941
2001-09-30,29.2,30.0,21.0,25.15,-13.869863013698632
2001-10-31,28.0,29.95,22.3,26.5,-5.357142857142857
2001-11-30,26.25,29.9,26.25,27.7,5.523809523809522
2001-12-31,28.0,28.5,25.0,26.25,-6.25
2002-01-31,26.6,31.1,25.65,29.35,10.338345864661653
2002-02-28,29.1,47.0,28.95,37.4,28.52233676975944
2002-03-31,37.0,42.2,36.25,39.85,7.702702702702706
2002-04-30,40.75,42.0,35.85,36.7,-9.938650306748459
2002-05-31,37.8,41.95,32.25,35.55,-5.9523809523809526
2002-06-30,38.5,48.75,33.9,38.85,0.9090909090909128
2002-07-31,38.05,43.5,33.0,34.1,-10.38107752956635
2002-08-31,34.9,42.0,33.85,35.05,0.42979942693409334
2002-09-30,36.5,37.5,34.05,36.75,0.684931506849315
2002-10-31,36.85,40.0,35.75,36.1,-2.03527815468114
2002-11-30,35.85,40.5,35.55,38.4,7.112970711297063
2002-12-31,38.95,48.0,35.4,44.6,14.505776636713732
2003-01-31,44.8,50.0,41.05,41.85,-6.584821428571419
2003-02-28,44.45,50.0,39.2,43.0,-3.2620922384701974
2003-03-31,43.2,45.0,38.1,39.3,-9.027777777777791
2003-04-30,39.5,50.0,39.5,44.3,12.151898734177207
2003-05-31,45.95,54.75,44.0,52.3,13.819368879216526
2003-06-30,50.05,55.75,48.0,48.7,-2.697302697302686
2003-07-31,49.7,83.8,48.0,80.35,61.670020120724324
2003-08-31,81.6,83.25,70.65,73.65,-9.742647058823517
2003-09-30,74.95,87.4,63.25,71.75,-4.269513008672452
2003-10-31,71.25,89.0,70.75,74.75,4.912280701754386
2003-11-30,76.5,85.9,71.25,83.65,9.346405228758178
2003-12-31,84.0,153.2,84.0,135.65,61.48809523809525
2004-01-31,136.9,179.3,136.9,164.7,20.30679327976624
2004-02-29,164.0,164.0,134.0,139.25,-15.091463414634147
2004-03-31,141.25,153.2,122.15,148.65,5.238938053097349
2004-04-30,149.0,170.55,148.5,156.05,4.731543624161081
2004-05-31,156.0,158.0,105.05,107.65,-30.993589743589737
2004-06-30,109.8,135.0,106.05,129.85,18.26047358834244
2004-07-31,130.1,132.7,107.25,128.0,-1.6141429669484968
2004-08-31,127.0,129.8,109.25,118.8,-6.456692913385829
2004-09-30,120.9,140.4,118.3,129.65,7.237386269644333
2004-10-31,129.45,169.0,128.55,152.8,18.037852452684454
2004-11-30,154.0,173.8,145.1,166.2,7.922077922077914
2004-12-31,167.8,209.4,150.0,185.2,10.369487485101297
2005-01-31,185.0,210.0,170.0,206.05,11.378378378378383
2005-02-28,209.0,256.5,197.6,242.1,15.837320574162677
2005-03-31,239.0,269.75,223.0,237.6,-0.5857740585774083
2005-04-30,237.0,249.95,216.0,230.1,-2.9113924050632933
2005-05-31,232.85,263.0,216.3,239.75,2.963281082241789
2005-06-30,240.0,250.0,226.1,246.75,2.8125
2005-07-31,244.9,273.45,230.0,262.9,7.349938750510401
2005-08-31,264.9,285.0,240.0,249.65,-5.756889392223471
2005-09-30,250.1,292.45,247.15,265.8,6.277489004398248
2005-10-31,265.7,268.0,219.35,239.25,-9.954836281520508
2005-11-30,240.05,274.75,230.1,271.25,12.997292230785249
2005-12-31,270.5,310.9,269.05,286.95,6.081330868761548
2006-01-31,292.0,374.9,286.5,337.05,15.428082191780826
2006-02-28,337.0,364.0,315.0,327.55,-2.8041543026706197
2006-03-31,327.5,425.5,325.05,356.05,8.7175572519084
2006-04-30,358.0,372.0,290.25,347.85,-2.8351955307262506
2006-05-31,350.5,380.0,281.0,285.25,-18.61626248216833
2006-06-30,298.25,313.0,220.15,267.95,-10.159262363788772
2006-07-31,274.0,317.0,249.5,297.65,8.63138686131386
2006-08-31,300.0,359.0,295.0,341.3,13.76666666666667
2006-09-30,340.0,399.0,326.0,379.2,11.52941176470588
2006-10-31,375.0,438.45,372.1,435.9,16.239999999999995
2006-11-30,438.8,514.8,418.15,474.3,8.090246125797629
2006-12-31,479.0,504.8,415.0,469.6,-1.9624217118997864
2007-01-31,471.8,564.9,455.2,534.6,13.310724883425182
2007-02-28,535.5,615.0,415.0,460.7,-13.96825396825397
2007-03-31,466.95,544.0,396.25,490.4,5.021950958346716
2007-04-30,469.95,505.0,435.0,468.2,-0.37238004042983297
2007-05-31,470.0,591.9,469.9,574.95,22.32978723404256
2007-06-30,580.0,628.5,551.3,605.5,4.396551724137931
2007-07-31,624.7,678.8,596.05,625.9,0.19209220425803292
2007-08-31,623.7,643.0,534.0,635.0,1.8117684784351378
2007-09-30,635.0,776.0,612.65,764.6,20.40944881889764
2007-10-31,766.9,956.9,689.0,917.35,19.617942365367067
2007-11-30,925.0,1025.0,870.35,930.65,0.6108108108108083
2007-12-31,936.15,1013.3,902.25,970.45,3.6639427442183483
2008-01-31,970.3,1291.5,848.55,1120.8,15.510666804081213
2008-02-29,1140.0,1150.0,901.0,1022.55,-10.302631578947372
2008-03-31,965.0,998.0,712.5,789.85,-18.15025906735751
2008-04-30,809.0,949.9,695.0,923.55,14.159456118665014
2008-05-31,935.0,969.9,730.25,793.25,-15.16042780748663
2008-06-30,775.0,807.25,586.2,605.05,-21.92903225806452
2008-07-31,610.0,802.0,562.2,653.9,7.1967213114754065
2008-08-31,650.0,801.8,625.0,723.4,11.29230769230769
2008-09-30,720.05,771.6,538.0,720.25,0.027775848899388306
2008-10-31,722.0,774.0,475.0,562.95,-22.02908587257617
2008-11-30,582.3,674.8,352.5,408.5,-29.847157822428297
2008-12-31,412.5,562.0,388.25,504.7,22.351515151515148
2009-01-31,508.5,577.0,380.1,433.7,-14.709931170108163
2009-02-28,433.0,444.4,336.75,347.9,-19.65357967667437
2009-03-31,343.0,434.9,278.25,414.95,20.976676384839646
2009-04-30,420.0,570.0,400.1,557.3,32.69047619047618
2009-05-31,575.0,818.0,572.1,778.95,35.46956521739131
2009-06-30,791.0,900.0,662.15,832.25,5.214917825537294
2009-07-31,838.0,974.4,707.1,917.15,9.445107398568016
2009-08-31,920.5,938.9,796.9,905.3,-1.6512764801738236
2009-09-30,914.0,996.4,881.0,985.15,7.784463894967176
2009-10-31,979.95,1042.0,899.95,907.4,-7.403438950966893
2009-11-30,907.0,1037.95,887.6,999.4,10.187431091510472
2009-12-31,1010.0,1064.0,915.8,989.2,-2.059405940594055
2010-01-31,993.9,1177.7,965.15,1025.7,3.199517054029587
2010-02-28,1026.0,1137.0,995.1,1124.5,9.600389863547758
2010-03-31,1131.0,1215.0,1045.0,1168.25,3.2935455349248453
2010-04-30,1168.0,1287.0,1128.2,1270.0,8.732876712328768
2010-05-31,1268.0,1320.0,1147.15,1232.35,-2.8115141955836034
2010-06-30,1235.0,1277.65,1168.5,1242.4,0.599190283400817
2010-07-31,1242.0,1396.75,1215.05,1343.45,8.1682769726248
2010-08-31,1350.1,1385.7,1150.0,1330.65,-1.4406340271090896
2010-09-30,1330.65,1582.55,1330.65,1536.6,15.477398264006299
2010-10-31,1538.0,1608.5,1427.0,1471.05,-4.353055916775036
2010-11-30,1488.9,1584.0,1297.0,1366.85,-8.197326885620269
2010-12-31,1370.05,1461.0,1229.7,1350.1,-1.4561512353563772
2011-01-31,1365.0,1376.6,1195.0,1242.2,-8.996336996336993
2011-02-28,1253.65,1348.85,1150.0,1218.55,-2.7998245124237333
2011-03-31,1235.0,1443.55,1233.45,1403.85,13.672064777327929
2011-04-30,1410.3,1460.45,1270.3,1286.6,-8.77118343614834
2011-05-31,1297.9,1298.0,1175.0,1282.5,-1.1865320902997218
2011-06-30,1282.25,1316.0,1201.0,1289.55,0.5693117566777114
2011-07-31,1314.0,1342.0,1232.0,1337.5,1.7884322678843227
2011-08-31,1349.0,1367.55,991.8,1072.75,-20.478131949592292
2011-09-30,1104.0,1161.0,1010.6,1018.9,-7.708333333333335
2011-10-31,1003.0,1194.0,945.2,1159.35,15.588235294117638
2011-11-30,1150.0,1156.3,921.1,947.65,-17.595652173913045
2011-12-31,985.1,1052.45,803.3,808.1,-17.96771901329814
2012-01-31,810.0,1088.0,784.0,1075.05,32.722222222222214
2012-02-29,1074.5,1308.45,1053.3,1177.75,9.609120521172638
2012-03-31,1175.0,1283.7,1095.2,1146.2,-2.45106382978723
2012-04-30,1126.0,1226.5,1076.15,1106.95,-1.691829484902305
2012-05-31,1107.2,1127.65,922.0,970.95,-12.305816473988438
2012-06-30,969.8,1072.0,944.1,1015.75,4.738090327902666
2012-07-31,1021.25,1081.4,991.7,1044.15,2.2423500611995193
2012-08-31,1040.25,1122.0,988.55,991.8,-4.657534246575347
2012-09-30,998.15,1174.5,927.25,1136.0,13.810549516605723
2012-10-31,1136.0,1246.15,1008.5,1182.6,4.10211267605633
2012-11-30,1183.0,1324.6,1177.0,1319.9,11.572273879966195
2012-12-31,1314.0,1379.0,1304.5,1356.55,3.2382039573820363
2013-01-31,1369.7,1516.05,1343.05,1505.15,9.88902679418851
2013-02-28,1501.1,1515.0,1333.95,1344.15,-10.455665845046955
2013-03-31,1345.0,1427.7,1277.05,1300.7,-3.293680297397766
2013-04-30,1301.25,1520.0,1198.0,1492.7,14.712776176753124
2013-05-31,1485.1,1549.9,1411.0,1430.55,-3.673153323008549
2013-06-30,1424.0,1444.0,1207.9,1325.2,-6.9382022471910085
2013-07-31,1324.0,1354.9,1015.55,1034.55,-21.861782477341393
2013-08-31,1044.0,1162.5,784.0,832.95,-20.215517241379306
2013-09-30,845.7,1172.8,763.4,1007.85,19.173465768002835
2013-10-31,1017.9,1261.5,1012.95,1222.7,20.11985460261323
2013-11-30,1224.95,1257.4,1010.55,1155.95,-5.632882974815298
2013-12-31,1159.8,1342.6,1158.0,1299.55,12.049491291602001
2014-01-31,1301.5,1325.0,1105.0,1122.95,-13.718786016135226
2014-02-28,1112.1,1271.6,1082.6,1267.05,13.93309954140815
2014-03-31,1260.0,1475.0,1247.6,1460.5,15.912698412698413
