Date,Open,High,Low,Close,Returns%
2000-01-31,49.45,53.2,36.85,37.05,-25.075834175935295
2000-02-29,37.0,50.75,35.0,38.2,3.243243243243251
2000-03-31,39.9,41.0,32.45,35.05,-12.155388471177949
2000-04-30,35.0,35.05,30.05,30.9,-11.714285714285717
2000-05-31,29.25,33.2,28.05,30.5,4.273504273504273
2000-06-30,30.1,34.95,28.5,32.35,7.475083056478405
2000-07-31,31.65,35.0,29.3,34.0,7.4249605055292305
2000-08-31,34.45,36.4,31.75,34.0,-1.3062409288824464
2000-09-30,34.1,36.5,30.05,31.0,-9.090909090909093
2000-10-31,30.65,31.85,27.05,28.0,-8.646003262642738
2000-11-30,28.5,30.8,27.5,29.75,4.385964912280702
2000-12-31,29.2,33.2,28.6,30.0,2.739726027397263
2001-01-31,29.1,32.4,28.65,29.85,2.5773195876288657
2001-02-28,30.15,32.7,28.0,30.5,1.1608623548922103
2001-03-31,30.95,31.5,27.6,28.6,-7.592891760904678
2001-04-30,28.6,30.45,26.5,30.45,6.46853146853146
2001-05-31,28.4,32.0,28.3,30.5,7.394366197183104
2001-06-30,31.4,32.15,29.0,30.0,-4.458598726114645
2001-07-31,29.1,29.1,25.2,25.2,-13.40206185567011
2001-08-31,27.1,29.0,25.5,28.0,3.321033210332098
2001-09-30,27.05,27.05,24.5,26.0,-3.881700554528653
2001-10-31,26.0,30.0,25.1,29.4,13.076923076923073
2001-11-30,31.0,37.0,29.0,35.9,15.806451612903222
2001-12-31,35.0,36.6,31.8,33.55,-4.142857142857151
2002-01-31,33.6,41.7,33.0,40.35,20.08928571428571
2002-02-28,38.55,57.0,38.0,44.25,14.78599221789884
2002-03-31,46.0,56.6,44.1,48.15,4.673913043478258
2002-04-30,47.05,55.4,45.25,53.2,13.071200850159418
2002-05-31,45.0,74.9,42.6,55.0,22.22222222222222
2002-06-30,52.0,64.9,52.0,59.2,13.84615384615385
2002-07-31,59.05,64.9,44.0,47.45,-19.644369178662146
2002-08-31,47.9,54.7,45.85,51.0,6.471816283924846
2002-09-30,49.25,51.0,42.25,49.5,0.5076142131979695
2002-10-31,49.5,51.25,41.4,47.7,-3.6363636363636305
2002-11-30,46.6,52.0,42.7,47.0,0.8583690987124433
2002-12-31,46.55,52.0,45.2,48.1,3.3297529538131134
2003-01-31,49.5,53.85,45.0,48.5,-2.0202020202020203
2003-02-28,48.4,60.0,46.2,51.0,5.371900826446283
2003-03-31,49.5,51.0,47.05,47.55,-3.939393939393945
2003-04-30,47.8,52.45,47.5,50.55,5.7531380753138075
2003-05-31,53.75,60.85,50.0,60.25,12.093023255813954
2003-06-30,62.0,67.1,57.5,60.6,-2.25806451612903
2003-07-31,62.0,68.0,46.5,59.3,-4.354838709677424
2003-08-31,70.0,72.0,55.5,65.9,-5.857142857142849
2003-09-30,65.5,80.0,61.05,63.25,-3.435114503816794
2003-10-31,63.85,72.35,62.5,68.55,7.3610023492560614
2003-11-30,69.0,82.0,67.0,81.65,18.33333333333334
2003-12-31,85.95,103.0,79.05,93.4,8.667830133798722
2004-01-31,97.7,100.0,79.5,79.95,-18.167860798362334
2004-02-29,82.7,92.0,72.45,75.4,-8.827085852478836
2004-03-31,73.8,77.0,67.0,76.4,3.523035230352315
2004-04-30,77.25,89.0,68.0,86.0,11.326860841423947
2004-05-31,86.15,92.0,70.0,83.4,-3.1921067904817177
2004-06-30,85.0,87.9,68.0,86.05,1.2352941176470555
2004-07-31,86.0,92.5,83.0,85.55,-0.5232558139534916
2004-08-31,86.95,95.5,86.25,90.5,4.082806210465781
2004-09-30,90.0,105.45,90.0,104.65,16.277777777777782
2004-10-31,104.0,123.0,102.5,111.35,7.067307692307687
2004-11-30,111.0,134.8,107.0,130.2,17.297297297297288
2004-12-31,129.0,137.0,120.0,129.3,0.23255813953489254
2005-01-31,129.5,137.9,118.15,135.05,4.2857142857142945
2005-02-28,136.45,172.0,133.1,157.8,15.646757053865903
2005-03-31,150.05,176.75,150.05,167.0,11.2962345884705
2005-04-30,168.5,189.0,164.1,184.9,9.732937685459943
2005-05-31,189.0,239.05,180.0,230.05,21.719576719576725
2005-06-30,231.0,282.0,226.1,280.3,21.341991341991346
2005-07-31,282.0,314.0,270.5,300.3,6.489361702127663
