Date,Open,High,Low,Close,Returns%
2000-01-31,43.2,43.2,29.6,30.0,-30.555555555555557
2000-02-29,29.7,30.25,24.0,25.5,-14.14141414141414
2000-03-31,26.0,26.0,19.6,24.5,-5.769230769230769
2000-04-30,25.0,25.75,20.3,21.65,-13.400000000000004
2000-05-31,21.05,23.8,20.0,22.95,9.026128266033247
2000-06-30,22.0,25.0,19.1,22.75,3.409090909090909
2000-07-31,22.0,22.95,18.35,19.7,-10.454545454545457
2000-08-31,20.0,23.1,18.5,22.05,10.250000000000004
2000-09-30,22.0,24.0,19.65,22.3,1.3636363636363669
2000-10-31,21.25,23.5,18.6,22.0,3.5294117647058822
2000-11-30,22.5,25.35,21.55,24.45,8.666666666666664
2000-12-31,24.05,27.5,23.5,24.3,1.0395010395010396
2001-01-31,24.2,30.0,23.1,26.4,9.090909090909088
2001-02-28,25.05,39.9,24.0,30.2,20.558882235528937
2001-03-31,31.9,32.8,24.5,26.0,-18.49529780564263
2001-04-30,26.0,26.0,20.5,22.2,-14.615384615384617
2001-05-31,23.0,32.5,22.8,31.9,38.69565217391304
2001-06-30,31.0,31.0,25.0,25.8,-16.774193548387093
2001-07-31,26.25,28.0,21.05,21.05,-19.809523809523807
2001-08-31,23.85,23.85,23.85,23.85,0.0
2001-09-30,23.0,23.0,16.25,22.45,-2.39130434782609
2001-10-31,21.5,22.0,19.5,20.5,-4.651162790697675
2001-11-30,20.5,23.75,20.5,21.9,6.82926829268292
2001-12-31,23.05,29.5,23.0,24.3,5.422993492407809
2002-01-31,25.0,33.0,23.0,29.65,18.599999999999994
2002-02-28,30.5,61.75,30.25,44.8,46.88524590163934
2002-03-31,43.2,44.9,28.7,35.85,-17.01388888888889
2002-04-30,37.9,59.0,37.0,46.3,22.163588390501317
2002-05-31,49.8,98.7,48.05,90.55,81.8273092369478
2002-06-30,92.4,115.0,82.0,104.75,13.36580086580086
2002-07-31,105.0,109.0,81.5,85.95,-18.142857142857142
2002-08-31,88.0,98.3,80.0,90.85,3.238636363636357
2002-09-30,91.05,94.8,73.45,82.3,-9.610104338275672
2002-10-31,81.6,92.25,78.1,81.1,-0.6127450980392157
2002-11-30,82.0,83.0,65.5,73.45,-10.42682926829268
2002-12-31,76.2,95.5,75.0,85.7,12.46719160104987
2003-01-31,86.9,96.0,76.25,80.05,-7.882623705408525
2003-02-28,79.25,86.5,77.0,78.5,-0.9463722397476341
2003-03-31,79.0,85.0,68.0,70.2,-11.139240506329111
2003-04-30,70.25,86.0,70.25,78.9,12.313167259786486
2003-05-31,76.3,97.7,76.3,95.05,24.574049803407604
2003-06-30,107.4,107.4,90.0,91.2,-15.083798882681565
2003-07-31,91.45,98.0,84.25,89.5,-2.1323127392017525
2003-08-31,92.1,97.0,88.0,89.95,-2.3344191096634
2003-09-30,90.0,109.0,83.15,85.15,-5.388888888888882
2003-10-31,93.0,123.5,93.0,96.25,3.4946236559139785
2003-11-30,98.1,134.0,97.0,126.2,28.644240570846087
2003-12-31,129.0,163.0,125.0,137.2,6.356589147286813
2004-01-31,139.0,156.0,109.0,127.85,-8.021582733812952
2004-02-29,121.5,126.9,113.5,114.3,-5.925925925925927
2004-03-31,111.0,121.9,90.2,102.8,-7.387387387387389
2004-04-30,104.9,118.0,98.05,101.0,-3.7178265014299385
2004-05-31,103.0,109.0,66.0,75.8,-26.407766990291268
2004-06-30,65.15,86.0,55.2,71.5,9.746738296239437
2004-07-31,74.5,91.5,63.0,82.15,10.268456375838934
2004-08-31,81.3,92.8,79.4,88.75,9.163591635916362
2004-09-30,88.05,114.95,87.5,111.0,26.064735945485527
2004-10-31,111.75,145.0,111.75,129.45,15.838926174496635
2004-11-30,127.0,171.15,126.0,163.85,29.01574803149606
2004-12-31,165.0,175.0,150.0,157.25,-4.696969696969697
2005-01-31,159.75,165.0,129.15,161.85,1.3145539906103252
2005-02-28,159.25,215.0,159.25,198.1,24.395604395604394
2005-03-31,197.0,234.65,181.1,209.2,6.192893401015223
2005-04-30,190.35,270.0,190.35,238.7,25.400577882847383
2005-05-31,241.0,319.9,229.1,311.65,29.315352697095427
2005-06-30,311.0,369.0,280.0,311.85,0.27331189710611664
2005-07-31,314.0,367.5,305.5,353.8,12.675159235668792
2005-08-31,352.1,438.0,342.0,407.85,15.833570008520306
2005-09-30,405.0,468.0,371.5,447.25,10.432098765432098
2005-10-31,432.05,496.0,390.0,409.3,-5.26559425992362
2005-11-30,404.0,505.0,403.0,474.3,17.400990099009903
2005-12-31,475.0,590.0,457.0,556.55,17.16842105263157
2006-01-31,557.0,599.4,530.1,563.95,1.2477558348294515
2006-02-28,525.85,585.0,506.05,577.7,9.860226300275746
2006-03-31,560.0,675.0,560.0,590.4,5.428571428571424
2006-04-30,591.0,616.0,531.0,562.2,-4.8730964467005
2006-05-31,560.0,600.0,401.0,416.55,-25.616071428571427
2006-06-30,420.0,460.0,311.65,419.75,-0.05952380952380952
2006-07-31,435.0,449.0,337.0,371.1,-14.689655172413788
2006-08-31,377.0,448.45,365.1,391.5,3.8461538461538463
2006-09-30,392.0,439.0,374.5,430.7,9.872448979591834
2006-10-31,426.0,454.0,399.8,418.85,-1.6784037558685392
2006-11-30,417.9,442.0,380.0,412.3,-1.3400335008375128
2006-12-31,412.0,456.55,371.6,420.7,2.1116504854368903
2007-01-31,413.7,488.0,383.35,447.25,8.109741358472325
2007-02-28,445.0,482.0,400.0,404.75,-9.044943820224718
2007-03-31,415.0,454.0,386.5,414.9,-0.024096385542174154
2007-04-30,409.0,449.95,388.2,409.8,0.19559902200489276
2007-05-31,435.0,438.0,401.1,432.0,-0.6896551724137931
2007-06-30,435.0,474.8,405.0,444.75,2.2413793103448274
2007-07-31,450.0,495.6,403.0,428.3,-4.82222222222222
2007-08-31,435.0,439.2,386.0,407.95,-6.218390804597703
2007-09-30,419.95,485.0,389.4,448.35,6.762709846410296
2007-10-31,456.0,561.0,400.0,541.95,18.848684210526322
2007-11-30,559.4,734.4,460.0,588.2,5.14837325706115
2007-12-31,595.0,723.0,580.0,671.35,12.831932773109246
2008-01-31,669.9,684.7,355.0,416.35,-37.84893267651888
2008-02-29,430.0,449.0,375.4,404.5,-5.930232558139535
2008-03-31,396.0,404.8,338.0,371.05,-6.300505050505048
2008-04-30,368.0,434.95,358.1,415.05,12.785326086956525
2008-05-31,412.6,425.9,361.0,394.4,-4.411051866214262
2008-06-30,404.0,433.0,355.05,385.0,-4.702970297029703
2008-07-31,378.75,434.0,345.0,400.35,5.702970297029709
2008-08-31,406.95,430.0,380.6,390.85,-3.956259982798861
2008-09-30,385.4,434.7,270.85,320.25,-16.904514789828745
2008-10-31,316.5,339.95,212.25,244.1,-22.87519747235387
2008-11-30,250.0,284.0,205.0,206.65,-17.339999999999996
2008-12-31,216.0,263.4,201.0,250.0,15.74074074074074
2009-01-31,239.0,272.0,216.0,229.55,-3.9539748953974847
2009-02-28,225.05,258.9,223.05,227.0,0.8664741168629142
2009-03-31,233.0,275.0,210.55,237.35,1.8669527896995683
2009-04-30,239.0,318.0,239.0,279.15,16.79916317991631
2009-05-31,280.0,448.0,275.05,440.85,57.44642857142858
2009-06-30,448.9,493.0,401.15,451.35,0.5457785698373904
2009-07-31,454.95,473.0,403.05,433.3,-4.7587646994175135
2009-08-31,433.3,523.0,416.3,506.95,16.99746134318024
2009-09-30,510.0,539.8,470.0,490.75,-3.7745098039215685
2009-10-31,496.5,521.0,469.0,475.25,-4.279959718026183
2009-11-30,476.0,536.85,451.15,527.35,10.787815126050424
2009-12-31,535.0,583.8,520.0,571.5,6.822429906542056
2010-01-31,578.0,753.9,552.65,592.8,2.5605536332179852
2010-02-28,570.1,654.4,570.1,588.3,3.192422382038227
2010-03-31,590.0,630.0,576.5,598.75,1.4830508474576272
2010-04-30,602.0,685.0,592.55,658.7,9.418604651162799
2010-05-31,665.75,665.75,563.0,621.45,-6.654149455501307
2010-06-30,621.45,680.0,585.55,627.55,0.9815753479764918
2010-07-31,628.0,692.6,519.7,646.65,2.969745222929933
2010-08-31,648.9,750.0,648.9,680.8,4.916011712128213
2010-09-30,677.0,732.9,640.05,653.1,-3.530280649926141
2010-10-31,653.1,688.3,612.3,652.3,-0.12249272699434516
2010-11-30,650.1,677.0,575.0,606.0,-6.78357175819105
2010-12-31,597.0,645.8,546.0,585.6,-1.9095477386934636
2011-01-31,582.1,651.4,528.0,533.75,-8.306132966844187
2011-02-28,549.0,565.0,500.05,534.1,-2.7140255009107426
2011-03-31,535.0,559.95,492.6,548.85,2.5887850467289764
2011-04-30,550.0,627.5,538.0,594.25,8.045454545454545
2011-05-31,606.0,606.0,520.0,565.8,-6.633663366336641
2011-06-30,576.0,616.6,563.0,606.45,5.286458333333341
2011-07-31,607.0,680.0,603.6,667.85,10.024711696869854
2011-08-31,669.0,690.3,593.05,636.65,-4.835575485799705
2011-09-30,630.05,679.0,591.0,597.05,-5.237679549242124
2011-10-31,597.0,611.8,570.05,589.6,-1.239530988274703
2011-11-30,595.0,600.0,468.7,537.15,-9.722689075630255
2011-12-31,550.0,550.0,472.0,473.0,-14.0
2012-01-31,477.0,538.0,461.25,525.15,10.094339622641506
2012-02-29,525.5,585.2,521.0,553.2,5.271170313986688
2012-03-31,552.0,554.9,520.0,533.7,-3.3152173913043397
2012-04-30,545.0,572.0,533.25,553.85,1.6238532110091786
2012-05-31,561.0,589.0,528.5,576.5,2.762923351158645
2012-06-30,570.0,591.85,552.55,578.05,1.412280701754378
2012-07-31,580.0,612.0,552.0,570.0,-1.7241379310344827
2012-08-31,588.95,636.0,566.0,615.6,4.525002122421254
2012-09-30,615.65,624.95,558.0,604.5,-1.8110939657272764
2012-10-31,606.0,663.0,581.2,635.6,4.8844884488448885
2012-11-30,635.55,707.0,620.0,665.6,4.728188183463153
2012-12-31,676.55,695.0,635.0,668.85,-1.1381272633212522
2013-01-31,677.95,700.0,642.4,662.45,-2.2863042997271186
2013-02-28,666.95,670.0,610.35,612.7,-8.134043031711522
2013-03-31,620.0,640.0,574.0,605.2,-2.387096774193541
2013-04-30,612.5,683.9,609.35,672.9,9.861224489795916
2013-05-31,683.0,715.0,367.0,377.55,-44.72181551976574
2013-06-30,387.0,394.35,355.05,378.55,-2.1834625322997385
2013-07-31,394.85,394.85,325.0,331.7,-15.993415220969997
2013-08-31,327.15,343.9,307.8,327.75,0.1834021091242619
2013-09-30,332.0,343.35,306.0,306.5,-7.680722891566265
2013-10-31,308.95,314.85,298.1,308.45,-0.1618384851917786
2013-11-30,308.0,332.0,296.1,305.65,-0.7629870129870203
2013-12-31,310.25,325.0,300.0,319.55,2.997582594681712
2014-01-31,321.0,335.0,299.9,300.65,-6.339563862928356
2014-02-28,300.0,308.95,285.0,289.6,-3.4666666666666592
2014-03-31,289.6,321.95,287.2,303.55,4.816988950276238
2014-04-30,305.0,361.0,304.05,340.45,11.622950819672129
2014-05-31,340.45,483.0,336.1,447.45,31.428991041268908
2014-06-30,455.0,566.0,454.95,551.95,21.307692307692317
2014-07-31,562.9,605.0,496.45,548.2,-2.6114762835316987
2014-08-31,549.0,595.5,507.0,576.85,5.072859744990897
2014-09-30,577.0,649.9,571.6,604.7,4.800693240901221
2014-10-31,598.7,640.0,551.95,622.8,4.025388341406365
2014-11-30,622.8,681.4,551.1,611.05,-1.886640976236352
2014-12-31,605.05,624.0,505.0,610.6,0.9172795636724351
2015-01-31,611.0,645.05,582.1,585.0,-4.25531914893617
2015-02-28,585.0,622.0,568.95,581.65,-0.5726495726495765
2015-03-31,593.9,638.65,535.15,560.65,-5.598585620474828
2015-04-30,568.05,612.9,547.0,569.3,0.22005105184402785
2015-05-31,568.95,589.8,541.5,571.7,0.48334651551102903
2015-06-30,577.9,580.0,545.2,559.4,-3.201245890292438
2015-07-31,562.95,654.0,553.25,632.1,12.283506528110841
2015-08-31,632.15,682.0,551.0,599.8,-5.1174562999288185
2015-09-30,604.95,604.95,535.9,557.5,-7.843623439953722
2015-10-31,559.85,594.95,548.5,581.35,3.8403143699205144
2015-11-30,581.35,612.5,549.0,607.25,4.455147501505113
2015-12-31,613.1,639.35,570.55,615.3,0.35883216441036236
2016-01-31,616.0,641.0,547.0,575.45,-6.582792207792201
2016-02-29,590.05,594.0,490.75,497.15,-15.744428438267942
2016-03-31,505.0,580.45,496.0,572.9,13.445544554455441
2016-04-30,562.15,606.2,561.55,575.9,2.4459663790803168
2016-05-31,576.5,592.9,560.95,579.85,0.5810928013876883
2016-06-30,585.0,618.0,570.65,599.85,2.5384615384615423
2016-07-31,606.95,634.0,589.0,625.7,3.0892165746766618
2016-08-31,633.0,716.25,614.1,695.1,9.810426540284363
2016-09-30,703.0,747.2,650.65,674.6,-4.039829302987195
2016-10-31,675.0,791.3,671.2,785.1,16.311111111111114
2016-11-30,794.0,994.0,702.1,984.75,24.023929471032744
2016-12-31,998.0,1147.0,227.5,235.8,-76.37274549098197
2017-01-31,239.0,246.9,223.1,224.9,-5.899581589958157
2017-02-28,224.4,226.0,202.0,211.6,-5.704099821746886
2017-03-31,213.0,245.7,207.7,234.75,10.211267605633802
2017-04-30,236.7,251.95,229.05,235.85,-0.35910435149978637
2017-05-31,237.3,244.8,210.6,236.3,-0.4214075010535187
2017-06-30,237.0,239.9,212.4,218.35,-7.869198312236289
2017-07-31,218.9,275.0,217.45,250.35,14.367291000456826
2017-08-31,251.0,255.0,220.3,239.8,-4.462151394422306
2017-09-30,241.85,249.0,215.1,217.45,-10.088898077320655
2017-10-31,220.95,241.8,215.0,236.0,6.811495813532479
2017-11-30,239.0,299.95,236.0,279.05,16.75732217573222
2017-12-31,281.2,283.4,238.0,273.85,-2.6137980085348387
2018-01-31,275.9,283.35,239.1,239.85,-13.066328379847766
2018-02-28,240.1,250.0,220.05,231.35,-3.6443148688046647
2018-03-31,230.1,235.9,211.0,216.9,-5.736636245110817
2018-04-30,219.6,227.65,215.1,220.25,0.29599271402550353
2018-05-31,220.4,233.5,204.55,228.6,3.7205081669691418
2018-06-30,228.95,230.2,205.1,209.75,-8.386110504476955
2018-07-31,209.5,225.0,206.0,220.7,5.346062052505961
2018-08-31,220.7,230.9,217.4,229.95,4.191209787041233
2018-09-30,231.0,231.05,185.5,187.55,-18.809523809523807
2018-10-31,189.0,200.2,177.5,194.7,3.01587301587301
2018-11-30,195.0,209.4,187.05,188.45,-3.358974358974365
2018-12-31,190.15,213.0,177.35,203.3,6.915592952931898
2019-01-31,201.4,206.7,184.0,188.2,-6.554121151936454
2019-02-28,186.1,191.0,159.25,176.75,-5.024180548092421
2019-03-31,176.8,197.95,175.0,185.1,4.694570135746597
2019-04-30,188.0,190.4,168.4,170.0,-9.574468085106384
2019-05-31,170.55,203.0,163.0,195.2,14.453239519202565
2019-06-30,193.05,197.45,177.9,182.9,-5.25770525770526
2019-07-31,183.0,184.9,168.1,171.0,-6.557377049180328
2019-08-31,171.8,178.0,161.1,172.0,0.11641443538998174
2019-09-30,172.9,192.5,165.0,167.0,-3.412377096587626
