Date,Open,High,Low,Close,Returns%
2000-01-31,121.9,141.8,100.3,100.3,-17.719442165709605
2000-02-29,93.0,112.0,85.5,87.35,-6.075268817204307
2000-03-31,88.0,92.5,75.0,83.75,-4.829545454545454
2000-04-30,83.0,93.8,78.25,82.0,-1.2048192771084338
2000-05-31,79.0,84.0,74.0,81.9,3.670886075949374
2000-06-30,81.0,89.5,78.0,80.1,-1.111111111111118
2000-07-31,80.05,101.3,80.05,88.75,10.868207370393508
2000-08-31,87.25,102.15,84.15,97.6,11.862464183381084
2000-09-30,100.0,114.0,94.1,96.4,-3.5999999999999943
2000-10-31,98.0,102.0,90.5,97.2,-0.816326530612242
2000-11-30,104.75,104.75,92.0,92.7,-11.503579952267302
2000-12-31,92.5,99.5,87.25,90.0,-2.7027027027027026
2001-01-31,90.9,102.0,90.0,99.6,9.570957095709558
2001-02-28,100.25,113.0,97.6,107.05,6.78304239401496
2001-03-31,101.0,108.0,82.0,88.4,-12.47524752475247
2001-04-30,86.1,91.8,75.0,84.55,-1.8002322880371628
2001-05-31,85.0,109.85,84.3,105.55,24.17647058823529
2001-06-30,104.5,105.0,97.05,100.85,-3.4928229665071826
2001-07-31,93.0,96.2,79.25,86.55,-6.935483870967745
2001-08-31,88.0,88.5,79.8,79.9,-9.204545454545448
2001-09-30,82.0,82.5,71.0,75.9,-7.439024390243896
2001-10-31,75.5,80.9,73.0,74.8,-0.9271523178807984
2001-11-30,74.7,82.5,65.0,79.95,7.028112449799196
2001-12-31,80.2,91.6,79.5,88.7,10.598503740648379
2002-01-31,88.0,93.0,80.25,86.65,-1.5340909090909027
2002-02-28,87.5,104.9,87.5,95.55,9.199999999999998
2002-03-31,97.5,126.0,95.35,120.3,23.38461538461538
2002-04-30,118.95,142.0,111.0,124.4,4.581757040773436
2002-05-31,125.0,148.0,101.1,118.15,-5.479999999999995
2002-06-30,120.1,143.0,120.0,129.55,7.868442964196517
2002-07-31,130.9,158.4,118.4,122.1,-6.72268907563026
2002-08-31,125.0,139.0,117.0,119.75,-4.2
2002-09-30,124.75,124.75,115.0,115.9,-7.094188376753502
2002-10-31,120.0,120.0,97.3,97.75,-18.541666666666668
2002-11-30,103.0,125.5,87.8,113.75,10.436893203883495
2002-12-31,115.0,125.0,111.0,114.4,-0.5217391304347777
2003-01-31,116.25,119.0,97.5,100.7,-13.376344086021504
2003-02-28,102.0,123.0,98.65,114.85,12.59803921568627
2003-03-31,110.3,120.9,96.1,110.95,0.5893019038984639
2003-04-30,110.55,111.0,99.0,103.45,-6.422433288104925
2003-05-31,100.3,126.0,100.0,122.15,21.784646061814566
2003-06-30,121.5,151.6,121.5,138.1,13.662551440329214
2003-07-31,133.0,168.5,129.0,160.45,20.639097744360896
2003-08-31,158.7,189.8,148.1,179.55,13.137996219281678
2003-09-30,163.35,185.25,144.5,156.7,-4.071013161922257
2003-10-31,158.0,178.0,154.0,169.95,7.5632911392405
2003-11-30,173.1,222.0,166.5,219.3,26.68977469670712
2003-12-31,226.4,304.95,185.7,278.7,23.10070671378091
2004-01-31,241.05,294.0,225.15,254.7,5.662725575606711
2004-02-29,260.0,296.0,244.1,288.65,11.019230769230761
2004-03-31,288.0,314.0,285.0,303.95,5.53819444444444
2004-04-30,307.0,525.0,304.0,442.25,44.05537459283388
2004-05-31,443.0,450.0,255.0,290.55,-34.41309255079006
2004-06-30,300.0,314.0,252.5,289.0,-3.6666666666666665
2004-07-31,288.0,351.85,274.0,344.6,19.652777777777786
2004-08-31,348.0,446.9,338.15,421.6,21.149425287356326
2004-09-30,424.0,427.7,364.0,388.6,-8.34905660377358
2004-10-31,390.0,418.0,361.0,377.9,-3.1025641025641084
2004-11-30,378.0,435.4,358.1,422.0,11.640211640211641
2004-12-31,410.0,541.0,410.0,535.8,30.682926829268283
2005-01-31,540.0,608.7,515.0,583.55,8.064814814814806
2005-02-28,589.9,726.0,577.0,673.95,14.248177657230052
2005-03-31,676.95,729.8,64.05,69.3,-89.76290715710171
2005-04-30,69.95,72.0,55.0,56.8,-18.799142244460334
2005-05-31,58.0,67.1,54.85,56.65,-2.3275862068965543
2005-06-30,57.5,64.35,54.0,63.1,9.739130434782611
2005-07-31,63.5,80.85,62.55,80.0,25.984251968503937
2005-08-31,80.5,95.7,78.8,89.5,11.180124223602485
2005-09-30,89.95,94.45,80.6,88.45,-1.667593107281823
2005-10-31,89.3,91.65,79.0,83.7,-6.270996640537508
2005-11-30,84.1,94.95,83.2,88.65,5.410225921522011
2005-12-31,89.5,117.3,82.6,116.45,30.111731843575424
2006-01-31,118.8,160.85,115.6,150.5,26.68350168350169
2006-02-28,150.0,158.8,140.05,152.6,1.7333333333333296
2006-03-31,152.2,189.9,151.25,187.75,23.35742444152432
2006-04-30,188.0,202.6,155.1,190.4,1.276595744680854
2006-05-31,199.8,200.0,115.0,134.8,-32.53253253253253
2006-06-30,139.0,139.0,89.5,119.8,-13.812949640287771
2006-07-31,119.9,122.5,87.25,93.35,-22.143452877397838
2006-08-31,93.9,122.4,88.55,89.35,-4.8455804046858475
2006-09-30,90.0,104.6,89.0,101.4,12.666666666666671
2006-10-31,101.5,115.45,98.05,103.2,1.6748768472906432
2006-11-30,104.0,107.0,82.05,82.55,-20.625000000000004
2006-12-31,83.25,94.35,76.3,84.35,1.3213213213213144
2007-01-31,85.3,92.0,67.0,67.4,-20.984759671746765
2007-02-28,67.5,69.5,50.0,59.15,-12.370370370370372
2007-03-31,58.6,68.2,52.5,65.8,12.286689419795215
2007-04-30,65.0,75.65,61.2,61.65,-5.153846153846156
2007-05-31,62.0,87.4,60.6,74.35,19.91935483870967
2007-06-30,75.5,82.0,65.55,76.35,1.1258278145695289
2007-07-31,77.9,81.55,64.75,68.2,-12.451861360718873
2007-08-31,67.5,67.7,49.8,59.05,-12.518518518518523
2007-09-30,60.0,87.5,59.05,75.5,25.833333333333332
2007-10-31,75.5,92.5,60.0,80.2,6.225165562913911
2007-11-30,82.5,102.0,74.5,100.9,22.303030303030308
2007-12-31,104.95,119.9,97.8,113.0,7.670319199618864
2008-01-31,115.0,127.9,58.1,75.9,-33.99999999999999
2008-02-29,76.95,101.65,73.25,93.65,21.70240415854451
2008-03-31,93.0,109.9,69.3,80.85,-13.064516129032263
2008-04-30,81.0,109.8,80.0,103.45,27.716049382716054
2008-05-31,105.3,105.9,85.15,91.85,-12.773029439696108
2008-06-30,92.0,94.8,71.0,79.65,-13.423913043478256
2008-07-31,78.1,87.35,68.0,85.55,9.539052496798979
2008-08-31,84.95,98.9,83.5,92.35,8.711006474396694
2008-09-30,91.1,95.75,73.3,81.2,-10.867178924259047
2008-10-31,81.25,82.9,35.55,42.7,-47.44615384615384
2008-11-30,44.0,50.45,30.5,32.2,-26.818181818181813
2008-12-31,33.3,52.1,29.3,49.75,49.399399399399414
2009-01-31,50.6,61.3,37.85,59.9,18.3794466403162
2009-02-28,59.0,62.3,46.0,47.3,-19.830508474576273
2009-03-31,46.0,54.25,42.35,52.8,14.782608695652169
2009-04-30,53.5,78.4,52.05,69.85,30.560747663551393
2009-05-31,71.0,91.95,70.0,87.35,23.0281690140845
2009-06-30,82.0,115.0,82.0,105.3,28.41463414634146
2009-07-31,107.0,121.2,87.45,118.8,11.028037383177567
2009-08-31,119.75,127.8,109.3,116.85,-2.4217118997912364
2009-09-30,119.4,129.2,116.5,122.2,2.345058626465659
2009-10-31,122.5,168.0,118.25,149.05,21.67346938775511
2009-11-30,149.05,150.0,120.2,131.55,-11.741026501174101
2009-12-31,132.35,148.4,127.35,132.75,0.30222893842085813
2010-01-31,132.95,145.4,114.0,120.3,-9.514855208725079
2010-02-28,119.55,126.5,100.1,105.55,-11.710581346716856
2010-03-31,107.0,114.6,90.3,92.25,-13.785046728971963
2010-04-30,92.2,99.6,80.7,83.35,-9.598698481561831
2010-05-31,84.85,84.85,70.0,80.1,-5.598114319387154
2010-06-30,79.9,87.25,75.55,84.45,5.694618272841048
2010-07-31,84.45,88.8,77.55,83.1,-1.5985790408525855
2010-08-31,83.15,89.9,80.5,83.8,0.7817197835237419
2010-09-30,84.8,94.9,84.15,92.7,9.316037735849063
2010-10-31,93.5,95.9,82.6,84.4,-9.73262032085561
2010-11-30,86.7,97.7,71.5,76.05,-12.283737024221459
2010-12-31,77.0,91.4,69.05,87.9,14.155844155844163
2011-01-31,88.5,92.95,69.0,70.6,-20.225988700564976
2011-02-28,70.6,77.4,62.5,66.0,-6.515580736543902
2011-03-31,66.95,73.75,65.9,70.05,4.630321135175495
2011-04-30,70.5,77.6,70.0,74.4,5.53191489361703
2011-05-31,74.4,75.1,56.2,61.9,-16.80107526881721
2011-06-30,62.05,64.6,56.25,62.4,0.5640612409347324
2011-07-31,62.8,67.0,59.3,59.45,-5.33439490445859
2011-08-31,60.0,60.5,51.55,54.4,-9.333333333333336
2011-09-30,54.5,55.95,44.8,46.1,-15.412844036697246
2011-10-31,46.1,56.65,43.5,53.55,16.16052060737526
2011-11-30,52.1,54.25,41.45,43.95,-15.642994241842608
2011-12-31,44.65,45.4,32.55,33.75,-24.412094064949603
2012-01-31,34.0,49.0,33.6,48.8,43.52941176470588
2012-02-29,49.0,55.0,46.4,51.7,5.510204081632659
2012-03-31,51.45,58.1,50.8,57.25,11.273080660835758
2012-04-30,57.5,66.9,50.5,55.0,-4.3478260869565215
2012-05-31,55.0,56.9,47.45,49.6,-9.818181818181817
2012-06-30,49.75,52.0,46.85,51.75,4.0201005025125625
2012-07-31,52.0,62.7,50.75,54.2,4.230769230769236
2012-08-31,54.15,69.1,53.75,67.15,24.007386888273327
2012-09-30,67.85,70.25,59.0,67.3,-0.8106116433308728
2012-10-31,67.3,74.55,64.25,68.25,1.4115898959881172
2012-11-30,68.75,69.2,59.75,63.95,-6.981818181818178
2012-12-31,64.1,65.0,45.7,49.35,-23.010920436817464
2013-01-31,49.5,52.3,42.0,45.7,-7.676767676767671
2013-02-28,45.6,54.4,44.7,47.55,4.276315789473674
2013-03-31,46.2,51.5,42.1,43.6,-5.627705627705629
2013-04-30,43.4,53.85,43.4,47.15,8.640552995391705
2013-05-31,47.05,53.75,47.05,47.95,1.9128586609989495
2013-06-30,47.65,48.95,37.8,38.9,-18.363064008394545
2013-07-31,39.1,43.45,35.25,36.3,-7.161125319693106
