Date,Open,High,Low,Close,Returns%
2000-01-31,124.25,133.0,106.05,117.55,-5.3923541247484925
2000-02-29,125.0,145.0,120.0,125.0,0.0
2000-03-31,125.0,129.0,115.0,115.0,-8.0
2000-04-30,124.2,125.0,111.0,119.0,-4.186795491143319
2000-05-31,125.0,126.75,110.0,115.05,-7.960000000000002
2000-06-30,118.0,119.0,112.0,115.0,-2.542372881355932
2000-07-31,114.0,120.0,110.0,110.0,-3.508771929824561
2000-08-31,110.0,123.95,105.0,114.0,3.6363636363636362
2000-09-30,121.2,165.0,113.0,135.0,11.386138613861384
2000-10-31,140.0,151.0,119.0,138.65,-0.9642857142857102
2000-11-30,134.9,134.9,112.75,129.6,-3.9288361749444114
2000-12-31,134.0,142.0,95.15,96.0,-28.35820895522388
2001-01-31,103.7,119.0,101.0,110.0,6.075216972034713
2001-02-28,110.0,127.0,105.0,118.5,7.7272727272727275
2001-03-31,115.0,115.0,90.0,92.0,-20.0
2001-04-30,84.65,115.0,77.5,103.0,21.677495569994086
2001-05-31,100.0,123.0,90.0,120.0,20.0
2001-06-30,120.0,129.6,100.0,105.0,-12.5
2001-07-31,110.0,110.0,105.0,105.1,-4.4545454545454595
2001-08-31,105.0,110.0,105.0,107.8,2.666666666666664
2001-09-30,105.0,113.8,94.05,113.8,8.38095238095238
2001-10-31,94.5,105.0,87.0,95.0,0.5291005291005291
2001-11-30,95.0,98.0,93.05,98.0,3.1578947368421053
2001-12-31,96.0,104.8,96.0,104.8,9.166666666666664
2002-01-31,98.0,110.0,95.6,105.0,7.142857142857143
2002-02-28,108.2,165.0,107.0,154.0,42.32902033271719
2002-03-31,151.0,164.0,143.0,150.0,-0.6622516556291391
2002-04-30,151.0,159.0,149.75,150.05,-0.6291390728476746
2002-05-31,150.05,157.9,138.75,150.0,-0.03332222592469934
2002-06-30,150.0,166.0,145.0,161.15,7.433333333333336
2002-07-31,163.0,180.5,155.0,165.0,1.2269938650306749
2002-08-31,157.0,158.15,146.05,148.2,-5.6050955414012815
2002-09-30,150.05,155.0,134.05,135.0,-10.02999000333223
2002-10-31,139.0,145.0,120.0,120.0,-13.66906474820144
2002-11-30,120.5,143.95,120.5,143.95,19.460580912863062
2002-12-31,141.0,141.0,135.0,139.8,-0.851063829787226
2003-01-31,139.0,154.9,130.0,130.0,-6.474820143884892
2003-02-28,130.15,139.95,113.0,119.5,-8.182865923933926
2003-03-31,113.1,123.25,96.55,101.95,-9.858532272325368
