Date,Open,High,Low,Close,Returns%
2000-01-31,21.85,21.85,18.4,18.5,-15.33180778032037
2000-02-29,18.8,19.75,16.8,17.8,-5.319148936170213
2000-03-31,18.5,18.9,14.1,15.65,-15.405405405405402
2000-04-30,15.95,16.7,14.1,14.55,-8.77742946708463
2000-05-31,15.0,15.0,11.95,13.05,-12.999999999999996
2000-06-30,13.4,13.65,12.0,12.3,-8.208955223880595
2000-07-31,12.2,12.75,10.55,11.0,-9.836065573770487
2000-08-31,10.8,12.4,9.5,10.0,-7.407407407407414
2000-09-30,10.0,11.0,9.65,9.7,-3.000000000000007
2000-10-31,9.8,10.1,8.8,9.7,-1.0204081632653206
2000-11-30,9.7,12.85,9.55,11.7,20.61855670103093
2000-12-31,11.8,16.25,11.3,14.4,22.03389830508474
2001-01-31,13.6,16.5,13.6,15.05,10.661764705882362
2001-02-28,15.0,21.6,14.4,17.35,15.666666666666677
2001-03-31,17.6,19.4,11.0,11.4,-35.227272727272734
2001-04-30,11.25,13.0,9.15,11.55,2.666666666666673
2001-05-31,12.0,14.85,11.45,14.5,20.833333333333332
2001-06-30,14.6,18.4,13.7,14.5,-0.6849315068493127
2001-07-31,14.55,17.35,14.2,15.6,7.216494845360817
2001-08-31,15.6,18.75,15.6,16.8,7.6923076923077
2001-09-30,17.1,17.45,13.25,14.45,-15.497076023391825
2001-10-31,14.3,17.4,13.0,16.95,18.531468531468523
2001-11-30,17.0,17.3,16.15,16.95,-0.2941176470588277
2001-12-31,16.95,17.1,14.0,15.15,-10.619469026548666
2002-01-31,15.85,17.3,14.15,17.1,7.886435331230295
2002-02-28,17.25,25.8,16.1,20.4,18.260869565217384
2002-03-31,19.75,25.7,19.5,25.0,26.582278481012658
2002-04-30,25.5,31.4,24.2,28.0,9.803921568627452
2002-05-31,28.9,29.0,26.05,27.8,-3.8062283737024147
2002-06-30,28.0,36.0,28.0,33.95,21.250000000000007
2002-07-31,34.1,35.75,25.7,27.25,-20.087976539589445
2002-08-31,27.65,29.1,26.9,27.5,-0.5424954792043348
2002-09-30,27.6,27.9,25.1,25.6,-7.246376811594202
2002-10-31,25.85,28.1,25.4,27.9,7.930367504835578
2002-11-30,28.0,32.0,27.65,30.75,9.821428571428571
2002-12-31,31.0,39.55,30.1,37.0,19.35483870967742
2003-01-31,37.2,46.35,35.1,37.25,0.13440860215053
2003-02-28,37.5,39.8,34.15,35.75,-4.666666666666667
2003-03-31,36.3,39.0,31.1,37.95,4.545454545454562
2003-04-30,37.6,44.45,37.6,42.3,12.499999999999988
2003-05-31,43.2,58.3,42.35,54.85,26.967592592592585
2003-06-30,51.0,54.0,45.4,52.1,2.156862745098042
2003-07-31,49.4,52.65,47.95,49.3,-0.20242914979757373
2003-08-31,49.65,55.6,45.0,53.75,8.257804632426991
2003-09-30,53.5,60.8,47.55,54.45,1.7757009345794446
2003-10-31,54.8,69.9,53.3,62.1,13.321167883211688
2003-11-30,63.0,63.4,52.6,56.5,-10.317460317460318
2003-12-31,57.0,67.0,56.25,66.0,15.789473684210526
2004-01-31,66.65,80.9,58.0,64.5,-3.2258064516129115
2004-02-29,65.0,69.25,55.75,61.55,-5.307692307692312
2004-03-31,61.75,64.7,49.2,58.9,-4.615384615384618
2004-04-30,58.2,83.7,58.2,70.95,21.90721649484536
2004-05-31,71.6,78.3,45.65,54.3,-24.162011173184357
2004-06-30,54.55,60.85,46.1,46.75,-14.298808432630612
2004-07-31,47.0,52.8,42.1,47.95,2.0212765957446868
2004-08-31,48.9,50.35,42.6,45.7,-6.54396728016359
2004-09-30,45.95,54.25,45.7,51.4,11.860718171925996
2004-10-31,51.65,60.0,50.35,50.9,-1.452081316553727
2004-11-30,50.35,78.25,49.1,75.5,49.95034756703078
2004-12-31,76.0,103.0,72.55,94.3,24.07894736842105
2005-01-31,95.2,101.4,72.0,84.5,-11.23949579831933
2005-02-28,85.2,89.9,81.5,88.85,4.284037558685436
2005-03-31,89.85,119.4,86.0,103.65,15.35893155258766
2005-04-30,105.85,107.45,80.35,81.9,-22.62635805384978
2005-05-31,78.8,103.7,78.0,101.25,28.489847715736047
2005-06-30,103.0,111.9,91.15,103.5,0.4854368932038835
2005-07-31,100.0,147.7,100.0,142.55,42.55000000000001
2005-08-31,142.0,147.8,111.25,118.85,-16.302816901408455
2005-09-30,120.0,145.0,111.6,122.9,2.4166666666666714
2005-10-31,128.9,134.0,97.35,107.0,-16.989914662529095
2005-11-30,108.5,120.9,105.3,110.8,2.1198156682027625
2005-12-31,111.0,134.8,108.5,126.9,14.324324324324328
2006-01-31,126.9,143.5,120.65,129.85,2.3246650906225286
2006-02-28,130.05,142.4,116.5,134.25,3.229527104959622
