Date,Open,High,Low,Close,Returns%
2000-01-31,143.0,175.65,134.1,143.75,0.5244755244755245
2000-02-29,143.05,149.0,115.5,118.25,-17.33659559594548
2000-03-31,120.5,129.8,88.0,108.0,-10.37344398340249
2000-04-30,110.5,111.5,85.1,85.35,-22.760180995475118
2000-05-31,81.0,84.95,60.0,77.35,-4.5061728395061795
2000-06-30,78.0,78.0,66.6,67.9,-12.948717948717942
2000-07-31,68.0,74.85,57.5,59.65,-12.279411764705884
2000-08-31,60.4,62.0,54.6,56.45,-6.539735099337741
2000-09-30,57.35,60.0,47.75,48.2,-15.954664341761113
2000-10-31,48.0,49.0,42.3,44.3,-7.708333333333339
2000-11-30,47.5,57.8,44.35,56.15,18.210526315789473
2000-12-31,56.9,74.55,54.05,64.8,13.884007029876976
2001-01-31,65.4,70.0,57.0,63.15,-3.440366972477075
2001-02-28,63.25,73.8,56.35,58.8,-7.035573122529649
2001-03-31,59.75,61.3,38.65,42.25,-29.288702928870293
2001-04-30,42.0,44.0,36.1,36.5,-13.095238095238095
2001-05-31,36.9,45.8,29.9,41.25,11.788617886178866
2001-06-30,41.75,42.4,33.0,34.1,-18.32335329341317
2001-07-31,33.1,36.0,30.0,32.85,-0.755287009063444
2001-08-31,33.5,43.5,30.25,40.15,19.850746268656714
2001-09-30,46.05,46.05,28.55,33.65,-26.927252985884905
2001-10-31,34.0,36.35,25.35,33.35,-1.9117647058823488
2001-11-30,33.15,41.0,32.0,37.3,12.51885369532428
2001-12-31,37.7,43.9,33.0,35.2,-6.63129973474801
2002-01-31,36.1,36.9,33.0,33.35,-7.617728531855955
2002-02-28,33.1,39.0,33.05,34.2,3.3232628398791584
2002-03-31,34.5,48.0,34.0,42.3,22.608695652173907
2002-04-30,39.0,47.8,39.0,40.15,2.948717948717945
2002-05-31,40.75,42.7,35.05,35.25,-13.496932515337424
2002-06-30,36.4,46.85,35.3,43.15,18.543956043956044
2002-07-31,44.0,50.95,36.1,36.95,-16.022727272727266
2002-08-31,38.0,39.5,36.6,37.2,-2.105263157894729
2002-09-30,37.9,38.15,35.0,35.05,-7.519788918205808
2002-10-31,35.0,35.2,32.0,32.6,-6.857142857142853
2002-11-30,32.7,35.85,31.0,35.2,7.64525993883792
2002-12-31,35.65,37.05,33.25,33.75,-5.329593267882184
2003-01-31,33.7,35.85,30.55,31.15,-7.566765578635027
2003-02-28,31.3,31.55,29.05,29.75,-4.952076677316295
2003-03-31,30.2,30.2,26.0,26.1,-13.576158940397343
2003-04-30,26.25,29.35,26.15,26.65,1.5238095238095184
2003-05-31,27.05,41.8,26.65,37.45,38.44731977818855
2003-06-30,37.1,46.4,35.2,44.3,19.407008086253356
2003-07-31,44.0,48.4,38.0,41.8,-5.000000000000006
2003-08-31,38.0,42.2,36.0,37.85,-0.39473684210525944
2003-09-30,38.05,49.9,38.05,44.05,15.768725361366624
2003-10-31,44.7,50.6,39.0,40.35,-9.731543624161075
2003-11-30,40.9,63.4,37.1,59.15,44.62102689486553
2003-12-31,59.85,72.4,57.6,66.5,11.111111111111109
2004-01-31,67.25,68.35,51.25,51.9,-22.825278810408925
2004-02-29,50.0,67.9,48.6,54.9,9.799999999999997
2004-03-31,54.7,61.0,38.1,53.1,-2.925045703839125
2004-04-30,52.0,89.45,48.3,72.0,38.46153846153846
2004-05-31,70.1,75.35,48.4,50.55,-27.88873038516405
2004-06-30,50.2,56.7,46.2,50.6,0.7968127490039811
2004-07-31,50.65,59.9,46.55,55.55,9.674234945705821
2004-08-31,57.0,77.65,55.5,74.15,30.087719298245624
2004-09-30,74.0,78.8,67.5,75.9,2.567567567567575
2004-10-31,76.0,77.75,62.15,69.85,-8.092105263157903
2004-11-30,70.85,86.5,70.1,76.95,8.609738884968257
2004-12-31,77.0,98.9,77.0,92.65,20.32467532467533
2005-01-31,93.7,98.0,82.0,88.7,-5.336179295624333
2005-02-28,90.0,95.9,74.0,85.6,-4.8888888888888955
2005-03-31,86.4,107.4,77.3,82.5,-4.5138888888888955
2005-04-30,85.8,103.65,80.0,84.35,-1.6899766899766933
2005-05-31,85.4,94.25,78.0,83.4,-2.34192037470726
2005-06-30,83.5,93.25,82.0,82.4,-1.3173652694610711
2005-07-31,82.0,128.0,82.0,120.6,47.073170731707314
2005-08-31,120.0,154.45,115.0,146.75,22.291666666666668
2005-09-30,148.15,165.45,140.1,143.55,-3.1049611879851464
2005-10-31,143.5,159.0,133.2,150.4,4.808362369337983
2005-11-30,152.0,193.5,142.1,178.95,17.73026315789473
2005-12-31,179.5,195.25,161.7,179.8,0.16713091922006204
2006-01-31,178.5,204.35,172.2,182.5,2.2408963585434174
2006-02-28,184.5,206.5,172.65,195.75,6.097560975609756
2006-03-31,195.5,248.8,186.4,240.4,22.96675191815857
2006-04-30,242.0,288.6,216.3,272.7,12.685950413223138
2006-05-31,274.0,328.45,196.2,232.2,-15.255474452554747
2006-06-30,235.6,245.5,137.5,177.25,-24.76655348047538
2006-07-31,179.3,183.9,157.25,172.95,-3.541550474065824
2006-08-31,174.0,221.9,166.0,202.4,16.32183908045977
2006-09-30,202.0,225.2,196.3,222.8,10.2970297029703
2006-10-31,224.0,237.0,208.3,212.95,-4.93303571428572
2006-11-30,214.4,220.5,191.1,195.0,-9.048507462686569
2006-12-31,196.4,215.0,184.0,202.9,3.309572301425662
2007-01-31,205.7,234.8,202.75,221.35,7.608167233835686
2007-02-28,224.65,227.5,150.0,156.05,-30.536389939906517
2007-03-31,151.4,163.75,125.0,137.9,-8.91677675033025
2007-04-30,138.9,164.7,134.65,162.5,16.9906407487401
2007-05-31,165.0,190.0,153.0,170.5,3.3333333333333335
2007-06-30,173.7,192.9,160.0,169.4,-2.4755325273459894
2007-07-31,170.1,181.9,159.9,163.15,-4.085831863609635
2007-08-31,156.0,165.0,138.0,158.6,1.666666666666663
2007-09-30,159.9,198.0,157.0,188.25,17.729831144465287
2007-10-31,187.0,250.0,170.9,242.65,29.75935828877006
2007-11-30,245.0,260.9,206.1,226.65,-7.489795918367345
2007-12-31,226.7,294.5,226.7,286.75,26.48875165416851
2008-01-31,292.0,295.0,125.05,166.4,-43.013698630136986
2008-02-29,168.0,182.5,145.0,166.95,-0.6250000000000068
2008-03-31,166.0,167.3,122.65,142.15,-14.367469879518069
2008-04-30,143.8,193.4,138.5,182.95,27.225312934631415
2008-05-31,182.5,189.7,158.0,164.35,-9.945205479452058
2008-06-30,166.0,174.4,134.0,146.2,-11.9277108433735
2008-07-31,142.1,172.5,129.0,148.8,4.714989444053495
2008-08-31,145.9,180.7,145.9,167.25,14.633310486634677
2008-09-30,166.1,178.9,118.0,131.6,-20.770620108368455
2008-10-31,133.0,142.8,85.0,104.35,-21.54135338345865
2008-11-30,106.5,117.0,76.0,83.95,-21.17370892018779
2008-12-31,85.7,109.7,80.3,107.35,25.26254375729287
2009-01-31,108.0,117.9,83.0,88.3,-18.240740740740744
2009-02-28,88.5,92.9,76.1,83.05,-6.158192090395483
2009-03-31,80.0,112.95,80.0,103.95,29.937500000000007
2009-04-30,104.7,132.0,102.6,124.35,18.767908309455578
2009-05-31,124.35,164.6,111.6,148.7,19.581825492561315
2009-06-30,155.0,179.8,142.0,146.4,-5.5483870967741895
2009-07-31,150.4,174.8,136.0,167.7,11.502659574468073
2009-08-31,169.95,178.0,152.2,169.4,-0.32362459546924566
2009-09-30,170.5,208.9,162.1,187.85,10.175953079178884
2009-10-31,189.0,191.0,168.0,170.2,-9.947089947089953
2009-11-30,168.7,187.0,163.2,180.95,7.261410788381744
2009-12-31,181.1,203.5,180.5,197.1,8.83489784649365
2010-01-31,198.6,216.2,175.0,182.0,-8.35850956696878
2010-02-28,182.0,246.55,177.5,234.7,28.956043956043953
2010-03-31,205.25,255.85,205.25,228.1,11.132764920828256
2010-04-30,229.4,303.3,229.4,275.65,20.161290322580633
2010-05-31,260.0,287.75,240.15,260.15,0.057692307692298946
2010-06-30,261.0,287.5,248.15,272.3,4.329501915708817
2010-07-31,273.1,299.4,268.35,286.05,4.741852801171728
2010-08-31,288.0,334.0,286.15,311.65,8.211805555555548
2010-09-30,313.9,365.0,313.9,334.15,6.451099076138898
2010-10-31,335.5,376.7,317.0,336.15,0.19374068554395746
2010-11-30,338.45,391.4,309.0,340.25,0.5318363126015694
2010-12-31,341.0,368.8,318.05,362.2,6.217008797653956
2011-01-31,363.0,419.6,304.6,315.6,-13.057851239669416
2011-02-28,317.1,360.9,296.85,343.4,8.293913591926822
2011-03-31,344.0,399.8,316.25,391.2,13.720930232558137
2011-04-30,392.7,441.5,389.55,427.75,8.925388337153045
2011-05-31,431.15,489.5,410.35,485.85,12.68699988403109
2011-06-30,487.2,619.0,480.5,612.0,25.615763546798036
2011-07-31,615.0,662.5,593.3,659.15,7.178861788617883
2011-08-31,662.5,741.0,562.1,694.2,4.784905660377365
2011-09-30,694.2,719.75,620.15,649.35,-6.460674157303373
2011-10-31,646.0,730.0,612.0,724.55,12.159442724458197
2011-11-30,724.0,733.2,594.35,617.9,-14.654696132596687
2011-12-31,626.0,645.9,492.0,530.05,-15.327476038338665
2012-01-31,535.0,691.5,518.2,687.4,28.485981308411212
2012-02-29,692.0,729.0,651.0,699.85,1.1343930635838184
