Date,Open,High,Low,Close,Returns%
2000-01-31,42.0,43.9,26.45,27.1,-35.47619047619047
2000-02-29,27.05,30.0,20.45,23.25,-14.048059149722738
2000-03-31,23.0,23.5,16.0,18.65,-18.913043478260875
2000-04-30,17.1,24.75,16.0,21.6,26.31578947368421
2000-05-31,21.0,21.0,16.2,20.1,-4.285714285714279
2000-06-30,19.5,21.0,18.0,19.95,2.307692307692304
2000-07-31,19.5,24.0,16.8,17.35,-11.025641025641018
2000-08-31,18.5,21.0,16.3,17.5,-5.405405405405405
2000-09-30,17.5,19.4,14.0,16.75,-4.285714285714286
2000-10-31,17.95,17.95,12.8,14.0,-22.005571030640667
2000-11-30,13.55,18.55,10.5,17.5,29.151291512915122
2000-12-31,17.2,22.95,14.55,18.5,7.558139534883725
2001-01-31,18.05,20.0,15.35,18.45,2.216066481994452
2001-02-28,19.0,29.5,17.9,21.2,11.57894736842105
2001-03-31,21.75,24.7,12.35,17.25,-20.689655172413794
2001-04-30,14.6,21.35,14.55,17.45,19.520547945205475
2001-05-31,18.5,21.0,16.55,16.85,-8.91891891891891
2001-06-30,16.6,17.5,14.05,15.0,-9.638554216867478
2001-07-31,15.5,17.8,12.0,15.0,-3.225806451612903
2001-08-31,15.0,16.05,13.3,13.35,-11.000000000000002
2001-09-30,13.3,14.0,10.8,12.2,-8.270676691729333
2001-10-31,10.05,16.45,10.05,15.75,56.716417910447745
2001-11-30,15.1,20.0,14.35,17.9,18.543046357615886
2001-12-31,18.0,25.4,16.35,19.1,6.111111111111119
2002-01-31,20.0,22.7,17.8,18.4,-8.000000000000007
2002-02-28,18.0,20.5,15.5,16.2,-10.000000000000004
2002-03-31,16.2,18.0,14.45,17.15,5.864197530864193
2002-04-30,17.75,21.0,16.55,17.2,-3.0985915492957785
2002-05-31,17.0,21.6,15.75,17.0,0.0
2002-06-30,17.6,26.9,16.65,23.65,34.374999999999986
2002-07-31,25.0,30.0,17.75,18.45,-26.200000000000003
2002-08-31,18.5,19.9,17.5,18.0,-2.7027027027027026
2002-09-30,18.25,19.9,15.6,16.85,-7.671232876712321
2002-10-31,16.55,17.85,15.8,16.3,-1.510574018126888
2002-11-30,16.0,18.5,16.0,18.25,14.0625
2002-12-31,18.4,19.6,16.5,18.55,0.8152173913043594
2003-01-31,18.5,18.6,14.4,15.75,-14.864864864864865
2003-02-28,15.7,16.05,14.85,15.15,-3.5031847133757896
2003-03-31,15.45,15.6,10.4,11.9,-22.977346278317146
2003-04-30,12.25,14.5,11.7,13.35,8.979591836734691
2003-05-31,13.95,20.0,13.25,18.95,35.842293906810035
2003-06-30,19.85,25.6,18.95,24.7,24.433249370277064
2003-07-31,25.0,38.05,24.75,35.6,42.400000000000006
2003-08-31,36.0,50.7,35.6,48.45,34.58333333333334
2003-09-30,49.0,51.9,35.5,44.15,-9.897959183673471
2003-10-31,44.5,52.4,42.5,50.1,12.58426966292135
2003-11-30,51.15,79.7,49.75,69.15,35.19061583577714
2003-12-31,69.9,84.4,63.1,74.75,6.9384835479256
2004-01-31,75.65,79.95,48.05,53.25,-29.610046265697292
2004-02-29,54.5,63.45,46.95,53.7,-1.4678899082568755
2004-03-31,55.25,65.0,48.7,61.9,12.036199095022623
2004-04-30,62.0,98.45,61.35,96.05,54.91935483870967
2004-05-31,96.65,123.85,85.0,85.8,-11.226073460941551
2004-06-30,85.0,96.75,74.55,92.65,9.000000000000007
2004-07-31,93.05,110.5,90.4,95.55,2.6867275658248255
2004-08-31,96.5,124.45,94.1,123.0,27.46113989637306
2004-09-30,124.5,140.5,121.4,124.05,-0.3614457831325324
2004-10-31,124.7,151.5,123.0,135.75,8.861267040898154
2004-11-30,137.5,149.6,127.25,139.25,1.2727272727272727
2004-12-31,140.75,156.85,135.0,152.75,8.52575488454707
2005-01-31,153.9,196.95,151.0,193.55,25.763482781026642
2005-02-28,193.0,194.55,167.6,179.75,-6.865284974093265
2005-03-31,181.85,201.7,166.35,181.75,-0.054990376684077164
2005-04-30,181.75,188.95,165.6,166.7,-8.280605226960116
2005-05-31,170.0,190.0,148.1,181.85,6.970588235294115
2005-06-30,182.2,189.45,168.35,172.75,-5.186608122941816
2005-07-31,172.5,192.25,166.2,189.6,9.913043478260867
2005-08-31,189.0,234.0,179.2,224.55,18.809523809523814
2005-09-30,221.1,265.0,217.2,245.85,11.194029850746269
2005-10-31,249.0,252.0,205.2,230.55,-7.409638554216863
2005-11-30,240.0,247.0,213.2,230.65,-3.895833333333331
