Date,Open,High,Low,Close,Returns%
2000-01-31,302.2,378.95,260.25,330.3,9.298477829252159
2000-02-29,329.25,427.85,281.0,344.35,4.586180713743363
2000-03-31,342.0,401.0,275.35,320.25,-6.359649122807017
2000-04-30,321.0,325.0,213.45,231.1,-28.006230529595015
2000-05-31,229.95,236.7,170.5,200.25,-12.915851272015653
2000-06-30,216.0,219.75,175.0,183.95,-14.837962962962967
2000-07-31,185.0,208.9,161.0,203.65,10.081081081081084
2000-08-31,202.9,275.0,175.6,240.35,18.45736816165598
2000-09-30,257.0,303.0,237.0,272.7,6.108949416342408
2000-10-31,276.0,276.0,198.1,218.25,-20.92391304347826
2000-11-30,221.0,248.0,200.0,214.0,-3.167420814479638
2000-12-31,206.0,259.65,202.0,228.65,10.995145631067963
2001-01-31,225.0,277.9,213.05,257.85,14.60000000000001
2001-02-28,251.0,254.5,222.0,236.0,-5.9760956175298805
2001-03-31,238.0,240.0,155.25,177.5,-25.42016806722689
2001-04-30,169.0,205.2,150.0,192.45,13.875739644970409
2001-05-31,196.0,258.0,193.0,228.85,16.76020408163265
2001-06-30,231.0,237.0,172.5,180.2,-21.991341991341994
2001-07-31,176.25,191.0,157.5,177.5,0.7092198581560284
2001-08-31,177.0,181.45,85.0,89.05,-49.68926553672316
2001-09-30,87.3,95.05,64.25,71.6,-17.98396334478809
2001-10-31,73.0,75.2,64.0,64.85,-11.164383561643843
2001-11-30,63.7,83.7,60.0,74.3,16.64050235478806
2001-12-31,75.0,84.65,62.15,68.8,-8.26666666666667
2002-01-31,71.5,83.0,65.2,77.5,8.391608391608392
2002-02-28,73.0,89.0,71.25,72.8,-0.2739726027397299
2002-03-31,70.15,91.5,60.1,84.6,20.59871703492514
2002-04-30,86.75,103.0,80.55,90.25,4.034582132564841
2002-05-31,94.0,96.5,62.45,74.15,-21.11702127659574
2002-06-30,74.0,80.85,69.3,72.65,-1.8243243243243166
2002-07-31,73.95,87.85,66.6,68.0,-8.045977011494255
2002-08-31,68.55,72.75,58.3,62.0,-9.555069292487232
2002-09-30,62.5,82.0,58.1,77.35,23.759999999999994
2002-10-31,76.95,83.1,69.0,72.35,-5.977907732293708
2002-11-30,71.55,79.4,68.0,74.85,4.612159329140457
2002-12-31,74.0,89.6,69.25,70.05,-5.337837837837841
2003-01-31,74.9,74.9,62.0,64.65,-13.684913217623498
2003-02-28,67.65,67.65,60.15,62.75,-7.243163340724324
2003-03-31,63.5,67.0,53.05,54.85,-13.622047244094487
2003-04-30,53.05,60.4,52.15,57.0,7.445805843543832
2003-05-31,58.85,70.0,57.25,66.8,13.508920985556491
2003-06-30,66.35,84.7,64.7,80.4,21.175584024114563
2003-07-31,78.05,99.0,71.95,83.7,7.238949391415766
2003-08-31,83.5,96.0,81.5,92.0,10.179640718562874
2003-09-30,90.75,96.0,83.1,93.7,3.250688705234163
2003-10-31,93.1,117.0,93.1,106.8,14.715359828141786
2003-11-30,107.65,154.0,107.0,137.2,27.45006967022757
2003-12-31,139.1,163.0,137.05,155.1,11.502516175413373
2004-01-31,156.0,180.0,142.35,155.15,-0.5448717948717913
2004-02-29,161.0,161.0,134.25,140.0,-13.043478260869565
2004-03-31,164.0,164.0,105.25,125.45,-23.506097560975608
2004-04-30,123.8,141.5,123.8,135.0,9.04684975767367
2004-05-31,123.5,153.05,108.0,147.5,19.4331983805668
2004-06-30,148.0,204.0,120.15,153.0,3.3783783783783785
2004-07-31,153.85,178.0,136.0,168.0,9.197270068248297
