Date,Open,High,Low,Close,Returns%
2000-01-31,405.0,407.0,337.35,382.2,-5.6296296296296315
2000-02-29,380.0,409.0,248.85,274.3,-27.815789473684205
2000-03-31,292.5,292.5,185.0,260.5,-10.94017094017094
2000-04-30,267.0,281.35,175.4,175.4,-34.30711610486891
2000-05-31,178.0,248.0,148.5,205.4,15.393258426966295
2000-06-30,196.1,226.0,180.75,192.4,-1.886792452830183
2000-07-31,196.75,243.0,178.0,180.85,-8.081321473951718
2000-08-31,171.0,190.0,159.0,176.0,2.9239766081871346
2000-09-30,177.5,192.0,153.2,163.25,-8.028169014084508
2000-10-31,157.0,175.9,147.0,172.35,9.777070063694264
2000-11-30,179.7,227.0,176.0,216.5,20.4785754034502
2000-12-31,215.0,264.0,106.25,121.8,-43.348837209302324
2001-01-31,123.8,164.3,121.4,154.8,25.040387722132483
2001-02-28,154.0,209.5,144.35,176.05,14.318181818181824
2001-03-31,177.9,212.9,152.25,191.55,7.672849915682971
2001-04-30,185.0,233.95,173.0,195.05,5.432432432432439
2001-05-31,204.7,215.5,178.0,195.2,-4.6409379579872985
2001-06-30,197.45,199.45,168.25,188.0,-4.786021777665226
2001-07-31,189.8,191.9,163.0,186.15,-1.923076923076926
2001-08-31,185.0,186.95,173.05,174.45,-5.702702702702709
2001-09-30,170.1,173.95,115.0,160.6,-5.584950029394474
2001-10-31,165.0,177.0,150.25,174.7,5.878787878787872
2001-11-30,175.0,198.5,167.35,188.15,7.514285714285717
2001-12-31,190.75,238.3,178.6,190.6,-0.07863695937090731
2002-01-31,191.5,225.5,181.0,215.8,12.689295039164495
2002-02-28,219.0,328.75,218.2,283.9,29.634703196347022
2002-03-31,285.0,336.7,283.25,328.55,15.280701754385968
2002-04-30,331.0,350.7,267.85,292.7,-11.570996978851966
2002-05-31,299.7,312.85,228.35,256.65,-14.364364364364368
2002-06-30,260.6,296.0,241.1,267.3,2.5709900230237865
2002-07-31,262.0,311.4,262.0,291.65,11.316793893129763
2002-08-31,293.25,320.0,265.1,274.8,-6.291560102301786
2002-09-30,276.0,277.0,170.8,172.0,-37.68115942028985
2002-10-31,170.5,220.0,169.35,189.3,11.026392961876839
2002-11-30,190.7,197.9,156.4,190.65,-0.026219192448863633
2002-12-31,193.0,233.9,192.0,216.65,12.253886010362697
2003-01-31,217.45,240.4,185.0,192.0,-11.70383996320993
2003-02-28,194.0,228.6,192.0,223.8,15.360824742268045
2003-03-31,226.0,232.0,204.8,221.95,-1.7920353982300936
2003-04-30,220.25,239.8,220.2,231.05,4.903518728717372
2003-05-31,232.1,272.7,225.0,267.4,15.208961654459277
2003-06-30,271.5,295.4,255.25,284.25,4.696132596685083
2003-07-31,285.9,306.8,240.15,263.9,-7.694998251136762
2003-08-31,268.7,346.0,261.9,333.4,24.07889839970227
2003-09-30,347.7,376.4,280.0,367.45,5.680184066724188
2003-10-31,367.45,384.5,313.35,343.6,-6.490679003946106
2003-11-30,350.0,374.8,338.0,358.15,2.328571428571422
2003-12-31,361.0,466.9,360.0,450.4,24.764542936288084
2004-01-31,454.0,533.0,428.3,464.55,2.3237885462555092
2004-02-29,467.9,501.95,415.0,460.15,-1.6563368241077154
2004-03-31,465.0,519.0,431.0,479.25,3.064516129032258
2004-04-30,482.0,513.25,458.0,470.55,-2.375518672199168
2004-05-31,469.0,500.0,230.0,296.8,-36.71641791044776
2004-06-30,300.0,376.0,298.0,355.4,18.46666666666666
2004-07-31,355.0,375.0,275.7,346.6,-2.3661971830985853
2004-08-31,336.0,362.4,311.0,351.25,4.538690476190476
2004-09-30,353.9,374.4,331.1,351.3,-0.7346708109635395
2004-10-31,354.25,371.2,335.25,346.25,-2.2582921665490474
2004-11-30,344.8,439.8,335.1,392.9,13.950116009280732
2004-12-31,399.8,467.0,397.25,459.25,14.86993496748374
2005-01-31,468.0,474.9,383.0,424.85,-9.220085470085467
2005-02-28,427.0,459.8,410.0,428.2,0.2810304449648685
2005-03-31,435.0,435.0,340.0,353.5,-18.735632183908045
2005-04-30,354.4,381.75,344.6,346.65,-2.1867945823927766
2005-05-31,352.1,402.0,351.0,390.8,10.991195683044586
2005-06-30,390.9,400.0,361.1,367.3,-6.037349705807102
