Date,Open,High,Low,Close,Returns%
2000-01-31,705.0,920.0,705.0,746.75,5.921985815602837
2000-02-29,751.0,759.0,605.0,611.5,-18.575233022636485
2000-03-31,625.0,675.0,462.0,619.8,-0.8320000000000073
2000-04-30,612.0,618.0,491.1,505.45,-17.41013071895425
2000-05-31,502.0,635.0,481.1,620.25,23.55577689243028
2000-06-30,600.0,647.0,565.0,596.85,-0.5249999999999962
2000-07-31,615.0,724.0,592.0,715.05,16.268292682926823
2000-08-31,710.0,715.0,657.05,668.5,-5.845070422535211
2000-09-30,670.1,710.0,625.0,659.85,-1.5296224444112818
2000-10-31,651.0,812.9,650.0,756.35,16.182795698924735
2000-11-30,774.0,834.9,765.1,830.65,7.319121447028421
2000-12-31,820.0,834.95,725.55,802.4,-2.146341463414637
2001-01-31,820.0,824.0,728.0,797.55,-2.7378048780487863
2001-02-28,799.9,823.0,716.1,733.7,-8.27603450431303
2001-03-31,721.5,749.0,645.0,699.05,-3.111573111573118
2001-04-30,680.0,714.9,631.95,694.75,2.1691176470588234
2001-05-31,665.0,695.0,628.0,642.2,-3.4285714285714217
2001-06-30,647.0,674.45,592.55,613.55,-5.170015455950548
2001-07-31,610.05,679.9,555.0,580.9,-4.778296860913037
2001-08-31,572.05,589.5,545.0,563.6,-1.4771436063281063
2001-09-30,560.1,579.0,460.0,504.9,-9.855382967327271
2001-10-31,500.0,552.0,475.1,529.05,5.809999999999991
2001-11-30,523.5,594.9,520.1,575.2,9.875835721107936
2001-12-31,575.5,643.0,565.1,609.9,5.9774109470026024
2002-01-31,595.0,614.0,568.0,570.55,-4.109243697478999
2002-02-28,597.0,598.0,536.05,566.45,-5.117252931323275
2002-03-31,565.0,583.9,521.0,543.9,-3.734513274336287
2002-04-30,550.0,555.0,522.75,538.65,-2.063636363636368
2002-05-31,525.55,576.0,510.9,524.1,-0.27590143659022587
2002-06-30,530.0,555.0,502.55,515.7,-2.6981132075471614
2002-07-31,510.1,558.0,482.0,513.55,0.6763379729464677
