Date,Open,High,Low,Close,Returns%
2000-01-31,450.0,504.0,313.0,329.45,-26.78888888888889
2000-02-29,330.0,356.0,248.0,255.9,-22.454545454545453
2000-03-31,262.0,302.0,184.5,193.55,-26.12595419847328
2000-04-30,197.0,197.0,84.5,84.5,-57.10659898477157
2000-05-31,78.0,103.8,68.0,87.05,11.6025641025641
2000-06-30,89.9,131.0,85.0,111.8,24.360400444938808
2000-07-31,116.0,116.0,75.15,78.15,-32.62931034482758
2000-08-31,76.0,109.7,61.5,109.7,44.3421052631579
2000-09-30,117.9,126.0,75.0,76.0,-35.538592027141654
2000-10-31,74.9,81.95,65.0,65.85,-12.082777036048078
2000-11-30,71.0,78.9,65.0,68.3,-3.8028169014084545
2000-12-31,68.0,71.95,48.0,53.4,-21.47058823529412
2001-01-31,51.5,77.4,45.3,65.0,26.21359223300971
2001-02-28,62.25,67.0,44.25,49.0,-21.285140562248998
2001-03-31,51.45,51.95,27.25,27.8,-45.966958211856166
2001-04-30,27.25,31.0,20.5,24.0,-11.926605504587156
2001-05-31,25.9,35.0,21.45,30.1,16.216216216216228
2001-06-30,30.6,31.0,21.0,25.1,-17.973856209150327
2001-07-31,26.9,26.9,19.0,20.95,-22.11895910780669
2001-08-31,19.5,20.0,18.0,18.4,-5.6410256410256485
2001-09-30,19.0,19.0,17.0,18.0,-5.2631578947368425
2001-10-31,16.9,18.7,15.0,17.75,5.029585798816577
2001-11-30,17.75,40.4,17.7,34.0,91.54929577464789
2001-12-31,35.0,47.6,31.65,46.2,32.00000000000001
2002-01-31,54.9,127.75,54.9,93.65,70.58287795992716
2002-02-28,95.6,102.0,69.0,72.2,-24.476987447698736
2002-03-31,73.0,139.7,68.0,122.0,67.12328767123287
2002-04-30,124.9,234.8,121.0,198.0,58.526821457165724
2002-05-31,200.0,201.8,136.15,185.4,-7.299999999999998
2002-06-30,187.1,200.0,157.0,173.85,-7.081774452164618
2002-07-31,174.7,186.8,69.1,77.65,-55.55237550085861
2002-08-31,81.6,135.4,72.0,125.1,53.30882352941177
2002-09-30,127.5,157.9,113.6,146.45,14.862745098039207
2002-10-31,142.9,167.2,131.25,151.55,6.053184044786568
2002-11-30,153.25,171.9,141.6,170.45,11.223491027732456
2002-12-31,171.7,182.0,150.6,171.3,-0.2329644729178668
2003-01-31,172.25,200.4,154.0,168.75,-2.0319303338171264
2003-02-28,170.0,196.5,169.9,188.9,11.117647058823533
2003-03-31,192.0,194.0,137.25,139.8,-27.187499999999996
2003-04-30,142.85,171.7,110.1,137.8,-3.53517675883793
2003-05-31,136.7,161.5,120.05,135.4,-0.9509875640087659
2003-06-30,138.0,165.9,134.9,158.85,15.10869565217391
2003-07-31,159.5,193.4,155.0,176.15,10.438871473354235
2003-08-31,176.95,234.25,167.3,221.9,25.40265611754734
2003-09-30,226.0,266.25,189.2,253.8,12.300884955752217
2003-10-31,251.5,270.9,218.2,248.45,-1.2127236580516945
2003-11-30,251.0,263.9,230.0,249.3,-0.677290836653382
2003-12-31,254.0,339.9,254.0,321.15,26.43700787401574
2004-01-31,323.25,344.5,246.55,261.75,-19.02552204176334
2004-02-29,261.0,285.4,235.1,252.0,-3.4482758620689653
2004-03-31,254.0,264.9,193.15,208.3,-17.992125984251963
2004-04-30,210.5,324.0,210.5,313.05,48.71733966745844
2004-05-31,320.0,369.9,233.6,314.7,-1.6562500000000036
2004-06-30,321.35,340.95,288.0,324.25,0.9024428193558354
2004-07-31,328.9,412.45,310.05,391.2,18.941927637579816
2004-08-31,394.6,406.0,371.0,398.95,1.1023821591484961
2004-09-30,403.0,492.0,396.1,461.15,14.429280397022328
2004-10-31,462.0,502.6,430.0,485.75,5.140692640692641
2004-11-30,483.0,608.0,479.85,564.6,16.894409937888202
2004-12-31,568.9,665.0,500.2,647.6,13.833714185269827
2005-01-31,608.0,703.2,588.1,643.35,5.814144736842109
2005-02-28,645.0,730.0,576.0,650.25,0.813953488372093
2005-03-31,650.25,707.0,290.0,320.05,-50.78046905036524
2005-04-30,327.0,345.0,306.0,322.9,-1.253822629969426
2005-05-31,329.85,399.9,315.1,373.3,13.172654236774287
2005-06-30,379.9,414.85,350.6,360.9,-5.001316135825218
2005-07-31,365.0,379.9,287.0,289.55,-20.671232876712327
2005-08-31,303.0,326.9,276.05,294.8,-2.7062706270627026
2005-09-30,297.0,324.9,270.0,275.65,-7.188552188552197
2005-10-31,286.0,312.4,268.0,286.7,0.24475524475524077
2005-11-30,286.7,352.9,272.05,347.1,21.067317753749577
2005-12-31,348.0,379.9,335.1,376.0,8.045977011494253
2006-01-31,378.5,395.0,331.0,336.3,-11.149273447820342
2006-02-28,338.0,349.85,308.0,334.6,-1.005917159763307
2006-03-31,332.2,413.0,332.2,393.0,18.302227573750756
2006-04-30,390.0,497.0,371.0,445.85,14.320512820512825
2006-05-31,446.0,500.0,327.9,433.1,-2.8923766816143446
2006-06-30,461.35,462.0,340.0,413.25,-10.425923918933568
2006-07-31,388.5,424.85,350.0,389.95,0.3732303732303703
2006-08-31,391.0,405.0,364.25,365.7,-6.47058823529412
2006-09-30,364.0,428.8,346.0,420.45,15.508241758241756
2006-10-31,458.3,555.5,401.65,528.1,15.230198559895266
2006-11-30,560.0,655.0,547.95,600.1,7.16071428571429
2006-12-31,593.0,699.0,546.25,692.0,16.69477234401349
2007-01-31,745.8,745.8,121.8,153.3,-79.44489139179404
2007-02-28,153.3,177.45,127.5,139.5,-9.001956947162434
2007-03-31,140.0,144.85,110.0,131.15,-6.321428571428568
2007-04-30,129.0,144.9,125.1,135.6,5.116279069767438
2007-05-31,136.95,151.7,128.7,137.75,0.5841548010222792
2007-06-30,138.0,153.7,131.75,138.75,0.5434782608695652
2007-07-31,140.0,142.95,120.0,124.7,-10.928571428571427
2007-08-31,123.95,127.0,109.5,117.85,-4.921339249697466
2007-09-30,118.9,144.8,112.0,119.9,0.8410428931875525
2007-10-31,121.4,123.0,98.1,107.95,-11.079077429983528
2007-11-30,105.0,132.5,96.25,127.4,21.33333333333334
2007-12-31,127.0,141.8,120.0,133.7,5.275590551181093
2008-01-31,134.9,136.85,68.0,84.7,-37.21275018532246
2008-02-29,85.8,95.0,70.5,83.8,-2.331002331002331
2008-03-31,83.8,83.8,59.0,78.4,-6.443914081145574
2008-04-30,79.0,117.0,75.4,91.9,16.329113924050638
2008-05-31,92.65,94.0,73.0,76.55,-17.37722611980573
2008-06-30,77.0,78.35,57.9,58.4,-24.155844155844157
2008-07-31,58.4,69.8,52.1,59.9,2.568493150684932
2008-08-31,57.25,70.9,55.15,57.75,0.8733624454148472
2008-09-30,57.15,61.25,31.65,35.2,-38.40769903762029
2008-10-31,35.2,36.95,22.0,28.95,-17.755681818181827
2008-11-30,31.7,34.4,20.1,21.8,-31.230283911671922
2008-12-31,22.3,31.0,22.3,26.95,20.852017937219724
2009-01-31,27.05,28.9,20.3,22.3,-17.56007393715342
2009-02-28,22.85,23.85,20.0,21.45,-6.1269146608315195
2009-03-31,20.45,28.5,20.0,25.6,25.183374083129596
2009-04-30,26.05,48.6,25.7,44.95,72.552783109405
2009-05-31,46.65,54.0,38.95,51.15,9.646302250803858
2009-06-30,52.0,61.9,44.8,49.1,-5.576923076923075
