Date,Open,High,Low,Close,Returns%
2000-01-31,100.95,115.0,100.0,105.0,4.011887072808318
2000-02-29,102.0,110.0,78.0,84.5,-17.15686274509804
2000-03-31,81.15,91.75,70.0,87.5,7.825015403573621
2000-04-30,85.0,90.7,74.8,77.05,-9.35294117647059
2000-05-31,76.75,87.3,65.0,80.0,4.234527687296417
2000-06-30,85.0,103.7,75.0,96.05,12.999999999999996
2000-07-31,92.0,106.5,89.0,94.8,3.0434782608695623
2000-08-31,99.05,110.0,92.0,104.0,4.997476022211008
2000-09-30,103.0,105.0,95.1,100.05,-2.8640776699029153
2000-10-31,99.0,109.85,98.0,109.85,10.959595959595955
2000-11-30,103.0,107.0,89.25,92.25,-10.436893203883495
2000-12-31,93.0,96.2,85.0,86.0,-7.526881720430108
2001-01-31,85.75,90.4,78.0,82.5,-3.7900874635568513
2001-02-28,84.0,87.0,80.55,80.55,-4.10714285714286
2001-03-31,82.5,87.95,66.1,72.75,-11.818181818181818
2001-04-30,73.45,79.0,72.0,77.5,5.513955071477191
2001-05-31,77.85,85.0,72.1,84.9,9.055876685934505
2001-06-30,84.9,94.5,80.1,80.55,-5.123674911660787
2001-07-31,82.25,86.8,68.0,70.05,-14.832826747720368
2001-08-31,68.3,81.0,68.05,81.0,18.59443631039532
2001-09-30,81.0,82.0,70.0,77.75,-4.012345679012346
2001-10-31,73.85,87.25,70.0,82.5,11.712931618144896
2001-11-30,85.0,89.0,78.25,86.35,1.5882352941176403
2001-12-31,83.2,87.9,80.0,81.0,-2.6442307692307727
2002-01-31,83.85,88.0,78.1,83.0,-1.0137149672033325
2002-02-28,83.0,87.5,81.0,83.45,0.5421686746987986
2002-03-31,83.0,91.0,81.05,83.05,0.060240963855418266
2002-04-30,86.0,92.7,81.4,92.7,7.790697674418607
2002-05-31,96.5,105.9,89.6,93.0,-3.626943005181347
2002-06-30,92.0,112.0,92.0,109.95,19.510869565217394
2002-07-31,110.65,130.0,97.0,101.65,-8.133755083596927
2002-08-31,104.9,119.7,100.25,107.6,2.5738798856053275
2002-09-30,107.0,112.4,104.25,107.8,0.7476635514018665
2002-10-31,106.7,109.9,99.0,102.25,-4.170571696344894
2002-11-30,103.85,105.0,99.0,100.1,-3.610977371208474
2002-12-31,102.0,109.0,101.3,107.4,5.294117647058829
2003-01-31,108.0,114.5,100.0,106.2,-1.666666666666664
2003-02-28,106.0,115.0,102.0,110.7,4.433962264150946
2003-03-31,109.2,112.0,104.05,112.0,2.5641025641025617
2003-04-30,105.15,115.0,105.15,111.5,6.038991916310027
2003-05-31,110.6,149.0,110.5,138.6,25.31645569620253
2003-06-30,139.0,175.0,132.0,170.6,22.733812949640285
2003-07-31,160.0,184.0,149.0,162.15,1.3437500000000036
2003-08-31,159.85,162.9,138.5,153.5,-3.9724741945573943
2003-09-30,150.6,205.0,150.4,199.3,32.337317397078365
2003-10-31,202.05,204.9,175.0,184.45,-8.710715169512508
2003-11-30,186.0,197.0,175.0,188.7,1.4516129032258003
2003-12-31,198.0,295.9,186.1,250.45,26.489898989898986
2004-01-31,253.1,270.6,172.25,210.55,-16.81153694192018
2004-02-29,201.1,236.0,194.25,214.75,6.787667826951767
2004-03-31,215.25,224.85,195.0,210.4,-2.253193960511031
2004-04-30,212.4,233.0,200.1,222.5,4.755178907721278
2004-05-31,221.0,248.0,190.0,222.3,0.5882352941176522
2004-06-30,228.0,254.6,215.0,252.0,10.526315789473685
2004-07-31,252.0,345.0,238.0,295.65,17.321428571428566
2004-08-31,300.0,343.95,65.05,66.6,-77.8
2004-09-30,66.6,87.45,65.7,81.6,22.522522522522525
2004-10-31,81.0,83.9,73.0,79.2,-2.2222222222222188
2004-11-30,80.0,108.7,79.5,106.3,32.87499999999999
2004-12-31,105.0,128.45,101.05,120.05,14.33333333333333
2005-01-31,125.0,125.0,99.0,111.5,-10.8
2005-02-28,111.5,124.9,108.4,111.25,-0.2242152466367713
2005-03-31,111.25,133.0,105.0,127.7,14.786516853932586
2005-04-30,129.5,147.4,123.0,134.0,3.474903474903475
2005-05-31,146.0,159.0,125.05,142.8,-2.1917808219178005
2005-06-30,144.55,167.45,74.0,79.8,-44.79418886198548
2005-07-31,79.7,95.9,78.0,87.5,9.786700125470512
2005-08-31,88.0,107.0,84.1,102.65,16.647727272727277
2005-09-30,102.5,126.0,100.1,109.15,6.487804878048786
2005-10-31,109.2,121.7,103.0,113.15,3.61721611721612
2005-11-30,114.5,135.95,112.75,130.1,13.624454148471612
2005-12-31,130.1,141.8,123.2,133.55,2.6518063028439793
2006-01-31,133.15,184.4,133.15,165.6,24.371010138941035
2006-02-28,168.0,170.0,143.8,157.05,-6.517857142857136
2006-03-31,157.8,162.0,148.6,154.15,-2.31305449936629
2006-04-30,155.0,174.7,130.2,168.75,8.870967741935484
2006-05-31,170.0,174.9,130.1,151.1,-11.117647058823533
2006-06-30,151.0,155.2,104.0,134.05,-11.225165562913899
2006-07-31,131.5,139.0,110.5,123.0,-6.4638783269961975
2006-08-31,122.0,160.7,121.5,154.1,26.311475409836063
2006-09-30,154.95,193.45,151.05,178.25,15.03710874475638
2006-10-31,181.5,186.8,166.1,177.85,-2.0110192837465597
2006-11-30,182.0,190.0,172.0,172.3,-5.329670329670323
2006-12-31,172.0,190.0,158.0,179.6,4.418604651162787
2007-01-31,188.5,196.0,177.0,179.75,-4.641909814323608
2007-02-28,180.0,184.0,155.2,161.65,-10.194444444444441
2007-03-31,160.0,169.75,137.05,146.15,-8.656249999999996
2007-04-30,145.8,161.0,135.1,145.55,-0.17146776406035663
2007-05-31,148.9,187.0,140.1,161.65,8.562793821356616
2007-06-30,163.8,183.4,147.5,175.65,7.234432234432231
2007-07-31,175.0,190.7,166.6,175.75,0.42857142857142855
2007-08-31,170.6,182.7,165.2,178.65,4.718640093786642
2007-09-30,174.1,195.95,174.1,185.15,6.346927053417583
2007-10-31,185.0,187.0,150.0,164.55,-11.054054054054047
2007-11-30,169.15,186.0,150.5,171.55,1.4188590008867903
2007-12-31,173.0,183.0,157.0,172.95,-0.028901734104052813
2008-01-31,175.8,183.05,116.5,152.7,-13.139931740614347
2008-02-29,141.0,157.0,120.0,147.0,4.25531914893617
2008-03-31,143.2,147.0,100.05,108.1,-24.511173184357542
2008-04-30,104.1,132.0,87.7,117.85,13.208453410182518
2008-05-31,128.0,133.0,105.0,111.9,-12.578124999999996
2008-06-30,114.0,134.0,102.1,125.6,10.175438596491224
2008-07-31,126.1,129.5,100.2,124.45,-1.3084853291038792
2008-08-31,122.3,142.4,103.7,129.45,5.846279640228938
2008-09-30,124.5,135.0,110.0,118.35,-4.939759036144583
2008-10-31,117.0,119.7,76.0,97.95,-16.28205128205128
2008-11-30,98.1,114.3,79.0,90.1,-8.15494393476045
2008-12-31,88.0,96.7,75.1,86.3,-1.931818181818185
2009-01-31,78.5,97.2,70.65,86.5,10.19108280254777
2009-02-28,83.0,97.0,80.1,84.4,1.686746987951814
2009-03-31,84.0,89.0,71.1,78.75,-6.25
2009-04-30,74.4,105.0,74.4,100.35,34.8790322580645
2009-05-31,102.0,132.8,95.95,130.95,28.38235294117646
2009-06-30,132.0,140.0,110.1,125.35,-5.0378787878787925
2009-07-31,125.0,138.8,102.0,131.5,5.2
2009-08-31,116.0,145.0,115.0,137.0,18.103448275862068
2009-09-30,128.0,167.95,128.0,144.9,13.203125000000004
2009-10-31,145.5,158.75,136.25,137.6,-5.429553264604815
2009-11-30,139.0,149.2,132.0,146.2,5.1798561151079054
2009-12-31,144.75,188.0,132.7,157.8,9.015544041450784
2010-01-31,158.1,204.65,154.35,187.55,18.62745098039217
2010-02-28,186.1,200.8,171.95,178.25,-4.218162278344973
2010-03-31,178.05,196.8,165.0,169.8,-4.633529907329401
2010-04-30,169.9,197.0,169.0,191.4,12.654502648616832
2010-05-31,186.1,204.7,183.1,191.55,2.928533046749069
2010-06-30,188.3,226.9,188.3,210.4,11.736590546999466
2010-07-31,201.95,230.8,201.95,211.8,4.877444912106968
2010-08-31,216.35,222.8,198.0,204.85,-5.315461058470071
2010-09-30,200.0,259.6,186.05,228.65,14.325000000000003
2010-10-31,227.0,260.6,225.0,258.35,13.81057268722468
2010-11-30,259.0,269.0,225.0,242.75,-6.274131274131274
2010-12-31,235.0,266.15,217.55,253.25,7.76595744680851
2011-01-31,251.45,264.0,232.3,240.4,-4.394511831378001
2011-02-28,240.3,264.0,225.65,240.25,-0.020807324178115424
2011-03-31,238.0,264.0,215.0,230.4,-3.1932773109243673
2011-04-30,225.2,253.0,225.2,248.3,10.257548845470703
2011-05-31,250.5,274.9,244.4,262.6,4.830339321357295
2011-06-30,262.1,288.0,260.0,285.3,8.85158336512781
2011-07-31,280.1,330.0,273.35,306.75,9.514459121742226
2011-08-31,302.0,314.95,255.15,294.45,-2.5000000000000036
2011-09-30,291.1,315.0,281.0,297.0,2.0267949158364744
2011-10-31,292.0,297.5,136.3,157.7,-45.993150684931514
2011-11-30,144.5,175.0,136.6,153.45,6.19377162629757
2011-12-31,149.0,157.9,133.0,138.15,-7.28187919463087
2012-01-31,137.0,158.0,128.2,147.35,7.554744525547442
2012-02-29,137.5,180.0,135.6,163.35,18.799999999999997
2012-03-31,160.0,167.6,147.1,155.8,-2.624999999999993
2012-04-30,153.1,174.7,153.1,164.7,7.576747224036574
2012-05-31,160.0,169.7,141.0,147.8,-7.624999999999993
2012-06-30,144.7,157.0,139.0,152.6,5.459571527297862
2012-07-31,150.3,164.7,143.65,151.3,0.665335994677312
2012-08-31,148.2,156.2,131.1,146.5,-1.1470985155195605
2012-09-30,144.6,162.25,140.4,160.15,10.753803596127256
2012-10-31,144.0,162.25,144.0,153.0,6.25
2012-11-30,140.0,161.35,140.0,150.2,7.285714285714278
2012-12-31,148.4,159.9,146.65,149.5,0.7412398921832846
2013-01-31,148.5,153.0,143.5,148.8,0.20202020202020968
2013-02-28,148.0,149.9,127.05,132.05,-10.77702702702702
2013-03-31,133.9,136.0,115.0,118.45,-11.53846153846154
2013-04-30,119.0,133.4,114.3,122.85,3.235294117647054
2013-05-31,120.0,133.05,111.7,127.05,5.874999999999998
2013-06-30,126.95,132.25,102.0,108.95,-14.178810555336746
2013-07-31,109.0,116.95,101.65,104.1,-4.495412844036703
2013-08-31,105.05,108.95,98.1,100.4,-4.426463588767246
2013-09-30,104.8,109.8,100.0,104.0,-0.7633587786259515
2013-10-31,104.9,120.0,104.0,112.2,6.959008579599616
2013-11-30,112.5,150.0,111.0,143.2,27.28888888888888
2013-12-31,143.3,151.75,131.0,147.4,2.861130495464057
2014-01-31,144.65,156.0,131.0,136.8,-5.426892499135841
2014-02-28,138.65,138.65,125.0,130.35,-5.986296429859366
2014-03-31,129.5,152.95,123.25,146.6,13.2046332046332
2014-04-30,146.1,153.9,135.15,139.65,-4.414784394250506
2014-05-31,147.0,187.0,138.05,164.85,12.14285714285714
2014-06-30,165.0,193.0,162.0,172.7,4.66666666666666
2014-07-31,171.0,201.0,165.0,170.25,-0.43859649122807015
