Date,Open,High,Low,Close,Returns%
2000-01-31,61.7,62.75,46.0,47.2,-23.500810372771475
2000-02-29,46.1,49.95,36.5,39.35,-14.642082429501084
2000-03-31,37.65,45.75,32.1,42.5,12.881806108897745
2000-04-30,43.5,50.2,38.7,41.1,-5.517241379310342
2000-05-31,41.0,45.65,36.0,42.7,4.146341463414641
2000-06-30,42.0,57.95,40.05,53.8,28.09523809523809
2000-07-31,55.0,60.9,35.0,36.75,-33.18181818181818
2000-08-31,37.0,38.45,32.0,32.75,-11.486486486486486
2000-09-30,33.0,39.25,28.3,28.8,-12.727272727272725
2000-10-31,28.95,30.9,25.15,27.4,-5.354058721934372
2000-11-30,27.7,39.7,27.55,38.05,37.36462093862815
2000-12-31,37.55,46.75,36.5,42.25,12.51664447403463
2001-01-31,42.5,54.2,41.25,51.85,22.000000000000004
2001-02-28,51.55,64.9,43.35,46.15,-10.475266731328805
2001-03-31,47.85,52.4,30.0,32.45,-32.183908045977006
2001-04-30,32.55,41.7,30.5,38.9,19.50844854070661
2001-05-31,40.25,42.45,33.1,39.05,-2.981366459627336
2001-06-30,40.0,40.35,29.5,31.25,-21.875
2001-07-31,32.5,33.5,30.0,31.8,-2.1538461538461515
2001-08-31,32.4,33.1,30.1,30.35,-6.327160493827152
2001-09-30,30.8,30.8,20.55,26.0,-15.584415584415586
2001-10-31,26.75,30.9,25.3,26.85,0.3738317757009399
2001-11-30,27.95,38.75,27.0,38.05,36.13595706618962
2001-12-31,38.95,53.0,34.2,37.75,-3.080872913992305
2002-01-31,38.4,44.25,36.1,37.7,-1.8229166666666556
2002-02-28,37.8,44.1,36.05,36.4,-3.7037037037037
2002-03-31,36.9,40.1,32.75,33.2,-10.027100271002698
2002-04-30,33.5,41.75,33.5,36.75,9.701492537313433
2002-05-31,37.5,44.4,35.0,38.5,2.6666666666666665
2002-06-30,40.15,70.3,38.9,63.1,57.16064757160649
2002-07-31,63.5,79.9,47.1,51.9,-18.267716535433074
2002-08-31,52.0,55.25,47.0,47.7,-8.269230769230763
2002-09-30,48.4,55.0,40.05,42.6,-11.98347107438016
2002-10-31,42.0,43.35,36.6,39.35,-6.309523809523807
2002-11-30,39.25,49.8,39.0,48.9,24.585987261146492
2002-12-31,50.0,51.1,45.15,49.4,-1.2000000000000028
2003-01-31,50.3,60.0,49.2,49.85,-0.8946322067594349
2003-02-28,50.05,57.0,48.7,52.2,4.295704295704307
2003-03-31,53.25,53.35,42.1,42.3,-20.563380281690144
2003-04-30,42.8,51.45,40.05,50.8,18.69158878504673
2003-05-31,51.0,73.5,51.0,71.0,39.21568627450981
2003-06-30,72.0,77.35,63.1,73.2,1.6666666666666705
2003-07-31,73.9,91.75,71.95,88.1,19.215155615696872
2003-08-31,88.75,122.5,86.75,110.65,24.676056338028175
2003-09-30,112.5,124.5,96.0,108.4,-3.6444444444444395
2003-10-31,109.6,134.65,93.1,108.45,-1.049270072992693
2003-11-30,110.0,132.6,103.9,121.85,10.772727272727268
2003-12-31,123.05,151.5,119.0,140.7,14.3437626980902
2004-01-31,141.7,147.5,109.0,110.8,-21.806633733239234
2004-02-29,111.25,123.6,103.15,104.55,-6.022471910112362
2004-03-31,105.9,114.95,82.0,95.25,-10.056657223796037
2004-04-30,97.3,126.0,95.0,125.5,28.98252826310381
2004-05-31,126.0,145.25,106.1,107.5,-14.682539682539682
2004-06-30,113.3,120.0,91.55,107.55,-5.075022065313328
2004-07-31,108.75,122.9,98.0,115.0,5.747126436781609
2004-08-31,113.5,158.05,108.0,153.05,34.845814977973575
2004-09-30,153.5,164.9,142.8,147.7,-3.7785016286645026
2004-10-31,148.85,166.9,145.0,148.65,-0.13436345314073808
2004-11-30,149.95,177.45,147.2,169.2,12.837612537512506
2004-12-31,170.0,186.35,163.0,176.25,3.676470588235294
2005-01-31,178.0,189.75,160.0,175.85,-1.2078651685393291
2005-02-28,176.1,247.7,170.1,230.35,30.80636002271437
2005-03-31,226.0,252.35,208.0,223.25,-1.2168141592920354
2005-04-30,225.4,278.3,221.5,247.4,9.760425909494232
2005-05-31,248.0,258.8,239.65,245.05,-1.1895161290322536
2005-06-30,246.75,287.9,242.25,277.05,12.279635258358667
2005-07-31,280.0,324.7,278.0,295.9,5.678571428571421
2005-08-31,296.5,377.3,290.8,311.65,5.109612141652606
2005-09-30,314.7,357.0,298.0,340.6,8.230060374960292
2005-10-31,338.4,357.7,256.1,272.65,-19.42966903073286
2005-11-30,276.7,314.9,264.1,293.35,6.01734730755332
2005-12-31,297.0,323.5,286.1,300.15,1.060606060606053
2006-01-31,301.7,332.75,281.3,307.25,1.8395757374875743
2006-02-28,308.1,345.5,290.55,338.95,10.012982797792912
2006-03-31,343.5,450.0,340.0,444.7,29.46142649199417
2006-04-30,451.0,665.4,441.1,659.9,46.31929046563192
2006-05-31,657.0,699.0,316.2,402.4,-38.751902587519034
2006-06-30,408.4,417.4,258.15,357.75,-12.402056807051906
2006-07-31,359.7,409.7,319.0,387.3,7.673060884070065
2006-08-31,386.9,453.55,380.6,430.85,11.359524424916012
2006-09-30,432.0,513.8,431.0,511.1,18.31018518518519
2006-10-31,514.0,540.45,491.0,531.95,3.4922178988326937
2006-11-30,450.3,661.9,450.3,646.0,43.459915611814345
2006-12-31,652.65,745.7,559.0,738.8,13.200030644296328
2007-01-31,739.1,780.0,682.4,690.05,-6.636449736165616
2007-02-28,695.0,724.0,503.15,540.8,-22.187050359712234
2007-03-31,522.6,572.75,432.1,545.55,4.391504018369677
2007-04-30,539.0,627.9,491.1,609.25,13.03339517625232
2007-05-31,615.0,655.9,550.25,605.55,-1.536585365853666
2007-06-30,614.7,692.0,565.1,677.05,10.143159264681943
2007-07-31,677.0,767.9,650.0,727.9,7.518463810930573
2007-08-31,720.0,802.0,661.05,778.7,8.152777777777784
2007-09-30,782.7,860.9,709.2,843.05,7.710489331800167
2007-10-31,849.0,1087.0,802.2,1056.2,24.40518256772674
2007-11-30,1050.0,1187.3,976.0,1114.85,6.176190476190468
2007-12-31,1123.1,1202.9,1058.1,1169.5,4.131421957083082
2008-01-31,1178.8,1276.9,672.0,853.6,-27.58737699355276
2008-02-29,854.0,954.8,750.1,803.45,-5.9192037470725944
2008-03-31,785.0,849.4,605.25,727.55,-7.3184713375796235
2008-04-30,730.0,912.5,700.0,872.6,19.53424657534247
2008-05-31,893.9,893.9,671.0,695.15,-22.234030652198232
2008-06-30,702.95,702.95,496.0,508.75,-27.62643146738744
2008-07-31,507.0,525.0,418.85,479.45,-5.433925049309667
2008-08-31,472.0,561.9,446.0,469.05,-0.6249999999999976
2008-09-30,469.0,509.8,303.0,332.05,-29.200426439232405
2008-10-31,337.3,345.5,143.5,167.0,-50.48917877260599
2008-11-30,171.0,229.6,130.0,133.05,-22.192982456140346
2008-12-31,135.0,200.5,115.2,166.95,23.66666666666666
2009-01-31,167.9,204.8,149.15,167.4,-0.29779630732578916
2009-02-28,167.0,185.5,145.0,179.1,7.2455089820359255
2009-03-31,176.85,225.85,167.0,219.95,24.370935821317495
2009-04-30,221.0,253.4,200.0,229.3,3.7556561085972904
2009-05-31,233.2,468.8,233.2,452.85,94.18953687821615
2009-06-30,464.5,499.0,363.25,394.1,-15.15608180839612
2009-07-31,397.0,492.9,340.15,472.2,18.942065491183875
2009-08-31,474.5,484.0,402.25,461.45,-2.7502634351949444
2009-09-30,467.3,514.0,430.6,496.3,6.205863471003638
2009-10-31,491.05,544.8,419.0,442.5,-9.88697688626413
2009-11-30,445.1,496.0,403.0,466.4,4.785441473826096
2009-12-31,471.4,539.0,469.95,528.2,12.04921510394571
2010-01-31,525.1,596.05,469.0,512.5,-2.3995429442011087
2010-02-28,509.7,522.9,449.25,476.75,-6.464587011967822
2010-03-31,481.65,601.0,475.9,508.9,5.657635212291083
2010-04-30,513.6,558.9,510.0,524.1,2.0443925233644857
2010-05-31,521.25,530.8,419.2,457.15,-12.297362110311754
2010-06-30,463.0,480.0,428.3,460.95,-0.44276457883369574
2010-07-31,458.0,473.75,444.8,446.8,-2.4454148471615698
2010-08-31,451.9,525.4,445.4,479.8,6.17393228590397
2010-09-30,482.0,534.0,448.5,502.7,4.294605809128629
2010-10-31,507.8,552.4,487.5,500.45,-1.4474202441906308
2010-11-30,506.85,550.0,402.0,435.75,-14.027818881325839
2010-12-31,435.0,462.0,390.1,428.15,-1.5747126436781662
