Date,Open,High,Low,Close,Returns%
2000-01-31,36.0,37.5,26.5,26.75,-25.694444444444443
2000-02-29,26.5,31.5,24.5,27.35,3.2075471698113263
2000-03-31,25.6,30.0,22.0,23.75,-7.226562500000005
2000-04-30,23.75,24.5,19.6,20.65,-13.052631578947373
2000-05-31,20.5,29.75,19.0,26.9,31.219512195121947
2000-06-30,26.75,28.95,23.5,25.1,-6.1682242990654155
2000-07-31,25.5,26.5,22.95,25.3,-0.7843137254901933
2000-08-31,25.25,25.9,21.0,23.35,-7.524752475247519
2000-09-30,23.2,23.2,18.8,20.0,-13.79310344827586
2000-10-31,19.65,20.4,17.1,19.15,-2.544529262086514
2000-11-30,18.85,22.45,18.8,22.1,17.241379310344826
2000-12-31,22.25,32.0,22.0,24.9,11.910112359550556
2001-01-31,25.4,26.45,22.95,24.15,-4.921259842519685
2001-02-28,24.1,32.95,22.05,24.95,3.5269709543568375
2001-03-31,25.9,26.35,17.8,19.4,-25.0965250965251
2001-04-30,18.5,20.5,16.25,17.4,-5.945945945945954
2001-05-31,17.1,23.45,16.6,20.85,21.929824561403507
2001-06-30,20.0,21.0,16.8,17.2,-14.000000000000004
2001-07-31,17.25,19.0,15.0,16.05,-6.956521739130431
2001-08-31,16.0,16.55,15.25,15.95,-0.31250000000000444
2001-09-30,15.65,16.0,10.55,13.1,-16.293929712460066
2001-10-31,14.0,14.5,10.7,12.7,-9.28571428571429
2001-11-30,12.8,16.55,12.25,13.45,5.0781249999999885
2001-12-31,13.6,14.9,11.25,11.8,-13.23529411764705
2002-01-31,11.95,12.3,10.2,10.5,-12.133891213389118
2002-02-28,10.4,14.6,9.5,11.65,12.019230769230768
2002-03-31,12.2,14.1,11.0,11.7,-4.0983606557377055
2002-04-30,11.65,16.5,10.8,12.4,6.437768240343347
2002-05-31,12.2,19.9,11.8,18.4,50.819672131147534
2002-06-30,18.15,26.4,18.1,24.1,32.78236914600552
2002-07-31,25.0,27.4,17.0,18.95,-24.200000000000003
2002-08-31,19.7,22.0,17.0,18.45,-6.34517766497462
2002-09-30,18.65,19.5,15.35,16.1,-13.672922252010709
2002-10-31,16.3,19.45,14.15,15.35,-5.828220858895712
2002-11-30,15.45,17.5,14.8,16.85,9.061488673139173
2002-12-31,17.0,22.8,15.95,22.05,29.70588235294118
2003-01-31,22.4,22.6,17.5,17.75,-20.75892857142857
2003-02-28,17.55,21.7,16.55,18.8,7.122507122507122
2003-03-31,18.8,19.0,14.0,15.5,-17.553191489361705
2003-04-30,15.95,18.7,13.5,15.8,-0.9404388714733454
2003-05-31,17.9,24.75,17.1,24.5,36.871508379888276
2003-06-30,24.7,42.3,24.0,40.45,63.76518218623484
2003-07-31,41.0,46.85,36.7,43.6,6.341463414634149
2003-08-31,43.65,55.5,43.15,49.45,13.287514318442165
2003-09-30,50.0,51.0,39.6,46.3,-7.400000000000006
2003-10-31,46.9,95.1,45.75,90.35,92.64392324093816
2003-11-30,91.5,149.5,91.5,121.95,33.278688524590166
2003-12-31,123.3,147.3,121.75,131.05,6.2854825628548365
2004-01-31,139.0,157.5,108.0,122.4,-11.942446043165464
2004-02-29,123.85,130.0,110.15,112.95,-8.800968914008875
2004-03-31,114.25,122.45,88.5,102.0,-10.722100656455142
2004-04-30,103.4,127.9,102.6,112.05,8.365570599613143
2004-05-31,112.0,117.5,75.5,98.65,-11.919642857142852
2004-06-30,100.5,103.0,78.15,87.25,-13.18407960199005
2004-07-31,87.95,117.5,80.5,112.85,28.311540648095498
2004-08-31,114.0,114.5,99.0,109.8,-3.684210526315792
2004-09-30,111.0,118.3,106.3,110.1,-0.810810810810816
2004-10-31,111.2,131.5,110.8,121.35,9.12769784172661
2004-11-30,121.85,148.25,121.05,137.25,12.638489946655728
2004-12-31,138.0,177.0,130.0,164.3,19.05797101449276
2005-01-31,166.3,175.5,137.7,166.0,-0.18039687312087274
2005-02-28,160.0,195.85,159.6,188.2,17.624999999999993
2005-03-31,189.0,237.8,184.5,191.35,1.2433862433862404
2005-04-30,191.5,205.55,179.05,181.15,-5.404699738903392
2005-05-31,184.0,196.5,165.25,184.9,0.4891304347826118
2005-06-30,185.6,218.25,185.6,198.15,6.761853448275868
2005-07-31,200.05,225.8,200.05,210.35,5.148712821794542
2005-08-31,211.85,234.9,204.5,224.8,6.112815671465668
2005-09-30,226.0,248.75,202.0,227.35,0.5973451327433603
2005-10-31,228.2,235.95,179.1,187.45,-17.857142857142858
2005-11-30,188.9,242.4,187.45,221.55,17.28427739544733
2005-12-31,220.9,231.65,209.5,227.35,2.9198732458125796
2006-01-31,228.8,277.2,226.8,255.15,11.51660839160839
2006-02-28,255.0,283.0,247.0,271.05,6.294117647058828
2006-03-31,270.9,357.0,267.5,343.2,26.68881506090809
2006-04-30,346.0,369.8,281.25,325.7,-5.86705202312139
2006-05-31,333.0,342.0,230.0,295.35,-11.306306306306299
2006-06-30,299.0,305.0,192.0,252.9,-15.418060200668894
2006-07-31,248.0,299.0,237.0,276.55,11.512096774193552
2006-08-31,276.0,308.85,270.5,292.45,5.960144927536228
2006-09-30,291.0,321.4,280.75,306.4,5.292096219931263
2006-10-31,304.6,330.0,300.15,309.25,1.5265922521339386
2006-11-30,314.0,354.0,307.0,341.75,8.837579617834395
2006-12-31,348.8,358.95,280.0,317.65,-8.930619266055055
2007-01-31,320.9,366.95,309.0,356.5,11.09379869118106
2007-02-28,357.8,382.0,318.0,345.0,-3.5774175517048663
2007-03-31,345.0,386.5,291.0,376.95,9.260869565217389
2007-04-30,377.1,409.9,362.2,391.5,3.8186157517899697
2007-05-31,402.0,404.7,353.25,357.9,-10.970149253731348
2007-06-30,361.1,387.8,340.15,378.5,4.818609803378559
2007-07-31,378.0,523.7,339.8,484.35,28.13492063492064
2007-08-31,479.0,489.0,415.6,466.9,-2.5260960334029274
2007-09-30,470.4,521.0,421.25,489.85,4.134778911564636
2007-10-31,493.6,612.0,484.7,582.5,18.01053484602917
2007-11-30,585.0,676.0,521.0,629.7,7.6410256410256485
2007-12-31,615.0,661.65,570.3,626.3,1.8373983739837325
