Date,Open,High,Low,Close,Returns%
2000-01-31,55.8,57.0,42.35,44.3,-20.609318996415773
2000-02-29,45.75,62.5,42.3,43.4,-5.1366120218579265
2000-03-31,43.0,47.25,32.2,34.9,-18.837209302325583
2000-04-30,35.0,39.9,32.4,33.0,-5.714285714285714
2000-05-31,32.55,37.5,31.25,35.6,9.370199692780353
2000-06-30,34.15,40.0,33.65,35.5,3.9531478770131816
2000-07-31,35.85,38.7,31.05,32.35,-9.762900976290098
2000-08-31,32.1,33.75,28.75,29.9,-6.853582554517143
2000-09-30,30.0,35.3,28.0,29.15,-2.833333333333338
2000-10-31,28.1,29.9,21.5,24.85,-11.565836298932384
2000-11-30,25.4,30.0,24.8,28.85,13.582677165354342
2000-12-31,28.7,35.1,28.35,31.15,8.536585365853657
2001-01-31,31.5,37.55,30.1,35.55,12.857142857142849
2001-02-28,35.3,43.7,33.5,37.45,6.090651558073671
2001-03-31,37.5,40.4,26.0,30.2,-19.46666666666667
2001-04-30,28.0,31.7,27.05,29.95,6.964285714285713
2001-05-31,30.0,34.75,28.45,31.2,3.999999999999998
2001-06-30,30.55,31.25,24.25,24.6,-19.47626841243862
2001-07-31,25.25,26.85,23.95,25.35,0.39603960396040166
2001-08-31,26.35,26.35,21.6,21.7,-17.64705882352942
2001-09-30,22.5,22.5,17.55,21.3,-5.33333333333333
2001-10-31,21.5,22.95,20.5,20.9,-2.7906976744186114
2001-11-30,20.5,23.2,18.25,22.0,7.317073170731708
2001-12-31,22.6,24.0,19.55,20.55,-9.070796460176993
2002-01-31,20.6,21.85,20.05,20.7,0.4854368932038731
2002-02-28,20.5,25.95,20.45,22.35,9.024390243902445
2002-03-31,23.0,37.4,22.0,33.45,45.43478260869566
2002-04-30,34.4,42.75,30.15,31.4,-8.720930232558139
2002-05-31,32.0,38.0,25.3,33.0,3.125
2002-06-30,34.3,39.75,33.0,34.0,-0.8746355685131113
2002-07-31,34.1,37.0,28.75,29.15,-14.516129032258073
2002-08-31,30.4,33.5,28.5,28.8,-5.2631578947368345
2002-09-30,29.2,29.3,24.7,25.5,-12.671232876712327
2002-10-31,25.8,28.5,25.0,27.65,7.170542635658906
2002-11-30,27.5,28.5,26.5,28.25,2.727272727272727
2002-12-31,28.45,33.3,27.0,27.25,-4.217926186291738
2003-01-31,27.5,29.9,27.15,28.5,3.6363636363636362
2003-02-28,28.4,29.95,28.0,29.8,4.929577464788741
2003-03-31,30.2,32.1,28.1,29.9,-0.993377483443711
2003-04-30,30.0,33.0,27.0,31.6,5.333333333333338
2003-05-31,35.0,59.5,34.0,55.6,58.857142857142854
2003-06-30,56.0,57.7,45.1,52.3,-6.607142857142862
2003-07-31,52.95,66.35,51.0,63.7,20.302171860245515
2003-08-31,64.4,90.25,61.15,85.55,32.841614906832284
2003-09-30,87.9,88.85,62.5,69.95,-20.420932878270765
2003-10-31,70.45,79.7,68.6,70.65,0.28388928317956397
2003-11-30,71.25,81.3,69.5,73.9,3.719298245614043
2003-12-31,74.9,94.9,73.0,90.5,20.827770360480635
2004-01-31,91.35,96.0,71.2,87.65,-4.050355774493694
2004-02-29,88.35,106.5,83.0,93.8,6.168647425014151
2004-03-31,94.7,146.9,94.0,144.9,53.00950369588173
2004-04-30,145.1,173.0,140.3,157.05,8.2356995175741
2004-05-31,157.6,174.9,92.25,113.05,-28.26776649746193
2004-06-30,115.25,128.8,100.05,110.7,-3.9479392624728824
2004-07-31,111.0,151.4,105.0,139.5,25.675675675675677
2004-08-31,140.0,154.25,123.15,148.75,6.25
2004-09-30,150.0,182.2,149.0,177.1,18.066666666666663
2004-10-31,178.0,262.5,175.0,236.9,33.08988764044944
2004-11-30,237.0,253.7,225.1,239.5,1.0548523206751055
2004-12-31,239.5,252.55,210.1,229.9,-4.0083507306889326
2005-01-31,228.0,241.8,203.25,216.3,-5.131578947368416
2005-02-28,219.0,234.0,195.0,201.05,-8.196347031963466
2005-03-31,202.0,236.95,195.5,230.7,14.207920792079204
2005-04-30,229.8,244.95,208.0,219.55,-4.4604003481288075
2005-05-31,221.0,228.95,202.4,203.2,-8.054298642533942
2005-06-30,205.0,209.4,180.25,183.2,-10.634146341463419
2005-07-31,186.9,197.9,179.5,188.15,0.6688068485821295
2005-08-31,190.9,221.55,190.9,212.65,11.393399685699318
2005-09-30,214.0,272.0,211.65,264.95,23.808411214953267
2005-10-31,265.1,292.0,225.0,237.9,-10.260279139947196
2005-11-30,222.65,259.5,222.65,246.4,10.666966090276219
2005-12-31,249.6,264.0,225.05,230.9,-7.491987179487175
2006-01-31,232.9,256.5,224.0,230.3,-1.1163589523400577
2006-02-28,233.0,251.05,191.25,224.5,-3.648068669527897
2006-03-31,228.0,238.7,212.0,220.5,-3.289473684210526
2006-04-30,223.0,264.4,201.0,241.6,8.34080717488789
2006-05-31,248.5,271.9,208.6,219.95,-11.488933601609661
2006-06-30,222.95,227.9,135.1,178.95,-19.735366674142185
2006-07-31,184.35,189.65,159.5,181.8,-1.3832384052074767
2006-08-31,174.6,222.0,174.6,196.25,12.399770904925546
2006-09-30,200.0,240.0,196.5,207.25,3.625
2006-10-31,207.1,212.9,166.05,202.3,-2.317720907774014
2006-11-30,203.0,226.0,196.35,220.75,8.74384236453202
2006-12-31,223.0,223.0,195.15,217.95,-2.264573991031395
2007-01-31,218.9,255.0,204.2,214.35,-2.0785746916400236
2007-02-28,215.0,216.75,180.0,193.4,-10.046511627906975
2007-03-31,189.1,195.05,170.0,187.7,-0.740349021681653
2007-04-30,188.0,216.7,176.8,214.55,14.12234042553192
2007-05-31,216.25,284.5,212.05,248.8,15.052023121387288
2007-06-30,251.95,338.85,226.5,266.9,5.933717007342723
2007-07-31,269.6,311.0,258.0,288.2,6.899109792284853
2007-08-31,288.0,289.45,243.5,261.7,-9.131944444444448
2007-09-30,263.75,310.0,251.0,280.85,6.48341232227489
2007-10-31,278.2,353.5,254.0,332.35,19.464414090582327
2007-11-30,340.0,478.0,305.85,408.3,20.08823529411765
2007-12-31,412.5,461.95,372.0,431.95,4.715151515151512
2008-01-31,435.0,444.0,180.8,294.35,-32.33333333333333
2008-02-29,299.45,335.0,268.0,300.65,0.40073468024711595
2008-03-31,295.0,309.95,241.5,281.05,-4.72881355932203
2008-04-30,281.8,377.0,268.6,362.85,28.761533002129173
2008-05-31,390.0,408.0,320.0,338.45,-13.21794871794872
2008-06-30,333.3,359.9,262.35,267.95,-19.606960696069613
2008-07-31,262.5,325.0,225.25,301.6,14.895238095238104
2008-08-31,292.05,335.5,248.05,257.8,-11.727443930833761
2008-09-30,257.0,269.0,207.0,212.05,-17.49027237354085
2008-10-31,214.0,216.0,115.1,120.55,-43.66822429906542
2008-11-30,122.0,153.95,102.5,105.15,-13.811475409836062
2008-12-31,106.4,129.0,101.0,128.25,20.53571428571428
2009-01-31,130.0,135.0,95.15,110.35,-15.115384615384619
2009-02-28,111.0,112.5,90.0,90.6,-18.378378378378383
2009-03-31,90.0,97.8,78.0,94.4,4.8888888888888955
2009-04-30,95.0,133.0,95.0,115.0,21.05263157894737
2009-05-31,116.6,195.6,116.0,187.55,60.849056603773604
2009-06-30,190.0,212.7,168.0,171.85,-9.552631578947372
2009-07-31,174.7,186.0,152.1,182.55,4.493417286777346
2009-08-31,184.95,204.4,172.0,203.1,9.813463098134633
2009-09-30,205.1,269.9,195.05,263.2,28.327645051194537
2009-10-31,260.2,261.55,210.1,211.7,-18.639508070714836
2009-11-30,210.1,221.6,195.5,212.6,1.1899095668729176
2009-12-31,214.5,229.0,207.4,218.2,1.7249417249417196
2010-01-31,220.0,253.0,214.05,234.6,6.636363636363634
2010-02-28,235.9,269.8,227.0,246.35,4.429843153878757
2010-03-31,247.95,299.0,238.55,294.9,18.93526920750151
2010-04-30,296.0,296.0,271.5,277.9,-6.114864864864873
2010-05-31,276.6,281.95,242.5,249.0,-9.978308026030376
2010-06-30,254.0,262.4,241.2,252.4,-0.6299212598425175
2010-07-31,255.0,270.5,249.25,258.85,1.5098039215686363
2010-08-31,261.0,284.95,235.0,237.45,-9.02298850574713
2010-09-30,239.8,257.8,232.5,252.15,5.150125104253543
2010-10-31,253.95,269.2,238.15,240.5,-5.296318172868671
2010-11-30,241.35,254.75,217.05,229.7,-4.827014708928943
2010-12-31,230.05,255.0,221.1,247.25,7.476635514018686
2011-01-31,247.7,254.55,208.05,213.15,-13.94832458619297
2011-02-28,213.95,225.0,184.0,187.5,-12.362701565786395
2011-03-31,189.8,225.0,186.2,223.1,17.544783983140135
2011-04-30,223.95,246.45,222.0,223.85,-0.04465282429113388
2011-05-31,226.5,233.8,209.1,229.75,1.434878587196468
2011-06-30,230.0,237.9,215.05,225.05,-2.152173913043473
2011-07-31,226.25,234.0,217.5,219.3,-3.0718232044198843
2011-08-31,219.4,222.0,200.15,203.75,-7.1330902461258
2011-09-30,203.0,212.95,193.1,204.8,0.8866995073891681
2011-10-31,205.0,209.0,192.5,198.85,-3.0000000000000027
2011-11-30,199.0,205.5,173.1,178.6,-10.251256281407038
2011-12-31,188.0,190.0,154.0,155.35,-17.367021276595747
2012-01-31,156.0,179.0,155.0,169.95,8.942307692307685
2012-02-29,170.0,182.0,162.8,173.45,2.0294117647058756
2012-03-31,175.0,180.3,151.0,153.15,-12.485714285714284
2012-04-30,154.9,161.55,147.0,150.2,-3.0342156229825803
2012-05-31,150.1,152.0,131.0,132.15,-11.958694203864084
2012-06-30,132.0,134.0,119.55,120.9,-8.409090909090907
2012-07-31,121.9,140.0,116.65,121.4,-0.4101722723543888
2012-08-31,119.8,139.0,119.2,133.25,11.227045075125211
2012-09-30,132.0,139.0,119.75,129.0,-2.272727272727273
2012-10-31,128.4,136.0,126.45,129.7,1.0124610591900178
2012-11-30,130.0,140.7,124.5,128.0,-1.5384615384615385
2012-12-31,128.0,143.9,127.65,138.05,7.851562500000009
2013-01-31,138.05,161.7,136.0,140.9,2.0644693951466815
2013-02-28,140.9,143.8,124.0,124.6,-11.568488289567076
2013-03-31,126.0,130.45,107.6,122.4,-2.8571428571428528
2013-04-30,121.0,125.9,105.0,108.65,-10.20661157024793
2013-05-31,109.8,112.5,99.0,99.25,-9.60837887067395
2013-06-30,99.5,99.5,79.0,84.1,-15.47738693467337
2013-07-31,84.0,87.0,70.0,71.9,-14.4047619047619
2013-08-31,72.9,74.0,57.95,58.45,-19.821673525377232
2013-09-30,58.55,74.2,53.75,55.5,-5.209222886421857
2013-10-31,55.05,57.15,51.75,52.8,-4.087193460490464
2013-11-30,53.0,77.9,53.0,65.05,22.73584905660377
2013-12-31,65.15,72.25,61.35,69.55,6.753645433614722
2014-01-31,70.7,72.65,64.65,64.8,-8.345120226308353
2014-02-28,64.2,69.35,57.5,58.45,-8.95638629283489
2014-03-31,58.45,69.8,57.85,68.45,17.10863986313088
2014-04-30,68.65,82.7,66.5,79.7,16.09613983976693
