Date,Open,High,Low,Close,Returns%
2000-01-31,1410.0,1537.0,1109.45,1173.1,-16.80141843971632
2000-02-29,1185.0,1298.95,1099.9,1149.5,-2.9957805907172994
2000-03-31,1135.0,1226.45,871.0,1133.35,-0.14537444933921506
2000-04-30,1179.0,1332.7,878.1,890.9,-24.43596268023749
2000-05-31,821.3,869.2,650.0,773.0,-5.880920491903075
2000-06-30,775.0,970.0,725.0,864.55,11.554838709677414
2000-07-31,865.0,975.0,650.0,726.15,-16.052023121387286
2000-08-31,730.0,864.0,711.0,811.55,11.171232876712322
2000-09-30,815.0,856.0,650.0,688.55,-15.515337423312888
2000-10-31,680.0,910.0,667.0,886.2,30.32352941176471
2000-11-30,896.0,1069.0,868.0,988.9,10.36830357142857
2000-12-31,980.5,1125.0,885.0,1043.95,6.4711881693013815
2001-01-31,1035.0,1160.7,960.0,1124.85,8.681159420289847
2001-02-28,1126.0,1219.95,987.0,1006.8,-10.586145648312614
2001-03-31,1029.0,1090.0,885.7,998.1,-3.0029154518950416
2001-04-30,981.0,1187.25,845.55,1148.4,17.064220183486245
2001-05-31,1169.0,1169.0,1016.55,1106.65,-5.333618477331044
2001-06-30,1105.0,1160.0,1076.05,1143.05,3.443438914027145
2001-07-31,1120.0,1175.0,1036.0,1070.5,-4.419642857142857
2001-08-31,1066.1,1257.0,1058.05,1230.1,15.383172310289844
2001-09-30,1242.0,1340.0,1030.0,1128.95,-9.102254428341382
2001-10-31,1118.0,1170.0,1000.0,1060.7,-5.125223613595702
2001-11-30,1075.0,1173.0,1031.0,1113.4,3.5720930232558223
2001-12-31,1115.0,1196.9,1057.0,1133.75,1.6816143497757847
2002-01-31,1140.0,1209.0,1065.0,1108.55,-2.758771929824565
2002-02-28,1111.0,1130.0,999.5,1013.45,-8.780378037803777
2002-03-31,1024.0,1045.0,1000.0,1017.3,-0.6542968750000044
2002-04-30,1021.0,1087.95,978.1,1030.9,0.969637610186101
2002-05-31,1028.0,1089.8,980.3,992.6,-3.443579766536963
2002-06-30,1000.0,1027.0,922.0,940.15,-5.985000000000002
2002-07-31,947.9,1040.0,910.0,931.15,-1.767064036290748
2002-08-31,934.5,960.5,875.0,949.7,1.6265382557517438
2002-09-30,948.0,975.0,900.0,946.9,-0.116033755274264
