Date,Open,High,Low,Close,Returns%
2000-01-31,2200.0,2244.0,1911.0,2050.0,-6.818181818181818
2000-02-29,2200.0,2299.0,1736.0,1760.0,-20.0
2000-03-31,1750.0,1750.0,1200.0,1475.0,-15.714285714285714
2000-04-30,1520.0,1728.0,1355.0,1355.0,-10.855263157894736
2000-05-31,1331.0,1740.0,1331.0,1724.95,29.59804658151766
2000-06-30,1655.0,1794.0,1579.0,1579.0,-4.59214501510574
2000-07-31,1525.0,1525.0,1201.0,1230.0,-19.34426229508197
2000-08-31,1250.0,1250.0,872.0,894.25,-28.46
2000-09-30,891.0,968.0,852.0,900.0,1.0101010101010102
2000-10-31,870.0,900.0,74.7,94.0,-89.19540229885058
2000-11-30,101.0,101.0,82.5,87.0,-13.861386138613861
2000-12-31,88.0,96.0,80.0,82.85,-5.852272727272734
2001-01-31,80.05,86.0,70.5,75.0,-6.308557151780134
2001-02-28,76.0,76.0,56.6,61.4,-19.210526315789476
2001-03-31,59.0,63.95,48.75,54.0,-8.474576271186441
2001-04-30,51.75,58.5,47.8,47.9,-7.43961352657005
2001-05-31,48.75,72.9,47.0,57.9,18.769230769230766
2001-06-30,58.0,58.0,44.1,48.35,-16.637931034482758
2001-07-31,47.0,47.1,37.3,40.0,-14.893617021276595
2001-08-31,41.3,48.0,35.8,44.55,7.869249394673124
2001-09-30,45.8,46.5,36.5,40.0,-12.66375545851528
2001-10-31,41.9,54.2,39.9,51.4,22.673031026252985
2001-11-30,52.0,96.0,45.95,83.95,61.4423076923077
2001-12-31,85.9,112.0,77.55,87.55,1.9208381839347979
2002-01-31,89.5,97.0,83.05,91.4,2.1229050279329673
2002-02-28,92.0,143.0,91.2,119.05,29.402173913043473
2002-03-31,122.0,131.25,115.1,121.2,-0.6557377049180304
2002-04-30,121.25,141.4,118.5,127.9,5.484536082474231
2002-05-31,129.45,192.9,126.0,165.75,28.041714947856324
2002-06-30,167.0,237.8,162.45,204.7,22.57485029940119
2002-07-31,207.0,239.0,190.05,197.2,-4.7342995169082185
2002-08-31,208.45,230.0,191.5,202.4,-2.9023746701846886
2002-09-30,204.1,225.0,186.0,212.35,4.0421362077413034
2002-10-31,209.5,257.4,190.1,209.8,0.14319809069212952
2002-11-30,211.8,243.0,184.2,237.1,11.945231350330491
2002-12-31,258.0,263.8,199.0,239.7,-7.093023255813958
2003-01-31,240.1,254.9,220.0,231.65,-3.519366930445643
2003-02-28,230.8,251.0,195.15,211.25,-8.470537261698444
2003-03-31,210.5,213.0,192.0,200.05,-4.964370546318285
2003-04-30,200.5,233.9,198.0,231.6,15.511221945137155
2003-05-31,230.1,240.45,222.0,236.5,2.7813993915688857
2003-06-30,236.0,245.0,235.0,237.25,0.5296610169491526
2003-07-31,235.0,260.0,229.6,240.6,2.382978723404253
2003-08-31,240.7,249.0,217.0,219.45,-8.828417116742834
2003-09-30,222.0,234.0,218.1,227.1,2.2972972972972947
2003-10-31,227.9,258.0,220.0,243.9,7.0206230802983765
2003-11-30,252.0,262.0,237.5,249.3,-1.071428571428567
2003-12-31,249.0,274.0,237.0,261.55,5.040160642570286
2004-01-31,262.85,270.95,224.5,248.9,-5.307209435039002
2004-02-29,268.0,268.0,243.0,247.25,-7.742537313432836
2004-03-31,249.95,280.0,228.0,248.05,-0.7601520304060722
2004-04-30,245.5,257.95,241.7,244.2,-0.5295315682281105
2004-05-31,246.75,249.25,224.0,229.0,-7.193515704154002
2004-06-30,233.0,257.4,227.05,254.25,9.120171673819742
2004-07-31,249.15,286.4,242.75,267.4,7.3249046758980425
2004-08-31,275.35,350.0,231.55,257.55,-6.464499727619397
2004-09-30,261.9,276.0,256.75,263.95,0.7827415043909933
2004-10-31,263.0,269.8,255.0,261.15,-0.7034220532319478
2004-11-30,260.25,276.0,242.6,269.55,3.5734870317002927
2004-12-31,269.6,296.45,262.6,278.7,3.3753709198812927
2005-01-31,280.0,285.0,253.0,260.55,-6.946428571428568
2005-02-28,260.0,278.95,256.0,262.25,0.8653846153846154
2005-03-31,264.1,289.0,221.0,253.75,-3.9189700870882325
2005-04-30,257.0,300.0,251.15,262.35,2.0817120622568184
2005-05-31,262.75,283.0,261.55,275.0,4.662226450999048
2005-06-30,275.55,304.0,275.5,299.5,8.6917074941027
2005-07-31,305.0,305.0,274.0,275.0,-9.836065573770492
2005-08-31,290.0,314.0,265.0,305.3,5.275862068965521
2005-09-30,304.0,345.0,301.0,310.05,1.9901315789473721
2005-10-31,311.0,327.8,288.05,293.0,-5.787781350482315
2005-11-30,307.9,324.45,284.0,320.9,4.222150048717117
2005-12-31,327.0,380.0,310.1,330.2,0.9785932721712504
2006-01-31,330.75,395.0,330.0,346.55,4.777021919879066
2006-02-28,346.05,356.0,325.3,332.0,-4.060106920965182
2006-03-31,333.8,346.95,315.0,326.1,-2.3067705212702183
2006-04-30,325.0,381.0,325.0,364.35,12.107692307692314
2006-05-31,400.1,400.1,300.0,313.0,-21.769557610597353
2006-06-30,312.0,322.0,235.0,263.3,-15.608974358974356
2006-07-31,265.0,278.75,230.0,252.45,-4.735849056603778
2006-08-31,251.0,327.9,245.2,300.15,19.581673306772903
2006-09-30,301.4,318.9,281.1,299.7,-0.5640345056403413
2006-10-31,298.0,359.0,295.0,303.45,1.8288590604026806
2006-11-30,302.0,329.0,292.5,312.1,3.34437086092716
2006-12-31,314.95,350.0,291.3,336.5,6.842355929512625
2007-01-31,344.6,368.4,320.0,330.0,-4.236796285548468
2007-02-28,323.1,332.0,292.7,310.1,-4.023522129371711
2007-03-31,307.2,355.0,290.1,321.2,4.557291666666667
2007-04-30,319.0,324.9,266.0,270.6,-15.172413793103443
2007-05-31,271.75,319.9,269.0,301.95,11.113155473781045
2007-06-30,308.7,324.0,284.0,302.35,-2.0570132815030666
2007-07-31,303.0,311.95,285.5,287.7,-5.049504950495053
2007-08-31,287.0,339.0,272.2,294.6,2.648083623693388
2007-09-30,291.65,328.0,283.35,285.7,-2.040116578090173
2007-10-31,287.0,288.95,264.0,267.0,-6.968641114982578
2007-11-30,269.0,318.9,255.1,278.9,3.6802973977695084
2007-12-31,278.0,354.45,275.0,328.2,18.05755395683453
2008-01-31,305.0,349.9,229.0,267.4,-12.327868852459023
2008-02-29,280.0,297.95,232.0,267.8,-4.357142857142853
2008-03-31,265.0,288.0,223.8,244.5,-7.735849056603773
2008-04-30,249.8,252.0,223.2,240.0,-3.923138510808651
2008-05-31,236.0,245.05,220.8,228.8,-3.0508474576271136
2008-06-30,224.2,228.95,199.0,201.05,-10.325602140945575
2008-07-31,200.0,244.95,189.2,240.3,20.150000000000006
2008-08-31,241.9,259.5,228.05,230.0,-4.919388176932618
2008-09-30,228.5,244.95,180.0,200.05,-12.4507658643326
2008-10-31,212.2,222.35,155.0,172.3,-18.80301602262016
2008-11-30,172.0,197.9,149.0,149.5,-13.081395348837209
2008-12-31,153.95,159.9,144.5,154.9,0.6170834686586665
2009-01-31,155.0,179.65,145.0,148.95,-3.90322580645162
2009-02-28,157.95,175.5,146.1,164.95,4.431782209559987
2009-03-31,163.25,205.0,162.7,195.75,19.90811638591118
2009-04-30,199.8,214.4,170.0,173.0,-13.413413413413418
2009-05-31,180.1,245.8,180.1,232.0,28.817323709050534
2009-06-30,234.0,272.8,225.25,241.95,3.3974358974358925
2009-07-31,248.0,326.4,234.5,300.55,21.189516129032263
2009-08-31,300.0,322.0,280.0,314.2,4.73333333333333
2009-09-30,314.0,367.0,309.0,361.6,15.159235668789815
2009-10-31,365.0,390.0,350.8,376.0,3.0136986301369864
2009-11-30,369.0,424.0,352.5,404.05,9.498644986449866
2009-12-31,400.1,485.0,400.1,470.4,17.570607348162948
2010-01-31,480.0,487.5,401.0,436.0,-9.166666666666666
2010-02-28,442.0,485.55,416.8,454.4,2.8054298642533886
2010-03-31,461.9,609.0,447.0,545.1,18.012556830482797
2010-04-30,545.1,697.0,532.35,657.25,20.57420656760227
2010-05-31,674.0,680.0,605.0,648.75,-3.7462908011869436
2010-06-30,652.95,676.0,622.05,641.4,-1.7688950149322409
2010-07-31,630.7,694.95,630.7,650.55,3.1472966545108463
2010-08-31,651.0,782.0,644.0,669.55,2.849462365591391
2010-09-30,675.0,774.8,665.3,756.45,12.066666666666674
2010-10-31,760.0,840.0,753.1,767.6,1.0000000000000029
2010-11-30,778.8,779.95,640.65,728.3,-6.484334874165383
2010-12-31,711.05,740.0,628.0,724.6,1.9056325152942928
2011-01-31,723.95,777.95,689.95,697.1,-3.708819669866706
2011-02-28,698.0,719.95,596.05,616.9,-11.618911174785103
2011-03-31,621.8,685.9,590.05,664.85,6.92344805403668
2011-04-30,670.0,743.9,669.0,725.8,8.328358208955217
2011-05-31,724.0,729.8,672.7,711.65,-1.705801104972379
2011-06-30,715.0,774.85,693.8,750.85,5.013986013986017
2011-07-31,744.05,855.0,734.0,754.45,1.3977555271823254
2011-08-31,757.1,779.0,682.0,735.15,-2.899220710606267
2011-09-30,738.0,745.0,706.05,717.4,-2.7913279132791358
2011-10-31,701.0,732.15,651.0,665.7,-5.035663338088439
2011-11-30,665.0,674.9,603.05,615.75,-7.406015037593985
2011-12-31,630.0,730.0,560.1,565.15,-10.293650793650796
2012-01-31,570.0,633.0,554.4,618.0,8.421052631578947
2012-02-29,612.0,653.0,606.2,630.4,3.0065359477124147
2012-03-31,626.0,668.2,613.3,651.85,4.12939297124601
2012-04-30,677.0,689.0,604.0,613.7,-9.350073855243716
2012-05-31,625.0,628.2,575.1,606.4,-2.9760000000000035
2012-06-30,600.0,631.0,585.0,626.8,4.466666666666659
2012-07-31,628.05,661.0,610.0,629.35,0.20698988934003157
2012-08-31,630.0,645.0,598.05,612.35,-2.801587301587298
2012-09-30,612.45,635.0,600.0,626.0,2.212425504122778
2012-10-31,627.0,698.9,627.0,655.5,4.545454545454546
2012-11-30,660.0,668.0,610.0,622.85,-5.628787878787875
2012-12-31,625.2,673.0,618.0,639.65,2.3112603966730534
2013-01-31,638.0,656.0,549.0,578.8,-9.27899686520377
2013-02-28,570.45,579.0,530.15,549.15,-3.73389429397845
2013-03-31,550.05,569.0,477.0,483.7,-12.062539769111893
2013-04-30,490.5,497.0,456.15,469.65,-4.250764525993889
2013-05-31,470.0,486.0,444.0,450.2,-4.212765957446811
2013-06-30,457.8,457.8,371.1,379.05,-17.201834862385322
2013-07-31,380.0,523.4,375.0,505.4,32.99999999999999
2013-08-31,517.0,519.0,448.1,462.85,-10.473887814313343
2013-09-30,462.1,532.0,462.0,503.1,8.872538411599221
2013-10-31,498.15,587.55,466.0,584.05,17.243802067650304
2013-11-30,585.0,611.25,552.2,587.0,0.3418803418803419
2013-12-31,583.25,672.0,576.0,618.45,6.035147878268332
2014-01-31,624.8,628.45,593.55,606.75,-2.8889244558258573
2014-02-28,617.0,650.0,488.4,606.65,-1.677471636953002
2014-03-31,606.0,649.4,602.0,642.0,5.9405940594059405
2014-04-30,634.05,744.0,634.05,683.75,7.838498541124525
2014-05-31,685.05,727.9,661.25,697.35,1.7954893803372118
2014-06-30,699.0,883.9,699.0,865.4,23.805436337625174
2014-07-31,862.0,984.6,795.1,813.35,-5.6438515081206475
2014-08-31,807.15,936.8,800.0,898.4,11.305209688409837
2014-09-30,898.4,957.5,888.0,911.7,1.480409617097069
2014-10-31,909.0,1059.35,905.0,975.3,7.293729372937289
2014-11-30,978.0,999.4,860.1,876.7,-10.357873210633944
2014-12-31,882.95,929.0,837.05,867.0,-1.8064443060195985
2015-01-31,944.4,1185.0,900.45,903.05,-4.378441338415928
2015-02-28,906.0,914.0,829.05,836.2,-7.704194260485647
