Date,Open,High,Low,Close,Returns%
2000-01-31,72.5,77.9,64.25,70.35,-2.965517241379318
2000-02-29,68.5,76.0,50.0,55.25,-19.343065693430656
2000-03-31,58.35,59.7,42.0,53.5,-8.311910882604971
2000-04-30,57.45,60.0,47.5,47.5,-17.319408181026983
2000-05-31,48.1,51.35,46.0,47.0,-2.28690228690229
2000-06-30,46.0,49.4,42.1,44.3,-3.6956521739130497
2000-07-31,45.8,46.0,40.1,40.5,-11.57205240174672
2000-08-31,41.7,42.65,37.1,42.1,0.9592326139088694
2000-09-30,42.75,44.0,37.5,42.0,-1.7543859649122806
2000-10-31,42.0,42.9,37.3,38.5,-8.333333333333334
2000-11-30,40.9,50.5,39.05,47.05,15.036674816625915
2000-12-31,49.5,57.7,46.55,54.1,9.292929292929296
2001-01-31,53.0,60.0,53.0,58.15,9.71698113207547
2001-02-28,58.0,65.0,49.0,53.0,-8.620689655172415
2001-03-31,49.25,54.0,45.5,47.0,-4.568527918781726
2001-04-30,50.0,52.0,45.0,48.1,-3.799999999999997
2001-05-31,46.3,74.0,44.15,69.7,50.53995680345574
2001-06-30,67.0,71.0,57.2,64.6,-3.5820895522388145
2001-07-31,66.0,66.0,54.0,54.0,-18.181818181818183
2001-08-31,55.0,55.0,48.0,53.1,-3.454545454545452
2001-09-30,54.0,54.0,47.25,53.6,-0.7407407407407381
2001-10-31,54.0,54.0,49.0,49.0,-9.25925925925926
2001-11-30,53.0,61.0,49.9,61.0,15.09433962264151
2001-12-31,61.05,65.0,55.0,55.0,-9.909909909909906
2002-01-31,59.0,67.95,55.45,64.85,9.915254237288126
2002-02-28,62.0,85.2,62.0,73.9,19.193548387096783
2002-03-31,73.25,75.1,65.0,67.75,-7.508532423208191
2002-04-30,67.0,89.0,65.0,84.0,25.37313432835821
2002-05-31,93.35,93.35,69.0,75.55,-19.068023567220138
2002-06-30,73.0,87.45,71.35,83.75,14.726027397260275
2002-07-31,81.5,92.9,60.15,64.5,-20.858895705521473
2002-08-31,64.0,69.9,53.55,64.05,0.07812499999999556
2002-09-30,65.0,67.5,55.5,64.5,-0.7692307692307693
2002-10-31,64.1,66.85,60.0,61.65,-3.8221528861154384
2002-11-30,61.4,65.75,59.25,64.5,5.048859934853422
2002-12-31,67.9,68.95,62.8,64.75,-4.639175257731967
2003-01-31,65.0,67.7,60.15,61.2,-5.846153846153841
2003-02-28,63.0,64.9,56.0,64.9,3.0158730158730247
2003-03-31,65.0,74.5,62.25,63.9,-1.6923076923076945
2003-04-30,66.55,68.8,60.0,64.0,-3.8317054845980425
2003-05-31,64.0,78.0,60.9,76.5,19.53125
2003-06-30,79.85,83.95,67.5,72.5,-9.204758922980583
2003-07-31,72.4,79.2,66.0,69.55,-3.9364640883978015
2003-08-31,70.0,77.75,69.15,72.55,3.642857142857139
2003-09-30,72.2,84.0,71.05,76.6,6.0941828254847525
2003-10-31,65.0,102.0,63.0,92.55,42.38461538461538
2003-11-30,92.55,124.85,91.1,116.5,25.877903835764457
2003-12-31,116.3,194.9,109.1,168.65,45.01289767841789
2004-01-31,170.0,180.0,125.0,147.35,-13.323529411764708
2004-02-29,145.0,145.0,120.0,126.0,-13.10344827586207
2004-03-31,130.0,136.95,98.3,107.4,-17.38461538461538
2004-04-30,110.0,145.0,108.0,128.55,16.863636363636374
2004-05-31,129.95,139.95,108.0,124.9,-3.886110042323958
2004-06-30,128.0,130.0,107.0,115.75,-9.5703125
2004-07-31,115.25,134.0,105.0,118.9,3.1670281995661655
2004-08-31,118.0,136.8,115.5,134.95,14.364406779661007
2004-09-30,134.8,159.45,128.3,151.05,12.054896142433233
2004-10-31,150.0,161.5,140.0,142.6,-4.933333333333337
2004-11-30,144.5,174.45,142.5,158.4,9.61937716262976
2004-12-31,160.0,175.0,151.0,170.35,6.468749999999997
2005-01-31,180.0,191.0,156.1,179.2,-0.44444444444445075
2005-02-28,174.0,210.0,173.9,205.1,17.873563218390803
2005-03-31,205.0,220.0,200.5,208.0,1.4634146341463414
2005-04-30,209.0,228.0,185.0,208.1,-0.43062200956938074
2005-05-31,205.5,228.0,196.0,214.65,4.45255474452555
2005-06-30,212.85,224.45,191.0,192.15,-9.725158562367861
2005-07-31,193.1,250.1,192.1,230.65,19.44588296219576
2005-08-31,222.35,257.8,214.2,253.65,14.076905779176977
2005-09-30,252.45,264.2,230.0,237.0,-6.1200237670825866
2005-10-31,242.75,280.0,233.4,258.95,6.673532440782694
2005-11-30,290.0,302.45,261.6,299.2,3.1724137931034444
