Date,Open,High,Low,Close,Returns%
2000-01-31,31.45,37.8,24.8,24.95,-20.667726550079493
2000-02-29,23.2,48.8,23.0,38.4,65.51724137931035
2000-03-31,40.9,69.0,32.25,41.85,2.3227383863080755
2000-04-30,42.1,42.1,26.6,27.0,-35.86698337292162
2000-05-31,25.25,34.2,24.85,30.55,20.990099009900995
2000-06-30,29.65,31.95,23.5,24.25,-18.212478920741987
2000-07-31,25.0,38.0,23.9,34.05,36.19999999999999
2000-08-31,34.8,36.9,28.5,30.55,-12.21264367816091
2000-09-30,30.05,35.0,25.15,26.0,-13.477537437603996
2000-10-31,24.2,26.95,22.0,24.45,1.0330578512396695
2000-11-30,26.45,31.8,25.55,30.25,14.366729678638944
2000-12-31,30.0,35.85,28.05,33.0,10.0
2001-01-31,31.4,35.9,29.05,30.55,-2.707006369426745
2001-02-28,30.25,35.5,27.5,29.35,-2.9752066115702434
2001-03-31,30.5,31.9,22.8,24.7,-19.016393442622956
2001-04-30,23.05,33.0,22.9,28.0,21.47505422993492
2001-05-31,29.9,34.15,28.0,31.55,5.518394648829439
2001-06-30,32.1,34.2,29.0,29.0,-9.657320872274147
2001-07-31,28.05,35.7,26.05,33.2,18.36007130124778
2001-08-31,33.2,34.0,29.7,31.35,-5.57228915662651
2001-09-30,32.7,32.7,25.2,27.5,-15.90214067278288
2001-10-31,30.0,39.1,28.0,37.45,24.83333333333334
2001-11-30,35.1,47.95,34.0,44.8,27.63532763532762
2001-12-31,47.45,48.5,34.05,38.1,-19.704952581664912
2002-01-31,38.0,46.0,37.0,44.85,18.02631578947369
2002-02-28,44.15,48.4,43.5,43.75,-0.9060022650056593
2002-03-31,44.1,52.4,43.55,49.85,13.038548752834467
2002-04-30,52.0,111.0,50.0,99.95,92.21153846153847
2002-05-31,102.9,104.95,66.3,77.85,-24.34402332361517
2002-06-30,79.0,164.1,74.5,143.5,81.64556962025317
2002-07-31,144.95,168.0,100.8,119.65,-17.454294584339415
2002-08-31,120.4,141.0,116.1,137.95,14.576411960132875
2002-09-30,140.0,150.0,133.1,141.1,0.7857142857142817
2002-10-31,142.7,147.9,131.95,133.95,-6.131744919411353
2002-11-30,135.45,142.3,130.0,135.45,0.0
2002-12-31,137.0,162.0,136.0,153.45,12.007299270072984
2003-01-31,155.0,163.0,120.0,121.85,-21.38709677419355
2003-02-28,125.0,136.1,114.75,129.3,3.4400000000000093
2003-03-31,130.0,131.9,49.2,49.45,-61.96153846153846
2003-04-30,50.5,74.6,49.3,66.95,32.57425742574258
2003-05-31,68.5,90.5,68.5,79.0,15.328467153284672
2003-06-30,80.0,95.0,77.0,88.95,11.187500000000004
2003-07-31,90.4,119.0,90.0,94.2,4.203539823008846
2003-08-31,93.1,97.2,85.05,86.05,-7.572502685284638
2003-09-30,86.25,89.6,67.2,86.95,0.811594202898554
2003-10-31,87.8,101.8,71.0,80.7,-8.086560364464686
2003-11-30,79.5,96.65,79.5,87.95,10.628930817610065
2003-12-31,91.0,114.5,87.5,107.75,18.406593406593405
2004-01-31,108.0,124.0,79.1,80.65,-25.32407407407407
2004-02-29,79.55,87.0,69.0,74.1,-6.851037083595227
2004-03-31,74.1,80.5,59.0,75.3,1.6194331983805708
2004-04-30,76.0,85.85,72.2,78.9,3.815789473684218
2004-05-31,76.95,85.0,58.0,67.5,-12.280701754385968
2004-06-30,68.1,74.0,60.7,71.0,4.258443465491933
2004-07-31,70.5,73.0,59.2,59.55,-15.531914893617024
2004-08-31,59.6,65.5,52.25,64.15,7.63422818791947
2004-09-30,65.25,68.1,61.6,62.05,-4.904214559386977
2004-10-31,62.0,72.9,59.0,63.4,2.25806451612903
2004-11-30,64.75,84.5,63.0,71.6,10.57915057915057
2004-12-31,73.7,84.0,68.05,73.45,-0.33921302578018997
2005-01-31,74.1,78.5,56.5,63.9,-13.765182186234814
2005-02-28,63.9,68.3,53.0,62.95,-1.4866979655711983
2005-03-31,62.75,67.1,55.0,58.9,-6.135458167330679
2005-04-30,59.25,65.3,55.5,63.3,6.835443037974679
2005-05-31,63.45,92.0,63.0,83.0,30.81166272655634
2005-06-30,83.25,99.0,78.5,80.15,-3.723723723723717
2005-07-31,79.0,82.9,66.9,71.05,-10.063291139240508
2005-08-31,71.4,84.4,70.75,80.55,12.815126050420155
2005-09-30,83.95,93.0,72.05,76.85,-8.457415128052423
2005-10-31,78.0,82.0,66.8,68.25,-12.5
2005-11-30,70.0,76.5,68.1,71.8,2.571428571428567
2005-12-31,72.7,76.5,67.05,74.65,2.6822558459422323
2006-01-31,77.95,88.8,74.0,75.05,-3.7203335471456134
2006-02-28,82.0,84.15,66.6,72.1,-12.073170731707323
2006-03-31,72.5,76.0,64.0,69.3,-4.413793103448279
2006-04-30,71.9,84.7,68.0,83.05,15.507649513212781
2006-05-31,84.8,106.8,78.0,87.95,3.714622641509441
2006-06-30,88.0,139.0,75.0,110.2,25.227272727272734
2006-07-31,111.7,112.0,81.25,91.15,-18.39749328558639
2006-08-31,93.75,114.0,85.0,94.55,0.8533333333333303
2006-09-30,95.05,99.4,87.35,91.7,-3.5244608100999417
2006-10-31,91.6,101.5,87.5,88.0,-3.9301310043668063
2006-11-30,88.05,90.5,80.6,81.15,-7.836456558773414
2006-12-31,82.2,84.3,75.0,81.3,-1.094890510948912
2007-01-31,82.35,96.2,81.15,84.1,2.125075895567699
2007-02-28,84.9,85.5,73.15,74.7,-12.014134275618376
2007-03-31,76.8,79.0,69.15,73.7,-4.036458333333326
2007-04-30,72.0,91.8,71.0,85.7,19.027777777777782
2007-05-31,87.9,96.3,83.0,90.9,3.41296928327645
2007-06-30,89.2,94.8,85.3,90.4,1.345291479820631
2007-07-31,89.1,107.0,84.5,88.4,-0.7856341189674396
2007-08-31,86.7,93.7,82.25,87.5,0.9227220299884626
2007-09-30,86.25,97.0,86.0,88.45,2.5507246376811628
2007-10-31,88.0,95.8,75.0,94.55,7.443181818181816
2007-11-30,98.0,118.5,91.1,104.65,6.785714285714292
2007-12-31,106.0,157.5,103.5,155.2,46.415094339622634
2008-01-31,155.0,165.4,85.05,110.4,-28.774193548387093
2008-02-29,111.0,119.0,96.6,100.75,-9.234234234234235
2008-03-31,101.1,101.85,81.0,85.05,-15.875370919881304
2008-04-30,85.7,116.0,85.0,108.85,27.01283547257875
2008-05-31,109.9,112.45,103.05,104.15,-5.232029117379436
2008-06-30,107.8,107.8,90.0,92.0,-14.65677179962894
2008-07-31,91.0,104.0,80.1,95.45,4.890109890109893
2008-08-31,95.3,115.0,93.5,95.9,0.6295907660021076
2008-09-30,98.0,105.0,84.0,87.2,-11.020408163265303
2008-10-31,87.9,89.0,55.6,64.8,-26.279863481228677
2008-11-30,67.5,72.0,56.0,61.65,-8.666666666666668
2008-12-31,62.0,67.9,58.85,64.45,3.951612903225811
2009-01-31,63.7,71.25,58.1,62.7,-1.5698587127158554
2009-02-28,65.0,72.7,60.1,62.15,-4.384615384615387
2009-03-31,60.75,64.0,51.95,62.15,2.304526748971191
