Date,Open,High,Low,Close,Returns%
2000-01-31,580.0,630.0,550.0,625.15,7.784482758620687
2000-02-29,631.0,640.0,460.0,481.5,-23.692551505546753
2000-03-31,490.0,490.0,350.0,390.8,-20.24489795918367
2000-04-30,390.0,422.0,360.0,373.0,-4.358974358974359
2000-05-31,375.0,426.0,350.0,391.1,4.293333333333339
2000-06-30,399.9,487.9,370.0,440.2,10.077519379844965
2000-07-31,435.0,547.9,421.0,465.0,6.896551724137931
2000-08-31,465.0,480.0,405.0,414.85,-10.784946236559136
2000-09-30,414.0,440.0,339.0,347.35,-16.099033816425116
2000-10-31,345.0,352.0,287.0,335.7,-2.6956521739130466
2000-11-30,335.05,369.0,70.0,73.95,-77.92866736308015
2000-12-31,74.25,89.9,73.0,83.35,12.255892255892249
2001-01-31,83.5,97.0,76.0,86.3,3.3532934131736494
2001-02-28,85.75,97.3,74.3,82.2,-4.139941690962096
2001-03-31,83.0,84.0,55.2,57.55,-30.662650602409645
2001-04-30,57.0,64.3,55.5,59.8,4.912280701754381
2001-05-31,61.1,70.5,52.15,61.75,1.06382978723404
2001-06-30,62.15,62.15,49.0,51.5,-17.13596138374899
2001-07-31,53.0,54.45,44.0,44.95,-15.188679245283014
2001-08-31,45.0,59.2,44.0,53.75,19.444444444444443
2001-09-30,54.25,55.7,45.7,49.4,-8.94009216589862
2001-10-31,50.0,55.95,44.0,50.8,1.5999999999999943
2001-11-30,53.9,65.0,52.0,55.4,2.782931354359926
2001-12-31,56.25,63.25,50.45,52.55,-6.577777777777783
2002-01-31,54.25,57.9,51.5,52.1,-3.963133640552993
2002-02-28,52.0,64.7,50.0,52.9,1.730769230769228
2002-03-31,52.2,58.5,50.6,52.45,0.4789272030651341
2002-04-30,53.05,55.8,50.8,51.5,-2.9217719132893443
2002-05-31,52.2,55.4,48.3,49.15,-5.842911877394644
2002-06-30,49.0,61.85,48.85,57.75,17.857142857142858
2002-07-31,58.0,64.0,48.25,52.4,-9.655172413793105
2002-08-31,52.75,58.6,50.55,54.55,3.4123222748815114
2002-09-30,55.85,55.85,47.5,47.95,-14.145031333930168
2002-10-31,48.1,51.5,45.05,49.25,2.390852390852388
2002-11-30,49.5,52.85,47.1,50.35,1.71717171717172
2002-12-31,50.8,51.35,46.85,48.6,-4.330708661417314
2003-01-31,49.45,52.7,47.15,52.05,5.257836198179968
2003-02-28,52.0,59.8,51.8,58.65,12.788461538461537
2003-03-31,59.9,59.9,50.1,51.05,-14.774624373956597
2003-04-30,51.0,58.85,51.0,57.95,13.627450980392162
2003-05-31,58.75,73.85,58.05,72.05,22.63829787234042
2003-06-30,74.4,75.0,63.0,68.2,-8.333333333333336
2003-07-31,69.7,81.0,64.0,76.0,9.038737446197988
2003-08-31,77.0,89.0,72.55,78.35,1.753246753246746
2003-09-30,79.0,92.95,78.0,87.25,10.443037974683545
2003-10-31,90.0,111.3,83.15,107.15,19.05555555555556
