Date,Open,High,Low,Close,Returns%
2000-01-31,20.5,22.5,17.0,17.05,-16.829268292682926
2000-02-29,19.9,25.6,16.5,20.65,3.7688442211055277
2000-03-31,20.65,21.85,14.9,17.35,-15.980629539951561
2000-04-30,16.55,20.35,15.35,17.2,3.9274924471299006
2000-05-31,16.0,23.5,15.0,20.75,29.6875
2000-06-30,21.65,23.9,16.55,19.0,-12.24018475750577
2000-07-31,18.75,20.0,16.0,16.15,-13.866666666666672
2000-08-31,16.05,16.85,14.6,15.0,-6.542056074766359
2000-09-30,14.6,18.75,14.1,14.5,-0.6849315068493127
2000-10-31,14.8,16.05,13.0,14.05,-5.0675675675675675
2000-11-30,14.0,17.0,13.5,15.0,7.142857142857143
2000-12-31,14.65,17.25,14.0,14.8,1.0238907849829375
2001-01-31,14.85,15.5,13.5,14.9,0.3367003367003415
2001-02-28,14.9,17.9,14.0,15.8,6.04026845637584
2001-03-31,15.85,16.0,12.85,14.0,-11.671924290220819
2001-04-30,13.5,16.6,12.1,14.5,7.407407407407407
2001-05-31,14.4,22.0,14.4,20.65,43.402777777777764
2001-06-30,20.75,21.2,15.3,17.0,-18.072289156626507
2001-07-31,16.55,17.25,15.0,15.55,-6.042296072507552
2001-08-31,15.5,17.0,15.0,15.85,2.25806451612903
2001-09-30,15.8,16.3,13.15,15.1,-4.43037974683545
2001-10-31,15.0,16.5,14.75,16.0,6.666666666666667
2001-11-30,15.9,17.5,15.55,16.35,2.8301886792452895
2001-12-31,16.9,16.95,14.8,15.35,-9.17159763313609
2002-01-31,15.9,20.95,15.15,16.1,1.2578616352201324
2002-02-28,15.9,18.0,15.5,16.45,3.459119496855339
2002-03-31,16.5,17.8,15.5,17.05,3.3333333333333375
2002-04-30,17.05,18.4,16.35,17.3,1.466275659824047
2002-05-31,17.0,20.5,15.75,17.7,4.117647058823525
2002-06-30,18.0,22.0,17.6,19.3,7.222222222222225
2002-07-31,19.1,22.25,17.7,18.3,-4.188481675392674
2002-08-31,18.1,19.0,15.85,16.45,-9.116022099447525
2002-09-30,16.5,18.95,16.0,16.5,0.0
2002-10-31,16.05,17.35,16.05,16.75,4.361370716510899
2002-11-30,16.6,17.5,16.6,17.45,5.12048192771083
2002-12-31,17.35,18.25,16.1,17.3,-0.2881844380403499
2003-01-31,17.2,19.0,17.0,18.15,5.523255813953485
2003-02-28,18.2,20.6,18.0,19.75,8.51648351648352
2003-03-31,19.0,19.95,18.0,18.55,-2.368421052631575
2003-04-30,18.5,21.2,18.2,20.95,13.24324324324324
2003-05-31,21.2,24.95,20.9,24.25,14.386792452830193
2003-06-30,24.0,28.8,22.0,28.15,17.29166666666666
2003-07-31,28.9,28.9,22.75,24.15,-16.435986159169552
2003-08-31,24.2,32.0,23.55,25.75,6.404958677685953
2003-09-30,24.0,29.85,22.0,28.7,19.583333333333332
2003-10-31,28.15,36.5,27.0,34.1,21.13676731793962
2003-11-30,31.1,44.2,30.1,40.05,28.778135048231494
2003-12-31,39.5,48.3,39.0,43.8,10.886075949367081
2004-01-31,39.0,49.2,32.0,35.6,-8.717948717948715
2004-02-29,36.35,38.6,31.75,32.45,-10.72902338376891
2004-03-31,32.5,35.0,27.75,33.05,1.6923076923076836
2004-04-30,33.5,46.4,33.2,38.45,14.776119402985083
2004-05-31,38.95,41.8,29.5,34.95,-10.269576379974325
2004-06-30,36.4,36.4,33.25,36.2,-0.5494505494505377
2004-07-31,34.5,35.5,30.2,31.8,-7.8260869565217375
2004-08-31,32.5,36.6,30.5,36.4,11.999999999999996
2004-09-30,36.95,42.85,35.2,41.8,13.125845737483068
2004-10-31,42.3,43.3,35.9,41.0,-3.0732860520094496
2004-11-30,41.05,53.25,40.3,47.1,14.738124238733263
2004-12-31,47.65,52.4,43.55,50.05,5.036726128016786
2005-01-31,51.5,57.85,40.1,52.75,2.4271844660194173
2005-02-28,52.5,61.95,52.0,54.8,4.380952380952375
2005-03-31,56.8,70.45,46.6,62.85,10.651408450704233
2005-04-30,63.85,70.7,60.3,62.35,-2.349256068911511
2005-05-31,62.0,77.5,61.5,66.65,7.500000000000009
2005-06-30,67.0,72.0,63.1,65.05,-2.910447761194034
2005-07-31,64.95,86.9,63.0,76.35,17.55196304849883
2005-08-31,77.0,93.8,72.05,91.0,18.181818181818183
2005-09-30,91.8,105.85,81.1,89.4,-2.614379084967311
2005-10-31,89.95,94.7,74.0,74.75,-16.89827682045581
2005-11-30,76.4,93.5,75.45,88.3,15.575916230366479
2005-12-31,89.2,101.0,85.0,91.45,2.522421524663677
2006-01-31,92.0,116.5,91.45,105.05,14.18478260869565
2006-02-28,105.5,114.7,97.0,99.1,-6.06635071090048
2006-03-31,99.0,102.9,88.3,99.4,0.4040404040404098
2006-04-30,101.8,118.9,81.15,99.95,-1.8172888015717037
2006-05-31,99.7,120.0,76.25,91.7,-8.02407221664995
2006-06-30,92.7,95.0,62.4,71.65,-22.7076591154261
2006-07-31,73.0,83.55,66.25,76.75,5.136986301369863
2006-08-31,76.75,89.6,74.6,81.1,5.667752442996735
2006-09-30,80.95,93.0,80.95,87.3,7.844348363187145
2006-10-31,87.6,97.3,82.7,83.35,-4.851598173515982
2006-11-30,83.0,85.5,70.1,77.6,-6.506024096385549
2006-12-31,75.65,94.0,70.15,87.55,15.730337078651672
2007-01-31,87.55,113.85,85.55,101.05,15.419760137064536
2007-02-28,101.0,105.0,78.0,86.65,-14.207920792079204
2007-03-31,88.9,88.9,73.5,84.65,-4.780652418447694
2007-04-30,80.6,89.8,80.6,84.6,4.962779156327544
2007-05-31,84.2,94.0,82.5,86.7,2.969121140142518
2007-06-30,86.0,98.45,86.0,90.55,5.290697674418602
2007-07-31,91.0,109.0,89.6,105.1,15.49450549450549
2007-08-31,106.0,112.0,90.05,105.45,-0.5188679245282992
2007-09-30,98.1,127.3,98.1,119.5,21.814475025484207
2007-10-31,120.0,138.4,89.0,133.45,11.208333333333323
2007-11-30,133.45,171.7,118.0,143.65,7.643312101910841
2007-12-31,148.95,176.3,143.0,169.4,13.729439409197731
2008-01-31,163.2,178.0,97.0,118.25,-27.54289215686274
2008-02-29,119.9,153.0,108.5,131.15,9.382819015846538
2008-03-31,124.0,128.4,70.9,99.35,-19.87903225806452
2008-04-30,101.35,118.0,92.0,109.4,7.942772570300949
2008-05-31,110.05,114.0,96.1,105.8,-3.861880963198546
2008-06-30,106.9,114.0,85.1,87.7,-17.960710944808234
2008-07-31,88.8,105.4,76.6,104.05,17.173423423423422
