Date,Open,High,Low,Close,Returns%
2000-01-31,189.0,207.7,142.5,146.75,-22.354497354497354
2000-02-29,146.1,158.0,135.05,145.1,-0.6844626967830254
2000-03-31,140.25,150.85,120.0,130.0,-7.308377896613191
2000-04-30,128.25,133.95,108.0,116.0,-9.551656920077972
2000-05-31,115.0,119.9,95.0,116.65,1.4347826086956572
2000-06-30,118.25,131.0,111.05,118.5,0.21141649048625794
2000-07-31,118.0,170.0,114.5,134.0,13.559322033898304
2000-08-31,132.0,132.0,110.0,128.9,-2.348484848484844
2000-09-30,134.0,167.5,128.0,140.0,4.477611940298507
2000-10-31,141.0,149.0,110.0,113.0,-19.858156028368793
2000-11-30,115.0,118.0,107.2,112.5,-2.1739130434782608
2000-12-31,113.9,132.7,106.5,113.0,-0.7901668129938592
2001-01-31,110.05,128.9,102.0,116.5,5.860972285324855
2001-02-28,116.5,131.0,105.5,113.0,-3.004291845493562
2001-03-31,108.0,120.0,80.0,82.6,-23.518518518518523
2001-04-30,82.85,83.5,72.0,76.25,-7.966203983101985
2001-05-31,76.3,92.0,73.05,91.8,20.31454783748362
2001-06-30,93.95,93.95,67.75,74.5,-20.702501330494947
2001-07-31,74.5,77.9,68.05,70.0,-6.040268456375839
2001-08-31,65.0,75.5,63.1,72.05,10.846153846153843
2001-09-30,77.75,77.75,59.5,62.25,-19.935691318327976
2001-10-31,66.85,95.0,61.05,77.0,15.18324607329844
2001-11-30,78.9,87.0,77.35,86.0,8.998732572877051
2001-12-31,87.0,89.0,76.0,77.3,-11.149425287356324
2002-01-31,78.05,81.35,73.25,75.5,-3.26713645099295
2002-02-28,76.15,86.9,76.15,78.7,3.3486539724228455
2002-03-31,77.3,80.0,74.5,78.9,2.069857697283323
2002-04-30,77.65,96.85,76.1,83.1,7.0186735350933525
2002-05-31,84.0,88.25,72.9,75.6,-10.000000000000007
2002-06-30,79.95,94.95,75.0,88.15,10.256410256410259
2002-07-31,89.95,108.9,80.0,82.15,-8.671484157865478
2002-08-31,87.0,96.8,85.0,91.4,5.057471264367822
2002-09-30,95.0,95.0,83.1,83.65,-11.947368421052627
2002-10-31,83.5,97.8,80.0,95.4,14.25149700598803
2002-11-30,94.5,103.0,91.0,101.9,7.830687830687837
2002-12-31,100.05,110.0,93.0,98.0,-2.0489755122438753
2003-01-31,98.25,110.4,91.05,108.75,10.687022900763358
2003-02-28,109.5,111.0,104.35,104.35,-4.703196347031969
2003-03-31,105.5,111.95,100.0,108.45,2.79620853080569
2003-04-30,108.05,114.0,102.0,105.0,-2.8227672373900945
2003-05-31,104.0,114.0,100.35,107.0,2.8846153846153846
2003-06-30,106.0,109.0,94.1,104.95,-0.9905660377358464
2003-07-31,108.5,119.5,100.0,108.7,0.18433179723502566
2003-08-31,112.5,117.75,102.0,106.5,-5.333333333333333
2003-09-30,108.0,120.0,102.5,108.1,0.09259259259258733
2003-10-31,109.0,115.9,98.6,108.55,-0.41284403669725034
2003-11-30,108.2,139.8,105.2,133.65,23.521256931608136
2003-12-31,135.0,162.0,128.8,141.1,4.518518518518515
2004-01-31,150.0,150.0,111.7,116.3,-22.46666666666667
2004-02-29,115.0,125.0,108.0,114.15,-0.7391304347826038
2004-03-31,113.65,121.95,102.1,107.15,-5.719313682358116
2004-04-30,108.25,117.05,108.0,117.0,8.083140877598153
2004-05-31,119.0,119.0,97.8,104.95,-11.80672268907563
2004-06-30,105.0,108.0,91.0,103.65,-1.2857142857142803
2004-07-31,101.0,117.8,96.7,108.0,6.930693069306931
2004-08-31,108.0,134.0,105.0,130.2,20.555555555555546
2004-09-30,133.0,143.25,123.25,135.85,2.142857142857139
2004-10-31,137.0,147.8,129.55,134.0,-2.18978102189781
2004-11-30,133.0,173.2,110.0,173.2,30.22556390977443
2004-12-31,188.0,196.0,160.15,166.2,-11.595744680851068
2005-01-31,169.0,176.7,135.0,154.05,-8.84615384615384
2005-02-28,154.85,168.0,146.2,154.9,0.03228931223765668
2005-03-31,154.0,168.0,141.35,150.9,-2.012987012987009
2005-04-30,149.05,188.7,148.05,156.75,5.166051660516597
2005-05-31,155.0,179.0,148.25,166.15,7.193548387096777
2005-06-30,168.35,193.0,157.15,159.6,-5.197505197505198
2005-07-31,161.0,188.9,158.0,177.25,10.093167701863354
2005-08-31,180.0,209.7,175.0,197.25,9.583333333333334
2005-09-30,202.0,220.0,177.0,185.6,-8.11881188118812
2005-10-31,186.4,196.0,157.0,164.1,-11.963519313304726
2005-11-30,166.0,188.4,160.0,183.05,10.271084337349404
2005-12-31,183.0,219.0,183.0,210.2,14.863387978142072
2006-01-31,198.0,232.95,181.25,210.65,6.388888888888891
2006-02-28,210.0,244.75,207.5,222.9,6.142857142857145
2006-03-31,227.0,272.0,222.0,260.15,14.60352422907488
2006-04-30,310.0,310.0,244.0,251.35,-18.91935483870968
2006-05-31,255.0,255.1,180.0,186.3,-26.941176470588232
2006-06-30,185.25,199.0,130.0,169.25,-8.63697705802969
2006-07-31,174.5,199.0,145.5,164.4,-5.787965616045842
