Date,Open,High,Low,Close,Returns%
2000-01-31,132.0,178.75,123.0,169.4,28.333333333333336
2000-02-29,167.45,178.95,132.0,148.25,-11.46610928635413
2000-03-31,149.0,155.05,86.65,104.75,-29.697986577181208
2000-04-30,105.9,108.0,88.75,92.35,-12.795089707271021
2000-05-31,90.4,97.9,77.3,89.3,-1.2168141592920447
2000-06-30,89.4,92.4,78.0,84.05,-5.984340044742739
2000-07-31,83.5,88.0,74.0,75.3,-9.820359281437128
2000-08-31,69.3,73.85,54.0,68.65,-0.9379509379509257
2000-09-30,68.5,71.4,61.0,64.6,-5.693430656934315
2000-10-31,64.5,75.0,59.05,70.95,10.000000000000004
2000-11-30,67.1,73.8,66.0,72.05,7.377049180327874
2000-12-31,72.0,79.9,68.6,69.8,-3.0555555555555594
2001-01-31,69.1,76.95,56.6,58.05,-15.991316931982633
2001-02-28,58.8,77.95,55.85,68.25,16.071428571428577
2001-03-31,69.9,70.75,55.8,58.6,-16.16595135908441
2001-04-30,57.0,61.2,53.0,55.65,-2.3684210526315814
2001-05-31,57.5,70.25,53.1,67.75,17.82608695652174
2001-06-30,69.5,70.0,59.1,62.65,-9.85611510791367
2001-07-31,63.1,71.0,60.5,70.95,12.4405705229794
2001-08-31,71.5,72.4,62.3,64.0,-10.48951048951049
2001-09-30,63.0,64.95,53.0,61.5,-2.380952380952381
2001-10-31,60.55,65.0,59.0,61.15,0.9909165978530164
2001-11-30,63.95,73.0,61.0,67.7,5.863956215793588
2001-12-31,67.1,73.5,65.0,70.0,4.321907600596134
2002-01-31,69.0,73.0,58.25,70.15,1.666666666666675
2002-02-28,71.0,78.3,69.0,72.8,2.53521126760563
2002-03-31,71.65,79.95,71.1,72.55,1.256106071179332
2002-04-30,71.15,105.8,69.3,103.2,45.04567814476457
2002-05-31,105.0,110.0,74.05,83.3,-20.66666666666667
2002-06-30,87.0,108.95,84.0,99.75,14.655172413793103
2002-07-31,99.15,130.0,90.0,93.8,-5.395864851235511
2002-08-31,95.1,104.95,90.15,96.3,1.2618296529968485
2002-09-30,94.1,98.75,88.0,94.55,0.4782146652497374
2002-10-31,95.0,95.0,77.0,78.0,-17.894736842105264
2002-11-30,78.0,88.9,73.0,86.3,10.641025641025639
2002-12-31,89.75,99.9,84.05,86.95,-3.11977715877437
2003-01-31,90.0,90.0,78.1,80.1,-11.000000000000007
2003-02-28,79.0,83.7,74.0,81.95,3.734177215189877
2003-03-31,84.0,85.9,74.0,75.3,-10.35714285714286
2003-04-30,84.0,84.4,77.15,81.05,-3.5119047619047654
2003-05-31,82.5,103.8,80.4,99.75,20.90909090909091
2003-06-30,100.9,124.4,98.85,121.95,20.86223984142715
2003-07-31,125.0,141.4,109.0,113.5,-9.2
2003-08-31,123.5,151.0,108.55,135.65,9.838056680161946
2003-09-30,133.3,163.65,124.0,154.95,16.241560390097504
2003-10-31,155.0,156.0,136.15,139.9,-9.741935483870964
2003-11-30,145.95,180.0,134.0,175.2,20.041109969167525
2003-12-31,172.0,282.0,165.0,218.55,27.0639534883721
2004-01-31,224.45,225.0,160.0,175.2,-21.942526175094677
2004-02-29,176.95,204.0,162.0,197.0,11.330884430630128
2004-03-31,197.7,215.0,186.0,200.0,1.1633788568538248
2004-04-30,198.5,265.0,191.0,257.8,29.874055415617132
2004-05-31,245.0,261.5,172.5,207.25,-15.408163265306122
2004-06-30,215.0,234.9,165.0,192.9,-10.27906976744186
2004-07-31,194.0,232.0,184.0,220.2,13.505154639175252
2004-08-31,222.0,301.0,219.5,284.5,28.153153153153152
2004-09-30,282.0,299.0,260.0,285.8,1.3475177304964578
2004-10-31,284.9,350.0,284.9,320.4,12.460512460512462
2004-11-30,321.25,387.95,321.0,371.4,15.610894941634236
2004-12-31,378.0,413.0,350.1,405.95,7.394179894179892
2005-01-31,415.0,475.0,378.5,473.2,14.024096385542167
2005-02-28,480.0,559.7,415.0,514.6,7.208333333333338
2005-03-31,514.75,625.0,490.0,533.7,3.6813987372511017
2005-04-30,530.0,559.8,455.55,529.55,-0.08490566037736708
2005-05-31,539.95,619.4,121.25,121.95,-77.41457542365035
2005-06-30,121.0,123.5,108.1,115.65,-4.42148760330578
2005-07-31,114.1,168.75,114.0,160.6,40.75372480280456
2005-08-31,164.4,188.0,158.0,176.2,7.177615571776144
2005-09-30,177.0,210.5,170.0,186.7,5.480225988700559
2005-10-31,188.0,200.0,155.65,176.3,-6.223404255319143
2005-11-30,178.0,194.45,161.7,190.55,7.050561797752815
2005-12-31,189.9,233.95,186.2,206.05,8.504476040021066
2006-01-31,208.7,268.0,207.5,230.15,10.277910876856742
2006-02-28,230.0,267.5,217.7,241.6,5.043478260869564
2006-03-31,241.9,293.9,237.5,286.25,18.334022323274077
2006-04-30,286.25,320.95,251.05,289.6,1.170305676855903
2006-05-31,292.3,365.2,241.0,283.2,-3.1132398221005895
2006-06-30,285.0,304.0,155.6,201.85,-29.17543859649123
2006-07-31,204.5,206.95,162.0,187.7,-8.215158924205385
2006-08-31,191.8,220.9,169.0,169.75,-11.496350364963508
2006-09-30,170.0,176.0,151.75,162.7,-4.2941176470588305
2006-10-31,163.95,175.5,156.6,163.4,-0.3354681305275895
2006-11-30,164.75,165.65,139.1,139.6,-15.265553869499245
2006-12-31,140.0,153.5,127.1,135.1,-3.500000000000004
2007-01-31,135.1,144.9,117.5,118.9,-11.991117690599548
2007-02-28,120.95,134.9,112.0,125.2,3.5138486978090118
2007-03-31,124.2,133.4,118.25,128.55,3.5024154589372047
2007-04-30,127.8,133.5,121.0,121.35,-5.046948356807514
2007-05-31,122.0,131.5,113.5,117.05,-4.05737704918033
2007-06-30,117.45,131.6,112.0,126.95,8.088548318433375
2007-07-31,128.9,145.5,124.0,127.7,-0.930954228083788
2007-08-31,127.8,136.4,115.0,135.95,6.377151799687004
2007-09-30,136.8,180.5,136.55,155.8,13.888888888888888
2007-10-31,157.8,165.0,116.4,148.0,-6.210392902408119
2007-11-30,148.0,165.0,145.55,158.3,6.959459459459467
2007-12-31,159.0,183.9,155.6,172.3,8.364779874213843
2008-01-31,172.5,222.0,150.65,184.35,6.869565217391302
2008-02-29,184.0,190.0,165.05,181.8,-1.1956521739130372
2008-03-31,177.55,185.95,152.65,173.45,-2.3092086736130795
2008-04-30,174.0,258.55,168.0,223.85,28.649425287356316
2008-05-31,225.25,234.0,196.15,200.8,-10.854605993340728
2008-06-30,198.0,209.9,172.8,180.8,-8.686868686868682
2008-07-31,172.4,232.0,160.0,219.35,27.233178654292338
2008-08-31,215.05,268.0,215.05,227.3,5.696349686119507
2008-09-30,211.1,231.0,171.0,197.55,-6.418758882046415
2008-10-31,199.95,205.0,124.0,164.75,-17.604401100275066
2008-11-30,170.0,182.4,130.05,134.1,-21.117647058823533
2008-12-31,139.95,160.0,123.0,151.6,8.32440157199
2009-01-31,154.95,159.9,140.0,145.1,-6.356889319135202
2009-02-28,144.9,150.0,130.25,140.05,-3.347135955831604
2009-03-31,137.1,158.0,115.95,141.25,3.026987600291762
2009-04-30,143.5,189.0,140.3,170.05,18.501742160278752
2009-05-31,172.5,279.9,172.5,263.9,52.9855072463768
2009-06-30,268.9,295.0,220.25,265.95,-1.0970621048716953
2009-07-31,260.05,314.65,250.1,295.1,13.478177273601233
2009-08-31,292.05,358.5,271.55,327.7,12.206813901729147
2009-09-30,332.0,346.75,307.0,310.75,-6.400602409638554
2009-10-31,306.7,339.0,289.8,309.05,0.76622106292795
2009-11-30,308.0,342.0,298.35,335.75,9.00974025974026
2009-12-31,335.0,371.0,324.55,369.3,10.238805970149256
2010-01-31,372.95,419.0,352.0,374.1,0.3083523260490774
2010-02-28,379.9,382.0,320.1,339.0,-10.765991050276384
2010-03-31,335.1,384.4,319.0,341.7,1.9695613249776083
2010-04-30,337.05,395.0,332.0,372.1,10.399050585966476
2010-05-31,370.1,378.8,338.1,356.15,-3.769251553634165
2010-06-30,350.1,447.0,350.1,413.6,18.13767495001428
2010-07-31,403.0,444.0,375.1,385.2,-4.416873449131517
2010-08-31,389.95,430.0,373.0,391.8,0.4744197974099302
2010-09-30,392.5,479.45,392.5,428.2,9.095541401273882
2010-10-31,431.95,544.0,424.0,496.8,15.013311725894205
2010-11-30,509.7,566.85,460.0,487.4,-4.375122621149698
2010-12-31,493.0,531.25,253.25,277.1,-43.79310344827586
2011-01-31,278.0,289.0,216.25,222.1,-20.10791366906475
2011-02-28,224.95,228.0,189.0,196.6,-12.602800622360522
2011-03-31,196.05,230.0,191.0,213.7,9.002805406783972
2011-04-30,215.0,246.8,212.1,236.65,10.069767441860467
2011-05-31,241.0,244.8,203.5,211.7,-12.15767634854772
2011-06-30,212.0,254.5,210.0,251.5,18.632075471698112
2011-07-31,252.35,279.0,247.55,269.85,6.93481276005549
2011-08-31,270.35,283.0,235.0,248.0,-8.267061216941011
2011-09-30,249.9,254.95,214.3,225.85,-9.62384953981593
2011-10-31,222.05,230.85,215.4,222.55,0.22517451024544022
2011-11-30,222.75,228.0,189.0,196.85,-11.627384960718295
2011-12-31,199.0,203.4,175.55,188.75,-5.150753768844221
2012-01-31,193.95,218.8,186.4,207.35,6.908997164217585
2012-02-29,212.0,229.7,187.1,194.25,-8.372641509433961
2012-03-31,193.05,225.0,187.35,189.45,-1.8648018648018765
2012-04-30,190.0,201.5,178.1,180.35,-5.078947368421056
2012-05-31,181.0,203.3,172.15,182.15,0.6353591160221026
2012-06-30,180.4,183.8,164.5,176.55,-2.134146341463411
2012-07-31,169.0,213.45,169.0,211.0,24.85207100591716
2012-08-31,213.0,223.55,203.5,214.9,0.8920187793427257
2012-09-30,214.0,240.4,210.0,227.8,6.448598130841127
2012-10-31,231.0,256.9,214.25,232.8,0.7792207792207841
2012-11-30,233.5,246.0,222.8,231.4,-0.8993576017130597
2012-12-31,234.95,235.9,205.1,206.65,-12.04511598212385
2013-01-31,207.55,217.9,173.05,179.1,-13.707540351722484
2013-02-28,179.0,184.4,133.8,144.4,-19.329608938547484
2013-03-31,144.1,170.8,142.5,149.0,3.400416377515618
2013-04-30,149.1,167.7,147.25,153.4,2.8839704896043004
2013-05-31,152.0,160.4,135.0,141.05,-7.203947368421045
2013-06-30,141.05,145.85,127.0,133.3,-5.494505494505494
2013-07-31,132.7,149.95,113.95,121.6,-8.364732479276562
2013-08-31,123.0,127.8,103.0,114.45,-6.95121951219512
2013-09-30,115.0,138.6,112.15,129.9,12.956521739130439
2013-10-31,129.05,155.5,126.7,144.55,12.010848508330104
2013-11-30,144.55,155.0,132.6,136.9,-5.292286406087863
2013-12-31,137.0,146.8,134.4,140.85,2.810218978102186
2014-01-31,141.1,143.95,113.85,127.4,-9.70942593905031
2014-02-28,127.2,134.5,117.55,126.35,-0.6682389937106985
2014-03-31,126.35,145.0,125.05,134.05,6.094182825484778
2014-04-30,134.85,167.45,134.25,151.75,12.532443455691514
2014-05-31,150.5,208.0,150.0,198.3,31.760797342192696
2014-06-30,195.0,229.85,195.0,210.0,7.6923076923076925
2014-07-31,209.85,211.55,188.05,194.1,-7.505360972122945
2014-08-31,192.0,218.8,183.75,209.0,8.854166666666666
2014-09-30,210.5,246.9,210.5,230.1,9.311163895486933
2014-10-31,228.15,232.2,208.1,219.6,-3.747534516765291
2014-11-30,219.6,247.8,213.3,215.15,-2.0264116575591933
2014-12-31,217.0,223.7,188.35,201.75,-7.027649769585254
2015-01-31,200.7,204.45,184.05,192.9,-3.8863976083706944
2015-02-28,188.25,189.9,166.0,176.05,-6.480743691899065
