Date,Open,High,Low,Close,Returns%
2000-01-31,275.0,280.0,260.05,269.45,-2.0181818181818225
2000-02-29,270.25,275.0,248.5,270.0,-0.09250693802035152
2000-03-31,270.0,270.0,206.0,206.0,-23.703703703703702
2000-04-30,205.0,220.0,205.0,210.0,2.4390243902439024
2000-05-31,214.5,349.25,210.0,349.25,62.82051282051282
2000-06-30,377.15,389.0,288.1,337.25,-10.579345088161205
2000-07-31,341.75,398.0,302.0,349.95,2.3994147768836838
2000-08-31,349.0,357.0,13.55,19.1,-94.5272206303725
2000-09-30,19.9,20.5,15.25,17.3,-13.065326633165819
2000-10-31,17.9,18.8,13.35,15.45,-13.687150837988824
2000-11-30,15.25,15.95,13.5,15.0,-1.639344262295082
2000-12-31,15.0,17.5,13.85,15.0,0.0
2001-01-31,14.1,17.45,13.75,15.75,11.70212765957447
2001-02-28,16.5,16.9,13.15,14.25,-13.636363636363637
2001-03-31,15.1,15.1,10.15,11.0,-27.152317880794698
2001-04-30,11.95,11.95,10.0,10.6,-11.297071129707112
2001-05-31,10.5,13.35,9.0,11.0,4.761904761904762
2001-06-30,11.15,12.25,8.5,9.85,-11.659192825112113
2001-07-31,11.6,11.6,8.5,9.35,-19.396551724137932
2001-08-31,10.1,10.2,8.0,9.4,-6.9306930693069235
2001-09-30,9.5,11.95,8.8,9.55,0.5263157894736917
2001-10-31,9.45,10.6,8.8,9.45,0.0
2001-11-30,9.6,13.7,9.0,11.85,23.4375
2001-12-31,12.1,13.95,11.0,11.85,-2.066115702479339
2002-01-31,11.75,12.95,11.0,11.9,1.276595744680854
2002-02-28,12.45,19.9,11.9,14.25,14.45783132530121
2002-03-31,14.9,17.9,13.6,15.8,6.04026845637584
2002-04-30,15.7,20.45,15.5,18.05,14.968152866242049
2002-05-31,18.0,20.55,17.5,18.6,3.333333333333341
2002-06-30,19.85,21.9,18.6,20.7,4.2821158690176215
2002-07-31,21.0,26.1,19.15,21.0,0.0
2002-08-31,20.6,21.0,17.55,17.85,-13.349514563106796
2002-09-30,18.65,19.0,16.25,16.95,-9.11528150134048
2002-10-31,17.0,17.85,14.5,16.0,-5.882352941176471
2002-11-30,16.95,19.9,14.7,18.0,6.19469026548673
2002-12-31,18.0,19.2,17.15,18.75,4.166666666666667
2003-01-31,18.8,22.5,18.0,19.3,2.6595744680851063
2003-02-28,19.05,20.7,18.55,19.1,0.2624671916010536
2003-03-31,19.0,19.1,15.5,16.3,-14.21052631578947
2003-04-30,16.65,20.25,16.4,20.0,20.120120120120127
2003-05-31,20.75,27.45,20.6,25.15,21.204819277108427
2003-06-30,26.45,31.0,24.25,28.05,6.0491493383742965
2003-07-31,29.0,43.5,28.25,39.65,36.72413793103448
2003-08-31,39.5,57.9,38.75,49.6,25.569620253164558
2003-09-30,50.8,59.25,48.25,55.4,9.055118110236224
2003-10-31,54.0,64.0,52.0,62.1,15.000000000000002
2003-11-30,63.5,69.9,62.0,64.7,1.8897637795275635
2003-12-31,65.9,72.3,60.0,64.9,-1.5174506828528072
2004-01-31,65.5,74.85,54.05,62.05,-5.267175572519088
2004-02-29,58.55,62.5,50.0,52.3,-10.674637062339881
2004-03-31,53.5,54.9,39.05,52.25,-2.336448598130841
2004-04-30,54.4,59.6,48.55,49.35,-9.283088235294112
2004-05-31,50.0,51.2,38.5,43.45,-13.099999999999996
2004-06-30,43.75,45.6,38.55,42.15,-3.6571428571428606
2004-07-31,42.4,53.0,36.2,46.15,8.84433962264151
2004-08-31,46.7,50.0,43.5,47.55,1.8201284796573753
2004-09-30,48.0,52.7,47.0,49.55,3.2291666666666607
2004-10-31,50.85,51.9,44.8,45.8,-9.931170108161266
2004-11-30,45.05,56.0,40.6,50.15,11.320754716981135
2004-12-31,51.45,59.4,45.0,54.4,5.7337220602526635
2005-01-31,54.0,54.55,43.1,46.7,-13.518518518518514
2005-02-28,42.0,51.5,39.4,47.3,12.619047619047613
2005-03-31,47.4,48.9,40.0,43.35,-8.544303797468348
2005-04-30,43.2,48.45,43.0,43.6,0.9259259259259226
2005-05-31,43.8,52.8,43.25,49.1,12.100456621004577
2005-06-30,49.9,60.85,41.55,50.6,1.4028056112224507
2005-07-31,51.0,59.3,48.0,53.65,5.1960784313725465
2005-08-31,51.0,59.2,51.0,56.45,10.686274509803926
2005-09-30,57.9,64.5,51.05,55.25,-4.576856649395507
2005-10-31,55.25,57.0,43.0,51.55,-6.696832579185526
2005-11-30,52.4,59.7,50.0,56.45,7.729007633587795
2005-12-31,58.8,65.35,55.1,61.75,5.0170068027210935
