Date,Open,High,Low,Close,Returns%
2000-01-31,126.3,227.9,126.1,167.45,32.581155977830555
2000-02-29,161.1,274.35,161.1,210.8,30.850403476101814
2000-03-31,205.0,214.0,127.5,149.25,-27.195121951219512
2000-04-30,151.0,158.9,126.8,130.25,-13.741721854304636
2000-05-31,130.5,130.5,100.0,122.6,-6.053639846743299
2000-06-30,121.9,145.85,111.25,142.35,16.776045939294495
2000-07-31,142.3,144.0,82.0,93.25,-34.46943078004217
2000-08-31,92.1,106.0,81.3,99.5,8.03474484256244
2000-09-30,100.0,104.0,83.0,84.0,-16.0
2000-10-31,80.0,86.1,68.05,72.4,-9.499999999999993
2000-11-30,73.9,95.75,72.0,93.3,26.251691474966155
2000-12-31,92.9,136.35,90.8,133.6,43.81054897739504
2001-01-31,136.9,136.9,106.0,115.1,-15.924032140248363
2001-02-28,116.05,137.9,95.15,100.2,-13.657906074967682
2001-03-31,102.5,107.5,68.2,79.9,-22.048780487804873
2001-04-30,77.0,84.8,72.0,76.95,-0.06493506493506124
2001-05-31,78.5,89.5,72.5,83.8,6.751592356687895
2001-06-30,85.0,85.0,63.15,63.7,-25.05882352941176
2001-07-31,63.95,67.9,54.0,56.1,-12.275215011727914
2001-08-31,56.45,59.9,51.3,59.05,4.605845881310884
2001-09-30,60.0,62.75,38.65,45.0,-25.0
2001-10-31,44.5,53.4,35.5,51.2,15.056179775280905
2001-11-30,49.05,63.9,48.25,57.5,17.227319062181454
2001-12-31,59.0,67.5,46.0,54.85,-7.033898305084744
2002-01-31,55.85,59.8,48.05,52.75,-5.550581915846018
2002-02-28,54.9,57.4,50.15,50.75,-7.559198542805098
2002-03-31,50.95,66.4,50.0,61.95,21.589793915603533
2002-04-30,62.8,73.0,58.5,62.15,-1.0350318471337558
2002-05-31,63.25,64.9,52.0,53.85,-14.861660079051381
2002-06-30,54.55,69.8,53.5,69.05,26.581118240146655
2002-07-31,70.0,76.15,51.7,53.05,-24.21428571428572
2002-08-31,53.0,58.9,50.5,53.05,0.09433962264150407
2002-09-30,53.0,55.0,46.1,46.15,-12.924528301886795
2002-10-31,46.85,47.65,42.0,44.15,-5.763073639274285
