Date,Open,High,Low,Close,Returns%
2000-01-31,402.0,446.0,374.0,396.6,-1.3432835820895466
2000-02-29,395.0,424.95,354.2,366.0,-7.341772151898734
2000-03-31,361.0,370.0,268.0,326.95,-9.432132963988922
2000-04-30,320.1,339.0,281.0,290.0,-9.403311465167143
2000-05-31,283.05,283.05,218.0,248.95,-12.047341459106173
2000-06-30,236.0,270.0,211.0,230.0,-2.542372881355932
2000-07-31,222.0,260.0,220.0,241.45,8.761261261261255
2000-08-31,240.0,250.0,219.0,248.0,3.3333333333333335
2000-09-30,248.0,248.0,221.0,231.25,-6.754032258064516
2000-10-31,235.95,241.0,195.0,204.4,-13.371477007840637
2000-11-30,207.25,247.3,201.0,213.1,2.822677925211095
2000-12-31,212.05,236.75,203.1,219.6,3.560481018627674
2001-01-31,209.5,232.5,205.1,219.0,4.534606205250597
2001-02-28,212.4,258.9,212.4,222.5,4.755178907721278
2001-03-31,229.85,230.0,176.0,200.0,-12.986730476397648
2001-04-30,200.0,217.0,184.0,210.0,5.0
2001-05-31,210.0,213.0,185.0,206.0,-1.9047619047619047
2001-06-30,205.5,215.0,182.5,197.5,-3.8929440389294405
2001-07-31,206.8,223.3,205.45,205.45,-0.6528046421663553
2001-08-31,186.0,186.0,168.3,169.45,-8.897849462365597
2001-09-30,185.0,185.0,185.0,185.0,0.0
2001-10-31,166.15,187.0,162.25,170.4,2.55792958170328
2001-11-30,183.75,201.5,179.0,201.0,9.387755102040817
2001-12-31,193.95,198.0,185.1,195.5,0.7991750451147261
2002-01-31,200.0,234.0,185.0,219.6,9.799999999999997
2002-02-28,225.0,228.0,205.55,208.0,-7.555555555555555
2002-03-31,205.25,221.0,195.5,201.0,-2.0706455542021924
2002-04-30,196.15,308.5,191.15,262.2,33.67320927861329
2002-05-31,273.9,299.0,27.05,28.0,-89.77729098211026
2002-06-30,28.0,37.0,27.3,33.8,20.714285714285705
2002-07-31,34.35,39.5,29.1,30.5,-11.208151382823875
2002-08-31,32.0,32.35,30.0,30.15,-5.781250000000004
2002-09-30,30.6,32.1,26.1,29.25,-4.411764705882358
2002-10-31,29.25,33.0,24.8,27.15,-7.179487179487184
2002-11-30,28.0,29.75,26.0,27.55,-1.6071428571428545
2002-12-31,27.55,34.05,26.75,31.65,14.88203266787658
2003-01-31,31.9,38.1,29.05,30.85,-3.291536050156731
2003-02-28,31.0,31.7,28.0,28.3,-8.709677419354836
2003-03-31,28.35,29.0,25.3,26.25,-7.407407407407412
2003-04-30,26.2,29.9,26.0,26.85,2.480916030534359
2003-05-31,26.7,35.9,26.7,32.85,23.033707865168548
2003-06-30,33.15,44.85,31.5,42.0,26.696832579185525
2003-07-31,42.95,57.4,37.85,47.85,11.408614668218856
2003-08-31,55.0,70.45,46.1,68.35,24.272727272727263
2003-09-30,69.0,73.85,59.75,64.95,-5.8695652173913
2003-10-31,65.4,72.5,62.0,68.95,5.428134556574919
2003-11-30,71.9,77.35,65.7,68.25,-5.076495132127963
2003-12-31,70.25,97.1,67.05,90.0,28.11387900355872
2004-01-31,90.95,93.75,74.0,84.95,-6.597031335898845
2004-02-29,83.0,125.85,76.75,101.1,21.807228915662645
2004-03-31,104.9,114.3,92.25,109.1,4.003813155386071
2004-04-30,112.35,116.9,50.2,57.0,-49.26568758344459
2004-05-31,56.25,57.0,41.45,45.35,-19.377777777777773
2004-06-30,47.0,47.0,33.6,39.85,-15.212765957446805
2004-07-31,41.0,43.0,33.05,39.85,-2.8048780487804845
2004-08-31,40.0,50.7,37.9,50.05,25.124999999999993
2004-09-30,50.3,58.3,48.55,54.85,9.04572564612327
2004-10-31,55.5,56.25,49.8,50.3,-9.369369369369373
2004-11-30,49.7,64.9,45.7,59.9,20.52313883299798
2004-12-31,60.1,66.0,57.0,60.7,0.998336106489187
2005-01-31,61.0,62.45,50.25,53.5,-12.295081967213115
2005-02-28,54.5,56.7,50.1,51.0,-6.422018348623853
2005-03-31,50.8,55.1,42.9,45.45,-10.531496062992115
2005-04-30,45.0,48.4,40.0,40.1,-10.888888888888886
2005-05-31,40.9,47.85,39.55,44.9,9.7799511002445
2005-06-30,44.85,46.95,41.4,42.4,-5.462653288740252
2005-07-31,42.95,54.5,41.75,50.8,18.277066356228158
2005-08-31,52.0,57.0,49.55,55.9,7.499999999999998
2005-09-30,56.85,57.5,48.1,49.85,-12.313104661389621
2005-10-31,50.0,54.05,42.85,44.6,-10.799999999999997
2005-11-30,45.9,51.5,44.9,49.55,7.952069716775597
2005-12-31,48.1,56.0,44.25,52.05,8.212058212058203
2006-01-31,52.45,60.0,48.3,52.4,-0.09532888465205769
2006-02-28,52.1,54.5,49.4,50.55,-2.9750479846449216
2006-03-31,50.0,51.8,46.2,49.05,-1.9000000000000057
2006-04-30,49.5,56.0,45.55,48.8,-1.41414141414142
2006-05-31,49.85,57.8,35.05,44.25,-11.233701103309931
2006-06-30,45.0,45.4,34.6,39.55,-12.111111111111116
2006-07-31,40.95,40.95,33.1,37.95,-7.326007326007326
2006-08-31,38.0,45.2,36.25,42.55,11.973684210526308
2006-09-30,42.95,46.95,40.05,44.05,2.5611175785797307
2006-10-31,44.6,45.2,40.95,41.15,-7.735426008968616
2006-11-30,40.65,44.9,37.05,37.65,-7.380073800738008
2006-12-31,38.35,41.5,34.55,38.7,0.9126466753585435
2007-01-31,38.9,41.3,37.5,37.95,-2.4421593830334083
2007-02-28,38.4,38.4,29.0,32.75,-14.713541666666664
2007-03-31,32.9,34.0,30.0,31.2,-5.167173252279634
2007-04-30,31.3,34.5,31.0,33.15,5.9105431309904075
2007-05-31,33.05,34.0,31.45,33.0,-0.15128593040846341
2007-06-30,33.0,36.8,31.15,32.55,-1.3636363636363722
2007-07-31,32.7,33.85,29.05,30.15,-7.798165137614691
2007-08-31,30.35,31.2,27.05,29.5,-2.8006589785832006
2007-09-30,29.65,35.65,27.45,33.5,12.984822934232719
2007-10-31,33.9,34.5,28.0,29.9,-11.799410029498526
2007-11-30,30.65,37.4,28.1,30.4,-0.8156606851549756
2007-12-31,30.5,47.05,30.2,47.05,54.2622950819672
2008-01-31,48.8,53.4,30.1,32.4,-33.60655737704918
2008-02-29,32.5,36.9,29.7,31.9,-1.8461538461538505
2008-03-31,32.0,33.3,23.5,28.25,-11.71875
2008-04-30,28.5,32.85,27.55,30.65,7.543859649122802
2008-05-31,31.0,35.6,27.05,29.0,-6.451612903225806
2008-06-30,29.05,32.8,26.0,26.3,-9.46643717728055
2008-07-31,26.3,36.0,23.6,33.55,27.56653992395436
2008-08-31,33.5,38.8,32.25,33.5,0.0
2008-09-30,33.0,33.9,26.15,28.3,-14.24242424242424
2008-10-31,28.85,29.95,22.0,25.15,-12.824956672443683
2008-11-30,24.9,29.3,24.05,26.55,6.626506024096395
2008-12-31,26.25,35.9,26.0,34.95,33.14285714285715
2009-01-31,34.15,35.95,26.0,28.1,-17.71595900439238
2009-02-28,29.7,32.05,27.25,31.55,6.228956228956234
2009-03-31,31.5,35.0,28.5,34.3,8.88888888888888
2009-04-30,33.5,39.9,31.5,33.5,0.0
2009-05-31,33.6,43.2,32.05,39.05,16.22023809523808
2009-06-30,40.0,49.7,38.1,40.0,0.0
2009-07-31,40.0,43.75,38.1,43.1,7.750000000000003
2009-08-31,42.5,48.2,40.15,47.3,11.294117647058817
2009-09-30,48.15,53.9,45.05,52.35,8.722741433021813
2009-10-31,52.0,57.75,45.1,57.2,10.000000000000004
2009-11-30,58.5,61.3,53.25,59.5,1.7094017094017093
2009-12-31,60.0,68.5,59.6,64.25,7.083333333333333
2010-01-31,64.25,73.7,64.25,71.3,10.972762645914393
2010-02-28,69.75,84.0,66.2,72.1,3.369175627240135
2010-03-31,72.1,84.0,72.1,80.55,11.719833564493763
2010-04-30,80.5,93.2,66.7,90.4,12.29813664596274
2010-05-31,91.0,97.0,80.0,95.1,4.505494505494499
2010-06-30,93.1,102.2,90.9,92.1,-1.0741138560687433
2010-07-31,90.25,101.0,84.25,85.45,-5.318559556786701
2010-08-31,86.5,108.75,82.0,98.3,13.641618497109825
2010-09-30,99.35,115.0,96.3,97.45,-1.9124308002013
2010-10-31,99.6,109.4,98.1,103.95,4.367469879518081
2010-11-30,105.0,117.6,96.55,99.4,-5.333333333333328
2010-12-31,100.3,112.5,90.0,112.05,11.714855433698904
2011-01-31,112.95,114.8,99.05,100.75,-10.801239486498453
2011-02-28,102.5,108.95,94.1,105.95,3.3658536585365884
2011-03-31,106.5,107.5,99.5,101.95,-4.272300469483565
2011-04-30,102.0,111.0,101.05,103.4,1.3725490196078487
2011-05-31,104.0,109.9,98.1,101.0,-2.8846153846153846
2011-06-30,100.35,102.5,91.0,92.1,-8.221225710014949
2011-07-31,92.85,96.45,89.5,92.45,-0.43080236941302263
2011-08-31,93.0,96.0,84.9,87.55,-5.860215053763444
2011-09-30,88.5,92.0,85.1,90.05,1.7514124293785278
2011-10-31,90.0,103.0,87.65,91.9,2.1111111111111174
2011-11-30,92.75,96.25,76.55,78.75,-15.09433962264151
2011-12-31,80.05,89.7,76.0,83.75,4.622111180512183
2012-01-31,83.75,95.0,80.5,81.9,-2.20895522388059
