Date,Open,High,Low,Close,Returns%
2000-01-31,234.0,278.8,215.0,248.3,6.111111111111116
2000-02-29,250.0,285.0,235.5,266.9,6.759999999999991
2000-03-31,283.0,324.4,235.0,254.1,-10.21201413427562
2000-04-30,259.9,279.95,227.1,238.65,-8.176221623701414
2000-05-31,244.0,267.0,214.0,258.7,6.0245901639344215
2000-06-30,255.0,270.0,234.0,235.95,-7.470588235294122
2000-07-31,240.0,247.9,201.0,209.5,-12.708333333333334
2000-08-31,208.0,239.0,201.0,226.75,9.014423076923077
2000-09-30,229.0,279.4,225.0,231.15,0.9388646288209632
2000-10-31,230.0,240.0,206.25,212.55,-7.5869565217391255
2000-11-30,216.0,257.8,211.6,240.15,11.180555555555557
2000-12-31,241.25,261.0,194.0,211.5,-12.33160621761658
2001-01-31,209.1,228.95,197.0,207.3,-0.8608321377331339
2001-02-28,205.0,226.3,182.0,193.95,-5.39024390243903
2001-03-31,197.95,203.0,152.25,156.2,-21.091184642586512
2001-04-30,155.1,185.85,142.0,173.85,12.088974854932303
2001-05-31,174.9,199.0,168.2,184.95,5.746140651801019
2001-06-30,186.0,186.0,159.85,169.5,-8.870967741935484
2001-07-31,170.0,190.0,160.0,177.4,4.352941176470591
2001-08-31,176.75,176.75,151.25,154.2,-12.758132956152764
2001-09-30,153.5,175.0,133.15,145.1,-5.472312703583065
2001-10-31,143.2,146.0,127.0,139.5,-2.5837988826815566
2001-11-30,138.45,163.0,136.1,157.3,13.615023474178422
2001-12-31,156.25,159.85,136.1,141.05,-9.727999999999993
2002-01-31,146.8,147.0,136.05,137.45,-6.36920980926432
2002-02-28,137.55,155.0,136.15,140.1,1.853871319520162
2002-03-31,133.0,148.75,133.0,138.55,4.172932330827076
2002-04-30,138.05,175.0,137.55,160.5,16.26222383194494
2002-05-31,162.8,177.0,148.0,150.2,-7.739557739557753
2002-06-30,150.2,162.5,148.55,154.55,2.8961384820239835
2002-07-31,159.9,164.8,124.0,129.1,-19.2620387742339
2002-08-31,129.05,129.95,120.0,121.3,-6.005424254165062
2002-09-30,123.75,123.8,104.0,107.95,-12.767676767676766
2002-10-31,109.0,110.1,100.7,100.95,-7.385321100917429
2002-11-30,101.0,104.2,97.5,100.1,-0.8910891089108968
2002-12-31,101.0,102.5,91.9,96.1,-4.851485148514857
2003-01-31,96.5,99.7,88.0,88.45,-8.341968911917096
2003-02-28,90.0,91.0,80.1,88.2,-1.999999999999997
2003-03-31,89.1,89.8,78.1,78.55,-11.840628507295172
2003-04-30,78.0,90.75,76.15,78.4,0.5128205128205201
2003-05-31,79.0,89.0,76.0,82.7,4.683544303797472
2003-06-30,83.0,115.1,83.0,109.7,32.168674698795186
2003-07-31,112.9,124.0,101.0,106.9,-5.314437555358724
2003-08-31,108.4,118.9,103.65,110.9,2.3062730627306274
2003-09-30,117.0,139.7,112.0,123.4,5.470085470085475
2003-10-31,124.0,144.0,121.5,127.7,2.9838709677419377
2003-11-30,129.0,154.9,127.0,153.0,18.6046511627907
2003-12-31,155.0,194.7,152.7,170.15,9.7741935483871
2004-01-31,173.8,181.0,125.55,139.75,-19.59148446490219
2004-02-29,140.0,144.5,125.0,125.4,-10.428571428571425
2004-03-31,126.0,135.4,108.2,116.5,-7.5396825396825395
2004-04-30,118.9,149.8,118.55,128.05,7.69554247266611
2004-05-31,125.1,136.0,100.0,110.7,-11.510791366906467
2004-06-30,114.0,118.0,104.3,114.15,0.13157894736842604
2004-07-31,115.45,133.9,105.0,124.4,7.752273711563449
2004-08-31,124.0,136.9,117.25,134.5,8.46774193548387
2004-09-30,135.0,146.8,131.15,140.0,3.7037037037037037
2004-10-31,141.0,145.5,120.0,121.65,-13.723404255319146
2004-11-30,122.0,146.0,121.25,144.4,18.36065573770492
2004-12-31,146.0,168.85,143.0,160.7,10.068493150684924
2005-01-31,164.7,176.0,146.15,166.1,0.8500303582270831
2005-02-28,166.1,186.0,164.5,181.3,9.151113786875387
2005-03-31,179.9,202.5,163.25,177.4,-1.3896609227348526
2005-04-30,185.0,218.95,173.2,214.75,16.08108108108108
