Date,Open,High,Low,Close,Returns%
2000-01-31,211.0,245.0,211.0,220.0,4.265402843601896
2000-02-29,220.0,226.0,151.0,167.05,-24.068181818181813
2000-03-31,179.0,179.0,127.5,165.8,-7.374301675977647
2000-04-30,156.25,178.5,120.25,132.7,-15.072000000000006
2000-05-31,134.5,135.0,95.0,111.0,-17.472118959107807
2000-06-30,108.0,115.0,92.5,95.75,-11.342592592592593
2000-07-31,96.5,99.25,79.2,79.2,-17.92746113989637
2000-08-31,85.5,95.0,70.0,84.0,-1.7543859649122806
2000-09-30,82.85,93.75,69.25,70.0,-15.509957754978872
2000-10-31,74.0,76.0,67.1,70.0,-5.405405405405405
2000-11-30,70.0,70.0,57.3,64.0,-8.571428571428571
2000-12-31,64.9,87.9,61.1,72.0,10.939907550077033
2001-01-31,67.1,91.05,67.1,77.0,14.754098360655748
2001-02-28,78.5,84.95,67.35,71.0,-9.554140127388536
2001-03-31,72.0,73.0,50.1,56.05,-22.152777777777782
2001-04-30,52.15,58.65,45.9,49.3,-5.465004793863857
2001-05-31,50.25,70.4,46.0,68.9,37.11442786069652
2001-06-30,69.95,107.8,66.05,91.75,31.165117941386697
2001-07-31,95.0,99.95,85.15,87.05,-8.36842105263158
2001-08-31,91.85,132.0,85.25,118.95,29.50462710941754
2001-09-30,122.95,170.0,122.0,165.25,34.404229361529076
2001-10-31,168.9,177.4,160.05,163.35,-3.2859680284191897
2001-11-30,163.55,176.45,144.15,159.9,-2.231733414857845
2001-12-31,149.0,149.0,72.65,87.3,-41.40939597315436
2002-01-31,90.0,93.5,67.25,70.85,-21.277777777777782
2002-02-28,70.0,75.25,65.75,70.45,0.6428571428571469
2002-03-31,68.0,73.35,67.0,68.7,1.0294117647058865
2002-04-30,68.6,99.75,68.25,89.85,30.976676384839653
2002-05-31,93.4,94.0,70.0,74.5,-20.2355460385439
2002-06-30,76.95,93.0,75.05,86.8,12.80051981806367
2002-07-31,86.5,121.0,84.0,87.35,0.9826589595375657
2002-08-31,90.0,101.0,83.4,94.8,5.33333333333333
2002-09-30,94.95,94.95,81.0,83.4,-12.164296998420218
2002-10-31,83.05,89.95,81.3,84.8,2.107164358819988
2002-11-30,85.0,95.0,82.6,94.55,11.235294117647056
2002-12-31,94.8,110.0,91.4,103.25,8.913502109704645
2003-01-31,103.0,107.8,91.2,96.75,-6.067961165048544
2003-02-28,97.75,126.8,92.4,117.95,20.664961636828647
2003-03-31,118.0,120.0,110.55,115.25,-2.330508474576271
2003-04-30,119.0,140.0,106.5,106.75,-10.294117647058824
2003-05-31,105.75,123.0,102.0,117.75,11.347517730496454
2003-06-30,117.0,144.4,116.0,140.4,20.000000000000004
2003-07-31,143.8,169.9,140.0,158.95,10.535465924895671
2003-08-31,161.5,198.0,160.0,185.95,15.13931888544891
2003-09-30,198.0,214.5,180.15,207.65,4.873737373737376
2003-10-31,211.0,247.5,208.0,228.0,8.056872037914692
2003-11-30,230.5,302.0,223.1,252.95,9.739696312364421
2003-12-31,256.0,301.0,249.35,289.1,12.929687500000009
2004-01-31,289.0,299.0,214.0,242.25,-16.176470588235293
2004-02-29,264.85,289.4,211.0,217.35,-17.934680007551453
2004-03-31,216.55,243.0,184.3,217.8,0.5772338951743246
2004-04-30,228.9,247.9,214.0,215.6,-5.810397553516824
2004-05-31,219.0,225.0,172.0,175.05,-20.068493150684926
2004-06-30,179.5,200.0,170.45,189.7,5.682451253481887
2004-07-31,187.0,224.9,184.3,220.35,17.83422459893048
2004-08-31,221.0,228.0,200.25,216.3,-2.12669683257918
2004-09-30,215.0,245.0,215.0,241.35,12.25581395348837
2004-10-31,230.15,269.8,230.15,249.95,8.603084944601338
2004-11-30,255.0,304.0,248.0,280.5,10.0
2004-12-31,280.0,308.0,263.0,290.5,3.75
2005-01-31,289.7,300.0,276.0,285.2,-1.5533310321021747
2005-02-28,289.95,345.0,270.0,298.2,2.8453181583031557
2005-03-31,305.0,326.9,286.25,296.1,-2.9180327868852385
2005-04-30,299.0,350.0,292.0,319.85,6.973244147157199
2005-05-31,319.95,344.0,304.0,330.85,3.406782309735907
2005-06-30,330.0,372.9,315.1,330.0,0.0
2005-07-31,330.0,369.95,325.0,351.2,6.424242424242421
2005-08-31,345.0,362.0,330.0,351.1,1.768115942028992
2005-09-30,356.0,400.0,343.1,393.9,10.64606741573033
2005-10-31,390.1,414.0,351.0,370.55,-5.011535503716998
2005-11-30,369.0,398.9,361.65,382.25,3.5907859078590785
2005-12-31,387.0,415.0,372.0,383.2,-0.9819121447028453
2006-01-31,382.0,412.9,379.0,402.0,5.2356020942408374
2006-02-28,371.6,419.0,371.6,401.15,7.952099031216349
2006-03-31,413.0,413.0,361.0,396.0,-4.116222760290557
2006-04-30,395.0,419.9,373.5,394.5,-0.12658227848101267
2006-05-31,398.95,410.0,333.1,351.2,-11.968918410828424
2006-06-30,336.5,380.0,260.0,337.4,0.2674591381872146
2006-07-31,342.0,358.0,326.1,333.1,-2.602339181286543
2006-08-31,330.0,355.0,319.0,333.25,0.9848484848484849
2006-09-30,326.1,369.75,320.1,345.85,6.056424409690279
2006-10-31,354.0,364.9,338.3,350.0,-1.1299435028248588
2006-11-30,345.0,355.0,327.1,335.0,-2.898550724637681
2006-12-31,335.0,344.0,316.0,330.0,-1.492537313432836
2007-01-31,340.0,394.9,330.0,351.1,3.264705882352948
2007-02-28,350.0,422.9,350.0,353.05,0.8714285714285747
2007-03-31,369.4,369.4,321.0,337.35,-8.676231727125057
2007-04-30,340.0,378.0,330.1,360.0,5.882352941176471
