Date,Open,High,Low,Close,Returns%
2000-01-31,13.0,13.0,11.15,11.95,-8.076923076923082
2000-02-29,12.0,12.0,8.5,10.05,-16.249999999999996
2000-03-31,9.65,10.55,8.7,9.6,-0.5181347150259141
2000-04-30,10.7,11.6,8.75,9.25,-13.551401869158875
2000-05-31,9.15,9.7,8.55,9.5,3.8251366120218537
2000-06-30,9.0,10.05,8.0,9.0,0.0
2000-07-31,9.05,9.5,7.75,7.9,-12.70718232044199
2000-08-31,8.0,9.45,7.5,9.35,16.874999999999996
2000-09-30,9.3,9.5,8.05,9.1,-2.1505376344086136
2000-10-31,8.55,9.25,8.0,8.2,-4.093567251462004
2000-11-30,8.25,9.3,6.5,9.0,9.090909090909092
2000-12-31,9.0,10.75,8.5,9.0,0.0
2001-01-31,9.2,9.6,8.0,8.85,-3.804347826086953
2001-02-28,8.95,14.25,8.65,12.25,36.871508379888276
2001-03-31,11.7,12.0,8.0,8.75,-25.21367521367521
2001-04-30,8.5,9.7,8.2,9.05,6.470588235294126
2001-05-31,9.6,10.8,8.95,10.0,4.1666666666666705
2001-06-30,10.0,10.5,8.7,8.75,-12.5
2001-07-31,9.0,12.0,8.0,11.65,29.44444444444445
2001-08-31,11.3,13.95,10.65,10.65,-5.752212389380533
2001-09-30,11.25,11.25,9.0,9.4,-16.444444444444443
2001-10-31,9.5,12.8,9.2,11.4,20.000000000000004
2001-11-30,11.6,14.1,10.5,11.9,2.5862068965517304
2001-12-31,12.3,12.5,10.35,11.05,-10.16260162601626
2002-01-31,11.0,12.5,10.65,11.75,6.818181818181818
2002-02-28,11.5,12.95,11.0,11.9,3.4782608695652204
2002-03-31,11.75,13.25,11.6,12.25,4.25531914893617
2002-04-30,12.5,15.0,12.1,13.95,11.599999999999996
2002-05-31,14.1,17.95,13.0,16.2,14.893617021276594
2002-06-30,16.55,20.5,15.65,18.9,14.199395770392735
2002-07-31,19.1,21.55,17.05,18.15,-4.97382198952881
2002-08-31,18.9,19.75,18.1,18.9,0.0
2002-09-30,19.0,19.85,14.5,15.0,-21.05263157894737
2002-10-31,15.0,18.2,14.9,15.85,5.666666666666665
2002-11-30,16.0,17.25,15.25,16.9,5.624999999999991
2002-12-31,17.0,18.7,16.8,17.55,3.235294117647063
2003-01-31,17.5,18.9,17.0,17.95,2.571428571428567
2003-02-28,18.0,19.85,17.75,19.0,5.555555555555555
2003-03-31,19.8,19.8,17.5,18.3,-7.575757575757575
2003-04-30,18.25,21.9,18.2,20.85,14.246575342465759
2003-05-31,20.75,23.25,20.6,22.05,6.265060240963858
2003-06-30,22.05,23.7,21.25,21.75,-1.3605442176870781
2003-07-31,22.0,25.0,21.4,24.0,9.090909090909092
2003-08-31,24.4,28.4,23.8,26.05,6.762295081967223
2003-09-30,26.45,26.9,19.6,21.2,-19.848771266540645
2003-10-31,21.25,25.3,20.75,21.9,3.058823529411758
2003-11-30,22.05,30.45,22.0,27.25,23.582766439909292
2003-12-31,27.5,34.25,26.75,30.1,9.454545454545459
2004-01-31,30.15,32.5,23.6,24.55,-18.573797678275284
2004-02-29,24.5,27.0,23.75,24.25,-1.0204081632653061
2004-03-31,24.25,25.0,21.0,23.3,-3.9175257731958735
2004-04-30,23.5,26.5,23.5,25.35,7.872340425531921
2004-05-31,25.0,25.0,20.7,22.3,-10.799999999999997
2004-06-30,22.45,22.9,20.3,21.95,-2.2271714922048997
2004-07-31,22.0,24.3,21.45,23.85,8.409090909090915
2004-08-31,23.9,24.35,21.9,23.8,-0.4184100418409953
2004-09-30,24.0,26.0,21.05,21.65,-9.791666666666673
2004-10-31,21.9,26.4,21.35,21.45,-2.0547945205479423
2004-11-30,21.9,29.4,21.3,26.35,20.31963470319636
2004-12-31,26.2,38.0,25.0,33.3,27.099236641221367
2005-01-31,33.7,39.4,29.0,38.35,13.798219584569729
2005-02-28,38.7,45.75,37.25,39.05,0.9043927648578663
2005-03-31,39.6,48.6,38.65,43.15,8.964646464646457
2005-04-30,43.15,51.3,42.5,45.0,4.2873696407879525
2005-05-31,45.0,59.0,43.5,43.95,-2.333333333333327
2005-06-30,44.0,59.6,42.75,57.7,31.13636363636364
2005-07-31,58.2,73.25,57.65,63.05,8.333333333333323
2005-08-31,62.5,114.4,60.0,113.3,81.28
2005-09-30,114.7,127.3,87.0,101.7,-11.333914559721011
2005-10-31,102.0,107.5,78.5,86.4,-15.294117647058819
2005-11-30,86.5,109.3,85.55,105.1,21.5028901734104
2005-12-31,105.8,121.0,105.8,120.05,13.468809073724008
2006-01-31,121.0,135.5,120.15,128.4,6.1157024793388475
2006-02-28,129.0,137.65,126.15,130.0,0.7751937984496124
2006-03-31,129.9,169.05,127.5,165.75,27.59815242494226
2006-04-30,167.0,192.7,152.0,183.05,9.610778443113778
2006-05-31,182.5,191.7,145.0,164.95,-9.61643835616439
2006-06-30,168.0,169.0,90.95,122.55,-27.053571428571427
2006-07-31,125.0,145.0,123.2,130.3,4.240000000000009
2006-08-31,130.8,194.0,130.2,187.9,43.65443425076452
2006-09-30,187.0,196.9,161.0,170.7,-8.716577540106957
2006-10-31,171.75,180.0,165.6,174.45,1.5720524017467183
2006-11-30,175.1,194.3,172.5,175.85,0.42832667047401485
2006-12-31,176.0,180.0,155.65,164.3,-6.647727272727266
2007-01-31,163.0,174.75,161.0,169.8,4.1717791411043015
2007-02-28,171.0,182.9,155.65,164.45,-3.830409356725153
2007-03-31,165.0,171.2,145.55,162.1,-1.7575757575757611
2007-04-30,161.0,185.0,134.1,134.1,-16.708074534161494
2007-05-31,129.1,149.5,122.75,128.65,-0.34856700232377125
2007-06-30,129.0,134.65,124.3,130.4,1.0852713178294617
2007-07-31,131.0,133.35,119.6,120.85,-7.74809160305344
2007-08-31,123.0,123.0,111.0,114.05,-7.276422764227644
2007-09-30,115.0,170.0,114.1,150.6,30.95652173913043
2007-10-31,152.0,168.0,136.0,143.65,-5.493421052631575
2007-11-30,146.0,179.0,135.2,166.7,14.178082191780815
2007-12-31,170.0,209.9,163.0,185.6,9.176470588235292
2008-01-31,189.0,189.9,97.35,131.35,-30.502645502645507
2008-02-29,135.0,147.0,111.45,122.25,-9.444444444444445
2008-03-31,123.0,123.0,67.2,101.75,-17.276422764227643
2008-04-30,102.0,104.95,81.2,93.15,-8.676470588235288
2008-05-31,94.0,95.5,68.9,72.2,-23.19148936170212
