Date,Open,High,Low,Close,Returns%
2000-01-31,44.0,44.05,33.25,34.3,-22.04545454545455
2000-02-29,33.95,34.95,28.0,31.5,-7.216494845360833
2000-03-31,33.25,38.0,27.1,28.05,-15.6390977443609
2000-04-30,27.8,28.5,23.5,24.9,-10.431654676259
2000-05-31,24.7,25.5,20.1,21.95,-11.133603238866398
2000-06-30,21.95,24.0,20.25,23.15,5.466970387243733
2000-07-31,23.25,25.5,22.5,23.0,-1.075268817204301
2000-08-31,23.5,25.6,21.5,21.85,-7.021276595744675
2000-09-30,21.6,21.85,20.0,20.3,-6.018518518518521
2000-10-31,20.25,20.95,18.75,19.3,-4.691358024691355
2000-11-30,19.65,21.0,19.05,20.75,5.597964376590339
2000-12-31,20.6,23.4,19.5,21.15,2.669902912621345
2001-01-31,21.1,23.5,19.75,20.8,-1.421800947867302
2001-02-28,21.0,30.75,20.25,24.45,16.428571428571427
2001-03-31,23.3,25.9,18.0,20.15,-13.51931330472104
2001-04-30,20.0,20.45,18.8,19.15,-4.250000000000007
2001-05-31,19.0,23.7,19.0,22.45,18.157894736842103
2001-06-30,22.3,22.7,19.0,19.35,-13.228699551569504
2001-07-31,19.25,19.9,14.5,15.1,-21.55844155844156
2001-08-31,15.3,16.5,14.85,15.1,-1.307189542483667
2001-09-30,15.05,15.1,10.1,13.15,-12.624584717607975
2001-10-31,13.45,13.8,11.6,12.4,-7.806691449814118
2001-11-30,12.5,17.5,12.0,14.65,17.200000000000003
2001-12-31,15.05,15.7,12.05,12.95,-13.953488372093032
2002-01-31,13.1,14.9,12.15,13.7,4.580152671755722
2002-02-28,13.7,19.0,13.55,15.4,12.4087591240876
2002-03-31,15.4,21.3,15.1,19.8,28.571428571428573
2002-04-30,20.0,27.0,16.9,19.95,-0.25000000000000355
2002-05-31,21.75,22.9,17.5,19.4,-10.804597701149431
2002-06-30,20.35,37.5,19.5,27.5,35.13513513513513
2002-07-31,28.0,32.1,18.1,20.75,-25.892857142857142
2002-08-31,21.45,22.0,17.75,17.9,-16.550116550116552
2002-09-30,18.5,18.5,15.0,15.1,-18.378378378378383
2002-10-31,15.0,18.0,14.9,15.5,3.3333333333333335
2002-11-30,15.6,18.5,15.35,18.0,15.384615384615387
2002-12-31,21.5,23.0,17.75,20.5,-4.651162790697675
2003-01-31,20.6,21.25,17.75,17.85,-13.349514563106796
2003-02-28,18.1,22.2,18.1,19.85,9.668508287292816
2003-03-31,20.2,20.5,15.2,15.3,-24.257425742574252
2003-04-30,15.5,18.75,15.1,18.55,19.67741935483871
2003-05-31,18.9,23.6,18.55,23.35,23.544973544973562
2003-06-30,23.7,29.4,22.25,28.0,18.143459915611817
2003-07-31,28.6,29.7,23.3,23.95,-16.258741258741267
2003-08-31,24.05,34.5,23.5,30.75,27.85862785862785
2003-09-30,30.8,33.1,27.5,30.05,-2.435064935064935
2003-10-31,30.4,44.65,30.4,41.1,35.19736842105264
2003-11-30,41.3,64.5,41.1,61.9,49.87893462469734
2003-12-31,62.9,75.85,60.55,70.45,12.003179650238481
2004-01-31,71.8,78.0,53.0,53.45,-25.557103064066848
2004-02-29,52.0,61.75,45.05,50.1,-3.653846153846151
2004-03-31,50.5,56.8,37.3,47.5,-5.9405940594059405
2004-04-30,47.8,62.75,47.8,53.6,12.133891213389132
2004-05-31,53.0,56.8,32.0,39.25,-25.943396226415093
2004-06-30,42.0,43.9,38.8,42.35,0.8333333333333367
2004-07-31,43.2,59.8,39.3,56.7,31.249999999999996
2004-08-31,56.55,59.45,51.5,58.7,3.8019451812555363
2004-09-30,59.9,64.8,55.8,61.2,2.170283806343914
2004-10-31,61.25,67.45,60.15,65.6,7.102040816326522
2004-11-30,67.0,73.6,64.05,71.35,6.492537313432828
2004-12-31,72.9,83.05,70.0,73.5,0.8230452674897041
2005-01-31,74.35,78.0,64.5,72.1,-3.0262273032952254
2005-02-28,73.1,80.3,68.55,74.8,2.3255813953488413
2005-03-31,74.5,82.9,66.25,70.3,-5.637583892617453
2005-04-30,70.4,76.25,66.7,68.45,-2.7698863636363673
2005-05-31,69.75,73.35,65.1,67.05,-3.870967741935488
2005-06-30,67.1,78.0,66.3,69.7,3.8748137108792977
2005-07-31,68.25,79.4,66.25,71.4,4.615384615384624
2005-08-31,73.25,98.95,72.0,90.65,23.7542662116041
2005-09-30,90.75,95.35,77.0,84.65,-6.721763085399442
2005-10-31,85.2,91.9,60.15,66.35,-22.124413145539915
2005-11-30,65.5,71.5,64.05,67.25,2.6717557251908395
2005-12-31,66.1,72.9,66.1,71.4,8.018154311649035
2006-01-31,71.35,76.7,65.65,68.25,-4.344779257182894
2006-02-28,68.65,75.7,65.8,68.7,0.07283321194464261
2006-03-31,76.0,76.0,63.6,64.35,-15.328947368421058
2006-04-30,65.0,71.0,59.0,65.95,1.461538461538466
2006-05-31,66.0,82.75,58.0,62.95,-4.621212121212117
2006-06-30,67.0,67.0,44.25,53.35,-20.373134328358205
