Date,Open,High,Low,Close,Returns%
2000-01-31,753.0,807.8,627.0,629.9,-16.347941567065075
2000-02-29,635.1,685.0,465.0,480.05,-24.413478192410647
2000-03-31,495.0,555.0,422.1,449.65,-9.161616161616164
2000-04-30,455.0,460.0,381.0,385.6,-15.252747252747248
2000-05-31,382.05,400.0,301.0,340.75,-10.810103389608692
2000-06-30,336.0,444.0,328.35,430.3,28.065476190476197
2000-07-31,434.0,486.95,395.2,479.2,10.414746543778799
2000-08-31,487.0,498.8,442.0,460.7,-5.400410677618072
2000-09-30,465.0,490.0,415.25,446.75,-3.924731182795699
2000-10-31,441.25,479.0,402.4,409.7,-7.150141643059492
2000-11-30,416.85,486.9,405.55,458.85,10.075566750629722
2000-12-31,450.3,482.0,430.0,456.55,1.387963579835665
2001-01-31,459.0,471.9,416.0,434.45,-5.348583877995645
2001-02-28,439.9,498.7,412.0,462.1,5.046601500340997
2001-03-31,469.8,515.0,404.0,425.85,-9.355044699872284
2001-04-30,417.0,434.0,360.05,369.55,-11.378896882494002
2001-05-31,375.0,398.5,341.7,392.65,4.706666666666661
2001-06-30,395.0,397.0,314.0,318.25,-19.430379746835442
2001-07-31,324.75,324.75,250.0,271.7,-16.33564280215551
2001-08-31,272.1,283.55,260.0,261.95,-3.730246233002585
2001-09-30,261.8,293.85,220.0,226.4,-13.521772345301759
2001-10-31,228.5,272.9,220.0,268.65,17.571115973741783
2001-11-30,275.0,329.0,275.0,306.15,11.32727272727272
2001-12-31,313.85,335.0,285.0,287.0,-8.555042217619889
2002-01-31,284.0,345.7,284.0,331.8,16.83098591549296
2002-02-28,333.3,379.0,329.5,340.25,2.0852085208520816
2002-03-31,340.15,361.0,335.0,341.75,0.4703807143907167
2002-04-30,343.0,444.9,339.0,425.25,23.979591836734695
2002-05-31,429.7,429.9,348.0,363.15,-15.487549453106821
2002-06-30,363.0,398.0,355.0,368.05,1.3911845730027579
2002-07-31,365.5,403.2,357.0,382.65,4.692202462380295
2002-08-31,387.6,387.6,358.15,376.4,-2.8895768833849447
2002-09-30,375.4,393.0,350.0,368.7,-1.7847629195524743
2002-10-31,368.0,371.0,312.5,322.05,-12.486413043478258
2002-11-30,325.0,345.0,310.0,320.15,-1.4923076923076992
2002-12-31,325.0,339.5,302.0,305.25,-6.076923076923077
2003-01-31,306.0,314.85,292.0,299.35,-2.1732026143790777
2003-02-28,300.0,318.4,275.0,310.5,3.5
2003-03-31,310.0,315.0,269.85,292.2,-5.7419354838709715
2003-04-30,292.0,325.0,291.0,323.2,10.684931506849312
2003-05-31,323.3,386.0,323.3,360.75,11.58366841942468
2003-06-30,366.8,379.15,342.0,356.05,-2.930752453653217
2003-07-31,360.0,420.25,356.5,415.8,15.500000000000002
2003-08-31,416.6,448.0,398.9,437.55,5.028804608737396
2003-09-30,441.1,484.4,412.35,451.6,2.3804126048515073
2003-10-31,451.6,485.0,440.0,477.55,5.746235606731618
2003-11-30,480.0,527.0,475.0,491.2,2.333333333333331
2003-12-31,485.0,634.8,485.0,573.4,18.226804123711336
2004-01-31,585.0,633.0,500.1,613.6,4.888888888888893
2004-02-29,612.0,650.0,587.05,601.7,-1.6830065359477049
2004-03-31,613.0,647.0,550.5,606.75,-1.0195758564437194
2004-04-30,605.0,704.85,595.0,667.1,10.264462809917358
2004-05-31,657.0,708.9,520.0,605.95,-7.770167427701668
2004-06-30,620.0,620.0,561.25,593.1,-4.338709677419351
2004-07-31,594.3,625.0,561.4,600.35,1.0180043748948457
2004-08-31,595.0,621.9,583.0,596.15,0.19327731092436592
2004-09-30,595.0,685.0,585.05,673.35,13.16806722689076
2004-10-31,667.2,748.8,615.0,673.15,0.891786570743395
2004-11-30,680.0,783.75,671.0,738.5,8.602941176470589
2004-12-31,735.5,798.8,717.0,770.05,4.697484704282795
2005-01-31,751.0,795.0,665.0,705.5,-6.058588548601864
2005-02-28,704.0,767.8,670.1,736.75,4.651988636363637
2005-03-31,740.0,784.0,685.0,718.95,-2.8445945945945885
2005-04-30,725.0,744.4,695.0,713.1,-1.6413793103448244
2005-05-31,692.1,789.0,692.1,758.3,9.565091749747136
2005-06-30,743.55,810.0,743.55,804.65,8.21733575415238
2005-07-31,808.0,898.0,803.45,882.05,9.164603960396034
2005-08-31,890.0,924.9,845.0,878.9,-1.2471910112359577
2005-09-30,872.5,918.0,836.25,886.05,1.5530085959885336
2005-10-31,886.0,916.0,830.0,907.45,2.4209932279909756
2005-11-30,914.0,1185.0,880.0,1075.7,17.69146608315099
2005-12-31,1086.7,1156.0,1022.1,1121.75,3.2253611852397124
2006-01-31,1121.0,1304.0,1092.05,1282.8,14.433541480820693
2006-02-28,1289.95,1436.0,1251.0,1315.55,1.9845730454668715
2006-03-31,1324.8,1495.0,1295.0,1452.35,9.62786835748792
2006-04-30,1458.0,1553.6,1345.0,1409.45,-3.329903978052123
2006-05-31,1421.1,1489.0,882.2,1130.0,-20.484132010414463
2006-06-30,1179.0,1179.0,901.0,1037.3,-12.018659881255305
2006-07-31,1037.3,1071.8,968.0,999.6,-3.634435553841698
2006-08-31,1014.8,1230.0,988.1,1210.35,19.26980685849428
2006-09-30,1209.0,1302.0,1202.5,1232.5,1.943755169561621
2006-10-31,1234.0,1263.0,1121.0,1151.55,-6.681523500810376
2006-11-30,1146.0,1227.0,1086.25,1170.85,2.168411867364739
2006-12-31,1171.0,1244.0,1040.0,1162.95,-0.6874466268146844
2007-01-31,1170.0,1199.0,1110.0,1167.75,-0.19230769230769232
2007-02-28,1153.0,1241.0,1062.45,1161.1,0.7025151777970433
2007-03-31,1153.0,1194.0,1075.0,1119.9,-2.87077189939288
2007-04-30,1090.1,1255.55,1081.1,1170.65,7.389230345839849
2007-05-31,1172.5,1294.4,1160.25,1283.95,9.50533049040512
2007-06-30,1300.0,1344.7,1251.0,1269.5,-2.3461538461538463
2007-07-31,1266.2,1345.0,1125.15,1155.65,-8.73084820723424
2007-08-31,1156.0,1260.0,1092.0,1168.25,1.0596885813148789
2007-09-30,1190.0,1199.0,1110.4,1118.4,-6.016806722689068
2007-10-31,1119.0,1150.0,1000.0,1087.9,-2.779267202859688
2007-11-30,1093.0,1140.0,925.1,943.5,-13.677950594693504
2007-12-31,999.0,1138.0,938.0,1027.2,2.8228228228228276
2008-01-31,1030.0,1138.0,704.5,817.95,-20.587378640776695
2008-02-29,848.2,1154.0,817.0,1111.15,31.00094317377977
2008-03-31,1070.65,1143.7,930.3,1043.2,-2.5638630738336565
2008-04-30,1040.0,1099.0,961.05,1090.75,4.8798076923076925
2008-05-31,1110.0,1174.0,1030.0,1139.25,2.635135135135135
2008-06-30,1149.0,1159.0,1061.2,1114.3,-3.020017406440387
2008-07-31,1121.0,1218.0,1068.0,1100.0,-1.873327386262266
2008-08-31,1095.0,1209.6,1076.9,1175.65,7.365296803652976
2008-09-30,1163.1,1205.0,1140.0,1182.75,1.689450606138775
2008-10-31,1181.0,1195.0,930.0,1083.95,-8.217612193056729
2008-11-30,1100.0,1195.0,993.05,1166.0,6.0
2008-12-31,1154.0,1197.0,1096.75,1150.65,-0.2902946273830077
2009-01-31,1150.0,1198.4,1101.4,1165.2,1.3217391304347865
2009-02-28,1150.2,1235.0,1133.2,1200.25,4.351417144844371
2009-03-31,1202.0,1225.0,1025.0,1092.45,-9.113976705490845
2009-04-30,1098.8,1234.0,1060.0,1172.45,6.702766654532225
2009-05-31,1192.0,1225.0,999.8,1169.05,-1.9253355704698025
2009-06-30,1175.0,1290.0,1130.0,1199.7,2.102127659574472
2009-07-31,1171.0,1398.85,1171.0,1368.15,16.836037574722464
2009-08-31,1380.0,1587.0,1295.0,1433.0,3.8405797101449277
2009-09-30,1442.8,1624.0,1405.0,1552.05,7.572082062655947
2009-10-31,1567.0,1637.0,1475.2,1564.95,-0.13082322910018854
2009-11-30,1549.0,1718.75,1546.0,1664.1,7.4306003873466695
2009-12-31,1673.0,1705.0,1552.0,1611.95,-3.649133293484755
2010-01-31,1613.0,1694.95,1490.1,1520.45,-5.737755734655918
2010-02-28,1521.0,1731.0,1501.0,1709.9,12.419460880999347
2010-03-31,1700.0,1790.0,1681.05,1778.0,4.588235294117647
2010-04-30,1783.0,1930.2,1750.15,1912.95,7.2882781828379155
2010-05-31,1919.0,2274.95,1862.0,2107.95,9.846274101094311
2010-06-30,2105.0,2339.0,2005.0,2183.95,3.75059382422802
2010-07-31,2200.0,2219.85,1998.0,2010.8,-8.600000000000001
2010-08-31,2037.5,2078.0,1842.4,1860.7,-8.67730061349693
2010-09-30,1860.7,2290.0,1860.7,2209.95,18.76981781050141
2010-10-31,2220.0,2399.9,2210.0,2222.45,0.11036036036035217
2010-11-30,2212.0,2334.9,1890.0,2130.6,-3.6799276672694434
2010-12-31,2125.0,2364.5,2024.05,2337.5,10.0
2011-01-31,2344.4,2434.95,2180.0,2284.65,-2.5486265142467155
2011-02-28,2310.0,2310.0,2150.0,2208.55,-4.391774891774884
2011-03-31,2205.0,2224.0,1971.0,2062.95,-6.442176870748307
2011-04-30,2050.0,2263.0,2025.15,2257.65,10.12926829268293
2011-05-31,2240.0,2388.8,2200.0,2321.5,3.638392857142857
2011-06-30,2339.7,2478.0,2241.2,2350.15,0.4466384579219675
2011-07-31,2325.0,2415.0,2256.5,2344.9,0.8559139784946276
2011-08-31,2344.9,2344.9,2092.25,2119.6,-9.608085632649587
2011-09-30,2120.0,2154.85,1965.05,2091.0,-1.3679245283018868
2011-10-31,2070.25,2199.9,2025.0,2057.6,-0.611037314334022
2011-11-30,2054.1,2148.0,1862.0,1917.1,-6.669587653960372
2011-12-31,1930.0,2004.15,1811.1,1945.15,0.7849740932642534
2012-01-31,1959.55,2014.4,1920.0,1940.05,-0.9951264320890001
2012-02-29,1949.8,2147.0,1926.0,2074.85,6.413478305467225
2012-03-31,2070.05,2360.0,2047.5,2316.55,11.907924929349532
2012-04-30,2302.0,2333.0,2117.05,2144.05,-6.861424847958289
2012-05-31,2126.0,2182.0,1950.0,2010.0,-5.456255879586077
