Date,Open,High,Low,Close,Returns%
2000-01-31,51.55,55.7,37.05,41.95,-18.6226964112512
2000-02-29,42.5,53.2,39.05,40.25,-5.294117647058823
2000-03-31,40.0,43.0,26.75,37.3,-6.750000000000007
2000-04-30,37.8,39.8,25.05,25.6,-32.275132275132265
2000-05-31,25.5,27.0,20.25,25.55,0.1960784313725518
2000-06-30,25.0,28.5,24.0,24.05,-3.799999999999997
2000-07-31,24.55,27.9,22.0,22.5,-8.350305498981673
2000-08-31,23.25,23.45,19.35,21.35,-8.172043010752683
2000-09-30,22.0,23.9,19.5,19.8,-9.999999999999998
2000-10-31,20.0,26.4,19.75,21.75,8.75
2000-11-30,22.0,27.0,21.35,25.2,14.545454545454543
2000-12-31,25.05,33.25,24.0,26.95,7.584830339321352
2001-01-31,27.0,31.0,25.9,28.6,5.925925925925931
2001-02-28,28.5,34.4,27.0,29.45,3.333333333333331
2001-03-31,29.0,30.9,20.4,21.55,-25.68965517241379
2001-04-30,21.3,23.9,20.25,22.6,6.103286384976529
2001-05-31,23.0,28.55,22.0,27.45,19.34782608695652
2001-06-30,27.65,27.75,24.8,25.85,-6.5099457504520695
2001-07-31,25.55,27.5,21.0,21.2,-17.02544031311155
2001-08-31,21.45,22.6,20.5,22.4,4.428904428904426
2001-09-30,22.5,23.25,18.1,21.9,-2.666666666666673
2001-10-31,21.7,23.45,21.1,22.0,1.3824884792626762
2001-11-30,21.75,26.9,20.45,22.9,5.287356321839074
2001-12-31,23.5,26.15,20.05,21.0,-10.638297872340425
2002-01-31,21.05,21.4,20.1,20.15,-4.2755344418052355
2002-02-28,20.4,27.0,20.05,23.35,14.460784313725505
2002-03-31,23.25,28.0,22.4,26.45,13.763440860215052
2002-04-30,26.9,32.8,26.15,27.45,2.044609665427512
2002-05-31,27.5,34.0,25.0,29.75,8.181818181818182
2002-06-30,30.45,38.75,30.0,35.35,16.091954022988514
2002-07-31,35.9,40.65,27.15,29.65,-17.40947075208914
2002-08-31,29.5,34.0,25.5,27.3,-7.457627118644066
2002-09-30,28.4,28.4,23.0,26.0,-8.450704225352109
2002-10-31,25.95,28.2,24.9,26.2,0.9633911368015414
2002-11-30,25.45,29.3,25.45,28.95,13.7524557956778
2002-12-31,29.5,34.5,28.1,31.4,6.44067796610169
2003-01-31,31.6,33.15,29.4,29.65,-6.170886075949376
2003-02-28,30.0,32.35,29.5,30.5,1.6666666666666667
2003-03-31,31.5,31.7,27.5,27.7,-12.063492063492065
2003-04-30,28.8,30.5,27.6,29.6,2.7777777777777803
2003-05-31,29.75,34.65,29.6,33.05,11.092436974789907
2003-06-30,33.15,41.5,32.25,37.0,11.613876319758676
2003-07-31,37.0,40.5,34.7,34.8,-5.945945945945954
2003-08-31,35.0,45.5,34.5,43.1,23.142857142857146
2003-09-30,44.35,61.4,43.0,54.15,22.096956031567075
2003-10-31,54.4,61.65,48.1,52.65,-3.2169117647058822
2003-11-30,52.65,67.05,50.0,61.6,16.99905033238367
2003-12-31,61.75,81.5,59.1,69.4,12.388663967611345
2004-01-31,69.25,78.0,58.0,62.95,-9.097472924187722
2004-02-29,63.9,63.9,50.0,50.75,-20.57902973395931
2004-03-31,51.0,58.0,43.5,51.25,0.49019607843137253
2004-04-30,52.85,60.95,42.0,56.65,7.190160832544933
2004-05-31,56.95,65.35,41.3,49.0,-13.959613696224762
2004-06-30,49.8,50.45,44.0,47.5,-4.618473895582324
2004-07-31,47.6,54.5,46.05,49.65,4.306722689075624
2004-08-31,50.25,53.25,46.5,52.75,4.975124378109452
2004-09-30,52.9,62.2,50.55,57.3,8.317580340264648
2004-10-31,56.75,62.2,54.5,57.85,1.9383259911894297
2004-11-30,58.5,67.8,58.5,63.0,7.6923076923076925
2004-12-31,63.5,69.0,62.5,65.35,2.9133858267716444
2005-01-31,65.9,72.4,60.7,71.3,8.194233687405145
2005-02-28,72.0,82.4,70.75,71.45,-0.763888888888885
2005-03-31,71.9,73.5,63.9,68.7,-4.450625869262868
2005-04-30,69.8,75.9,66.25,71.85,2.9369627507163285
2005-05-31,72.5,88.65,70.45,84.05,15.931034482758617
2005-06-30,84.65,100.0,84.2,89.1,5.25694034258711
2005-07-31,89.3,108.9,88.5,101.7,13.88577827547593
2005-08-31,102.2,106.0,92.05,101.15,-1.0273972602739698
2005-09-30,102.25,107.8,88.1,98.7,-3.471882640586794
2005-10-31,99.6,105.1,85.1,89.85,-9.789156626506024
2005-11-30,90.5,99.5,88.0,95.4,5.414364640883984
2005-12-31,95.9,109.2,94.55,107.05,11.626694473409792
2006-01-31,109.0,129.95,109.0,121.2,11.192660550458717
2006-02-28,121.9,137.8,115.25,127.45,4.552912223133714
2006-03-31,127.0,136.8,110.55,115.35,-9.173228346456696
2006-04-30,116.45,130.4,96.25,124.75,7.127522541863459
2006-05-31,125.9,144.95,88.1,113.9,-9.531374106433677
2006-06-30,115.0,118.0,78.5,96.3,-16.260869565217394
2006-07-31,97.75,102.5,81.2,91.65,-6.24040920716112
2006-08-31,92.5,103.0,91.55,97.65,5.567567567567574
2006-09-30,98.1,111.0,96.25,106.25,8.307849133537212
2006-10-31,106.25,115.5,92.0,103.15,-2.917647058823524
2006-11-30,102.2,105.25,95.0,99.75,-2.3972602739726057
2006-12-31,99.0,107.0,91.0,101.65,2.6767676767676827
2007-01-31,101.65,116.9,100.9,107.25,5.50909985243482
2007-02-28,107.25,114.8,99.0,101.15,-5.6876456876456825
2007-03-31,104.0,104.5,88.5,92.95,-10.624999999999998
2007-04-30,90.45,101.0,89.0,99.15,9.618573797678277
2007-05-31,101.95,109.6,99.45,106.85,4.8062775870524685
2007-06-30,106.95,116.8,101.0,112.8,5.469845722300135
2007-07-31,112.8,142.0,107.1,136.4,20.921985815602845
2007-08-31,134.15,142.0,112.55,129.4,-3.540812523294819
2007-09-30,129.6,180.25,127.25,158.4,22.22222222222223
2007-10-31,160.0,171.9,122.55,165.5,3.4375
2007-11-30,168.75,203.3,125.0,170.2,0.8592592592592525
2007-12-31,174.8,228.0,171.0,212.45,21.53890160183065
2008-01-31,213.35,232.05,150.0,189.85,-11.014764471525663
2008-02-29,189.9,213.8,158.2,182.15,-4.081095313322801
2008-03-31,178.0,179.3,121.0,134.95,-24.18539325842697
2008-04-30,137.5,169.85,130.0,162.85,18.436363636363634
2008-05-31,165.6,177.5,144.9,152.95,-7.638888888888892
2008-06-30,153.05,155.9,113.35,116.25,-24.04442992486116
2008-07-31,121.0,123.9,97.75,120.3,-0.5785123966942173
2008-08-31,117.0,133.45,110.1,117.25,0.21367521367521367
2008-09-30,116.0,119.9,80.0,90.25,-22.198275862068964
2008-10-31,90.55,92.25,48.0,58.95,-34.897846493649915
2008-11-30,61.6,65.5,50.5,51.4,-16.55844155844156
2008-12-31,51.5,61.4,49.2,54.6,6.019417475728157
2009-01-31,55.5,61.95,52.0,58.05,4.594594594594589
2009-02-28,58.5,66.4,53.1,54.85,-6.239316239316238
2009-03-31,54.1,62.45,52.05,60.4,11.645101663585947
2009-04-30,60.5,77.3,60.5,66.95,10.661157024793392
2009-05-31,68.1,95.4,64.1,94.0,38.0323054331865
2009-06-30,96.0,105.25,84.0,88.05,-8.281250000000002
2009-07-31,88.25,96.8,71.0,91.9,4.135977337110488
2009-08-31,93.0,98.9,88.35,96.25,3.4946236559139785
2009-09-30,96.25,106.45,92.25,101.7,5.662337662337665
2009-10-31,101.1,109.9,90.0,93.05,-7.962413452027693
2009-11-30,93.05,98.0,87.1,94.0,1.0209564750134368
2009-12-31,95.0,107.0,93.0,105.7,11.263157894736844
2010-01-31,106.5,134.0,105.15,118.75,11.502347417840376
2010-02-28,118.9,124.8,105.45,107.4,-9.671993271656854
2010-03-31,111.0,115.9,105.05,112.4,1.2612612612612664
2010-04-30,111.6,123.95,111.4,120.35,7.840501792114695
2010-05-31,119.0,121.7,101.55,105.65,-11.218487394957979
2010-06-30,117.0,117.0,104.05,110.3,-5.726495726495728
2010-07-31,110.1,121.0,109.0,114.8,4.268846503178931
2010-08-31,110.0,138.1,107.9,120.55,9.590909090909088
2010-09-30,120.8,132.0,117.0,120.35,-0.3725165562913931
2010-10-31,119.0,139.25,119.0,124.5,4.621848739495798
2010-11-30,126.3,146.2,115.2,123.0,-2.6128266033254133
2010-12-31,122.1,135.5,110.05,123.35,1.023751023751024
2011-01-31,123.5,135.0,105.8,110.95,-10.161943319838056
2011-02-28,111.9,116.85,98.55,99.1,-11.438784629133163
2011-03-31,99.25,101.7,88.05,95.5,-3.7783375314861463
