Date,Open,High,Low,Close,Returns%
2000-01-31,593.0,630.0,546.0,560.0,-5.564924114671164
2000-02-29,520.0,660.0,455.0,550.0,5.769230769230769
2000-03-31,592.0,625.0,359.0,390.0,-34.12162162162162
2000-04-30,365.1,421.2,345.0,370.0,1.3420980553273012
2000-05-31,346.0,404.0,343.0,385.0,11.271676300578035
2000-06-30,385.0,444.9,378.15,400.0,3.896103896103896
2000-07-31,410.0,507.7,402.5,459.0,11.951219512195122
2000-08-31,431.0,485.0,391.0,408.0,-5.336426914153132
2000-09-30,420.0,435.0,350.0,385.0,-8.333333333333334
2000-10-31,375.0,409.35,340.0,371.0,-1.0666666666666667
2000-11-30,371.0,435.0,370.0,418.8,12.884097035040433
2000-12-31,425.0,603.0,410.0,556.9,31.035294117647055
2001-01-31,560.0,610.0,535.0,587.4,4.892857142857139
2001-02-28,599.0,599.0,385.5,395.1,-34.04006677796327
2001-03-31,391.0,438.0,366.0,378.25,-3.260869565217391
2001-04-30,375.0,406.0,336.05,348.0,-7.2
2001-05-31,347.05,369.9,325.0,355.2,2.348364788935305
2001-06-30,349.0,355.0,285.0,325.1,-6.848137535816613
2001-07-31,335.0,372.0,282.0,347.9,3.8507462686567098
2001-08-31,323.05,335.9,270.0,317.6,-1.6870453490171764
2001-09-30,309.0,323.8,234.15,295.0,-4.53074433656958
2001-10-31,286.0,347.5,260.0,339.25,18.61888111888112
2001-11-30,336.0,479.0,335.0,405.0,20.535714285714285
2001-12-31,404.0,498.0,396.2,403.9,-0.02475247524753038
2002-01-31,403.0,435.0,370.0,380.0,-5.707196029776675
2002-02-28,380.1,390.0,352.25,377.7,-0.6314127861089276
2002-03-31,384.95,405.0,351.0,377.9,-1.8314066761917163
2002-04-30,380.0,385.0,345.3,350.0,-7.894736842105263
2002-05-31,360.0,400.1,317.0,399.05,10.847222222222225
2002-06-30,400.9,401.0,353.25,380.0,-5.2132701421800896
2002-07-31,385.0,404.0,343.05,363.0,-5.714285714285714
2002-08-31,360.0,399.0,340.0,349.0,-3.0555555555555554
2002-09-30,345.2,398.0,330.15,345.0,-0.057937427578212235
2002-10-31,354.9,397.0,327.05,335.05,-5.593124823894045
2002-11-30,356.0,360.0,318.0,337.0,-5.337078651685394
2002-12-31,340.0,353.95,325.0,343.4,0.9999999999999933
2003-01-31,341.0,348.0,320.0,331.75,-2.7126099706744866
2003-02-28,332.0,340.0,301.0,325.7,-1.8975903614457865
2003-03-31,333.0,333.0,283.05,289.95,-12.92792792792793
2003-04-30,287.95,314.0,287.95,305.05,5.938530994964411
2003-05-31,305.95,343.0,296.05,320.0,4.592253636215072
2003-06-30,320.0,365.0,314.0,362.6,13.312500000000005
2003-07-31,360.5,377.0,355.0,362.4,0.52704576976421
2003-08-31,361.55,441.0,360.3,409.75,13.331489420550405
2003-09-30,420.0,420.0,350.0,360.95,-14.059523809523812
2003-10-31,368.4,390.0,340.0,363.75,-1.262214983713349
2003-11-30,362.05,384.0,360.0,380.65,5.137411959674068
2003-12-31,382.0,459.0,377.0,434.75,13.80890052356021
2004-01-31,435.0,488.0,421.0,421.1,-3.1954022988505697
2004-02-29,425.0,425.0,371.0,390.7,-8.07058823529412
2004-03-31,394.0,394.0,343.0,366.0,-7.106598984771574
2004-04-30,366.2,465.0,360.0,410.0,11.960677225559806
2004-05-31,400.0,418.5,364.5,370.0,-7.5
2004-06-30,370.0,389.0,361.0,371.15,0.31081081081080464
2004-07-31,376.9,400.0,370.0,384.0,1.8837888033961325
2004-08-31,390.0,429.5,378.55,407.75,4.551282051282051
2004-09-30,410.0,460.0,405.05,430.0,4.878048780487805
2004-10-31,430.0,454.95,425.7,439.05,2.1046511627907005
2004-11-30,435.0,485.0,430.0,470.25,8.10344827586207
2004-12-31,457.5,528.0,450.05,523.9,14.513661202185789
2005-01-31,501.0,650.0,501.0,614.2,22.594810379241522
2005-02-28,614.5,621.0,550.0,561.25,-8.665581773799838
2005-03-31,524.0,925.4,524.0,758.15,44.685114503816784
2005-04-30,764.0,860.0,741.0,809.0,5.890052356020942
2005-05-31,800.05,845.0,755.4,823.35,2.9123179801262506
2005-06-30,825.0,850.0,733.65,761.4,-7.709090909090912
2005-07-31,790.0,790.0,740.0,763.4,-3.3670886075949396
2005-08-31,764.0,899.9,740.0,867.25,13.514397905759163
2005-09-30,873.0,1059.95,861.05,995.0,13.974799541809851
2005-10-31,986.0,1075.05,986.0,1040.9,5.5679513184584275
2005-11-30,1000.0,1446.6,1000.0,1446.6,44.65999999999999
2005-12-31,1468.0,1668.6,1340.0,1400.0,-4.632152588555858
2006-01-31,1425.0,1648.45,1400.0,1532.4,7.5368421052631644
2006-02-28,1525.0,1525.0,1351.0,1424.6,-6.583606557377055
2006-03-31,1420.0,1500.0,1260.0,1465.4,3.1971830985915557
2006-04-30,1450.0,1605.35,1411.0,1550.0,6.896551724137931
2006-05-31,1480.0,1699.0,1225.0,1385.6,-6.378378378378384
2006-06-30,1390.0,1390.0,1050.0,1345.6,-3.194244604316553
2006-07-31,1253.2,1341.0,1136.0,1195.05,-4.64012128949889
2006-08-31,1185.0,1299.0,1100.0,1144.6,-3.4092827004219486
2006-09-30,1094.0,1143.0,1020.0,1050.8,-3.9488117001828194
2006-10-31,1060.0,1163.0,1025.0,1035.0,-2.358490566037736
2006-11-30,1090.0,1389.3,984.4,1389.3,27.458715596330272
2006-12-31,1430.0,1608.35,1266.0,1336.45,-6.541958041958039
2007-01-31,1335.0,1495.0,1310.0,1418.35,6.243445692883888
2007-02-28,1450.0,1450.0,1131.0,1237.1,-14.68275862068966
2007-03-31,1222.0,1240.0,1065.55,1153.45,-5.609656301145659
2007-04-30,1116.0,1544.0,1116.0,1520.7,36.26344086021506
2007-05-31,1511.0,1599.0,1475.0,1518.25,0.4798146922567836
2007-06-30,1525.1,1550.0,1390.0,1429.65,-6.258605993049625
2007-07-31,1436.0,1480.0,1280.0,1316.2,-8.342618384401112
2007-08-31,1230.0,1389.0,1169.95,1275.0,3.658536585365854
2007-09-30,1293.0,1600.0,1290.0,1500.6,16.055684454756374
2007-10-31,1529.75,1587.0,1250.0,1515.3,-0.9445987906520703
2007-11-30,1590.0,1626.0,1327.0,1499.55,-5.688679245283021
2007-12-31,1529.5,1580.0,1425.0,1546.3,1.0983981693363816
2008-01-31,1575.0,2239.0,1101.0,1345.15,-14.59365079365079
2008-02-29,1352.0,1455.0,1240.0,1294.3,-4.267751479289944
2008-03-31,1242.0,1300.0,1082.0,1291.55,3.989533011272138
2008-04-30,1251.0,1461.0,1251.0,1415.0,13.10951239008793
2008-05-31,1411.1,1500.0,1340.0,1429.4,1.2968606052016287
2008-06-30,1431.0,1480.0,1190.0,1275.9,-10.838574423480077
2008-07-31,1240.0,1450.0,1156.0,1407.2,13.483870967741938
2008-08-31,1446.95,1544.5,1400.0,1475.0,1.9385604201941984
2008-09-30,1454.0,1512.9,1305.0,1414.0,-2.751031636863824
2008-10-31,1351.0,1410.0,865.0,1100.0,-18.57883049592894
2008-11-30,1071.0,1144.9,730.0,843.75,-21.218487394957982
2008-12-31,850.0,915.0,765.0,900.05,5.888235294117642
2009-01-31,880.0,990.0,745.0,877.5,-0.2840909090909091
2009-02-28,870.0,875.0,662.0,699.9,-19.55172413793104
2009-03-31,699.0,750.0,610.0,728.75,4.2560801144492135
2009-04-30,710.0,1050.0,708.0,936.1,31.845070422535215
2009-05-31,922.0,1445.0,870.0,1052.55,14.159436008676785
2009-06-30,1088.85,1300.0,1000.0,1228.5,12.825458052073298
2009-07-31,1210.0,1825.0,1200.05,1767.85,46.10330578512396
2009-08-31,1885.0,1885.0,1444.0,1577.6,-16.30769230769231
2009-09-30,1566.0,1878.0,1555.0,1822.95,16.408045977011497
2009-10-31,1810.0,2050.0,1711.0,1759.45,-2.7928176795580084
2009-11-30,1759.45,1850.0,1660.0,1802.1,2.424052971098915
2009-12-31,1730.0,2087.0,1730.0,2003.1,15.786127167630054
2010-01-31,2019.4,2019.4,1780.0,1938.2,-4.020996335545213
2010-02-28,1900.05,1988.0,1700.0,1805.1,-4.997236914818033
2010-03-31,1844.95,1999.0,1660.0,1988.5,7.780698663920429
2010-04-30,1970.0,1970.0,1778.0,1900.0,-3.553299492385787
2010-05-31,1900.0,1999.95,1655.35,1835.0,-3.4210526315789473
2010-06-30,1851.0,1875.0,1780.0,1799.0,-2.8092922744462454
2010-07-31,1800.0,1960.0,1781.2,1850.0,2.7777777777777777
2010-08-31,1840.0,1870.0,1725.0,1748.9,-4.951086956521734
2010-09-30,1747.0,1800.1,1724.0,1755.35,0.47796222095019514
2010-10-31,1760.0,1800.0,1670.5,1699.9,-3.414772727272722
2010-11-30,1760.0,2214.0,1725.0,1953.9,11.017045454545459
2010-12-31,2099.5,2110.0,1751.05,2074.35,-1.1979042629197472
2011-01-31,2439.95,2439.95,1840.0,1974.0,-19.096702801286906
2011-02-28,1875.0,2099.75,1680.0,1956.2,4.330666666666669
2011-03-31,1990.0,2010.0,1781.0,1921.4,-3.447236180904518
2011-04-30,1890.05,2080.0,1861.05,2049.95,8.460093648316175
2011-05-31,2050.0,2150.0,1892.1,2110.3,2.941463414634155
2011-06-30,2100.0,2940.0,2020.3,2837.0,35.095238095238095
2011-07-31,2880.0,3318.0,2820.0,3001.85,4.230902777777775
