Date,Open,High,Low,Close,Returns%
2000-01-31,31.75,33.85,27.0,27.25,-14.173228346456693
2000-02-29,26.4,27.2,20.5,21.15,-19.886363636363637
2000-03-31,22.3,23.0,18.5,22.2,-0.44843049327354895
2000-04-30,23.0,24.25,20.7,21.0,-8.695652173913043
2000-05-31,20.0,26.3,20.0,24.15,20.749999999999993
2000-06-30,24.5,24.75,18.6,20.3,-17.14285714285714
2000-07-31,20.05,23.9,19.6,20.2,0.7481296758104667
2000-08-31,19.3,20.5,19.0,20.1,4.145077720207257
2000-09-30,19.9,20.0,16.6,17.0,-14.572864321608035
2000-10-31,17.0,18.0,15.0,17.25,1.4705882352941178
2000-11-30,17.45,20.7,17.0,20.4,16.905444126074496
2000-12-31,19.7,20.5,17.65,18.55,-5.837563451776643
2001-01-31,18.75,19.9,15.2,17.0,-9.333333333333334
2001-02-28,16.8,18.35,16.5,17.6,4.761904761904766
2001-03-31,17.5,18.25,15.0,16.25,-7.142857142857143
2001-04-30,15.7,17.9,15.2,17.0,8.280254777070068
2001-05-31,17.15,21.0,16.55,20.0,16.618075801749278
2001-06-30,20.25,22.25,19.55,20.05,-0.9876543209876508
2001-07-31,19.25,20.95,17.0,17.6,-8.571428571428564
2001-08-31,17.5,19.0,16.2,17.25,-1.4285714285714286
2001-09-30,17.4,17.7,15.0,17.65,1.4367816091954024
2001-10-31,15.0,18.5,15.0,17.8,18.66666666666667
2001-11-30,17.5,23.75,17.2,22.45,28.28571428571428
2001-12-31,21.0,22.3,19.0,20.0,-4.761904761904762
2002-01-31,19.85,21.3,19.5,21.0,5.793450881612083
2002-02-28,21.0,24.5,20.2,20.8,-0.952380952380949
2002-03-31,19.65,23.05,19.65,21.5,9.41475826972011
2002-04-30,21.8,28.0,20.9,27.5,26.146788990825684
2002-05-31,27.5,28.9,23.0,25.6,-6.909090909090904
2002-06-30,24.5,31.5,24.5,30.2,23.265306122448976
2002-07-31,31.0,40.9,24.7,28.15,-9.193548387096778
2002-08-31,28.7,31.1,26.25,27.4,-4.529616724738678
2002-09-30,27.6,28.45,23.25,25.8,-6.521739130434784
2002-10-31,26.0,28.85,24.3,25.75,-0.9615384615384616
2002-11-30,26.45,29.85,26.05,28.0,5.860113421550097
2002-12-31,27.7,30.8,25.5,28.0,1.0830324909747318
2003-01-31,28.0,32.0,27.75,28.55,1.9642857142857169
2003-02-28,29.0,31.8,24.05,30.1,3.793103448275867
2003-03-31,29.65,31.0,26.6,27.3,-7.925801011804377
2003-04-30,26.85,31.8,26.85,30.05,11.918063314711357
2003-05-31,30.45,37.0,29.9,35.25,15.763546798029559
2003-06-30,35.8,46.5,35.3,44.55,24.441340782122907
2003-07-31,45.15,54.2,44.85,52.75,16.8327796234773
