Date,Open,High,Low,Close,Returns%
2000-01-31,429.9,553.85,370.0,384.5,-10.56059548732263
2000-02-29,381.0,434.1,278.05,323.8,-15.01312335958005
2000-03-31,317.0,385.0,266.0,307.45,-3.012618296529972
2000-04-30,324.75,400.0,302.0,354.75,9.237875288683602
2000-05-31,364.7,370.0,214.25,268.4,-26.405264601041956
2000-06-30,272.0,308.0,230.0,287.3,5.625000000000004
2000-07-31,288.0,302.5,220.0,254.5,-11.631944444444445
2000-08-31,255.0,290.0,237.0,273.15,7.11764705882352
2000-09-30,270.0,270.25,200.2,214.55,-20.537037037037035
2000-10-31,211.5,221.0,165.95,204.0,-3.5460992907801416
2000-11-30,204.9,268.0,197.05,246.6,20.351390922401166
2000-12-31,242.5,298.4,242.0,287.95,18.74226804123711
2001-01-31,290.0,345.85,285.0,331.2,14.206896551724135
2001-02-28,329.0,354.0,284.15,319.55,-2.8723404255319114
2001-03-31,325.0,345.0,247.5,250.95,-22.78461538461539
2001-04-30,247.5,321.7,230.9,287.7,16.24242424242424
2001-05-31,310.0,356.0,275.0,337.85,8.983870967741943
2001-06-30,339.5,343.1,287.25,300.85,-11.384388807069213
2001-07-31,304.0,336.0,295.1,315.05,3.6348684210526354
2001-08-31,318.0,327.0,269.1,270.35,-14.984276729559742
2001-09-30,279.0,279.0,235.0,260.0,-6.810035842293907
2001-10-31,260.25,294.0,244.1,283.65,8.99135446685878
2001-11-30,288.0,306.0,261.5,297.65,3.3506944444444366
2001-12-31,304.4,329.9,253.25,274.05,-9.970433639947426
2002-01-31,279.0,301.0,272.55,281.7,0.9677419354838669
2002-02-28,283.0,320.0,276.05,289.2,2.1908127208480526
2002-03-31,289.9,309.5,284.1,287.25,-0.9141083132114445
2002-04-30,290.0,299.0,282.0,286.1,-1.3448275862068888
2002-05-31,294.95,346.25,286.0,294.4,-0.1864722834378747
2002-06-30,299.0,327.9,295.05,316.55,5.869565217391308
2002-07-31,319.95,349.9,300.5,310.45,-2.969213939678075
2002-08-31,310.0,324.25,302.55,314.75,1.532258064516129
2002-09-30,318.0,324.85,303.1,309.45,-2.6886792452830224
2002-10-31,312.75,320.0,294.25,302.5,-3.2773780975219826
2002-11-30,309.9,322.0,285.0,286.7,-7.48628589867699
2002-12-31,286.0,317.5,276.0,314.9,10.104895104895096
2003-01-31,317.0,340.0,301.0,325.35,2.634069400630922
2003-02-28,325.0,361.4,325.0,351.0,8.0
2003-03-31,349.5,349.5,325.0,330.4,-5.464949928469248
2003-04-30,348.0,368.8,325.0,360.85,3.6925287356321905
2003-05-31,358.5,393.0,341.0,385.95,7.656903765690374
2003-06-30,386.1,524.9,375.25,504.0,30.53613053613053
2003-07-31,502.2,555.7,440.0,546.45,8.811230585424145
