Date,Open,High,Low,Close,Returns%
2000-01-31,47.0,59.4,43.55,44.2,-5.957446808510633
2000-02-29,44.25,53.85,41.0,46.35,4.74576271186441
2000-03-31,47.75,51.95,33.5,37.35,-21.78010471204188
2000-04-30,37.95,40.0,34.05,35.75,-5.797101449275369
2000-05-31,36.0,38.95,33.15,36.85,2.361111111111115
2000-06-30,37.45,40.9,31.0,32.0,-14.55273698264353
2000-07-31,33.0,35.5,28.3,29.2,-11.515151515151517
2000-08-31,28.6,29.9,22.35,24.1,-15.734265734265733
2000-09-30,24.45,25.95,22.25,22.75,-6.952965235173822
2000-10-31,22.0,23.9,19.5,21.35,-2.954545454545448
2000-11-30,22.4,27.6,20.8,25.6,14.285714285714299
2000-12-31,24.6,32.75,24.5,26.4,7.317073170731695
2001-01-31,26.3,30.0,23.7,24.65,-6.273764258555142
2001-02-28,24.9,35.5,24.05,27.0,8.433734939759042
2001-03-31,26.55,28.5,19.0,19.6,-26.17702448210922
2001-04-30,19.25,21.45,18.1,18.9,-1.8181818181818257
2001-05-31,18.85,21.5,17.0,20.5,8.753315649867366
2001-06-30,20.0,21.25,16.3,16.75,-16.25
2001-07-31,16.5,17.25,13.0,13.65,-17.27272727272727
2001-08-31,13.5,14.0,11.95,12.2,-9.629629629629633
2001-09-30,12.15,12.75,8.1,11.2,-7.818930041152273
2001-10-31,10.5,14.3,10.0,12.65,20.476190476190478
2001-11-30,13.0,15.25,11.7,14.1,8.46153846153846
2001-12-31,14.25,15.2,10.15,11.75,-17.54385964912281
2002-01-31,11.9,12.45,10.2,10.65,-10.504201680672269
2002-02-28,10.65,19.9,10.5,16.1,51.1737089201878
2002-03-31,15.35,26.95,15.3,24.9,62.214983713355046
2002-04-30,24.1,30.4,22.1,23.75,-1.4522821576763543
2002-05-31,24.4,31.8,20.35,26.55,8.811475409836076
2002-06-30,27.15,40.7,25.75,35.3,30.018416206261506
2002-07-31,36.0,41.3,22.1,24.65,-31.527777777777786
2002-08-31,24.3,27.15,19.0,19.9,-18.10699588477367
2002-09-30,21.45,22.4,15.0,17.0,-20.745920745920746
2002-10-31,16.95,18.75,13.6,15.25,-10.029498525073743
2002-11-30,15.4,17.95,14.6,17.45,13.311688311688304
2002-12-31,17.8,29.7,17.65,25.4,42.696629213483135
2003-01-31,25.85,26.0,19.65,21.65,-16.247582205029023
2003-02-28,21.9,24.55,20.15,20.65,-5.707762557077626
2003-03-31,21.1,21.95,13.1,15.55,-26.303317535545027
2003-04-30,15.5,18.35,14.8,15.35,-0.9677419354838732
2003-05-31,15.7,24.9,15.7,22.7,44.5859872611465
2003-06-30,22.8,29.8,21.2,24.25,6.359649122807014
2003-07-31,24.0,30.15,22.8,23.35,-2.7083333333333273
2003-08-31,23.5,30.0,23.2,26.65,13.404255319148932
2003-09-30,27.6,32.25,25.6,27.1,-1.8115942028985506
2003-10-31,25.9,32.0,25.9,28.7,10.810810810810814
2003-11-30,30.25,44.85,26.7,41.6,37.520661157024804
2003-12-31,42.25,56.4,40.05,49.25,16.568047337278106
2004-01-31,50.4,74.3,48.15,52.3,3.769841269841267
2004-02-29,54.0,54.0,43.5,47.15,-12.685185185185187
2004-03-31,47.9,62.0,46.55,59.85,24.94780793319416
2004-04-30,60.3,74.0,56.35,71.85,19.15422885572139
2004-05-31,72.0,73.9,40.0,46.4,-35.55555555555556
2004-06-30,47.25,56.0,39.9,53.95,14.179894179894184
2004-07-31,55.5,65.85,49.15,60.0,8.108108108108109
2004-08-31,59.0,72.0,57.0,70.2,18.98305084745763
2004-09-30,70.5,83.75,67.15,72.45,2.765957446808515
2004-10-31,72.4,82.5,69.3,74.3,2.6243093922651815
2004-11-30,75.1,91.8,75.0,85.25,13.51531291611186
2004-12-31,86.05,103.7,82.4,97.35,13.13190005810575
2005-01-31,97.15,117.8,93.6,115.2,18.579516212043227
2005-02-28,113.0,129.0,113.0,124.95,10.575221238938056
2005-03-31,125.0,134.5,94.6,112.65,-9.879999999999997
2005-04-30,113.15,126.65,106.25,107.3,-5.170128148475483
2005-05-31,109.85,126.1,102.55,117.1,6.5999089667728725
2005-06-30,118.25,129.9,111.55,112.65,-4.735729386892173
2005-07-31,111.65,143.9,111.0,135.9,21.719659650694133
2005-08-31,140.0,153.8,128.4,143.5,2.5
2005-09-30,144.85,152.9,128.6,147.75,2.002071108042807
2005-10-31,148.85,161.9,129.0,135.0,-9.304669129996638
2005-11-30,136.35,157.35,131.65,148.55,8.947561422808961
2005-12-31,151.0,167.45,147.5,160.6,6.357615894039731
2006-01-31,161.0,215.0,161.0,193.1,19.93788819875776
2006-02-28,193.5,214.6,178.1,190.6,-1.4987080103359203
2006-03-31,188.0,191.8,160.0,166.4,-11.489361702127658
2006-04-30,170.0,210.0,163.25,204.3,20.1764705882353
2006-05-31,205.0,250.0,174.0,213.25,4.024390243902439
2006-06-30,219.65,222.0,153.1,181.5,-17.368540860459824
2006-07-31,183.7,190.0,142.0,156.3,-14.91562329885682
2006-08-31,157.5,184.8,146.05,175.65,11.523809523809527
2006-09-30,182.55,186.25,165.0,168.7,-7.5869624760339756
2006-10-31,169.0,187.0,166.2,180.1,6.568047337278104
2006-11-30,176.0,208.0,176.0,182.6,3.749999999999997
2006-12-31,184.5,195.0,168.0,180.65,-2.086720867208669
2007-01-31,182.7,225.0,179.0,191.7,4.926108374384237
2007-02-28,192.15,234.9,185.0,187.35,-2.49804839968775
2007-03-31,190.05,200.0,162.0,174.95,-7.945277558537239
2007-04-30,170.0,188.0,166.0,179.05,5.323529411764713
2007-05-31,183.0,190.0,156.75,174.55,-4.617486338797808
2007-06-30,174.0,214.0,170.1,176.45,1.4080459770114877
2007-07-31,177.6,252.0,164.8,239.1,34.62837837837838
2007-08-31,235.7,243.5,185.05,227.0,-3.6911327959270213
2007-09-30,224.4,244.5,218.2,241.35,7.553475935828872
2007-10-31,244.0,261.95,210.0,253.8,4.016393442622955
2007-11-30,252.6,318.8,245.15,263.25,4.216152019002378
2007-12-31,266.85,356.95,251.2,339.85,27.356192617575413
2008-01-31,346.8,370.0,202.55,253.0,-27.047289504036915
2008-02-29,254.75,284.5,202.0,254.2,-0.2158979391560398
2008-03-31,245.0,249.7,141.0,170.75,-30.306122448979593
2008-04-30,175.0,215.9,159.5,194.05,10.885714285714291
2008-05-31,195.1,200.5,159.65,175.6,-9.99487442337263
2008-06-30,173.15,188.0,145.0,149.25,-13.80306092982963
2008-07-31,149.95,169.0,139.05,161.75,7.869289763254426
2008-08-31,163.0,180.95,157.0,167.7,2.883435582822079
2008-09-30,169.0,173.45,111.0,117.3,-30.59171597633136
2008-10-31,118.0,122.0,61.2,79.7,-32.45762711864406
2008-11-30,85.0,85.95,68.8,72.4,-14.823529411764701
2008-12-31,72.9,77.45,62.0,74.65,2.400548696844993
2009-01-31,74.5,93.0,71.35,87.4,17.315436241610744
2009-02-28,87.4,91.75,75.2,78.75,-9.897025171624719
2009-03-31,77.95,91.9,73.55,88.05,12.957023733162275
2009-04-30,88.0,123.0,87.4,111.85,27.102272727272723
2009-05-31,117.0,175.6,114.5,170.65,45.854700854700866
2009-06-30,173.0,200.0,159.5,174.85,1.0693641618497076
2009-07-31,175.0,181.0,136.7,148.4,-15.199999999999998
2009-08-31,149.3,151.7,130.5,147.75,-1.0381781647689292
2009-09-30,150.65,182.05,143.0,176.3,17.0262197145702
2009-10-31,175.0,196.0,156.95,177.8,1.6000000000000065
2009-11-30,173.7,182.0,158.0,166.8,-3.972366148531939
2009-12-31,167.05,207.0,165.0,191.55,14.666267584555522
2010-01-31,192.6,244.0,191.25,216.5,12.409138110072693
2010-02-28,217.1,232.0,191.25,194.9,-10.2257024412713
2010-03-31,198.9,228.0,192.0,221.3,11.261940673705382
2010-04-30,222.5,265.85,219.0,260.25,16.96629213483146
2010-05-31,261.0,261.0,215.6,217.55,-16.647509578544057
2010-06-30,219.8,257.4,218.5,253.0,15.104640582347583
2010-07-31,255.0,310.0,248.25,285.95,12.13725490196078
2010-08-31,290.0,328.7,281.0,293.2,1.103448275862065
2010-09-30,292.0,320.8,285.7,293.0,0.3424657534246575
2010-10-31,294.0,412.9,294.0,360.2,22.517006802721085
