Date,Open,High,Low,Close,Returns%
2000-01-31,1550.0,2245.0,1492.0,2030.4,30.99354838709678
2000-02-29,1981.2,2998.0,1915.2,2081.75,5.075206945285683
2000-03-31,2000.0,2622.5,1522.6,1722.05,-13.897500000000003
2000-04-30,1799.0,2013.75,1166.55,1558.0,-13.39633129516398
2000-05-31,1590.0,1809.0,902.0,1229.45,-22.67610062893081
2000-06-30,1250.0,1549.0,1090.0,1282.9,2.6320000000000072
2000-07-31,1323.0,1406.0,925.5,1002.5,-24.225245653817083
2000-08-31,1020.0,1310.0,900.0,1300.35,27.48529411764705
2000-09-30,1307.0,1425.0,1000.0,1149.65,-12.039020657995403
2000-10-31,1140.05,1310.0,856.0,1196.85,4.982237621156963
2000-11-30,1225.0,1371.0,595.5,611.75,-50.06122448979592
2000-12-31,592.0,773.0,482.6,538.95,-8.96114864864864
2001-01-31,529.0,755.0,501.0,649.85,22.844990548204162
2001-02-28,645.0,663.7,525.0,622.9,-3.4263565891472902
2001-03-31,626.8,635.0,345.0,369.7,-41.0178685386088
2001-04-30,348.0,413.85,202.2,374.8,7.701149425287359
2001-05-31,404.8,464.85,368.7,391.95,-3.1744071146245116
2001-06-30,394.0,408.55,239.75,289.4,-26.54822335025381
2001-07-31,305.0,315.0,229.85,245.35,-19.55737704918033
2001-08-31,246.5,301.0,216.6,224.0,-9.127789046653144
2001-09-30,225.0,247.0,103.2,129.55,-42.42222222222222
2001-10-31,130.8,183.4,122.0,163.45,24.96177370030579
2001-11-30,167.15,263.0,164.15,229.1,37.062518695782224
2001-12-31,239.85,300.7,231.0,275.85,15.00938086303941
2002-01-31,277.15,329.6,217.0,243.6,-12.105358109327074
2002-02-28,248.0,297.8,235.1,259.25,4.536290322580645
2002-03-31,259.0,297.2,253.1,258.3,-0.2702702702702659
2002-04-30,258.9,280.0,218.1,242.0,-6.527616840478941
2002-05-31,244.0,256.2,205.0,221.65,-9.159836065573769
2002-06-30,228.0,237.0,202.05,223.45,-1.9956140350877243
2002-07-31,225.0,250.9,163.0,187.2,-16.800000000000004
2002-08-31,185.0,215.0,172.1,203.5,10.0
2002-09-30,206.05,225.9,198.0,210.35,2.086872118417851
2002-10-31,205.1,221.4,157.85,163.35,-20.355923939541686
2002-11-30,164.15,192.7,153.35,191.15,16.448370392933292
2002-12-31,193.05,198.4,174.4,186.85,-3.21160321160322
2003-01-31,187.9,193.0,147.35,162.1,-13.730707823310276
2003-02-28,163.1,177.2,152.85,175.6,7.664009809932557
2003-03-31,178.3,179.7,144.45,151.05,-15.28323051037577
2003-04-30,150.2,177.0,127.2,134.95,-10.153129161118509
2003-05-31,136.05,146.25,117.6,123.45,-9.261300992282255
2003-06-30,125.9,156.3,124.25,154.45,22.676727561556774
2003-07-31,155.0,176.4,144.0,163.4,5.4193548387096815
2003-08-31,165.05,196.9,157.3,185.05,12.11754013935171
2003-09-30,187.4,228.7,152.0,172.55,-7.924226254002132
2003-10-31,171.15,218.8,170.2,216.95,26.760151913526133
2003-11-30,219.8,279.75,219.8,269.35,22.543221110100095
2003-12-31,274.0,310.0,260.7,305.45,11.47810218978102
2004-01-31,308.0,345.0,278.0,303.5,-1.4610389610389611
2004-02-29,305.0,317.8,257.0,289.1,-5.213114754098354
2004-03-31,289.8,298.4,233.55,247.7,-14.527260179434098
