Date,Open,High,Low,Close,Returns%
2000-01-31,21.5,26.0,20.2,23.65,9.999999999999993
2000-02-29,24.9,25.8,21.2,25.4,2.0080321285140563
2000-03-31,25.9,32.8,24.1,30.1,16.216216216216228
2000-04-30,30.0,30.2,26.0,26.5,-11.666666666666666
2000-05-31,26.0,27.0,25.0,25.95,-0.19230769230769504
2000-06-30,25.75,27.2,25.0,26.0,0.970873786407767
2000-07-31,26.0,34.9,24.25,30.0,15.384615384615385
2000-08-31,30.05,34.35,30.05,33.05,9.983361064891835
2000-09-30,33.05,33.75,31.25,32.35,-2.1180030257185956
2000-10-31,32.5,33.85,31.75,32.2,-0.9230769230769144
2000-11-30,32.5,32.9,31.0,31.5,-3.076923076923077
2000-12-31,32.0,32.0,30.0,31.0,-3.125
2001-01-31,31.8,32.0,30.5,30.5,-4.08805031446541
2001-02-28,31.5,33.0,29.0,30.0,-4.761904761904762
2001-03-31,30.75,31.0,25.35,29.6,-3.739837398373979
2001-04-30,29.55,30.0,27.5,28.0,-5.245346869712353
2001-05-31,28.15,32.4,28.0,30.05,6.749555950266438
2001-06-30,30.15,31.0,28.2,29.0,-3.8142620232172426
2001-07-31,29.05,37.75,27.2,37.35,28.571428571428573
2001-08-31,37.2,39.0,36.25,38.95,4.704301075268817
2001-09-30,39.6,39.6,29.25,31.0,-21.71717171717172
2001-10-31,31.5,34.05,30.15,33.5,6.349206349206349
2001-11-30,33.05,33.25,27.5,28.25,-14.523449319213306
2001-12-31,30.0,30.0,25.3,27.35,-8.83333333333333
2002-01-31,27.25,28.5,24.6,26.2,-3.8532110091743146
2002-02-28,26.0,28.0,25.2,26.0,0.0
2002-03-31,26.0,27.0,25.75,25.95,-0.19230769230769504
2002-04-30,26.45,28.8,26.0,27.7,4.725897920604915
2002-05-31,28.15,32.5,27.5,27.75,-1.4209591474245065
2002-06-30,28.5,36.0,27.75,33.45,17.36842105263159
2002-07-31,37.1,45.0,29.6,30.75,-17.11590296495957
2002-08-31,30.7,32.0,30.3,31.1,1.3029315960912122
2002-09-30,31.25,31.95,26.1,26.9,-13.920000000000003
2002-10-31,27.0,27.5,21.4,25.1,-7.037037037037032
2002-11-30,25.0,28.9,24.0,25.05,0.20000000000000284
2002-12-31,25.0,26.2,22.0,24.7,-1.2000000000000028
2003-01-31,24.8,33.8,24.15,28.45,14.717741935483867
2003-02-28,27.0,31.55,26.0,28.8,6.666666666666669
2003-03-31,29.1,31.25,25.3,26.3,-9.621993127147768
2003-04-30,26.25,29.15,25.0,26.7,1.7142857142857115
2003-05-31,28.8,36.5,27.05,35.1,21.875000000000004
2003-06-30,30.15,47.85,30.15,46.0,52.570480928689896
2003-07-31,46.5,60.0,46.5,52.55,13.010752688172039
2003-08-31,52.15,56.6,46.55,48.15,-7.6701821668264625
2003-09-30,49.95,53.4,42.3,52.9,5.905905905905897
2003-10-31,52.5,63.4,51.3,59.55,13.428571428571423
2003-11-30,62.5,98.0,57.6,84.65,35.440000000000005
2003-12-31,85.25,119.9,82.5,107.3,25.865102639296182
2004-01-31,108.5,119.9,95.1,95.5,-11.981566820276498
2004-02-29,96.4,96.4,80.0,85.4,-11.410788381742737
2004-03-31,85.8,94.95,80.6,89.85,4.720279720279717
2004-04-30,90.5,98.85,90.1,92.25,1.9337016574585635
2004-05-31,91.1,92.5,66.5,67.55,-25.85071350164654
2004-06-30,69.0,77.0,63.0,67.9,-1.5942028985507164
2004-07-31,69.9,77.5,63.0,71.75,2.646638054363368
2004-08-31,70.7,79.4,70.0,74.9,5.940594059405944
2004-09-30,76.0,84.6,76.0,80.65,6.118421052631587
2004-10-31,80.9,87.5,76.0,77.3,-4.449938195302853
2004-11-30,76.5,102.5,74.05,91.05,19.01960784313725
2004-12-31,91.8,108.4,86.85,97.6,6.318082788671021
2005-01-31,98.8,99.95,85.0,91.9,-6.983805668016186
2005-02-28,93.0,126.0,91.35,123.55,32.84946236559139
2005-03-31,124.8,157.75,121.0,143.15,14.70352564102565
2005-04-30,144.0,153.85,122.05,125.75,-12.67361111111111
2005-05-31,126.5,143.55,116.0,130.35,3.0434782608695605
2005-06-30,131.0,156.0,122.4,141.4,7.938931297709927
2005-07-31,141.0,154.9,140.0,151.05,7.127659574468093
2005-08-31,151.5,175.9,148.0,169.05,11.584158415841591
2005-09-30,170.2,178.4,145.0,170.15,-0.029377203290236752
