Date,Open,High,Low,Close,Returns%
2000-01-31,130.0,155.0,103.1,105.35,-18.961538461538463
2000-02-29,110.0,167.15,101.0,108.1,-1.7272727272727324
2000-03-31,103.1,112.0,87.25,89.9,-12.803103782735198
2000-04-30,97.0,97.0,75.0,88.0,-9.278350515463918
2000-05-31,84.0,84.0,66.1,81.0,-3.5714285714285716
2000-06-30,79.05,88.0,73.0,76.0,-3.8583175205566063
2000-07-31,75.1,91.0,73.0,79.1,5.326231691078562
2000-08-31,80.0,93.0,67.0,93.0,16.25
2000-09-30,96.0,99.0,69.0,70.0,-27.083333333333332
2000-10-31,71.5,80.0,65.0,76.65,7.2027972027972105
2000-11-30,72.05,81.0,69.2,72.0,-0.06939625260235553
2000-12-31,73.75,73.75,65.55,68.25,-7.4576271186440675
2001-01-31,70.5,70.5,63.0,67.0,-4.964539007092198
2001-02-28,67.25,67.25,58.0,59.65,-11.301115241635689
2001-03-31,64.25,64.25,43.0,45.75,-28.79377431906615
2001-04-30,44.1,53.0,42.0,43.05,-2.3809523809523907
2001-05-31,43.0,48.95,40.0,44.05,2.4418604651162723
2001-06-30,43.95,46.0,40.0,42.9,-2.3890784982935247
2001-07-31,43.75,44.1,38.5,38.5,-12.0
2001-08-31,39.1,48.0,39.1,47.75,22.122762148337593
2001-09-30,46.45,54.0,43.0,46.0,-0.9687836383207811
2001-10-31,45.0,56.7,45.0,52.0,15.555555555555555
2001-11-30,52.0,65.5,51.0,60.0,15.384615384615385
2001-12-31,61.0,63.1,54.0,56.75,-6.967213114754099
2002-01-31,55.0,66.1,52.0,64.5,17.272727272727273
2002-02-28,63.05,69.95,61.0,63.25,0.3172085646312496
2002-03-31,63.0,69.85,60.1,63.4,0.6349206349206327
2002-04-30,66.75,101.45,62.0,96.8,45.01872659176029
2002-05-31,98.9,104.0,81.05,89.05,-9.959555106167855
2002-06-30,91.0,127.0,90.1,120.4,32.307692307692314
2002-07-31,125.1,130.9,96.25,107.05,-14.42845723421263
2002-08-31,109.0,119.0,103.0,110.9,1.7431192660550512
2002-09-30,114.0,115.0,102.0,105.5,-7.456140350877193
2002-10-31,106.0,112.0,101.0,110.75,4.481132075471698
2002-11-30,106.6,119.75,106.0,115.95,8.771106941838658
2002-12-31,116.0,137.0,115.1,134.9,16.293103448275865
2003-01-31,135.0,141.8,125.0,130.25,-3.5185185185185186
2003-02-28,129.0,137.0,118.2,120.65,-6.472868217054259
2003-03-31,121.5,121.5,103.1,109.35,-10.000000000000004
2003-04-30,111.1,120.5,105.6,112.05,0.8550855085508577
2003-05-31,110.0,130.9,106.05,124.0,12.727272727272727
2003-06-30,124.0,135.1,116.0,131.25,5.846774193548387
2003-07-31,128.55,151.0,126.85,131.0,1.9058732010890613
2003-08-31,130.0,149.0,118.0,143.0,10.0
2003-09-30,142.0,168.0,138.0,147.8,4.084507042253529
2003-10-31,155.0,158.5,133.05,147.3,-4.967741935483864
2003-11-30,147.85,180.0,140.1,163.45,10.551234359147783
2003-12-31,161.0,222.8,161.0,196.95,22.329192546583844
2004-01-31,199.95,204.0,162.0,195.5,-2.2255563890972687
2004-02-29,194.8,211.0,186.0,197.95,1.6170431211498855
2004-03-31,198.0,204.95,183.25,200.2,1.1111111111111054
2004-04-30,201.0,244.95,198.45,221.9,10.398009950248758
2004-05-31,217.6,225.0,155.0,190.8,-12.316176470588227
2004-06-30,193.0,210.0,157.0,168.0,-12.953367875647668
2004-07-31,167.55,189.0,162.0,179.25,6.982990152193368
2004-08-31,183.0,194.0,176.1,189.8,3.7158469945355255
2004-09-30,190.0,202.0,180.0,182.05,-4.184210526315783
2004-10-31,183.0,188.0,168.0,174.1,-4.86338797814208
2004-11-30,175.0,198.9,170.0,184.35,5.34285714285714
2004-12-31,182.5,226.8,182.5,215.3,17.97260273972603
2005-01-31,222.0,227.0,200.2,213.5,-3.828828828828829
2005-02-28,220.0,232.7,206.55,214.65,-2.4318181818181794
2005-03-31,210.05,224.8,210.0,212.9,1.3568198048083762
2005-04-30,215.0,221.95,190.05,218.0,1.3953488372093024
2005-05-31,221.0,239.75,215.0,226.8,2.624434389140277
2005-06-30,228.95,274.75,200.1,235.5,2.860886656475218
2005-07-31,267.8,268.0,187.0,249.95,-6.665421956684101
2005-08-31,253.0,290.0,240.0,266.0,5.138339920948616
2005-09-30,274.95,284.9,243.05,249.0,-9.438079650845605
2005-10-31,258.8,258.8,216.1,239.45,-7.476816074188571
2005-11-30,245.0,284.0,235.0,280.6,14.530612244897968
2005-12-31,270.0,330.0,270.0,305.95,13.314814814814811
2006-01-31,305.0,348.0,299.0,310.75,1.8852459016393444
2006-02-28,316.05,401.0,307.0,369.3,16.84859990507831
2006-03-31,380.0,459.0,367.05,422.35,11.144736842105267
2006-04-30,425.0,465.0,405.1,418.3,-1.5764705882352914
2006-05-31,439.0,447.0,340.0,358.35,-18.371298405466966
2006-06-30,365.0,373.8,245.0,309.0,-15.342465753424657
2006-07-31,320.0,320.0,278.0,292.8,-8.499999999999996
2006-08-31,298.8,364.9,285.05,333.25,11.52945113788487
2006-09-30,339.6,368.0,319.1,355.55,4.696702002355709
2006-10-31,358.5,364.0,332.0,355.75,-0.7670850767085077
2006-11-30,359.5,381.0,340.0,367.0,2.086230876216968
2006-12-31,362.05,440.0,354.0,366.85,1.3257837315287975
2007-01-31,360.25,414.9,360.15,403.15,11.90839694656488
2007-02-28,415.0,447.2,350.1,355.05,-14.445783132530119
2007-03-31,356.15,372.0,303.0,313.5,-11.975291309841355
2007-04-30,330.0,350.0,311.0,323.95,-1.8333333333333368
2007-05-31,328.0,383.0,69.0,71.75,-78.125
2007-06-30,72.0,72.0,60.05,64.7,-10.138888888888886
2007-07-31,63.65,67.5,55.5,61.4,-3.534956794972506
2007-08-31,61.4,63.95,50.0,55.0,-10.42345276872964
2007-09-30,55.0,57.85,50.05,54.55,-0.8181818181818233
2007-10-31,56.0,59.95,50.1,51.0,-8.928571428571429
2007-11-30,53.4,59.2,45.0,54.7,2.4344569288389595
2007-12-31,55.0,81.0,53.15,73.55,33.72727272727273
2008-01-31,74.0,77.6,46.45,51.85,-29.93243243243243
2008-02-29,52.0,64.0,50.05,52.8,1.538461538461533
2008-03-31,52.6,53.0,40.6,44.85,-14.73384030418251
2008-04-30,41.6,55.95,41.6,50.5,21.394230769230766
2008-05-31,53.0,54.0,45.05,46.0,-13.20754716981132
