Date,Open,High,Low,Close,Returns%
2000-01-31,74.35,146.1,66.0,146.1,96.50302622730331
2000-02-29,157.8,187.45,141.0,171.3,8.555133079847907
2000-03-31,170.0,275.0,170.0,267.05,57.08823529411766
2000-04-30,272.75,279.65,189.7,235.5,-13.657195233730523
2000-05-31,235.0,240.0,194.5,211.4,-10.04255319148936
2000-06-30,210.5,234.25,200.05,211.5,0.4750593824228028
2000-07-31,210.2,234.0,191.0,199.45,-5.1141769743101815
2000-08-31,200.4,216.7,190.0,194.9,-2.744510978043912
2000-09-30,195.55,208.9,133.0,152.7,-21.91255433392995
2000-10-31,140.5,151.3,103.6,109.35,-22.170818505338083
2000-11-30,112.0,162.0,112.0,147.95,32.09821428571428
2000-12-31,145.0,182.0,132.1,150.5,3.793103448275862
2001-01-31,149.1,178.05,145.8,151.9,1.8779342723004773
2001-02-28,151.0,204.7,150.25,176.15,16.65562913907285
2001-03-31,177.85,220.0,146.75,165.5,-6.944053978071406
2001-04-30,161.0,193.5,155.1,158.75,-1.3975155279503106
2001-05-31,160.0,163.0,138.25,145.35,-9.156250000000004
2001-06-30,146.8,148.5,124.6,127.75,-12.976839237057227
2001-07-31,133.0,140.0,104.5,125.95,-5.300751879699247
2001-08-31,126.95,127.6,103.4,106.05,-16.463174478141003
2001-09-30,107.95,110.5,66.75,71.7,-33.580361278369615
2001-10-31,72.0,114.55,71.5,101.6,41.11111111111111
2001-11-30,103.0,109.95,94.0,101.1,-1.844660194174763
2001-12-31,100.9,101.85,79.9,88.7,-12.09117938553023
2002-01-31,89.95,95.5,85.95,90.4,0.5002779321845501
2002-02-28,93.5,144.9,89.1,125.0,33.68983957219251
2002-03-31,123.6,139.85,118.5,123.9,0.24271844660195097
2002-04-30,125.5,131.5,111.0,112.65,-10.239043824701191
2002-05-31,115.9,154.95,111.5,138.25,19.283865401207933
2002-06-30,140.45,164.4,133.15,137.7,-1.9579921680313281
2002-07-31,139.8,158.4,134.3,140.6,0.5722460658082853
2002-08-31,141.9,145.85,130.1,143.6,1.1980267794221202
