Date,Open,High,Low,Close,Returns%
2000-01-31,39.85,43.05,36.0,37.95,-4.767879548306144
2000-02-29,37.05,49.55,33.45,45.95,24.02159244264509
2000-03-31,49.0,78.95,43.05,47.25,-3.5714285714285716
2000-04-30,47.9,49.9,34.0,35.65,-25.5741127348643
2000-05-31,36.75,40.0,29.8,36.1,-1.7687074829931935
2000-06-30,36.2,45.55,34.3,38.25,5.662983425414357
2000-07-31,38.0,41.0,33.5,35.65,-6.184210526315793
2000-08-31,35.5,36.0,33.4,34.85,-1.8309859154929538
2000-09-30,35.4,43.55,34.4,35.55,0.423728813559318
2000-10-31,36.0,36.9,32.1,32.7,-9.166666666666659
2000-11-30,32.7,40.6,32.7,36.65,12.0795107033639
2000-12-31,36.2,48.5,36.05,45.1,24.58563535911602
2001-01-31,45.2,52.9,44.8,49.95,10.508849557522122
2001-02-28,49.35,51.5,29.0,30.55,-38.095238095238095
2001-03-31,31.0,32.4,25.45,26.95,-13.06451612903226
2001-04-30,26.85,28.5,24.6,25.8,-3.910614525139667
2001-05-31,25.9,28.4,24.25,26.35,1.7374517374517484
2001-06-30,26.1,26.6,24.25,24.8,-4.980842911877397
2001-07-31,25.25,25.5,20.0,20.05,-20.59405940594059
2001-08-31,20.45,20.45,15.05,16.8,-17.848410757946205
2001-09-30,17.05,18.25,15.0,17.0,-0.29325513196481356
2001-10-31,16.95,18.5,14.6,17.1,0.884955752212402
2001-11-30,17.45,19.35,16.85,17.45,0.0
2001-12-31,16.25,17.5,14.65,15.35,-5.53846153846154
2002-01-31,15.6,16.25,13.9,14.05,-9.935897435897429
2002-02-28,14.15,21.75,14.0,18.35,29.68197879858658
2002-03-31,18.45,21.4,15.9,16.35,-11.3821138211382
2002-04-30,16.6,18.45,15.95,16.45,-0.9036144578313381
2002-05-31,16.9,19.4,15.6,17.75,5.029585798816577
2002-06-30,19.75,24.35,17.15,23.05,16.708860759493675
2002-07-31,23.6,28.4,16.15,17.55,-25.635593220338986
2002-08-31,17.95,21.5,16.9,18.95,5.571030640668524
2002-09-30,20.4,21.0,16.75,16.9,-17.15686274509804
2002-10-31,17.0,18.25,15.1,16.55,-2.6470588235294077
2002-11-30,16.5,19.65,16.05,19.0,15.151515151515152
2002-12-31,21.7,22.5,17.55,21.15,-2.5345622119815703
2003-01-31,21.35,24.75,19.35,20.5,-3.981264637002348
2003-02-28,20.6,21.45,18.85,19.05,-7.524271844660197
2003-03-31,20.0,21.6,16.25,16.55,-17.249999999999996
2003-04-30,16.8,18.9,16.5,17.65,5.059523809523797
2003-05-31,17.75,36.35,17.05,34.8,96.056338028169
2003-06-30,33.5,38.8,29.65,34.15,1.9402985074626824
2003-07-31,34.55,46.6,32.9,43.85,26.917510853835036
2003-08-31,44.1,50.9,35.0,37.75,-14.399092970521544
2003-09-30,38.15,42.8,33.3,40.9,7.208387942332897
2003-10-31,41.1,60.8,40.45,53.05,29.075425790754245
2003-11-30,53.7,57.4,48.75,52.6,-2.0484171322160174
2003-12-31,53.15,65.9,51.75,61.95,16.556914393226727
2004-01-31,62.6,79.3,56.75,67.4,7.6677316293929785
2004-02-29,69.0,77.15,61.0,66.25,-3.9855072463768115
2004-03-31,66.85,72.25,57.7,58.1,-13.089005235602086
2004-04-30,58.55,73.2,57.5,59.3,1.2809564474807857
2004-05-31,58.3,63.5,29.4,36.25,-37.82161234991423
2004-06-30,37.05,42.25,29.5,41.8,12.820512820512821
2004-07-31,42.4,74.25,38.0,66.95,57.90094339622643
2004-08-31,67.5,79.7,64.15,76.2,12.888888888888893
2004-09-30,76.2,94.75,74.35,90.25,18.43832020997375
2004-10-31,91.1,93.15,81.9,84.3,-7.464324917672885
2004-11-30,84.8,90.8,83.25,89.65,5.719339622641519
