Date,Open,High,Low,Close,Returns%
2000-01-31,83.8,89.5,67.75,79.95,-4.594272076372309
2000-02-29,80.6,94.5,75.5,77.7,-3.5980148883374587
2000-03-31,77.0,82.5,64.0,80.3,4.285714285714282
2000-04-30,83.65,89.9,55.2,56.25,-32.755528989838616
2000-05-31,56.0,56.0,38.0,41.65,-25.625000000000004
2000-06-30,42.45,47.45,40.25,42.95,1.1778563015312131
2000-07-31,42.5,57.9,40.0,43.0,1.1764705882352942
2000-08-31,43.1,48.5,39.25,43.3,0.4640371229698277
2000-09-30,43.45,44.95,38.0,39.5,-9.090909090909097
2000-10-31,38.5,42.9,33.5,33.9,-11.948051948051951
2000-11-30,34.65,47.5,34.3,44.4,28.13852813852814
2000-12-31,43.8,59.75,43.0,54.6,24.657534246575356
2001-01-31,55.3,68.85,52.35,65.0,17.54068716094033
2001-02-28,64.05,69.25,53.5,54.9,-14.285714285714285
2001-03-31,54.9,63.8,35.1,37.1,-32.42258652094717
2001-04-30,36.25,49.4,31.6,41.45,14.344827586206902
2001-05-31,43.9,47.0,35.5,42.7,-2.733485193621858
2001-06-30,42.5,43.3,28.8,31.4,-26.117647058823536
2001-07-31,31.95,35.95,30.6,35.65,11.580594679186227
2001-08-31,35.9,39.35,29.0,34.0,-5.292479108635094
2001-09-30,34.8,34.95,26.5,30.15,-13.362068965517238
2001-10-31,30.1,38.9,29.05,37.95,26.079734219269106
2001-11-30,38.65,46.55,35.55,45.15,16.81759379042691
2001-12-31,43.0,49.95,34.35,38.3,-10.930232558139542
2002-01-31,38.0,43.65,36.65,36.8,-3.157894736842113
2002-02-28,37.0,37.7,32.0,32.2,-12.972972972972965
2002-03-31,32.0,34.5,29.7,30.35,-5.156249999999996
2002-04-30,30.6,31.5,29.1,29.45,-3.7581699346405295
2002-05-31,30.0,33.75,26.9,27.05,-9.833333333333332
2002-06-30,27.5,32.5,27.3,30.75,11.818181818181818
2002-07-31,30.15,33.25,21.5,21.75,-27.860696517412933
2002-08-31,22.25,24.2,17.75,19.4,-12.80898876404495
2002-09-30,19.8,21.35,17.45,17.6,-11.111111111111107
2002-10-31,17.9,18.2,16.1,16.95,-5.307262569832399
2002-11-30,16.75,19.9,16.5,19.7,17.61194029850746
2002-12-31,18.7,20.2,17.65,19.3,3.2085561497326283
2003-01-31,19.4,19.4,16.0,16.15,-16.75257731958763
2003-02-28,16.2,17.35,15.0,16.45,1.5432098765432098
2003-03-31,16.3,16.6,12.7,13.0,-20.245398773006137
2003-04-30,13.2,14.95,12.9,13.35,1.1363636363636391
2003-05-31,13.5,21.7,13.35,21.45,58.88888888888888
2003-06-30,21.6,26.75,20.1,25.55,18.287037037037035
2003-07-31,26.0,28.2,20.1,26.45,1.730769230769228
2003-08-31,26.75,39.15,26.1,33.05,23.55140186915887
2003-09-30,33.5,34.85,25.9,30.65,-8.507462686567168
2003-10-31,31.0,32.45,24.0,28.75,-7.258064516129032
2003-11-30,28.9,44.35,28.9,41.6,43.9446366782007
2003-12-31,42.0,50.85,37.8,44.65,6.309523809523807
2004-01-31,45.05,53.0,39.6,40.95,-9.100998890122074
2004-02-29,40.2,42.6,35.75,37.9,-5.721393034825881
2004-03-31,37.7,39.9,29.0,36.45,-3.315649867374005
2004-04-30,38.8,44.75,32.0,43.15,11.211340206185572
2004-05-31,42.9,48.4,27.0,32.35,-24.59207459207459
2004-06-30,33.0,35.8,26.05,29.75,-9.848484848484848
2004-07-31,29.7,34.7,26.6,31.0,4.377104377104379
2004-08-31,31.45,42.6,31.45,41.55,32.11446740858505
2004-09-30,41.8,45.2,39.05,42.35,1.3157894736842208
2004-10-31,42.5,43.9,36.85,38.5,-9.411764705882353
2004-11-30,38.8,43.25,37.5,39.45,1.6752577319587776
2004-12-31,40.0,65.0,38.9,59.15,47.87499999999999
2005-01-31,59.5,73.0,52.6,61.75,3.7815126050420167
2005-02-28,62.0,72.1,60.45,66.45,7.177419354838714
2005-03-31,67.0,70.75,61.3,66.85,-0.22388059701493385
2005-04-30,67.55,73.7,62.1,68.45,1.3323464100666258
2005-05-31,68.45,83.75,65.55,75.35,10.080350620891148
2005-06-30,76.0,84.8,69.35,72.3,-4.868421052631582
2005-07-31,72.85,93.0,72.3,85.65,17.57035003431711
2005-08-31,85.65,115.5,84.15,113.85,32.92469352014009
2005-09-30,114.25,118.2,95.0,109.8,-3.894967177242891
2005-10-31,110.9,113.8,76.55,88.35,-20.333633904418402
2005-11-30,90.0,106.0,85.75,98.65,9.611111111111118
2005-12-31,98.4,104.0,86.1,100.4,2.0325203252032518
2006-01-31,101.15,132.5,92.5,130.5,29.016312407315862
2006-02-28,131.5,145.5,128.1,141.0,7.224334600760456
2006-03-31,141.7,172.3,140.1,165.3,16.65490472829924
2006-04-30,167.0,239.3,166.75,238.1,42.57485029940119
2006-05-31,241.0,249.0,116.3,160.9,-33.23651452282157
2006-06-30,163.0,165.2,103.1,156.8,-3.803680981595085
2006-07-31,156.5,193.5,155.0,184.05,17.603833865814703
2006-08-31,184.0,203.9,179.7,200.85,9.157608695652172
2006-09-30,202.4,224.95,191.0,221.55,9.461462450592887
2006-10-31,224.0,229.5,212.25,214.65,-4.174107142857141
2006-11-30,219.8,243.7,205.3,235.2,7.006369426751582
2006-12-31,225.15,248.0,182.95,234.95,4.352653786364638
2007-01-31,236.0,254.95,214.1,219.05,-7.182203389830503
2007-02-28,220.0,230.0,154.05,178.7,-18.772727272727277
2007-03-31,178.0,184.0,140.3,161.95,-9.016853932584276
2007-04-30,160.0,199.5,145.05,178.2,11.374999999999993
2007-05-31,180.0,197.6,171.0,178.55,-0.8055555555555493
2007-06-30,181.7,212.9,162.5,208.2,14.584479911942763
2007-07-31,209.95,237.3,191.1,218.45,4.048582995951417
2007-08-31,215.2,248.95,202.0,246.3,14.451672862453544
2007-09-30,248.0,299.0,246.0,291.75,17.641129032258064
2007-10-31,297.0,316.2,257.0,282.3,-4.949494949494945
2007-11-30,284.0,322.7,228.3,295.7,4.1197183098591506
2007-12-31,300.0,332.6,289.15,310.15,3.3833333333333258
2008-01-31,303.05,315.0,165.1,208.65,-31.149975251608645
2008-02-29,210.05,225.7,180.05,208.7,-0.6427041180671377
2008-03-31,205.0,216.9,161.45,186.8,-8.878048780487799
2008-04-30,187.6,195.9,167.25,171.75,-8.448827292110872
2008-05-31,172.05,177.95,151.2,160.1,-6.945655332752117
2008-06-30,159.5,169.9,133.65,137.15,-14.012539184952976
2008-07-31,140.0,155.4,115.45,144.55,3.250000000000008
2008-08-31,144.9,168.4,132.0,138.45,-4.451345755693594
2008-09-30,138.95,151.0,115.0,123.9,-10.83123425692694
2008-10-31,124.5,126.5,69.0,87.25,-29.919678714859437
2008-11-30,91.8,95.5,78.75,86.1,-6.209150326797388
2008-12-31,86.85,117.0,82.75,97.7,12.49280368451354
2009-01-31,99.0,124.9,90.65,102.0,3.0303030303030303
2009-02-28,102.0,112.8,95.15,97.5,-4.411764705882353
2009-03-31,97.0,111.35,92.0,106.0,9.278350515463918
2009-04-30,107.85,136.9,105.0,114.75,6.397774687065374
2009-05-31,117.5,157.35,106.05,154.15,31.191489361702132
2009-06-30,155.6,180.0,129.05,131.0,-15.809768637532132
2009-07-31,133.0,155.6,122.4,140.05,5.3007518796992565
2009-08-31,140.75,155.85,126.0,134.4,-4.51154529307282
2009-09-30,134.0,137.7,124.0,134.45,0.3358208955223796
2009-10-31,134.95,136.9,108.25,110.45,-18.154872174879575
2009-11-30,108.4,113.9,96.8,111.65,2.998154981549815
2009-12-31,112.5,125.5,112.05,123.3,9.599999999999998
2010-01-31,123.3,132.35,106.1,111.9,-9.245742092457414
2010-02-28,110.6,126.4,110.0,117.65,6.374321880651006
2010-03-31,119.9,137.4,116.4,131.75,9.883236030025017
2010-04-30,132.0,143.25,124.0,125.55,-4.8863636363636385
2010-05-31,123.1,124.9,106.75,107.85,-12.388302193338749
2010-06-30,107.5,116.35,101.9,107.85,0.3255813953488319
2010-07-31,107.0,114.5,104.1,107.05,0.04672897196261416
2010-08-31,107.0,113.15,101.4,107.0,0.0
2010-09-30,107.85,123.0,105.6,115.9,7.464070468242941
2010-10-31,117.8,125.4,98.0,110.1,-6.536502546689306
2010-11-30,111.4,127.8,94.7,106.3,-4.578096947935375
2010-12-31,105.75,112.5,98.2,108.0,2.127659574468085
2011-01-31,109.0,112.75,96.35,99.0,-9.174311926605505
2011-02-28,100.0,100.0,82.4,85.4,-14.599999999999996
2011-03-31,86.25,98.6,86.25,95.6,10.84057971014492
2011-04-30,94.2,105.1,93.0,99.3,5.414012738853497
2011-05-31,99.3,99.9,81.1,84.45,-14.954682779456189
2011-06-30,84.1,86.4,66.6,71.0,-15.576694411414978
2011-07-31,71.15,75.8,69.2,69.7,-2.037947997189041
2011-08-31,69.8,74.05,62.05,67.0,-4.011461318051572
2011-09-30,68.35,77.3,65.55,72.55,6.144842721287495
2011-10-31,72.05,84.75,68.1,80.5,11.727966689798755
2011-11-30,80.5,81.9,65.65,72.35,-10.124223602484479
2011-12-31,73.9,76.8,65.4,65.95,-10.757780784844387
2012-01-31,66.1,85.1,65.25,80.75,22.16338880484116
2012-02-29,81.8,112.0,80.75,100.85,23.28850855745721
2012-03-31,98.95,119.35,93.5,111.45,12.632642748863061
2012-04-30,112.25,114.3,82.0,84.75,-24.498886414253896
2012-05-31,85.65,88.5,70.7,75.2,-12.200817279626389
2012-06-30,75.5,88.25,70.55,86.95,15.165562913907287
2012-07-31,86.95,91.95,78.0,83.5,-3.9677975848188645
2012-08-31,88.35,92.8,82.65,83.7,-5.263157894736833
2012-09-30,84.05,97.95,77.55,94.9,12.90898274836408
2012-10-31,95.45,104.65,90.1,95.6,0.15715034049239546
2012-11-30,95.3,98.9,81.9,85.8,-9.968520461699896
2012-12-31,86.25,92.4,83.8,90.85,5.333333333333327
2013-01-31,90.9,95.1,84.1,86.2,-5.170517051705174
