Date,Open,High,Low,Close,Returns%
2000-01-31,315.0,341.8,290.0,298.0,-5.396825396825397
2000-02-29,306.0,306.0,223.0,225.0,-26.470588235294116
2000-03-31,209.5,248.8,190.0,248.8,18.75894988066826
2000-04-30,260.0,292.0,210.25,210.25,-19.134615384615383
2000-05-31,219.0,232.0,160.0,160.0,-26.940639269406393
2000-06-30,170.0,209.0,165.0,172.0,1.1764705882352942
2000-07-31,170.0,190.0,163.0,175.0,2.9411764705882355
2000-08-31,172.0,186.0,161.1,163.5,-4.941860465116279
2000-09-30,151.0,189.9,140.0,150.0,-0.6622516556291391
2000-10-31,148.0,159.85,148.0,159.85,8.006756756756754
2000-11-30,160.0,169.0,150.0,150.0,-6.25
2000-12-31,150.0,162.0,150.0,161.6,7.733333333333331
2001-01-31,156.0,172.5,148.5,172.5,10.576923076923077
2001-02-28,168.0,170.0,155.5,170.0,1.1904761904761905
2001-03-31,170.25,191.5,155.2,185.0,8.66372980910426
2001-04-30,175.0,194.0,170.0,173.0,-1.1428571428571428
2001-05-31,172.55,214.7,172.0,197.5,14.459576934221959
2001-06-30,197.0,199.5,182.5,189.05,-4.0355329949238525
2001-07-31,187.55,190.0,175.25,181.5,-3.2258064516129092
2001-08-31,180.0,185.0,164.0,164.0,-8.88888888888889
2001-09-30,168.8,168.9,136.0,136.0,-19.431279620853086
2001-10-31,135.9,151.0,129.0,137.0,0.809418690213388
2001-11-30,143.4,156.8,137.0,156.8,9.344490934449096
2001-12-31,165.0,170.0,146.25,146.25,-11.363636363636363
2002-01-31,162.0,193.0,147.0,180.0,11.11111111111111
2002-02-28,183.0,193.0,164.0,181.05,-1.0655737704917971
2002-03-31,175.0,195.0,169.0,175.05,0.02857142857143507
2002-04-30,175.0,218.0,169.05,213.6,22.057142857142853
2002-05-31,217.0,244.0,190.0,215.15,-0.852534562211979
2002-06-30,220.0,262.9,215.0,262.85,19.477272727272737
2002-07-31,265.0,304.0,250.0,250.0,-5.660377358490566
2002-08-31,254.15,260.0,230.0,232.25,-8.616958489081252
2002-09-30,245.0,278.0,238.0,238.0,-2.857142857142857
2002-10-31,227.0,291.85,227.0,281.45,23.98678414096916
2002-11-30,285.0,303.0,278.0,296.3,3.9649122807017583
2002-12-31,290.0,302.9,160.55,172.5,-40.51724137931034
2003-01-31,173.3,204.0,170.0,182.4,5.251009809578761
2003-02-28,185.0,200.0,185.0,193.5,4.594594594594595
2003-03-31,197.0,197.0,153.0,153.0,-22.33502538071066
2003-04-30,166.0,190.0,160.0,178.0,7.228915662650603
2003-05-31,176.0,229.25,171.0,225.4,28.068181818181824
2003-06-30,235.0,254.8,209.05,245.05,4.276595744680856
2003-07-31,248.0,302.9,240.0,287.85,16.068548387096783
2003-08-31,290.0,305.0,261.0,275.0,-5.172413793103448
2003-09-30,284.0,299.0,260.0,277.65,-2.2359154929577545
2003-10-31,284.0,379.0,279.1,349.45,23.04577464788732
2003-11-30,352.0,390.0,333.5,373.0,5.965909090909091
2003-12-31,373.0,524.0,361.25,500.15,34.08847184986595
2004-01-31,497.0,505.0,350.0,385.0,-22.535211267605632
2004-02-29,380.0,383.4,340.0,363.7,-4.289473684210529
2004-03-31,365.0,370.0,290.0,337.25,-7.602739726027397
2004-04-30,338.0,375.0,320.0,340.0,0.591715976331361
2004-05-31,341.05,354.0,275.0,298.0,-12.622782583198946
2004-06-30,300.0,300.0,252.1,281.3,-6.23333333333333
2004-07-31,263.45,276.8,250.0,261.15,-0.8730309356614202
2004-08-31,259.7,280.0,235.55,275.05,5.910666153253763
2004-09-30,279.25,310.0,276.0,295.25,5.729632945389436
2004-10-31,286.05,317.75,256.05,257.95,-9.823457437510932
2004-11-30,263.85,299.9,250.0,293.5,11.237445518286895
2004-12-31,299.0,306.8,260.2,285.9,-4.381270903010041
2005-01-31,297.0,299.95,252.1,272.15,-8.367003367003374
2005-02-28,270.0,289.25,258.0,264.95,-1.8703703703703747
2005-03-31,271.0,282.0,256.9,268.0,-1.1070110701107012
2005-04-30,264.15,276.0,250.0,256.1,-3.047510883967426
2005-05-31,250.0,317.4,250.0,292.55,17.020000000000003
2005-06-30,293.0,311.0,272.15,278.25,-5.034129692832765
2005-07-31,278.0,284.0,256.0,278.2,0.07194244604316138
2005-08-31,276.0,306.95,273.5,295.35,7.0108695652174
2005-09-30,295.0,357.0,275.0,285.55,-3.203389830508471
2005-10-31,286.0,299.0,247.25,247.25,-13.548951048951048
2005-11-30,258.95,279.9,211.0,277.15,7.028383857887619
2005-12-31,277.0,298.9,271.5,289.6,4.548736462093871
2006-01-31,309.5,309.5,277.0,294.5,-4.846526655896607
2006-02-28,293.1,293.1,264.0,270.85,-7.591265779597406
2006-03-31,272.2,295.0,253.55,270.0,-0.8082292432035226
2006-04-30,272.0,300.0,259.9,275.0,1.1029411764705883
2006-05-31,276.05,309.0,240.0,266.0,-3.640644810722699
2006-06-30,260.0,260.15,190.0,207.0,-20.384615384615383
2006-07-31,210.0,219.0,192.05,201.15,-4.214285714285712
2006-08-31,205.0,230.0,195.0,212.0,3.4146341463414633
2006-09-30,215.0,234.0,210.0,220.0,2.3255813953488373
2006-10-31,225.0,240.25,220.1,222.2,-1.2444444444444496
2006-11-30,224.5,226.0,198.0,201.9,-10.066815144766146
2006-12-31,200.0,214.0,185.0,213.3,6.650000000000006
2007-01-31,228.0,228.0,195.3,207.5,-8.991228070175438
2007-02-28,206.05,220.0,190.0,199.0,-3.421499636010682
2007-03-31,202.0,213.7,180.25,191.0,-5.445544554455446
2007-04-30,194.0,198.95,178.0,193.0,-0.5154639175257731
2007-05-31,192.0,198.0,175.0,185.2,-3.5416666666666727
2007-06-30,194.0,194.0,169.0,171.8,-11.44329896907216
2007-07-31,171.8,181.65,155.0,155.65,-9.400465657741561
2007-08-31,155.55,163.8,141.0,152.9,-1.7036322725811672
2007-09-30,153.1,188.0,150.0,158.2,3.331156107119526
2007-10-31,160.0,162.95,142.05,148.35,-7.281250000000003
2007-11-30,149.0,178.5,142.0,170.7,14.56375838926174
2007-12-31,174.5,215.95,165.0,201.45,15.444126074498563
2008-01-31,204.8,211.0,140.0,145.95,-28.735351562500007
2008-02-29,146.2,166.9,141.0,158.0,8.071135430916561
2008-03-31,137.0,165.2,121.25,152.0,10.94890510948905
2008-04-30,145.85,164.0,136.1,150.5,3.1882070620500556
2008-05-31,151.05,169.75,140.6,148.9,-1.4233697451175145
2008-06-30,142.6,151.95,120.1,134.4,-5.750350631136037
2008-07-31,160.0,160.0,110.05,135.0,-15.625
2008-08-31,132.1,151.0,127.0,140.0,5.980317940953827
2008-09-30,138.45,147.45,112.05,115.3,-16.720837847598407
2008-10-31,120.0,131.75,75.0,97.5,-18.75
2008-11-30,100.0,100.0,77.15,77.8,-22.200000000000003
2008-12-31,80.0,104.95,67.0,93.0,16.25
2009-01-31,94.9,97.45,72.95,88.75,-6.480505795574294
