Date,Open,High,Low,Close,Returns%
2000-01-31,55.25,57.8,42.3,42.55,-22.98642533936652
2000-02-29,44.0,48.5,35.5,40.2,-8.63636363636363
2000-03-31,38.05,47.45,32.55,38.65,1.5768725361366662
2000-04-30,38.95,40.9,34.0,38.6,-0.8985879332477571
2000-05-31,39.2,41.4,31.0,41.15,4.974489795918356
2000-06-30,41.9,41.9,33.0,35.0,-16.46778042959427
2000-07-31,35.15,38.5,31.75,32.95,-6.258890469416773
2000-08-31,33.95,37.75,26.2,34.75,2.356406480117812
2000-09-30,35.95,35.95,24.3,30.65,-14.742698191933252
2000-10-31,33.0,35.7,25.25,27.75,-15.909090909090908
2000-11-30,27.0,31.7,25.5,29.0,7.407407407407407
2000-12-31,28.65,31.5,27.6,28.2,-1.570680628272249
2001-01-31,29.5,30.8,24.15,25.3,-14.237288135593218
2001-02-28,25.25,29.9,24.45,25.5,0.9900990099009901
2001-03-31,25.35,27.0,21.3,22.0,-13.214990138067066
2001-04-30,22.0,22.9,20.0,21.75,-1.1363636363636365
2001-05-31,20.6,26.9,19.9,26.9,30.582524271844648
2001-06-30,25.8,28.5,24.5,25.25,-2.131782945736437
2001-07-31,25.0,28.0,23.75,24.5,-2.0
2001-08-31,27.0,31.9,26.0,28.5,5.555555555555555
2001-09-30,29.75,30.45,26.7,26.7,-10.252100840336137
2001-10-31,26.05,37.0,26.05,32.0,22.84069097888675
2001-11-30,32.75,38.0,32.3,36.0,9.923664122137405
2001-12-31,36.0,36.75,30.5,31.95,-11.250000000000002
2002-01-31,31.8,36.0,30.0,34.2,7.547169811320762
2002-02-28,33.45,37.95,33.1,36.9,10.313901345291466
2002-03-31,37.0,49.5,36.75,40.9,10.540540540540537
2002-04-30,43.75,63.0,41.55,55.45,26.742857142857147
2002-05-31,56.15,60.95,47.0,50.75,-9.617097061442562
2002-06-30,50.6,68.9,49.75,59.1,16.798418972332016
2002-07-31,59.0,67.0,52.15,59.4,0.6779661016949129
2002-08-31,59.9,68.5,57.05,59.1,-1.3355592654423993
2002-09-30,60.75,62.5,53.0,54.6,-10.123456790123456
2002-10-31,55.25,63.0,52.0,60.1,8.778280542986428
2002-11-30,61.0,69.4,60.5,64.6,5.901639344262286
2002-12-31,66.0,78.1,57.4,71.6,8.484848484848476
2003-01-31,72.1,88.25,71.6,72.35,0.34674063800277394
2003-02-28,73.0,76.7,63.5,69.8,-4.383561643835621
2003-03-31,71.5,78.35,58.0,59.95,-16.15384615384615
2003-04-30,57.0,70.5,57.0,68.0,19.29824561403509
2003-05-31,69.5,91.5,68.0,90.15,29.712230215827343
2003-06-30,93.9,121.95,90.0,119.35,27.103301384451534
2003-07-31,120.0,129.0,85.0,97.1,-19.083333333333336
2003-08-31,95.8,114.5,93.65,106.4,11.064718162839258
2003-09-30,105.5,126.9,100.5,117.15,11.042654028436024
2003-10-31,117.95,136.0,103.6,104.9,-11.064010173802457
2003-11-30,107.9,132.4,104.0,121.3,12.41890639481
2003-12-31,121.5,144.0,119.5,130.55,7.448559670781902
2004-01-31,130.05,146.0,96.4,107.5,-17.33948481353326
2004-02-29,108.0,110.8,92.15,94.5,-12.5
2004-03-31,94.0,105.8,75.3,86.9,-7.553191489361696
2004-04-30,89.25,106.4,82.9,94.35,5.714285714285708
2004-05-31,88.0,98.85,68.0,80.2,-8.863636363636362
2004-06-30,80.2,82.85,70.0,81.6,1.745635910224428
2004-07-31,83.85,94.0,77.0,85.05,1.4311270125223647
2004-08-31,85.55,99.3,81.1,96.6,12.91642314436002
2004-09-30,100.0,105.0,91.0,97.7,-2.299999999999997
2004-10-31,96.6,109.25,90.25,92.65,-4.08902691511386
2004-11-30,91.5,116.5,91.5,108.95,19.071038251366122
2004-12-31,110.0,153.9,105.7,149.45,35.86363636363635
2005-01-31,153.7,157.5,123.25,144.75,-5.823031880286265
2005-02-28,146.0,156.0,127.0,133.8,-8.356164383561635
2005-03-31,129.6,136.75,104.0,113.1,-12.731481481481483
2005-04-30,113.0,134.4,102.3,117.35,3.849557522123889
2005-05-31,119.0,129.3,108.95,120.0,0.8403361344537815
2005-06-30,120.45,131.95,116.0,120.85,0.33208800332087296
2005-07-31,120.0,125.5,114.0,118.1,-1.5833333333333381
2005-08-31,118.0,125.0,112.0,121.7,3.1355932203389854
2005-09-30,121.05,145.15,112.0,115.6,-4.5022717885171435
2005-10-31,115.45,119.0,97.0,100.55,-12.906019922044178
2005-11-30,100.0,120.0,95.0,116.05,16.049999999999997
