Date,Open,High,Low,Close,Returns%
2000-01-31,400.0,424.0,308.0,317.15,-20.712500000000006
2000-02-29,315.0,330.0,205.1,245.6,-22.031746031746035
2000-03-31,249.0,280.0,187.0,227.85,-8.49397590361446
2000-04-30,239.0,245.0,185.0,195.25,-18.305439330543933
2000-05-31,192.0,222.0,172.55,211.6,10.20833333333333
2000-06-30,206.0,220.0,184.0,186.75,-9.344660194174757
2000-07-31,188.0,207.0,168.55,177.15,-5.771276595744679
2000-08-31,176.0,181.4,147.5,154.0,-12.5
2000-09-30,154.4,176.0,143.0,145.1,-6.023316062176173
2000-10-31,143.0,151.8,136.25,137.15,-4.090909090909087
2000-11-30,141.6,158.0,129.0,153.55,8.439265536723177
2000-12-31,152.5,188.9,148.0,167.85,10.0655737704918
2001-01-31,174.95,175.85,156.75,172.2,-1.5718776793369535
2001-02-28,166.0,186.5,156.5,159.85,-3.704819277108437
2001-03-31,160.0,164.0,116.0,120.45,-24.718749999999996
2001-04-30,119.55,127.95,115.0,119.75,0.1672940192388146
2001-05-31,118.0,145.95,101.15,133.0,12.711864406779661
2001-06-30,134.8,134.9,92.3,93.0,-31.00890207715134
2001-07-31,95.0,103.0,94.0,100.7,6.000000000000003
2001-08-31,101.9,128.0,100.3,126.5,24.14131501472031
2001-09-30,127.9,129.5,95.0,108.6,-15.089913995308843
2001-10-31,109.0,152.5,107.0,133.15,22.155963302752298
2001-11-30,139.95,153.7,124.15,124.45,-11.075384065737754
2001-12-31,125.95,137.95,112.25,115.2,-8.535132989281461
2002-01-31,115.95,133.95,115.25,120.1,3.5791289348857194
2002-02-28,125.0,174.2,125.0,145.15,16.120000000000005
2002-03-31,148.0,156.0,142.25,142.9,-3.445945945945942
2002-04-30,144.0,200.0,142.05,181.6,26.111111111111107
2002-05-31,181.25,198.0,168.0,180.2,-0.5793103448275925
2002-06-30,181.5,204.0,175.0,186.0,2.479338842975207
2002-07-31,187.5,227.0,186.5,193.25,3.066666666666667
2002-08-31,202.85,218.9,192.5,215.4,6.186837564702988
2002-09-30,217.9,226.0,210.0,216.45,-0.6654428636989522
2002-10-31,214.1,233.0,205.0,227.45,6.235404016814571
2002-11-30,230.15,233.0,207.0,211.15,-8.255485552900282
2002-12-31,212.15,236.5,186.0,232.75,9.71011077068112
2003-01-31,234.7,248.0,207.0,210.15,-10.460161908819762
2003-02-28,211.0,225.95,202.55,211.65,0.3080568720379174
2003-03-31,211.05,218.5,195.0,195.8,-7.2257758824923
2003-04-30,198.1,208.0,195.0,195.95,-1.0853104492680494
2003-05-31,196.25,257.0,195.0,243.0,23.821656050955415
2003-06-30,253.8,270.9,231.25,253.85,0.019700551615438513
2003-07-31,252.25,268.0,236.0,240.65,-4.598612487611494
2003-08-31,236.0,300.0,236.0,287.5,21.822033898305083
2003-09-30,299.0,299.0,267.0,286.3,-4.2474916387959825
2003-10-31,285.0,310.0,243.15,260.15,-8.719298245614043
2003-11-30,262.95,265.55,229.55,241.45,-8.176459402928314
2003-12-31,240.75,309.0,239.2,289.0,20.04153686396677
2004-01-31,298.9,319.95,229.0,246.55,-17.514218802274996
2004-02-29,242.95,265.75,222.25,229.95,-5.350895245935378
2004-03-31,230.0,250.0,192.1,211.25,-8.152173913043478
2004-04-30,207.05,244.9,207.05,224.05,8.210577155276503
2004-05-31,225.0,231.0,180.0,199.55,-11.311111111111106
2004-06-30,198.5,239.0,191.0,216.85,9.24433249370277
2004-07-31,218.25,224.9,192.6,194.6,-10.836197021764034
2004-08-31,196.95,226.95,182.25,221.15,12.287382584412297
2004-09-30,222.0,236.45,211.3,226.4,1.9819819819819846
2004-10-31,229.0,267.8,223.4,234.05,2.205240174672494
2004-11-30,236.0,283.0,232.0,264.3,11.991525423728817
2004-12-31,261.55,287.9,257.0,277.75,6.1938443892181185
2005-01-31,281.0,286.0,238.5,243.05,-13.505338078291812
2005-02-28,248.0,257.0,236.25,244.25,-1.5120967741935485
2005-03-31,245.0,339.6,239.05,284.8,16.244897959183678
2005-04-30,285.0,304.0,260.3,261.65,-8.192982456140358
2005-05-31,268.0,282.0,256.0,266.2,-0.6716417910447804
2005-06-30,264.15,298.0,261.05,277.85,5.186447094453927
2005-07-31,278.0,320.0,273.0,275.9,-0.7553956834532456
2005-08-31,277.95,359.4,273.0,337.5,21.424716675661095
2005-09-30,336.0,370.0,334.0,365.8,8.869047619047622
2005-10-31,371.0,399.0,320.0,337.2,-9.110512129380057
2005-11-30,340.0,362.0,316.0,335.75,-1.25
2005-12-31,334.0,360.0,315.0,336.85,0.8532934131736595
2006-01-31,336.4,354.9,325.0,337.3,0.26753864447087816
2006-02-28,348.0,403.0,335.0,380.2,9.252873563218388
2006-03-31,370.0,435.0,364.5,398.05,7.581081081081083
2006-04-30,404.0,424.95,310.0,375.5,-7.054455445544554
2006-05-31,385.0,385.0,275.3,299.05,-22.32467532467532
2006-06-30,304.45,304.45,220.0,249.7,-17.98324848086714
2006-07-31,248.0,259.15,225.75,243.9,-1.6532258064516105
2006-08-31,236.1,285.0,235.0,266.55,12.897077509529868
2006-09-30,279.0,302.95,264.35,277.15,-0.6630824372759938
2006-10-31,276.5,355.0,275.0,326.15,17.956600361663646
2006-11-30,325.0,364.4,311.0,346.6,6.646153846153853
2006-12-31,347.0,390.0,330.0,363.9,4.870317002881838
2007-01-31,364.2,410.0,350.0,364.15,-0.013728720483254082
2007-02-28,373.95,382.0,320.0,329.75,-11.819762000267414
2007-03-31,320.0,333.95,276.55,278.85,-12.859374999999995
2007-04-30,272.0,305.0,264.0,285.2,4.852941176470584
