Date,Open,High,Low,Close,Returns%
2000-01-31,260.0,289.95,235.05,247.2,-4.923076923076928
2000-02-29,249.25,270.0,205.1,221.6,-11.093279839518557
2000-03-31,220.0,229.9,155.0,190.65,-13.340909090909088
2000-04-30,193.0,196.0,154.6,160.55,-16.81347150259067
2000-05-31,160.0,164.75,125.0,150.7,-5.812500000000007
2000-06-30,149.0,169.0,144.0,164.65,10.50335570469799
2000-07-31,162.75,172.0,148.05,151.1,-7.158218125960064
2000-08-31,145.0,151.5,134.0,146.85,1.2758620689655134
2000-09-30,151.0,162.0,123.0,130.4,-13.642384105960263
2000-10-31,126.0,131.7,115.25,119.25,-5.357142857142857
2000-11-30,120.6,140.0,120.5,129.6,7.462686567164179
2000-12-31,130.0,148.5,128.5,138.55,6.5769230769230855
2001-01-31,138.9,166.0,137.05,158.7,14.254859611231089
2001-02-28,156.5,184.0,155.0,168.8,7.859424920127803
2001-03-31,168.0,181.85,146.0,163.75,-2.5297619047619047
2001-04-30,155.55,170.95,150.3,162.1,4.210864673738336
2001-05-31,164.0,169.7,156.0,166.0,1.2195121951219512
2001-06-30,165.0,175.25,151.2,154.6,-6.303030303030305
2001-07-31,158.9,159.0,136.55,138.55,-12.80679672750157
2001-08-31,140.0,166.0,131.0,135.2,-3.428571428571437
2001-09-30,133.1,136.95,105.75,134.7,1.2021036814425201
2001-10-31,125.1,149.0,125.1,127.95,2.27817745803358
2001-11-30,129.0,138.0,127.0,136.2,5.581395348837201
2001-12-31,140.0,149.9,126.0,130.85,-6.53571428571429
2002-01-31,135.9,139.9,127.6,135.85,-0.03679175864607165
2002-02-28,137.0,244.7,136.5,168.25,22.81021897810219
2002-03-31,168.0,203.0,160.0,199.85,18.958333333333332
2002-04-30,204.9,251.85,201.7,210.8,2.87945339189849
2002-05-31,213.7,228.8,186.2,199.9,-6.457650912494143
2002-06-30,204.8,224.0,190.95,199.75,-2.4658203125000053
2002-07-31,198.35,210.0,186.15,200.05,0.8570708343836738
2002-08-31,203.0,264.3,194.7,243.0,19.704433497536947
2002-09-30,251.0,251.0,191.15,206.4,-17.76892430278884
2002-10-31,207.85,233.9,201.5,215.65,3.7527062785662793
2002-11-30,214.5,232.0,214.5,220.0,2.5641025641025643
2002-12-31,221.0,242.0,220.3,238.5,7.918552036199095
2003-01-31,238.5,254.85,235.5,240.05,0.6498951781970698
2003-02-28,237.9,253.0,236.5,239.9,0.8406893652795292
2003-03-31,241.0,241.5,225.0,233.5,-3.112033195020747
2003-04-30,232.2,244.05,231.4,236.15,1.7011197243755458
2003-05-31,240.0,368.85,238.45,356.55,48.56250000000001
2003-06-30,374.45,428.9,341.15,407.9,8.933101882761381
2003-07-31,412.65,447.7,381.15,438.2,6.191687871077186
2003-08-31,444.0,547.7,321.3,382.95,-13.750000000000002
2003-09-30,391.0,415.9,327.1,378.45,-3.2097186700767293
2003-10-31,379.9,438.0,324.0,348.0,-8.396946564885491
2003-11-30,360.0,421.2,336.0,377.35,4.819444444444451
2003-12-31,383.0,466.0,371.55,456.75,19.255874673629243
2004-01-31,460.0,558.9,421.25,444.35,-3.402173913043473
2004-02-29,453.9,507.0,405.5,450.75,-0.6939854593522753
2004-03-31,453.85,534.3,434.3,496.1,9.30924314200727
2004-04-30,497.0,581.0,497.0,517.0,4.0241448692152915
2004-05-31,520.0,595.45,295.0,334.45,-35.68269230769231
2004-06-30,335.9,404.7,335.9,368.2,9.615957130098247
2004-07-31,366.0,403.8,315.0,400.45,9.412568306010927
2004-08-31,404.9,427.7,360.0,406.45,0.3828105705112402
2004-09-30,409.7,446.0,400.2,437.2,6.71222845984867
2004-10-31,436.0,458.0,413.0,431.15,-1.1123853211009227
2004-11-30,423.0,489.75,421.0,440.9,4.23167848699763
2004-12-31,450.0,546.2,440.6,513.2,14.044444444444455
2005-01-31,518.0,529.4,431.0,454.25,-12.306949806949808
2005-02-28,456.0,519.85,447.1,490.85,7.642543859649128
2005-03-31,485.0,505.65,412.0,438.0,-9.690721649484535
2005-04-30,430.0,480.0,427.05,440.5,2.441860465116279
2005-05-31,448.0,471.85,427.75,464.05,3.5825892857142883
2005-06-30,464.05,471.5,420.0,423.4,-8.759831914664376
2005-07-31,425.0,431.0,384.9,400.0,-5.882352941176471
2005-08-31,391.0,444.5,390.0,418.35,6.994884910485939
2005-09-30,420.0,460.8,417.55,451.9,7.59523809523809
2005-10-31,454.0,478.05,435.0,440.35,-3.0066079295154133
2005-11-30,450.0,556.8,442.0,530.85,17.966666666666672
2005-12-31,534.4,574.0,492.65,557.05,4.23839820359281
2006-01-31,555.0,570.0,505.1,510.7,-7.981981981981984
2006-02-28,512.2,598.9,506.0,557.45,8.834439672003123
2006-03-31,552.0,587.0,449.9,584.4,5.8695652173913
2006-04-30,587.0,621.95,520.0,560.9,-4.446337308347534
2006-05-31,565.1,600.3,442.05,454.5,-19.57175721111308
2006-06-30,457.0,462.9,309.0,399.85,-12.505470459518596
2006-07-31,408.0,438.0,350.0,389.35,-4.571078431372544
2006-08-31,394.0,501.0,371.05,495.45,25.748730964467
2006-09-30,482.0,549.85,482.0,522.5,8.402489626556017
2006-10-31,525.0,572.75,510.0,512.65,-2.352380952380957
2006-11-30,519.45,531.85,436.0,441.7,-14.967754355568399
2006-12-31,443.0,468.0,388.05,450.1,1.6027088036117432
2007-01-31,453.8,514.95,445.0,495.6,9.211106214191275
2007-02-28,494.0,496.85,405.0,413.3,-16.336032388663966
2007-03-31,417.5,425.0,395.1,399.65,-4.275449101796412
2007-04-30,395.1,444.0,361.0,441.05,11.62996709693748
