Date,Open,High,Low,Close,Returns%
2000-01-31,256.9,285.0,220.0,240.95,-6.2086414947450335
2000-02-29,243.7,269.0,188.6,193.6,-20.55806319244973
2000-03-31,197.0,204.5,134.55,148.3,-24.720812182741113
2000-04-30,160.2,163.85,128.5,129.0,-19.475655430711605
2000-05-31,128.2,129.25,105.1,119.2,-7.020280811232439
2000-06-30,115.5,143.8,109.9,117.2,1.4718614718614744
2000-07-31,117.9,127.35,112.05,121.9,3.3927056827820183
2000-08-31,122.9,142.4,118.0,122.4,-0.4068348250610252
2000-09-30,123.5,134.9,100.2,104.65,-15.263157894736839
2000-10-31,101.0,113.0,97.1,103.25,2.227722772277228
2000-11-30,104.75,129.0,103.5,115.55,10.310262529832933
2000-12-31,116.95,130.9,107.3,118.2,1.0688328345446771
2001-01-31,118.0,121.0,95.15,103.75,-12.076271186440678
2001-02-28,102.5,116.0,94.25,99.15,-3.2682926829268237
2001-03-31,100.95,103.85,66.0,71.05,-29.61862308073304
2001-04-30,69.0,78.6,59.0,66.75,-3.260869565217391
2001-05-31,67.9,80.0,64.15,73.85,8.762886597938127
2001-06-30,74.05,74.85,61.5,63.9,-13.706954760297096
2001-07-31,67.0,74.0,60.1,63.5,-5.223880597014926
2001-08-31,64.5,67.0,60.8,64.3,-0.31007751937984934
2001-09-30,65.9,77.0,55.0,62.5,-5.159332321699553
2001-10-31,60.25,72.0,60.0,67.8,12.531120331950204
2001-11-30,68.0,97.6,67.0,89.2,31.1764705882353
2001-12-31,93.95,93.95,71.65,80.55,-14.262905800957961
2002-01-31,80.45,94.6,76.2,87.8,9.136109384710993
2002-02-28,89.9,105.0,87.5,90.6,0.7786429365962053
2002-03-31,90.0,104.0,90.0,93.2,3.555555555555559
2002-04-30,93.0,134.65,91.4,119.15,28.11827956989248
2002-05-31,124.0,129.0,94.05,111.4,-10.161290322580642
2002-06-30,115.45,140.0,115.45,128.3,11.13035946297099
2002-07-31,111.0,153.0,111.0,130.45,17.52252252252251
2002-08-31,131.0,137.9,115.0,129.55,-1.1068702290076249
2002-09-30,128.6,134.9,111.25,115.45,-10.22550544323483
2002-10-31,114.65,144.0,112.8,136.2,18.796336676842547
2002-11-30,136.25,148.5,126.05,144.8,6.275229357798174
2002-12-31,148.45,183.2,147.0,180.7,21.72448635904345
2003-01-31,183.8,208.5,172.0,195.2,6.202393906420009
2003-02-28,196.0,199.0,169.0,181.3,-7.499999999999994
2003-03-31,185.0,185.0,161.6,163.9,-11.405405405405403
2003-04-30,164.9,185.95,163.4,179.8,9.035779260157673
2003-05-31,180.0,280.0,180.0,275.85,53.25000000000001
2003-06-30,278.0,379.0,245.5,364.15,30.98920863309352
2003-07-31,370.05,387.0,305.7,345.4,-6.661261991622763
2003-08-31,345.0,506.0,320.1,502.65,45.69565217391304
2003-09-30,510.0,588.5,448.8,521.0,2.156862745098039
2003-10-31,525.95,605.0,433.5,490.55,-6.730677821085661
2003-11-30,501.0,582.0,465.15,485.5,-3.093812375249501
2003-12-31,494.95,655.0,490.0,626.1,26.497626022830598
2004-01-31,632.0,654.0,495.0,520.05,-17.713607594936715
2004-02-29,518.0,720.0,494.0,651.55,25.781853281853273
2004-03-31,650.0,720.0,561.0,650.35,0.053846153846157346
2004-04-30,660.0,744.4,650.0,659.2,-0.12121212121211432
2004-05-31,660.0,689.0,490.0,632.55,-4.159090909090916
2004-06-30,659.95,664.8,488.15,572.4,-13.266156527009633
2004-07-31,574.75,670.0,523.1,606.4,5.506742061765982
2004-08-31,600.1,649.9,567.0,640.3,6.698883519413419
2004-09-30,645.0,679.9,622.0,647.55,0.39534883720929526
2004-10-31,650.0,788.2,633.0,725.2,11.569230769230776
2004-11-30,729.0,780.5,723.0,760.8,4.362139917695467
2004-12-31,776.0,939.0,752.4,904.9,16.61082474226804
