Date,Open,High,Low,Close,Returns%
2000-01-31,216.0,229.0,175.0,200.9,-6.990740740740739
2000-02-29,197.0,205.9,145.0,146.8,-25.482233502538065
2000-03-31,148.0,171.15,114.05,124.4,-15.945945945945942
2000-04-30,123.15,134.35,107.5,114.35,-7.145757206658556
2000-05-31,109.5,119.0,98.1,110.8,1.1872146118721436
2000-06-30,112.05,135.8,105.0,115.15,2.766622043730485
2000-07-31,113.2,143.7,113.0,119.35,5.432862190812712
2000-08-31,118.1,121.7,103.0,104.7,-11.346316680778994
2000-09-30,107.0,111.8,99.15,101.0,-5.607476635514018
2000-10-31,99.0,112.0,98.0,104.25,5.303030303030303
2000-11-30,105.0,133.95,103.7,127.8,21.714285714285708
2000-12-31,130.0,135.0,114.25,122.85,-5.500000000000004
2001-01-31,126.0,130.0,113.25,117.0,-7.142857142857143
2001-02-28,115.0,122.75,100.0,108.15,-5.95652173913043
2001-03-31,111.5,115.45,82.0,83.1,-25.470852017937222
2001-04-30,82.05,85.05,73.35,79.55,-3.0469226081657528
2001-05-31,81.0,88.0,74.05,86.25,6.481481481481482
2001-06-30,87.95,122.0,81.25,106.6,21.205230244457066
2001-07-31,109.8,114.0,90.0,93.3,-15.027322404371585
2001-08-31,96.0,109.9,92.2,102.1,6.354166666666661
2001-09-30,102.05,113.0,91.5,99.75,-2.2537971582557543
2001-10-31,99.2,123.0,97.0,116.55,17.489919354838705
2001-11-30,116.8,137.0,116.5,129.0,10.445205479452056
2001-12-31,131.0,138.0,117.0,119.9,-8.473282442748088
2002-01-31,120.3,129.0,115.1,119.55,-0.6234413965087282
2002-02-28,120.0,175.0,117.0,146.5,22.083333333333332
2002-03-31,148.0,163.0,146.0,153.7,3.8513513513513438
2002-04-30,157.0,248.0,156.0,206.7,31.656050955414006
2002-05-31,212.05,228.0,154.0,174.25,-17.825984437632638
2002-06-30,180.0,217.85,173.0,190.5,5.833333333333333
2002-07-31,193.75,218.4,172.0,180.45,-6.864516129032264
2002-08-31,187.0,199.75,177.3,185.05,-1.0427807486630956
