Date,Open,High,Low,Close,Returns%
2000-01-31,56.0,63.9,41.0,42.2,-24.64285714285714
2000-02-29,40.05,43.5,29.5,31.7,-20.848938826466913
2000-03-31,32.7,35.5,22.0,25.75,-21.253822629969424
2000-04-30,25.85,26.2,19.1,19.3,-25.33849129593811
2000-05-31,19.5,22.05,17.3,22.05,13.07692307692308
2000-06-30,20.5,24.0,19.25,21.0,2.4390243902439024
2000-07-31,21.0,23.9,19.0,20.25,-3.5714285714285716
2000-08-31,19.75,21.75,18.55,20.5,3.7974683544303796
2000-09-30,21.9,24.2,18.3,19.1,-12.785388127853869
2000-10-31,19.0,21.35,17.1,17.5,-7.894736842105263
2000-11-30,17.8,26.95,17.8,26.95,51.40449438202246
2000-12-31,26.95,61.2,26.95,55.9,107.42115027829314
2001-01-31,56.7,155.0,55.25,154.85,173.10405643738977
2001-02-28,157.35,249.95,152.0,226.6,44.01016841436289
2001-03-31,228.0,233.0,79.3,81.25,-64.3640350877193
2001-04-30,74.75,107.6,53.7,105.35,40.93645484949832
2001-05-31,112.9,179.5,89.2,172.15,52.480070859167405
2001-06-30,173.4,176.5,76.65,84.85,-51.06689734717417
2001-07-31,85.0,88.95,60.0,65.4,-23.05882352941176
2001-08-31,65.2,71.75,55.1,65.9,1.0736196319018447
2001-09-30,66.0,66.9,36.3,42.75,-35.22727272727273
2001-10-31,43.0,79.9,38.1,71.95,67.32558139534885
2001-11-30,75.9,99.45,71.6,93.95,23.781291172595516
2001-12-31,97.65,116.8,63.55,80.7,-17.357910906298006
2002-01-31,84.75,90.0,70.3,75.4,-11.032448377581114
2002-02-28,73.0,84.0,65.0,66.85,-8.424657534246583
2002-03-31,65.2,84.2,62.0,74.6,14.417177914110415
2002-04-30,76.2,84.2,62.0,75.7,-0.6561679790026247
2002-05-31,76.0,77.9,56.05,61.55,-19.013157894736846
2002-06-30,63.0,94.9,62.5,85.85,36.269841269841265
2002-07-31,88.0,97.05,63.0,66.7,-24.20454545454545
2002-08-31,68.5,72.2,64.5,67.9,-0.8759124087591158
2002-09-30,69.0,74.25,62.6,63.0,-8.695652173913043
2002-10-31,63.25,66.4,57.0,61.1,-3.3992094861660056
2002-11-30,61.3,85.0,59.8,83.35,35.970636215334416
2002-12-31,84.1,95.8,76.75,88.1,4.756242568370987
2003-01-31,88.9,94.5,75.0,79.85,-10.17997750281216
2003-02-28,80.0,86.5,74.25,75.15,-6.062499999999993
2003-03-31,75.85,76.5,63.0,63.65,-16.08437705998681
2003-04-30,63.4,82.0,63.4,75.55,19.164037854889585
2003-05-31,75.8,113.0,74.35,105.65,39.37994722955146
2003-06-30,105.05,162.4,99.55,155.85,48.35792479771538
2003-07-31,155.25,178.8,133.55,161.85,4.251207729468596
2003-08-31,163.55,188.0,151.0,169.4,3.5768878018954413
2003-09-30,170.0,229.6,159.5,215.2,26.58823529411764
2003-10-31,217.0,241.4,210.0,232.6,7.188940092165897
2003-11-30,234.2,254.15,205.1,219.8,-6.148590947907762
2003-12-31,221.0,323.9,221.0,289.95,31.19909502262443
2004-01-31,295.1,322.9,266.15,269.7,-8.607251779057957
2004-02-29,267.0,275.2,209.0,256.2,-4.044943820224724
2004-03-31,259.5,276.0,208.6,211.5,-18.497109826589597
2004-04-30,215.0,239.85,210.0,212.6,-1.1162790697674445
2004-05-31,211.0,214.7,122.0,125.2,-40.66350710900474
2004-06-30,130.0,147.9,119.0,140.6,8.15384615384615
2004-07-31,141.9,199.0,120.0,180.55,27.237491190979565
2004-08-31,174.9,204.95,157.9,185.8,6.232132647226989
2004-09-30,186.6,198.55,181.1,187.5,0.482315112540196
2004-10-31,188.9,204.8,180.0,184.1,-2.541026998411864
2004-11-30,185.9,236.6,181.1,226.8,22.001075847229696
2004-12-31,228.5,243.85,206.4,234.25,2.516411378555799
2005-01-31,236.0,246.4,191.3,242.05,2.5635593220339032
2005-02-28,244.2,291.0,235.55,285.15,16.769041769041767
2005-03-31,288.0,304.4,249.9,267.35,-7.170138888888881
2005-04-30,266.5,324.7,265.0,298.6,12.045028142589127
2005-05-31,308.6,361.8,279.3,336.8,9.138042773817235
2005-06-30,340.4,372.0,311.0,340.25,-0.044065804935363474
2005-07-31,342.9,440.0,340.05,375.85,9.609215514727339
2005-08-31,379.7,441.0,370.0,430.9,13.484329734000525
2005-09-30,433.8,452.2,376.0,427.8,-1.3831258644536653
2005-10-31,425.0,500.0,335.1,370.45,-12.835294117647061
2005-11-30,378.0,417.9,362.05,371.9,-1.6137566137566197
2005-12-31,372.0,405.0,352.25,398.0,6.989247311827957
2006-01-31,402.5,418.0,370.5,415.4,3.2049689440993734
2006-02-28,416.55,470.0,397.0,442.65,6.265754411235137
2006-03-31,446.0,513.0,428.1,433.8,-2.735426008968607
2006-04-30,436.75,469.95,400.0,436.0,-0.17172295363480253
2006-05-31,446.0,468.0,300.0,367.35,-17.634529147982057
2006-06-30,373.95,381.0,235.0,262.5,-29.803449659045324
2006-07-31,268.9,280.95,235.0,253.1,-5.87579025660096
2006-08-31,250.2,315.5,250.0,290.6,16.14708233413271
2006-09-30,291.0,349.0,291.0,321.25,10.395189003436426
2006-10-31,323.65,385.0,315.05,367.1,13.424996137803197
2006-11-30,384.9,415.5,344.3,404.35,5.05326058716551
2006-12-31,402.5,425.7,322.0,387.0,-3.8509316770186337
2007-01-31,389.7,474.75,375.0,459.85,18.00102643058764
2007-02-28,465.05,515.0,433.0,476.35,2.429846253091068
2007-03-31,478.0,529.9,426.2,505.3,5.711297071129709
2007-04-30,491.25,563.95,455.15,539.9,9.90330788804071
2007-05-31,553.9,604.0,527.0,573.75,3.583679364506233
2007-06-30,575.0,799.0,555.5,690.45,20.078260869565224
2007-07-31,692.0,725.0,613.1,689.0,-0.43352601156069365
2007-08-31,699.7,699.95,551.1,585.45,-16.328426468486494
2007-09-30,593.9,699.0,590.5,661.0,11.298198349890557
2007-10-31,669.0,838.3,507.9,786.05,17.496263079222715
2007-11-30,820.0,945.0,710.0,847.35,3.3353658536585393
2007-12-31,860.0,1105.0,860.0,1076.2,25.139534883720934
2008-01-31,1082.0,1221.0,715.0,873.75,-19.246765249537894
2008-02-29,889.95,927.7,725.0,879.05,-1.2247879094331244
2008-03-31,870.0,870.0,580.0,648.4,-25.471264367816097
2008-04-30,665.0,702.0,571.0,653.45,-1.736842105263151
2008-05-31,660.0,660.0,516.35,574.45,-12.962121212121207
2008-06-30,575.0,609.0,496.15,500.35,-12.982608695652171
2008-07-31,498.0,610.0,450.0,511.2,2.650602409638552
2008-08-31,501.0,599.15,501.0,582.5,16.26746506986028
2008-09-30,582.5,649.9,517.0,570.95,-1.9828326180257432
2008-10-31,650.0,650.0,270.0,372.3,-42.723076923076924
2008-11-30,389.0,474.0,255.0,262.15,-32.609254498714655
2008-12-31,263.0,274.7,218.0,221.6,-15.741444866920155
2009-01-31,226.9,262.45,185.5,191.4,-15.645658880564124
2009-02-28,186.3,194.9,158.05,159.95,-14.143853998926474
2009-03-31,158.1,193.6,135.5,176.8,11.827956989247324
2009-04-30,178.0,247.85,177.1,210.25,18.117977528089888
2009-05-31,218.0,388.2,217.05,366.15,67.95871559633026
2009-06-30,370.1,461.1,341.0,388.1,4.863550391786004
2009-07-31,387.0,530.0,300.0,486.9,25.81395348837209
2009-08-31,492.9,591.9,480.55,547.65,11.107729762629337
2009-09-30,551.9,762.0,520.1,754.35,36.68236999456424
2009-10-31,765.4,838.05,677.0,694.9,-9.210870133263652
2009-11-30,685.0,936.0,646.0,928.75,35.583941605839414
2009-12-31,944.0,993.65,173.8,188.4,-80.04237288135593
2010-01-31,188.4,213.4,166.05,177.5,-5.785562632696393
2010-02-28,176.0,208.65,174.3,194.1,10.284090909090907
2010-03-31,197.9,224.8,195.2,212.4,7.326932794340576
2010-04-30,213.5,227.0,207.55,218.4,2.2950819672131173
2010-05-31,218.0,218.3,176.35,188.6,-13.486238532110093
2010-06-30,188.0,208.9,180.0,201.4,7.127659574468088
2010-07-31,202.3,209.85,194.6,195.4,-3.4107760751359395
2010-08-31,196.5,214.8,195.55,201.95,2.7735368956742943
2010-09-30,204.0,221.7,201.25,214.0,4.901960784313726
2010-10-31,215.95,234.4,208.6,217.45,0.694605232692753
2010-11-30,222.0,229.85,170.1,187.6,-15.495495495495497
2010-12-31,187.6,194.6,150.85,182.35,-2.798507462686567
2011-01-31,183.1,225.0,183.0,209.6,14.472965592572365
2011-02-28,209.0,221.95,176.05,198.35,-5.095693779904308
2011-03-31,195.3,215.0,164.2,204.65,4.787506400409623
2011-04-30,205.0,211.0,196.1,200.4,-2.2439024390243874
2011-05-31,200.5,203.0,150.65,159.3,-20.548628428927675
2011-06-30,160.0,166.0,135.35,158.25,-1.09375
2011-07-31,158.85,175.25,145.65,152.7,-3.87157695939566
2011-08-31,152.1,155.5,108.6,118.85,-21.86061801446417
2011-09-30,119.0,138.85,116.9,136.5,14.705882352941176
2011-10-31,133.1,153.9,128.2,152.25,14.387678437265219
2011-11-30,150.15,154.4,108.4,122.0,-18.74791874791875
2011-12-31,124.2,134.0,113.0,131.5,5.877616747181962
2012-01-31,132.45,147.0,126.25,143.25,8.154020385050972
2012-02-29,146.8,167.95,135.2,161.9,10.28610354223433
2012-03-31,162.9,181.85,152.55,174.45,7.090239410681388
2012-04-30,175.55,175.55,151.65,156.75,-10.709199658217038
2012-05-31,154.0,157.75,120.15,123.9,-19.545454545454543
2012-06-30,123.45,133.4,120.35,132.5,7.33090319967598
2012-07-31,134.85,138.45,118.5,119.85,-11.123470522803116
2012-08-31,115.0,123.0,113.75,117.9,2.5217391304347876
2012-09-30,117.3,123.5,111.15,118.8,1.278772378516624
2012-10-31,119.85,121.5,109.0,114.05,-4.839382561535251
2012-11-30,114.15,137.9,113.2,131.9,15.549715286903197
2012-12-31,133.0,133.65,120.0,128.55,-3.3458646616541268
2013-01-31,130.25,136.7,105.1,108.55,-16.66026871401152
2013-02-28,108.5,111.8,87.8,89.25,-17.741935483870968
2013-03-31,88.4,100.45,77.0,82.1,-7.1266968325791975
2013-04-30,82.95,92.85,78.9,79.4,-4.279686558167567
2013-05-31,79.1,84.8,70.95,71.75,-9.292035398230082
2013-06-30,71.75,71.8,48.5,57.5,-19.860627177700348
2013-07-31,57.0,63.9,38.0,42.0,-26.31578947368421
2013-08-31,42.1,51.9,37.55,49.4,17.3396674584323
2013-09-30,48.5,55.4,43.1,44.65,-7.938144329896909
2013-10-31,44.7,50.35,42.15,47.95,7.27069351230425
2013-11-30,47.9,53.25,43.55,46.1,-3.757828810020871
2013-12-31,46.25,54.1,45.1,49.1,6.162162162162165
2014-01-31,49.5,63.45,49.25,51.55,4.141414141414136
2014-02-28,51.5,53.8,46.7,47.0,-8.737864077669903
2014-03-31,47.0,57.7,46.05,56.55,20.31914893617021
2014-04-30,56.55,63.9,53.25,55.9,-1.1494252873563193
2014-05-31,56.1,92.65,52.0,89.35,59.26916221033866
2014-06-30,89.5,95.85,81.35,83.35,-6.871508379888274
2014-07-31,83.2,88.45,71.5,77.15,-7.271634615384612
2014-08-31,76.4,83.9,71.8,77.5,1.4397905759162228
2014-09-30,77.4,98.3,73.55,80.45,3.9405684754521926
2014-10-31,80.1,84.85,74.0,77.7,-2.9962546816479296
2014-11-30,78.0,114.7,77.7,111.0,42.30769230769231
2014-12-31,109.9,115.65,89.0,93.3,-15.104640582347596
2015-01-31,93.0,97.2,80.15,80.55,-13.387096774193552
2015-02-28,80.85,86.15,71.4,78.05,-3.46320346320346
2015-03-31,79.0,80.25,56.2,65.75,-16.772151898734176
2015-04-30,65.75,72.6,61.0,68.9,4.790874524714837
2015-05-31,69.25,74.65,59.8,61.45,-11.26353790613718
2015-06-30,61.6,62.65,51.0,58.6,-4.87012987012987
2015-07-31,58.6,84.4,58.25,76.35,30.290102389078484
2015-08-31,76.7,85.4,60.0,66.25,-13.624511082138204
2015-09-30,65.75,66.8,59.65,63.85,-2.8897338403041806
2015-10-31,64.15,73.5,62.35,64.85,1.0911925175370047
2015-11-30,66.4,68.0,59.75,66.35,-0.07530120481929423
2015-12-31,66.75,68.7,60.05,62.65,-6.142322097378279
2016-01-31,62.75,65.7,47.6,50.05,-20.2390438247012
2016-02-29,50.8,52.2,35.65,35.95,-29.232283464566923
2016-03-31,36.1,44.5,36.1,38.7,7.202216066481998
2016-04-30,38.8,46.8,38.25,42.8,10.309278350515465
2016-05-31,42.4,43.45,38.75,40.25,-5.070754716981129
2016-06-30,40.25,55.55,40.2,53.2,32.173913043478265
2016-07-31,53.65,56.9,50.85,51.15,-4.659832246039143
2016-08-31,51.55,52.5,46.05,51.8,0.48496605237633367
2016-09-30,51.85,59.8,50.6,54.85,5.785920925747348
2016-10-31,55.3,67.6,55.15,64.15,16.003616636528047
2016-11-30,64.35,66.5,47.5,55.45,-13.830613830613817
2016-12-31,55.95,61.65,53.2,55.35,-1.0723860589812357
2017-01-31,55.35,63.3,55.25,57.85,4.5167118337850045
2017-02-28,58.0,79.2,57.65,77.3,33.275862068965516
