Date,Open,High,Low,Close,Returns%
2000-01-31,247.0,348.0,215.15,288.7,16.882591093117405
2000-02-29,287.45,379.0,274.5,328.25,14.193772830057405
2000-03-31,312.0,384.0,211.5,239.1,-23.365384615384617
2000-04-30,247.0,250.3,202.1,223.25,-9.615384615384615
2000-05-31,219.25,235.0,157.0,188.2,-14.16191562143672
2000-06-30,182.4,224.9,171.1,173.95,-4.6326754385965
2000-07-31,182.0,192.0,166.2,174.1,-4.340659340659344
2000-08-31,173.1,174.25,139.9,149.7,-13.518197573656849
2000-09-30,151.0,169.9,137.0,161.65,7.052980132450334
2000-10-31,155.5,174.45,138.1,148.05,-4.790996784565909
2000-11-30,145.0,160.0,145.0,151.0,4.137931034482759
2000-12-31,150.15,215.0,148.1,179.2,19.347319347319335
2001-01-31,178.1,333.0,166.0,290.1,62.886019090398676
2001-02-28,295.05,414.7,275.5,371.0,25.74139976275207
2001-03-31,376.0,386.0,158.0,186.95,-50.27925531914894
2001-04-30,173.0,268.3,155.55,237.8,37.456647398843934
2001-05-31,244.9,258.0,205.1,236.25,-3.5320538995508395
2001-06-30,237.3,244.45,153.35,167.0,-29.624947324062372
2001-07-31,169.0,175.0,142.0,152.8,-9.58579881656804
2001-08-31,152.8,166.0,145.0,157.2,2.8795811518324457
2001-09-30,155.1,158.25,113.05,149.35,-3.7072856221792394
2001-10-31,145.5,167.75,139.0,150.1,3.161512027491405
2001-11-30,151.0,175.0,144.0,158.75,5.132450331125828
2001-12-31,158.5,189.0,145.2,155.25,-2.050473186119874
2002-01-31,158.0,162.0,148.0,153.6,-2.784810126582282
2002-02-28,158.0,169.9,150.0,154.7,-2.088607594936716
2002-03-31,164.8,165.0,146.6,148.2,-10.072815533980595
2002-04-30,148.0,196.6,147.05,187.1,26.418918918918916
2002-05-31,190.0,195.0,155.1,168.4,-11.368421052631577
2002-06-30,173.0,296.5,172.0,275.55,59.27745664739886
2002-07-31,265.1,324.9,210.2,227.95,-14.013579781214649
2002-08-31,208.0,244.9,208.0,218.3,4.951923076923082
2002-09-30,220.0,285.0,218.25,272.05,23.659090909090914
2002-10-31,271.0,286.0,260.65,284.05,4.815498154981554
2002-11-30,286.0,307.2,268.05,305.25,6.730769230769231
2002-12-31,305.5,353.0,280.05,347.95,13.895253682487722
2003-01-31,349.0,450.05,332.5,372.85,6.833810888252155
2003-02-28,375.4,404.9,365.0,376.3,0.239744272775715
2003-03-31,395.0,395.0,305.1,322.8,-18.278481012658226
2003-04-30,329.6,409.0,323.0,360.35,9.329490291262136
2003-05-31,365.0,457.7,351.2,453.3,24.191780821917813
2003-06-30,450.0,492.0,365.0,476.15,5.8111111111111065
2003-07-31,482.4,541.9,465.0,494.15,2.435737976782753
2003-08-31,501.0,839.0,475.55,725.0,44.71057884231537
2003-09-30,721.0,899.0,707.25,797.25,10.575589459084604
2003-10-31,791.0,969.0,791.0,836.2,5.71428571428572
2003-11-30,849.85,907.9,737.0,776.25,-8.660351826792965
2003-12-31,782.0,1052.0,516.0,619.45,-20.78644501278772
2004-01-31,635.0,700.0,509.0,515.35,-18.842519685039367
2004-02-29,506.0,605.95,485.0,527.8,4.308300395256908
2004-03-31,531.0,554.95,430.0,507.9,-4.35028248587571
2004-04-30,508.0,554.7,480.0,531.25,4.576771653543307
2004-05-31,531.25,539.0,360.0,429.15,-19.218823529411768
2004-06-30,438.0,481.0,400.0,445.5,1.7123287671232876
2004-07-31,429.0,590.0,350.0,538.65,25.559440559440556
2004-08-31,540.0,631.0,540.0,586.0,8.518518518518519
2004-09-30,599.95,628.0,568.0,621.5,3.591965997166423
2004-10-31,623.0,796.95,623.0,709.7,13.916532905296956
2004-11-30,714.0,834.35,692.5,824.25,15.441176470588236
2004-12-31,824.0,964.9,821.0,899.35,9.144417475728158
2005-01-31,917.0,1030.0,851.0,934.25,1.88113413304253
2005-02-28,937.5,1104.0,920.0,1002.85,6.970666666666669
2005-03-31,1010.0,1262.0,1000.0,1041.6,3.1287128712871195
2005-04-30,1015.55,1119.0,980.0,987.2,-2.7915907636256128
2005-05-31,980.0,998.25,860.0,921.0,-6.020408163265306
2005-06-30,925.0,930.9,830.0,855.65,-7.497297297297299
2005-07-31,860.0,1084.0,845.0,1015.65,18.098837209302324
2005-08-31,1015.0,1199.0,988.0,1169.95,15.266009852216753
2005-09-30,1183.95,1475.0,1180.0,1447.4,22.251784281430805
2005-10-31,1470.3,1522.0,1152.05,1218.9,-17.09855131605794
2005-11-30,1248.95,1510.0,1183.0,1419.4,13.647463869650508
2005-12-31,1413.05,1589.9,1386.5,1581.05,11.889175896111249
2006-01-31,1561.0,1650.0,1412.1,1554.9,-0.390775144138367
2006-02-28,1521.0,1560.0,1440.0,1528.6,0.4996712689020322
2006-03-31,1530.0,1929.0,1502.0,1895.8,23.90849673202614
2006-04-30,1927.0,2070.0,1760.05,1893.9,-1.7176959003632541
2006-05-31,1919.0,2188.0,1400.0,1807.1,-5.831162063574784
2006-06-30,1850.0,1890.0,1152.65,1401.45,-24.24594594594594
2006-07-31,1430.0,1664.9,1367.65,1488.4,4.08391608391609
2006-08-31,1430.0,1600.0,1420.0,1482.05,3.639860139860137
2006-09-30,1480.1,1728.5,1480.0,1712.0,15.667860279710837
2006-10-31,1711.0,1850.0,1685.0,1805.3,5.511396843950903
2006-11-30,1810.0,2170.0,1791.0,2155.8,19.104972375690615
2006-12-31,2159.85,2290.0,1870.0,2273.9,5.280459291154487
2007-01-31,2272.95,2399.8,2081.0,2335.2,2.7387316043027785
2007-02-28,2340.0,2750.0,2170.0,2330.5,-0.405982905982906
2007-03-31,2350.0,2425.0,2003.0,2377.45,1.168085106382971
2007-04-30,2320.1,2940.0,2215.0,2896.65,24.850221973190816
2007-05-31,2895.0,3269.9,2810.0,3205.95,10.74093264248704
2007-06-30,3244.9,3750.0,3208.9,3461.65,6.679712780054855
2007-07-31,3420.0,4500.0,3420.0,4198.45,22.761695906432745
2007-08-31,4199.8,4265.0,3540.0,3932.85,-6.356255059764758
2007-09-30,3965.0,5880.0,3800.0,5185.8,30.789407313997483
2007-10-31,5260.0,12239.0,5151.15,11876.45,125.78802281368823
2007-11-30,11902.0,14560.0,9180.0,13525.7,13.6422450008402
2007-12-31,14000.0,16540.0,13050.0,15395.4,9.967142857142855
2008-01-31,15390.0,16785.9,1280.0,2305.05,-85.0224171539961
2008-02-29,2301.0,2630.0,1885.0,2304.9,0.16949152542373278
2008-03-31,2260.0,2375.0,1729.0,2070.0,-8.4070796460177
2008-04-30,2099.0,2457.1,1760.0,2399.65,14.323487374940452
2008-05-31,2444.1,2500.0,2020.0,2339.4,-4.283785442494162
2008-06-30,2350.0,2380.0,1730.1,1751.5,-25.46808510638298
2008-07-31,1745.0,2179.0,1590.0,2076.05,18.971346704871067
2008-08-31,2025.0,2274.0,1832.0,1906.6,-5.846913580246918
2008-09-30,1883.0,1972.0,1160.0,1270.45,-32.53053637812002
2008-10-31,1300.0,1335.05,518.1,792.55,-39.03461538461539
2008-11-30,825.0,874.0,636.25,718.8,-12.872727272727277
2008-12-31,726.95,983.7,685.55,911.25,25.3525001719513
2009-01-31,915.0,1075.0,724.5,1032.75,12.868852459016393
2009-02-28,982.25,1122.9,943.5,1042.95,6.1796894884194495
2009-03-31,1030.0,1277.8,971.3,1205.55,17.043689320388346
2009-04-30,1214.0,1678.0,1150.05,1629.9,34.25864909390445
2009-05-31,1680.0,2224.8,1521.1,2090.4,24.428571428571434
2009-06-30,2150.0,2709.9,2110.0,2490.8,15.851162790697682
2009-07-31,2505.35,3238.0,2341.3,2938.65,17.294988724130366
2009-08-31,2953.0,3309.7,2659.7,3132.25,6.070098205215036
2009-09-30,3189.5,3622.0,500.5,587.0,-81.59586142028532
2009-10-31,590.0,738.0,583.0,641.5,8.728813559322035
2009-11-30,632.2,743.3,600.0,688.25,8.865865232521346
2009-12-31,699.95,749.85,691.0,703.3,0.47860561468675034
2010-01-31,710.55,736.5,616.9,627.95,-11.624797691928775
2010-02-28,623.3,664.1,600.0,632.4,1.4599711214503488
2010-03-31,640.0,729.7,635.4,703.1,9.859375000000004
2010-04-30,709.0,753.9,696.15,743.45,4.858956276445705
2010-05-31,743.45,743.45,600.0,654.1,-12.018293093012309
2010-06-30,655.8,689.25,602.1,624.5,-4.772796584324483
2010-07-31,612.0,658.0,610.0,622.45,1.7075163398692885
2010-08-31,624.1,796.1,613.55,684.25,9.637878545104948
2010-09-30,690.15,723.0,681.55,707.25,2.477722234296895
2010-10-31,710.0,755.5,681.0,697.55,-1.7535211267605697
2010-11-30,707.0,724.35,574.35,636.7,-9.943422913719937
2010-12-31,636.0,728.9,636.0,712.05,11.957547169811313
2011-01-31,722.9,735.9,642.75,663.25,-8.251487065984229
2011-02-28,670.0,700.45,603.9,657.75,-1.828358208955224
2011-03-31,665.5,701.0,636.2,697.3,4.778362133734028
2011-04-30,695.0,723.9,646.7,654.75,-5.7913669064748206
2011-05-31,661.15,663.0,614.2,649.2,-1.807456704227472
2011-06-30,650.55,659.9,604.1,652.25,0.26131734686035596
2011-07-31,651.5,663.5,582.55,587.85,-9.769762087490404
2011-08-31,587.15,591.0,450.25,520.9,-11.283317721195607
2011-09-30,531.0,570.0,500.0,506.0,-4.708097928436912
2011-10-31,494.15,602.5,441.05,562.55,13.841950824648382
2011-11-30,557.2,584.8,476.05,503.35,-9.664393395549176
2011-12-31,529.75,543.1,435.9,453.15,-14.459650778669188
2012-01-31,454.2,553.0,442.2,541.75,19.275649493615152
2012-02-29,541.95,664.0,541.95,582.75,7.528369775809567
2012-03-31,577.35,627.7,517.0,545.15,-5.57720620074479
2012-04-30,543.5,554.4,471.05,504.0,-7.267709291628335
2012-05-31,504.0,515.5,437.2,440.35,-12.62896825396825
2012-06-30,441.0,474.5,409.05,470.35,6.655328798185947
2012-07-31,471.15,480.35,389.2,398.65,-15.387880717393612
2012-08-31,396.15,426.0,342.75,352.15,-11.106903950523792
2012-09-30,352.0,454.9,320.4,427.15,21.349431818181813
2012-10-31,429.35,441.1,333.0,388.35,-9.549318737626644
2012-11-30,386.6,406.2,365.0,403.05,4.2550439730988066
2012-12-31,405.0,474.9,399.55,447.85,10.580246913580252
2013-01-31,451.0,475.0,413.5,420.2,-6.8292682926829285
2013-02-28,422.25,426.5,338.9,348.9,-17.371225577264656
2013-03-31,350.2,369.95,334.5,347.75,-0.6996002284408877
2013-04-30,352.9,360.5,295.0,304.55,-13.700765089260404
2013-05-31,303.3,338.6,282.75,284.45,-6.214968677876697
2013-06-30,287.9,295.9,194.65,217.45,-24.47030218825981
