Date,Open,High,Low,Close,Returns%
2000-01-31,35.75,38.35,31.9,37.4,4.615384615384611
2000-02-29,37.9,42.85,31.2,35.45,-6.46437994722954
2000-03-31,35.0,40.0,32.0,36.15,3.2857142857142816
2000-04-30,36.85,37.8,30.25,31.25,-15.196743554952512
2000-05-31,30.5,33.75,28.5,32.25,5.737704918032787
2000-06-30,31.35,34.75,30.8,32.0,2.0733652312599635
2000-07-31,32.0,33.7,29.15,31.3,-2.187499999999998
2000-08-31,32.0,32.0,26.55,29.7,-7.187500000000002
2000-09-30,28.55,31.75,28.15,28.95,1.4010507880910632
2000-10-31,27.8,31.0,27.7,29.9,7.553956834532365
2000-11-30,29.5,34.8,29.5,32.15,8.983050847457623
2000-12-31,31.8,38.95,31.0,34.4,8.17610062893081
2001-01-31,34.25,39.0,33.8,37.0,8.02919708029197
2001-02-28,36.6,45.5,35.5,42.15,15.1639344262295
2001-03-31,42.9,45.35,32.6,37.3,-13.053613053613057
2001-04-30,36.45,42.0,35.05,39.95,9.602194787379972
2001-05-31,39.35,46.5,39.25,43.15,9.656925031766193
2001-06-30,43.0,44.85,40.6,42.45,-1.2790697674418539
2001-07-31,43.95,52.35,41.0,52.05,18.430034129692817
2001-08-31,51.25,55.4,42.55,44.45,-13.268292682926825
2001-09-30,44.8,45.95,37.2,40.25,-10.156249999999995
2001-10-31,40.0,46.5,40.0,43.3,8.249999999999993
2001-11-30,44.7,48.0,43.0,45.85,2.572706935123039
2001-12-31,46.0,47.85,42.15,42.55,-7.500000000000006
2002-01-31,44.0,51.0,43.0,47.85,8.750000000000002
2002-02-28,48.0,78.0,48.0,67.8,41.24999999999999
2002-03-31,68.0,87.6,66.25,73.35,7.867647058823521
2002-04-30,75.0,95.75,74.25,86.45,15.26666666666667
2002-05-31,86.85,116.0,64.1,79.7,-8.23258491652273
2002-06-30,82.5,100.0,79.8,88.6,7.393939393939387
2002-07-31,88.95,104.65,80.0,82.35,-7.419898819561562
2002-08-31,86.5,94.75,77.7,90.55,4.682080924855488
2002-09-30,91.9,94.5,84.5,90.75,-1.2513601741022913
