Date,Open,High,Low,Close,Returns%
2000-01-31,139.9,157.9,130.0,150.2,7.362401715511066
2000-02-29,145.75,185.0,139.1,142.5,-2.229845626072041
2000-03-31,140.0,156.0,126.0,143.35,2.392857142857139
2000-04-30,140.0,151.55,127.0,141.9,1.3571428571428612
2000-05-31,134.3,145.0,122.25,135.0,0.5212211466865142
2000-06-30,136.3,139.5,131.2,135.9,-0.29347028613353315
2000-07-31,136.0,139.85,123.1,135.0,-0.7352941176470589
2000-08-31,130.05,147.95,130.0,134.35,3.3064206074586564
2000-09-30,139.95,142.95,124.5,127.0,-9.253304751697028
2000-10-31,122.05,133.0,111.1,128.9,5.612453912331019
2000-11-30,133.5,149.0,127.0,138.05,3.40823970037454
2000-12-31,136.0,149.0,127.0,131.05,-3.6397058823529327
2001-01-31,132.0,137.4,122.5,131.25,-0.5681818181818182
2001-02-28,127.0,127.0,111.25,114.0,-10.236220472440944
2001-03-31,115.0,117.9,86.0,93.25,-18.91304347826087
2001-04-30,90.0,102.8,87.5,90.8,0.8888888888888857
2001-05-31,91.0,93.9,80.0,88.7,-2.5274725274725243
2001-06-30,89.05,90.55,81.65,85.9,-3.537338573834915
2001-07-31,78.0,90.0,72.05,75.2,-3.5897435897435863
2001-08-31,75.25,83.9,72.75,83.9,11.49501661129569
2001-09-30,84.0,85.45,73.05,81.9,-2.4999999999999933
2001-10-31,77.0,89.95,77.0,83.15,7.987012987012994
2001-11-30,85.1,98.0,83.55,94.05,10.517038777908347
2001-12-31,95.0,103.0,77.05,88.0,-7.368421052631579
2002-01-31,90.0,112.9,88.0,104.85,16.499999999999996
2002-02-28,106.0,141.4,100.7,108.9,2.735849056603779
2002-03-31,108.0,128.0,105.25,118.65,9.861111111111116
2002-04-30,119.0,167.0,116.0,143.65,20.71428571428572
2002-05-31,147.05,153.0,116.0,120.0,-18.39510370622238
2002-06-30,134.0,145.0,120.0,133.15,-0.634328358208951
2002-07-31,133.5,167.0,132.0,133.0,-0.37453183520599254
2002-08-31,132.0,145.0,128.0,142.05,7.613636363636372
2002-09-30,141.25,147.75,130.25,132.6,-6.123893805309739
2002-10-31,132.05,142.0,123.2,124.75,-5.528209011737986
2002-11-30,130.75,139.25,125.05,135.15,3.36520076481836
2002-12-31,136.5,145.05,134.0,140.05,2.6007326007326093
2003-01-31,141.0,174.0,138.0,164.7,16.808510638297864
2003-02-28,165.0,167.9,156.5,160.4,-2.7878787878787845
2003-03-31,160.1,162.0,146.3,146.6,-8.432229856339788
2003-04-30,148.0,164.0,148.0,159.8,7.972972972972981
2003-05-31,164.9,207.0,164.9,201.6,22.25591267434808
2003-06-30,202.25,239.5,194.0,227.65,12.558714462299138
2003-07-31,226.0,275.0,223.5,261.15,15.553097345132734
2003-08-31,265.0,280.65,251.15,275.75,4.056603773584905
2003-09-30,280.0,360.0,280.0,335.1,19.678571428571434
2003-10-31,340.0,393.0,330.05,360.55,6.044117647058826
2003-11-30,365.0,450.0,345.05,399.05,9.328767123287674
2003-12-31,399.9,474.0,380.1,451.4,12.878219554888723
2004-01-31,440.0,468.0,410.05,456.7,3.7954545454545427
2004-02-29,450.0,490.0,435.0,445.9,-0.9111111111111162
2004-03-31,450.0,500.0,434.1,442.6,-1.6444444444444395
2004-04-30,464.95,594.0,420.0,525.3,12.979890310786098
2004-05-31,530.0,569.9,400.0,497.1,-6.207547169811316
2004-06-30,495.0,509.85,460.55,494.05,-0.19191919191918963
2004-07-31,495.0,518.4,450.0,511.1,3.252525252525257
2004-08-31,519.9,545.0,285.15,317.15,-38.99788420850164
2004-09-30,324.35,330.0,299.5,306.1,-5.626637891166949
2004-10-31,305.0,312.8,269.0,304.85,-0.049180327868845006
2004-11-30,306.0,379.9,300.1,347.35,13.513071895424842
2004-12-31,347.0,415.0,340.0,410.85,18.400576368876084
2005-01-31,410.85,448.8,363.25,443.5,7.9469392722404715
2005-02-28,438.0,470.0,426.45,450.15,2.773972602739721
2005-03-31,451.0,522.95,449.0,518.4,14.944567627494452
2005-04-30,514.1,570.0,510.5,538.05,4.658626726317824
2005-05-31,555.0,699.0,511.65,600.0,8.108108108108109
2005-06-30,599.0,677.9,580.0,588.8,-1.7028380634390727
2005-07-31,600.0,619.8,570.05,593.2,-1.1333333333333258
2005-08-31,599.95,759.0,585.0,685.0,14.176181348445697
2005-09-30,720.0,740.0,641.0,714.3,-0.791666666666673
2005-10-31,711.0,750.0,601.1,643.85,-9.444444444444441
2005-11-30,640.0,748.6,640.0,735.0,14.84375
2005-12-31,744.0,795.0,701.1,773.55,3.971774193548381
2006-01-31,790.0,925.0,770.55,830.0,5.063291139240507
2006-02-28,800.0,875.0,787.0,817.05,2.1312499999999943
2006-03-31,807.1,950.5,781.0,903.5,11.943997026390779
2006-04-30,919.0,944.45,840.0,849.75,-7.5353645266594125
2006-05-31,880.0,978.45,670.0,778.05,-11.585227272727277
2006-06-30,777.0,785.0,650.0,733.5,-5.598455598455598
2006-07-31,747.0,780.0,714.1,780.0,4.417670682730924
2006-08-31,790.0,835.0,758.65,828.8,4.911392405063285
2006-09-30,810.15,910.0,800.1,895.25,10.504227612170588
2006-10-31,895.0,957.0,868.35,930.5,3.9664804469273744
2006-11-30,939.05,939.05,811.75,854.8,-8.971833235716948
2006-12-31,826.0,860.0,775.0,815.0,-1.3317191283292977
2007-01-31,792.05,860.0,763.55,795.25,0.40401489804937135
2007-02-28,777.0,800.1,685.0,702.7,-9.562419562419556
2007-03-31,698.0,708.95,630.0,671.0,-3.8681948424068766
2007-04-30,675.0,740.0,631.0,718.75,6.481481481481482
2007-05-31,730.0,750.0,670.0,700.0,-4.109589041095891
2007-06-30,690.5,721.0,667.0,690.0,-0.07241129616220131
2007-07-31,685.05,745.0,681.0,701.0,2.3282972045836137
2007-08-31,701.0,750.0,687.3,700.0,-0.14265335235378032
2007-09-30,700.0,799.0,662.75,747.45,6.778571428571435
2007-10-31,754.0,900.0,729.6,771.75,2.354111405835544
2007-11-30,761.35,921.0,703.0,881.65,15.800880015761471
2007-12-31,871.0,893.0,729.9,879.8,1.010332950631453
2008-01-31,840.0,960.0,632.0,799.75,-4.791666666666667
2008-02-29,767.0,799.0,650.0,700.0,-8.735332464146023
2008-03-31,685.0,775.0,501.4,751.15,9.65693430656934
2008-04-30,749.9,759.9,652.5,691.1,-7.841045472729691
2008-05-31,759.9,836.2,633.1,689.0,-9.330175023029344
2008-06-30,680.2,720.0,539.9,619.1,-8.982652161129081
2008-07-31,610.0,649.75,600.0,631.5,3.5245901639344264
2008-08-31,610.5,689.0,606.0,630.05,3.2022932022931947
2008-09-30,618.1,632.75,533.3,590.0,-4.546189936903417
2008-10-31,600.0,614.0,343.5,415.0,-30.833333333333332
2008-11-30,415.0,429.0,321.65,389.0,-6.265060240963855
2008-12-31,351.25,447.8,351.05,400.0,13.87900355871886
