Date,Open,High,Low,Close,Returns%
2000-01-31,146.0,153.0,127.0,138.75,-4.965753424657534
2000-02-29,135.5,142.0,95.0,119.5,-11.808118081180812
2000-03-31,125.05,129.0,92.3,100.0,-20.03198720511795
2000-04-30,98.0,108.0,82.0,90.5,-7.653061224489796
2000-05-31,88.7,93.0,84.25,92.75,4.565952649379929
2000-06-30,93.0,100.0,85.05,85.1,-8.494623655913985
2000-07-31,78.85,107.95,78.85,83.15,5.453392517438188
2000-08-31,80.75,86.75,71.05,76.7,-5.015479876160987
2000-09-30,75.0,82.85,64.05,70.0,-6.666666666666667
2000-10-31,70.0,75.5,59.0,71.0,1.4285714285714286
2000-11-30,68.0,74.95,65.0,71.3,4.852941176470584
2000-12-31,73.75,91.9,66.5,70.0,-5.084745762711864
2001-01-31,71.0,72.0,54.3,64.85,-8.661971830985923
2001-02-28,70.0,73.5,59.0,62.0,-11.428571428571429
2001-03-31,64.25,66.7,50.1,55.0,-14.396887159533074
2001-04-30,53.0,58.0,50.5,53.25,0.4716981132075472
2001-05-31,55.25,64.0,51.7,59.15,7.058823529411763
2001-06-30,59.8,60.55,47.8,57.35,-4.096989966555177
2001-07-31,55.6,55.7,41.0,44.0,-20.86330935251799
2001-08-31,46.8,52.0,39.0,49.6,5.982905982905993
2001-09-30,49.0,49.75,37.15,41.55,-15.204081632653066
2001-10-31,41.0,54.0,41.0,46.75,14.024390243902438
2001-11-30,47.75,51.75,45.15,49.8,4.293193717277481
2001-12-31,50.3,62.5,42.35,47.75,-5.069582504970174
2002-01-31,48.0,52.9,45.0,47.85,-0.31249999999999706
2002-02-28,46.05,59.9,44.5,50.4,9.44625407166124
2002-03-31,49.5,53.4,46.05,50.3,1.6161616161616104
2002-04-30,48.55,57.9,47.0,54.75,12.770339855818749
2002-05-31,53.1,66.0,48.0,52.0,-2.0715630885122436
2002-06-30,53.0,94.7,50.5,79.2,49.43396226415095
2002-07-31,78.5,90.0,59.1,68.85,-12.292993630573255
2002-08-31,70.95,75.85,56.4,69.85,-1.5503875968992367
2002-09-30,65.2,72.6,59.0,59.1,-9.355828220858896
2002-10-31,60.0,64.5,53.1,57.05,-4.916666666666671
2002-11-30,56.9,61.2,55.15,57.9,1.757469244288225
2002-12-31,59.3,60.7,56.0,58.7,-1.0118043844856566
2003-01-31,56.15,76.75,56.15,64.25,14.42564559216385
2003-02-28,62.5,69.0,62.1,66.5,6.4
2003-03-31,67.0,67.2,55.0,56.0,-16.417910447761194
2003-04-30,56.95,69.4,56.95,67.9,19.227392449517122
2003-05-31,68.45,89.75,68.45,83.75,22.352081811541268
2003-06-30,83.0,109.0,79.0,104.8,26.26506024096385
2003-07-31,106.4,119.9,96.05,98.2,-7.706766917293235
2003-08-31,96.5,109.75,85.25,89.75,-6.994818652849741
2003-09-30,90.0,92.9,79.8,88.95,-1.1666666666666634
2003-10-31,87.5,97.2,87.5,88.0,0.5714285714285714
2003-11-30,92.0,109.0,86.1,105.3,14.456521739130432
2003-12-31,105.3,142.0,103.0,125.2,18.898385565052237
