Date,Open,High,Low,Close,Returns%
2000-01-31,1510.0,2490.3,1505.0,1716.0,13.642384105960264
2000-02-29,1650.0,1899.0,1500.0,1500.0,-9.090909090909092
2000-03-31,1575.0,1575.0,1160.0,1250.0,-20.634920634920636
2000-04-30,1160.0,1420.0,1150.0,1286.0,10.862068965517242
2000-05-31,1251.0,1299.0,1032.0,1065.0,-14.86810551558753
2000-06-30,1075.0,1219.0,1050.0,1178.0,9.581395348837209
2000-07-31,1140.0,1275.0,1134.0,1248.65,9.530701754385973
2000-08-31,1220.0,1275.0,1048.0,1235.0,1.2295081967213115
2000-09-30,1150.0,1290.0,1110.0,1170.0,1.7391304347826086
2000-10-31,1170.0,1170.0,875.0,1015.0,-13.247863247863247
2000-11-30,950.0,1200.0,935.0,1101.0,15.894736842105264
2000-12-31,1175.0,1210.0,950.0,1050.0,-10.638297872340425
2001-01-31,980.0,1090.0,810.0,827.0,-15.612244897959183
2001-02-28,831.25,860.0,806.0,825.0,-0.7518796992481203
2001-03-31,891.0,962.2,750.0,828.0,-7.070707070707071
2001-04-30,890.0,915.0,750.0,750.0,-15.730337078651685
2001-05-31,750.1,862.0,710.0,784.0,4.519397413678173
2001-06-30,824.8,850.0,662.4,700.0,-15.130940834141606
2001-07-31,700.0,700.0,482.0,599.95,-14.292857142857137
2001-08-31,649.0,788.0,600.0,725.0,11.710323574730355
2001-09-30,705.0,745.0,600.0,660.0,-6.382978723404255
2001-10-31,723.0,733.0,621.0,649.0,-10.235131396957122
2001-11-30,660.0,725.0,625.0,680.0,3.0303030303030303
2001-12-31,700.0,780.0,651.1,725.0,3.5714285714285716
2002-01-31,710.0,740.0,625.05,660.0,-7.042253521126761
2002-02-28,633.0,695.0,630.0,643.0,1.5797788309636651
2002-03-31,630.0,721.8,630.0,711.1,12.873015873015875
2002-04-30,725.0,790.0,680.0,770.4,6.262068965517239
2002-05-31,710.0,765.0,613.1,703.0,-0.9859154929577465
2002-06-30,702.0,999.0,660.0,927.0,32.05128205128205
2002-07-31,970.0,1180.0,890.0,985.0,1.5463917525773196
2002-08-31,1010.0,1145.0,917.0,1075.0,6.435643564356436
2002-09-30,1000.0,1090.0,875.0,931.0,-6.9
2002-10-31,960.0,1005.0,911.5,980.0,2.0833333333333335
2002-11-30,930.0,1080.0,811.0,1025.0,10.21505376344086
2002-12-31,1000.0,1090.0,951.0,1000.0,0.0
2003-01-31,1044.0,1225.0,1000.0,1130.0,8.237547892720306
2003-02-28,1160.0,1225.0,1125.0,1154.2,-0.49999999999999606
2003-03-31,1150.0,1152.0,902.0,923.0,-19.73913043478261
2003-04-30,965.0,1019.0,955.0,957.65,-0.7616580310880853
2003-05-31,975.0,1560.0,975.0,1559.9,59.9897435897436
2003-06-30,1591.1,2076.7,1591.1,2075.6,30.450631638489096
2003-07-31,2110.0,2689.4,2070.0,2516.65,19.272511848341235
2003-08-31,2510.0,2895.0,2510.0,2799.5,11.533864541832669
2003-09-30,2750.0,3277.1,2744.0,3277.1,19.167272727272724
2003-10-31,3342.65,3840.0,3290.0,3370.0,0.8182130944011461
2003-11-30,3420.0,4069.05,3420.0,4069.05,18.9780701754386
2003-12-31,4055.0,5000.0,4055.0,4997.5,23.242909987669545
2004-01-31,4925.0,5005.0,4313.0,4631.85,-5.952284263959384
2004-02-29,4620.0,4885.0,4250.0,4276.65,-7.43181818181819
2004-03-31,4230.0,4869.0,4230.0,4628.6,9.423167848699773
2004-04-30,4840.0,5430.0,4626.0,4971.2,2.710743801652889
2004-05-31,4900.0,5098.0,4075.0,4445.0,-9.285714285714286
2004-06-30,4399.0,4940.0,4126.0,4802.7,9.177085701295745
2004-07-31,4775.0,6355.3,4775.0,5976.8,25.16858638743456
2004-08-31,6145.0,7550.0,5890.0,7373.55,19.992676973148903
2004-09-30,7375.0,7458.0,6900.0,7248.65,-1.7132203389830558
2004-10-31,7180.0,7997.0,7120.15,7395.7,3.0041782729804987
2004-11-30,7375.0,8400.0,7350.0,8238.75,11.711864406779661
2004-12-31,8300.0,8720.0,7850.0,8508.9,2.5168674698795135
2005-01-31,8500.0,8900.0,8000.0,8324.9,-2.0600000000000045
2005-02-28,8350.0,8749.0,7150.0,7847.15,-6.0221556886227585
2005-03-31,7970.0,8700.0,7566.0,8327.35,4.48368883312422
2005-04-30,8200.0,8650.0,7600.0,8337.05,1.6713414634146253
2005-05-31,8390.0,10420.0,8260.0,9939.35,18.466626936829563
2005-06-30,10000.0,10569.0,9155.0,9455.65,-5.443500000000004
2005-07-31,9201.0,12250.0,9201.0,11990.45,30.316813389848935
2005-08-31,11710.0,13000.0,10803.0,12693.7,8.400512382578999
2005-09-30,12879.6,14900.0,12310.0,13717.5,6.505636821019284
2005-10-31,13502.0,14700.0,13303.0,13760.85,1.9171233891275394
2005-11-30,14000.0,14500.0,13400.0,14271.7,1.940714285714291
2005-12-31,14200.0,18800.0,14200.0,18485.05,30.176408450704223
2006-01-31,18499.0,21499.0,17251.0,20431.1,10.444348343153676
2006-02-28,20500.0,20699.0,18522.0,18969.45,-7.466097560975607
2006-03-31,19000.0,22510.0,18000.0,21859.1,15.0478947368421
2006-04-30,22995.0,24444.0,22120.0,23400.0,1.761252446183953
2006-05-31,23299.0,24600.0,19357.6,21194.55,-9.032361903944377
2006-06-30,22000.0,22000.0,13620.0,20074.2,-8.75363636363636
2006-07-31,20900.0,20900.0,15145.05,17064.15,-18.353349282296644
2006-08-31,16675.0,19395.0,16675.0,19097.6,14.528335832083949
2006-09-30,18752.0,26340.0,18752.0,25354.2,35.207977815699664
2006-10-31,26300.0,36986.0,25000.0,34682.5,31.872623574144487
2006-11-30,35300.0,35700.0,30500.0,32417.8,-8.16487252124646
2006-12-31,33200.0,39404.1,3472.1,3605.95,-89.13870481927711
2007-01-31,3600.0,3933.6,3480.1,3537.35,-1.7402777777777803
2007-02-28,3600.0,3720.0,2792.05,3010.05,-16.387499999999996
2007-03-31,3050.1,3135.0,2775.0,2983.3,-2.190092128126938
2007-04-30,2840.0,2960.0,2685.0,2708.9,-4.616197183098588
2007-05-31,2725.05,2920.0,2552.0,2648.75,-2.799948624795882
2007-06-30,2689.0,2905.0,2620.0,2798.3,4.064708069914473
2007-07-31,2770.3,3122.9,2690.0,2781.2,0.3934591921452419
2007-08-31,2751.1,3280.0,2670.1,2910.0,5.775871469593984
2007-09-30,2988.0,3259.7,2851.0,2909.5,-2.6271753681392234
2007-10-31,3030.0,3439.85,2520.0,3262.45,7.671617161716165
2007-11-30,3350.0,4100.0,3040.0,3250.2,-2.9791044776119455
2007-12-31,3300.0,3880.0,3230.2,3373.85,2.237878787878785
2008-01-31,3376.0,3398.8,1700.0,2004.9,-40.61315165876777
2008-02-29,2049.0,2249.95,1810.05,2036.85,-0.5929721815519811
2008-03-31,1985.0,2009.9,1360.0,1610.6,-18.861460957178846
2008-04-30,1620.0,1938.9,1450.0,1706.4,5.333333333333339
2008-05-31,1720.0,1771.0,1470.05,1505.15,-12.491279069767439
2008-06-30,1519.95,1529.55,1151.0,1155.8,-23.95802493503076
2008-07-31,1156.0,1175.0,1000.95,1067.0,-7.698961937716263
2008-08-31,1067.25,1234.0,1018.0,1075.95,0.8151791988756192
2008-09-30,1061.0,1120.0,851.95,877.35,-17.309142318567385
2008-10-31,890.0,910.0,505.05,566.8,-36.31460674157304
2008-11-30,585.0,800.0,540.15,550.7,-5.863247863247856
2008-12-31,651.0,665.0,530.05,621.85,-4.477726574500765
2009-01-31,625.0,714.4,486.0,514.15,-17.736000000000004
2009-02-28,515.0,551.1,436.5,450.55,-12.514563106796114
2009-03-31,450.0,510.15,362.6,503.55,11.900000000000002
2009-04-30,510.0,768.3,503.0,592.0,16.07843137254902
2009-05-31,605.0,960.0,560.7,914.65,51.18181818181817
2009-06-30,934.0,1262.0,880.0,950.9,1.8094218415417536
2009-07-31,965.0,1040.0,750.0,991.7,2.7668393782383465
2009-08-31,1005.0,1157.0,950.15,1098.95,9.348258706467666
2009-09-30,1110.0,1468.0,1052.6,1366.3,23.090090090090087
2009-10-31,1365.0,1425.0,1215.0,1350.1,-1.0915750915750981
2009-11-30,1329.0,1701.0,1325.0,1686.75,26.918735891647856
2009-12-31,1744.7,1848.0,1643.05,1784.05,2.2554020748552706
2010-01-31,1784.0,2274.8,1784.0,1918.3,7.528026905829594
2010-02-28,1890.0,2020.0,1720.0,1759.35,-6.9126984126984174
2010-03-31,1771.05,1959.9,1751.0,1811.75,2.2980717653369496
2010-04-30,1818.15,2125.0,1801.2,2039.0,12.146962571845002
2010-05-31,2015.05,2070.0,1772.0,1807.4,-10.304955212029471
2010-06-30,1801.0,2120.0,1751.2,2070.25,14.950027762354248
2010-07-31,2061.0,2167.0,1986.2,2004.15,-2.758369723435221
2010-08-31,2010.0,2280.0,1995.5,2137.35,6.335820895522383
2010-09-30,2127.0,2540.0,2127.0,2342.55,10.133991537376595
2010-10-31,2354.0,2905.0,2354.0,2675.95,13.676720475785888
2010-11-30,2676.15,2929.45,2425.0,2467.9,-7.781701324664163
2010-12-31,2460.4,2666.6,2250.55,2462.6,0.08941635506420981
2011-01-31,2453.0,2499.0,1900.0,2159.05,-11.983285772523434
2011-02-28,2182.0,2268.0,1961.2,2050.8,-6.012832263977994
2011-03-31,2097.0,2330.0,2005.25,2232.95,6.483071053886496
2011-04-30,2273.9,2560.0,2222.0,2447.55,7.636659483706411
2011-05-31,2484.8,2484.8,1990.0,2159.15,-13.105682549903415
2011-06-30,2169.0,2210.0,2035.0,2095.6,-3.3840479483633055
2011-07-31,2118.4,2298.9,2065.0,2157.35,1.8386518126888132
2011-08-31,2150.0,2208.0,1852.3,1969.25,-8.406976744186046
2011-09-30,1980.0,2076.0,1915.0,1944.4,-1.7979797979797933
2011-10-31,1920.0,1999.8,1850.0,1933.45,0.7005208333333357
2011-11-30,1949.0,1965.0,1531.1,1646.35,-15.528476141611087
2011-12-31,1670.0,1788.0,1408.85,1475.4,-11.652694610778438
2012-01-31,1475.0,1639.95,1411.2,1588.55,7.69830508474576
2012-02-29,1600.0,1925.0,1582.25,1735.6,8.474999999999994
2012-03-31,1739.95,1750.0,1530.0,1583.5,-8.99163769073824
2012-04-30,1578.0,1898.0,1578.0,1629.55,3.2667934093789577
2012-05-31,1632.0,1650.0,1497.9,1560.1,-4.405637254901967
2012-06-30,1575.0,1690.0,1525.0,1628.05,3.368253968253965
2012-07-31,1630.0,1754.9,1544.35,1553.6,-4.687116564417184
2012-08-31,1553.0,2059.7,1546.0,1980.95,27.55634256278172
2012-09-30,1974.0,2140.15,1898.0,2032.65,2.971124620060795
2012-10-31,2054.95,2188.0,1953.0,2060.25,0.2579138178544579
2012-11-30,2062.8,2206.35,2030.0,2078.4,0.7562536358347832
2012-12-31,2078.1,2324.6,2060.1,2247.25,8.139646792743376
2013-01-31,2259.8,2336.0,2103.1,2178.9,-3.579962828568904
2013-02-28,2188.5,2202.65,1970.0,1999.2,-8.649760109664152
2013-03-31,1959.0,2074.0,1806.15,1845.8,-5.7784583971414
2013-04-30,1851.05,2047.95,1808.0,1996.9,7.879311741984287
2013-05-31,2010.0,2130.0,1933.1,1943.85,-3.2910447761194077
2013-06-30,1940.0,2035.65,1775.0,1819.95,-6.188144329896906
2013-07-31,1811.05,1920.0,1721.25,1763.0,-2.6531570083653104
2013-08-31,1770.05,1869.9,1730.1,1786.45,0.926527499223191
2013-09-30,1785.05,2119.0,1785.05,2057.0,15.234867370661888
2013-10-31,2060.0,2411.95,2026.0,2365.85,14.847087378640774
2013-11-30,2360.0,2534.95,2356.2,2486.35,5.35381355932203
2013-12-31,2525.0,2920.0,2450.1,2768.0,9.623762376237623
2014-01-31,2796.55,2870.0,2551.0,2691.2,-3.7671416566841414
2014-02-28,2723.95,2799.0,2600.0,2605.85,-4.335615558288512
2014-03-31,2655.0,3140.0,2635.0,3039.25,14.472693032015066
2014-04-30,3025.0,3159.75,2843.5,2949.95,-2.480991735537196
2014-05-31,2953.15,3570.0,2915.0,3358.7,13.732793796454622
2014-06-30,3353.55,3789.0,3316.0,3750.1,11.824782692967144
2014-07-31,3749.95,4025.0,3660.4,3777.8,0.74267656902093
2014-08-31,3751.0,3990.0,3688.0,3937.1,4.961343641695546
2014-09-30,3975.0,4319.95,3871.0,4039.1,1.612578616352199
2014-10-31,4079.95,4140.0,3835.0,4002.95,-1.8872780303680192
2014-11-30,4100.05,4503.95,4030.0,4223.15,3.002402409726697
2014-12-31,4225.0,4340.0,3455.5,3830.05,-9.347928994082837
2015-01-31,3807.0,4190.0,3799.2,3978.95,4.516679800367739
2015-02-28,3939.25,4069.8,3682.05,3823.05,-2.9498000888493956
2015-03-31,3836.05,3979.95,3609.9,3836.55,0.013034240950978219
2015-04-30,3850.0,4117.95,3575.0,3727.7,-3.1766233766233816
2015-05-31,3675.3,3905.05,3561.0,3823.5,4.032323891927184
2015-06-30,3876.0,3975.0,3612.25,3678.85,-5.086429308565533
